agegrp,indig_status,legal_status,sex,state,quarter,quart,year,Average_nightly_pop
10 to 17,Indigenous,Unsentenced,Male,NSW,Jun qtr 2009,Jun,2009,86
10 to 17,Indigenous,Unsentenced,Male,NSW,Sep qtr 2009,Sep,2009,73
10 to 17,Indigenous,Unsentenced,Male,NSW,Dec qtr 2009,Dec,2009,91
10 to 17,Indigenous,Unsentenced,Male,NSW,Mar qtr 2010,Mar,2010,87
10 to 17,Indigenous,Unsentenced,Male,NSW,Jun qtr 2010,Jun,2010,82
10 to 17,Indigenous,Unsentenced,Male,NSW,Sep qtr 2010,Sep,2010,78
10 to 17,Indigenous,Unsentenced,Male,NSW,Dec qtr 2010,Dec,2010,65
10 to 17,Indigenous,Unsentenced,Male,NSW,Mar qtr 2011,Mar,2011,79
10 to 17,Indigenous,Unsentenced,Male,NSW,Jun qtr 2011,Jun,2011,81
10 to 17,Indigenous,Unsentenced,Male,NSW,Sep qtr 2011,Sep,2011,73
10 to 17,Indigenous,Unsentenced,Male,NSW,Dec qtr 2011,Dec,2011,67
10 to 17,Indigenous,Unsentenced,Male,NSW,Mar qtr 2012,Mar,2012,79
10 to 17,Indigenous,Unsentenced,Male,NSW,Jun qtr 2012,Jun,2012,92
10 to 17,Indigenous,Unsentenced,Male,NSW,Sep qtr 2012,Sep,2012,73
10 to 17,Indigenous,Unsentenced,Male,NSW,Dec qtr 2012,Dec,2012,68
10 to 17,Indigenous,Unsentenced,Male,NSW,Mar qtr 2013,Mar,2013,76
10 to 17,Indigenous,Unsentenced,Male,NSW,Jun qtr 2013,Jun,2013,68
10 to 17,Indigenous,Unsentenced,Male,Vic,Jun qtr 2009,Jun,2009,6
10 to 17,Indigenous,Unsentenced,Male,Vic,Sep qtr 2009,Sep,2009,6
10 to 17,Indigenous,Unsentenced,Male,Vic,Dec qtr 2009,Dec,2009,8
10 to 17,Indigenous,Unsentenced,Male,Vic,Mar qtr 2010,Mar,2010,10
10 to 17,Indigenous,Unsentenced,Male,Vic,Jun qtr 2010,Jun,2010,6
10 to 17,Indigenous,Unsentenced,Male,Vic,Sep qtr 2010,Sep,2010,5
10 to 17,Indigenous,Unsentenced,Male,Vic,Dec qtr 2010,Dec,2010,8
10 to 17,Indigenous,Unsentenced,Male,Vic,Mar qtr 2011,Mar,2011,5
10 to 17,Indigenous,Unsentenced,Male,Vic,Jun qtr 2011,Jun,2011,4
10 to 17,Indigenous,Unsentenced,Male,Vic,Sep qtr 2011,Sep,2011,3
10 to 17,Indigenous,Unsentenced,Male,Vic,Dec qtr 2011,Dec,2011,3
10 to 17,Indigenous,Unsentenced,Male,Vic,Mar qtr 2012,Mar,2012,7
10 to 17,Indigenous,Unsentenced,Male,Vic,Jun qtr 2012,Jun,2012,6
10 to 17,Indigenous,Unsentenced,Male,Vic,Sep qtr 2012,Sep,2012,3
10 to 17,Indigenous,Unsentenced,Male,Vic,Dec qtr 2012,Dec,2012,3
10 to 17,Indigenous,Unsentenced,Male,Vic,Mar qtr 2013,Mar,2013,5
10 to 17,Indigenous,Unsentenced,Male,Vic,Jun qtr 2013,Jun,2013,4
10 to 17,Indigenous,Unsentenced,Male,Qld,Jun qtr 2009,Jun,2009,41
10 to 17,Indigenous,Unsentenced,Male,Qld,Sep qtr 2009,Sep,2009,37
10 to 17,Indigenous,Unsentenced,Male,Qld,Dec qtr 2009,Dec,2009,42
10 to 17,Indigenous,Unsentenced,Male,Qld,Mar qtr 2010,Mar,2010,53
10 to 17,Indigenous,Unsentenced,Male,Qld,Jun qtr 2010,Jun,2010,51
10 to 17,Indigenous,Unsentenced,Male,Qld,Sep qtr 2010,Sep,2010,43
10 to 17,Indigenous,Unsentenced,Male,Qld,Dec qtr 2010,Dec,2010,44
10 to 17,Indigenous,Unsentenced,Male,Qld,Mar qtr 2011,Mar,2011,42
10 to 17,Indigenous,Unsentenced,Male,Qld,Jun qtr 2011,Jun,2011,37
10 to 17,Indigenous,Unsentenced,Male,Qld,Sep qtr 2011,Sep,2011,38
10 to 17,Indigenous,Unsentenced,Male,Qld,Dec qtr 2011,Dec,2011,42
10 to 17,Indigenous,Unsentenced,Male,Qld,Mar qtr 2012,Mar,2012,55
10 to 17,Indigenous,Unsentenced,Male,Qld,Jun qtr 2012,Jun,2012,68
10 to 17,Indigenous,Unsentenced,Male,Qld,Sep qtr 2012,Sep,2012,60
10 to 17,Indigenous,Unsentenced,Male,Qld,Dec qtr 2012,Dec,2012,66
10 to 17,Indigenous,Unsentenced,Male,Qld,Mar qtr 2013,Mar,2013,75
10 to 17,Indigenous,Unsentenced,Male,Qld,Jun qtr 2013,Jun,2013,71
10 to 17,Indigenous,Unsentenced,Male,WA,Jun qtr 2009,Jun,2009,46
10 to 17,Indigenous,Unsentenced,Male,WA,Sep qtr 2009,Sep,2009,46
10 to 17,Indigenous,Unsentenced,Male,WA,Dec qtr 2009,Dec,2009,51
10 to 17,Indigenous,Unsentenced,Male,WA,Mar qtr 2010,Mar,2010,58
10 to 17,Indigenous,Unsentenced,Male,WA,Jun qtr 2010,Jun,2010,48
10 to 17,Indigenous,Unsentenced,Male,WA,Sep qtr 2010,Sep,2010,48
10 to 17,Indigenous,Unsentenced,Male,WA,Dec qtr 2010,Dec,2010,50
10 to 17,Indigenous,Unsentenced,Male,WA,Mar qtr 2011,Mar,2011,57
10 to 17,Indigenous,Unsentenced,Male,WA,Jun qtr 2011,Jun,2011,51
10 to 17,Indigenous,Unsentenced,Male,WA,Sep qtr 2011,Sep,2011,40
10 to 17,Indigenous,Unsentenced,Male,WA,Dec qtr 2011,Dec,2011,51
10 to 17,Indigenous,Unsentenced,Male,WA,Mar qtr 2012,Mar,2012,48
10 to 17,Indigenous,Unsentenced,Male,WA,Jun qtr 2012,Jun,2012,51
10 to 17,Indigenous,Unsentenced,Male,WA,Sep qtr 2012,Sep,2012,37
10 to 17,Indigenous,Unsentenced,Male,WA,Dec qtr 2012,Dec,2012,52
10 to 17,Indigenous,Unsentenced,Male,WA,Mar qtr 2013,Mar,2013,59
10 to 17,Indigenous,Unsentenced,Male,WA,Jun qtr 2013,Jun,2013,48
10 to 17,Indigenous,Unsentenced,Male,SA,Jun qtr 2009,Jun,2009,9
10 to 17,Indigenous,Unsentenced,Male,SA,Sep qtr 2009,Sep,2009,10
10 to 17,Indigenous,Unsentenced,Male,SA,Dec qtr 2009,Dec,2009,10
10 to 17,Indigenous,Unsentenced,Male,SA,Mar qtr 2010,Mar,2010,13
10 to 17,Indigenous,Unsentenced,Male,SA,Jun qtr 2010,Jun,2010,10
10 to 17,Indigenous,Unsentenced,Male,SA,Sep qtr 2010,Sep,2010,11
10 to 17,Indigenous,Unsentenced,Male,SA,Dec qtr 2010,Dec,2010,7
10 to 17,Indigenous,Unsentenced,Male,SA,Mar qtr 2011,Mar,2011,11
10 to 17,Indigenous,Unsentenced,Male,SA,Jun qtr 2011,Jun,2011,10
10 to 17,Indigenous,Unsentenced,Male,SA,Sep qtr 2011,Sep,2011,12
10 to 17,Indigenous,Unsentenced,Male,SA,Dec qtr 2011,Dec,2011,13
10 to 17,Indigenous,Unsentenced,Male,SA,Mar qtr 2012,Mar,2012,17
10 to 17,Indigenous,Unsentenced,Male,SA,Jun qtr 2012,Jun,2012,15
10 to 17,Indigenous,Unsentenced,Male,SA,Sep qtr 2012,Sep,2012,13
10 to 17,Indigenous,Unsentenced,Male,SA,Dec qtr 2012,Dec,2012,9
10 to 17,Indigenous,Unsentenced,Male,SA,Mar qtr 2013,Mar,2013,14
10 to 17,Indigenous,Unsentenced,Male,SA,Jun qtr 2013,Jun,2013,9
10 to 17,Indigenous,Unsentenced,Male,Tas,Jun qtr 2009,Jun,2009,5
10 to 17,Indigenous,Unsentenced,Male,Tas,Sep qtr 2009,Sep,2009,6
10 to 17,Indigenous,Unsentenced,Male,Tas,Dec qtr 2009,Dec,2009,3
10 to 17,Indigenous,Unsentenced,Male,Tas,Mar qtr 2010,Mar,2010,5
10 to 17,Indigenous,Unsentenced,Male,Tas,Jun qtr 2010,Jun,2010,4
10 to 17,Indigenous,Unsentenced,Male,Tas,Sep qtr 2010,Sep,2010,3
10 to 17,Indigenous,Unsentenced,Male,Tas,Dec qtr 2010,Dec,2010,2
10 to 17,Indigenous,Unsentenced,Male,Tas,Mar qtr 2011,Mar,2011,2
10 to 17,Indigenous,Unsentenced,Male,Tas,Jun qtr 2011,Jun,2011,2
10 to 17,Indigenous,Unsentenced,Male,Tas,Sep qtr 2011,Sep,2011,2
10 to 17,Indigenous,Unsentenced,Male,Tas,Dec qtr 2011,Dec,2011,0
10 to 17,Indigenous,Unsentenced,Male,Tas,Mar qtr 2012,Mar,2012,0
10 to 17,Indigenous,Unsentenced,Male,Tas,Jun qtr 2012,Jun,2012,1
10 to 17,Indigenous,Unsentenced,Male,Tas,Sep qtr 2012,Sep,2012,1
10 to 17,Indigenous,Unsentenced,Male,Tas,Dec qtr 2012,Dec,2012,0
10 to 17,Indigenous,Unsentenced,Male,Tas,Mar qtr 2013,Mar,2013,0
10 to 17,Indigenous,Unsentenced,Male,Tas,Jun qtr 2013,Jun,2013,0
10 to 17,Indigenous,Unsentenced,Male,ACT,Jun qtr 2009,Jun,2009,1
10 to 17,Indigenous,Unsentenced,Male,ACT,Sep qtr 2009,Sep,2009,3
10 to 17,Indigenous,Unsentenced,Male,ACT,Dec qtr 2009,Dec,2009,2
10 to 17,Indigenous,Unsentenced,Male,ACT,Mar qtr 2010,Mar,2010,3
10 to 17,Indigenous,Unsentenced,Male,ACT,Jun qtr 2010,Jun,2010,4
10 to 17,Indigenous,Unsentenced,Male,ACT,Sep qtr 2010,Sep,2010,4
10 to 17,Indigenous,Unsentenced,Male,ACT,Dec qtr 2010,Dec,2010,5
10 to 17,Indigenous,Unsentenced,Male,ACT,Mar qtr 2011,Mar,2011,8
10 to 17,Indigenous,Unsentenced,Male,ACT,Jun qtr 2011,Jun,2011,4
10 to 17,Indigenous,Unsentenced,Male,ACT,Sep qtr 2011,Sep,2011,4
10 to 17,Indigenous,Unsentenced,Male,ACT,Dec qtr 2011,Dec,2011,3
10 to 17,Indigenous,Unsentenced,Male,ACT,Mar qtr 2012,Mar,2012,4
10 to 17,Indigenous,Unsentenced,Male,ACT,Jun qtr 2012,Jun,2012,5
10 to 17,Indigenous,Unsentenced,Male,ACT,Sep qtr 2012,Sep,2012,0
10 to 17,Indigenous,Unsentenced,Male,ACT,Dec qtr 2012,Dec,2012,2
10 to 17,Indigenous,Unsentenced,Male,ACT,Mar qtr 2013,Mar,2013,3
10 to 17,Indigenous,Unsentenced,Male,ACT,Jun qtr 2013,Jun,2013,1
10 to 17,Indigenous,Unsentenced,Male,NT,Jun qtr 2009,Jun,2009,15
10 to 17,Indigenous,Unsentenced,Male,NT,Sep qtr 2009,Sep,2009,11
10 to 17,Indigenous,Unsentenced,Male,NT,Dec qtr 2009,Dec,2009,7
10 to 17,Indigenous,Unsentenced,Male,NT,Mar qtr 2010,Mar,2010,10
10 to 17,Indigenous,Unsentenced,Male,NT,Jun qtr 2010,Jun,2010,15
10 to 17,Indigenous,Unsentenced,Male,NT,Sep qtr 2010,Sep,2010,18
10 to 17,Indigenous,Unsentenced,Male,NT,Dec qtr 2010,Dec,2010,23
10 to 17,Indigenous,Unsentenced,Male,NT,Mar qtr 2011,Mar,2011,24
10 to 17,Indigenous,Unsentenced,Male,NT,Jun qtr 2011,Jun,2011,11
10 to 17,Indigenous,Unsentenced,Male,NT,Sep qtr 2011,Sep,2011,17
10 to 17,Indigenous,Unsentenced,Male,NT,Dec qtr 2011,Dec,2011,20
10 to 17,Indigenous,Unsentenced,Male,NT,Mar qtr 2012,Mar,2012,16
10 to 17,Indigenous,Unsentenced,Male,NT,Jun qtr 2012,Jun,2012,24
10 to 17,Indigenous,Unsentenced,Male,NT,Sep qtr 2012,Sep,2012,20
10 to 17,Indigenous,Unsentenced,Male,NT,Dec qtr 2012,Dec,2012,19
10 to 17,Indigenous,Unsentenced,Male,NT,Mar qtr 2013,Mar,2013,33
10 to 17,Indigenous,Unsentenced,Male,NT,Jun qtr 2013,Jun,2013,23
10 to 17,Indigenous,Unsentenced,Male,Aust,Jun qtr 2009,Jun,2009,209
10 to 17,Indigenous,Unsentenced,Male,Aust,Sep qtr 2009,Sep,2009,193
10 to 17,Indigenous,Unsentenced,Male,Aust,Dec qtr 2009,Dec,2009,213
10 to 17,Indigenous,Unsentenced,Male,Aust,Mar qtr 2010,Mar,2010,240
10 to 17,Indigenous,Unsentenced,Male,Aust,Jun qtr 2010,Jun,2010,221
10 to 17,Indigenous,Unsentenced,Male,Aust,Sep qtr 2010,Sep,2010,210
10 to 17,Indigenous,Unsentenced,Male,Aust,Dec qtr 2010,Dec,2010,203
10 to 17,Indigenous,Unsentenced,Male,Aust,Mar qtr 2011,Mar,2011,229
10 to 17,Indigenous,Unsentenced,Male,Aust,Jun qtr 2011,Jun,2011,200
10 to 17,Indigenous,Unsentenced,Male,Aust,Sep qtr 2011,Sep,2011,189
10 to 17,Indigenous,Unsentenced,Male,Aust,Dec qtr 2011,Dec,2011,200
10 to 17,Indigenous,Unsentenced,Male,Aust,Mar qtr 2012,Mar,2012,225
10 to 17,Indigenous,Unsentenced,Male,Aust,Jun qtr 2012,Jun,2012,260
10 to 17,Indigenous,Unsentenced,Male,Aust,Sep qtr 2012,Sep,2012,207
10 to 17,Indigenous,Unsentenced,Male,Aust,Dec qtr 2012,Dec,2012,219
10 to 17,Indigenous,Unsentenced,Male,Aust,Mar qtr 2013,Mar,2013,265
10 to 17,Indigenous,Unsentenced,Male,Aust,Jun qtr 2013,Jun,2013,225
10 to 17,Indigenous,Unsentenced,Female,NSW,Jun qtr 2009,Jun,2009,9
10 to 17,Indigenous,Unsentenced,Female,NSW,Sep qtr 2009,Sep,2009,11
10 to 17,Indigenous,Unsentenced,Female,NSW,Dec qtr 2009,Dec,2009,11
10 to 17,Indigenous,Unsentenced,Female,NSW,Mar qtr 2010,Mar,2010,10
10 to 17,Indigenous,Unsentenced,Female,NSW,Jun qtr 2010,Jun,2010,10
10 to 17,Indigenous,Unsentenced,Female,NSW,Sep qtr 2010,Sep,2010,11
10 to 17,Indigenous,Unsentenced,Female,NSW,Dec qtr 2010,Dec,2010,7
10 to 17,Indigenous,Unsentenced,Female,NSW,Mar qtr 2011,Mar,2011,12
10 to 17,Indigenous,Unsentenced,Female,NSW,Jun qtr 2011,Jun,2011,6
10 to 17,Indigenous,Unsentenced,Female,NSW,Sep qtr 2011,Sep,2011,8
10 to 17,Indigenous,Unsentenced,Female,NSW,Dec qtr 2011,Dec,2011,7
10 to 17,Indigenous,Unsentenced,Female,NSW,Mar qtr 2012,Mar,2012,10
10 to 17,Indigenous,Unsentenced,Female,NSW,Jun qtr 2012,Jun,2012,7
10 to 17,Indigenous,Unsentenced,Female,NSW,Sep qtr 2012,Sep,2012,7
10 to 17,Indigenous,Unsentenced,Female,NSW,Dec qtr 2012,Dec,2012,7
10 to 17,Indigenous,Unsentenced,Female,NSW,Mar qtr 2013,Mar,2013,6
10 to 17,Indigenous,Unsentenced,Female,NSW,Jun qtr 2013,Jun,2013,4
10 to 17,Indigenous,Unsentenced,Female,Vic,Jun qtr 2009,Jun,2009,1
10 to 17,Indigenous,Unsentenced,Female,Vic,Sep qtr 2009,Sep,2009,1
10 to 17,Indigenous,Unsentenced,Female,Vic,Dec qtr 2009,Dec,2009,2
10 to 17,Indigenous,Unsentenced,Female,Vic,Mar qtr 2010,Mar,2010,1
10 to 17,Indigenous,Unsentenced,Female,Vic,Jun qtr 2010,Jun,2010,0
10 to 17,Indigenous,Unsentenced,Female,Vic,Sep qtr 2010,Sep,2010,0
10 to 17,Indigenous,Unsentenced,Female,Vic,Dec qtr 2010,Dec,2010,1
10 to 17,Indigenous,Unsentenced,Female,Vic,Mar qtr 2011,Mar,2011,0
10 to 17,Indigenous,Unsentenced,Female,Vic,Jun qtr 2011,Jun,2011,0
10 to 17,Indigenous,Unsentenced,Female,Vic,Sep qtr 2011,Sep,2011,1
10 to 17,Indigenous,Unsentenced,Female,Vic,Dec qtr 2011,Dec,2011,0
10 to 17,Indigenous,Unsentenced,Female,Vic,Mar qtr 2012,Mar,2012,2
10 to 17,Indigenous,Unsentenced,Female,Vic,Jun qtr 2012,Jun,2012,1
10 to 17,Indigenous,Unsentenced,Female,Vic,Sep qtr 2012,Sep,2012,0
10 to 17,Indigenous,Unsentenced,Female,Vic,Dec qtr 2012,Dec,2012,0
10 to 17,Indigenous,Unsentenced,Female,Vic,Mar qtr 2013,Mar,2013,1
10 to 17,Indigenous,Unsentenced,Female,Vic,Jun qtr 2013,Jun,2013,0
10 to 17,Indigenous,Unsentenced,Female,Qld,Jun qtr 2009,Jun,2009,5
10 to 17,Indigenous,Unsentenced,Female,Qld,Sep qtr 2009,Sep,2009,5
10 to 17,Indigenous,Unsentenced,Female,Qld,Dec qtr 2009,Dec,2009,5
10 to 17,Indigenous,Unsentenced,Female,Qld,Mar qtr 2010,Mar,2010,6
10 to 17,Indigenous,Unsentenced,Female,Qld,Jun qtr 2010,Jun,2010,4
10 to 17,Indigenous,Unsentenced,Female,Qld,Sep qtr 2010,Sep,2010,6
10 to 17,Indigenous,Unsentenced,Female,Qld,Dec qtr 2010,Dec,2010,5
10 to 17,Indigenous,Unsentenced,Female,Qld,Mar qtr 2011,Mar,2011,5
10 to 17,Indigenous,Unsentenced,Female,Qld,Jun qtr 2011,Jun,2011,4
10 to 17,Indigenous,Unsentenced,Female,Qld,Sep qtr 2011,Sep,2011,2
10 to 17,Indigenous,Unsentenced,Female,Qld,Dec qtr 2011,Dec,2011,6
10 to 17,Indigenous,Unsentenced,Female,Qld,Mar qtr 2012,Mar,2012,6
10 to 17,Indigenous,Unsentenced,Female,Qld,Jun qtr 2012,Jun,2012,6
10 to 17,Indigenous,Unsentenced,Female,Qld,Sep qtr 2012,Sep,2012,11
10 to 17,Indigenous,Unsentenced,Female,Qld,Dec qtr 2012,Dec,2012,13
10 to 17,Indigenous,Unsentenced,Female,Qld,Mar qtr 2013,Mar,2013,18
10 to 17,Indigenous,Unsentenced,Female,Qld,Jun qtr 2013,Jun,2013,19
10 to 17,Indigenous,Unsentenced,Female,WA,Jun qtr 2009,Jun,2009,5
10 to 17,Indigenous,Unsentenced,Female,WA,Sep qtr 2009,Sep,2009,7
10 to 17,Indigenous,Unsentenced,Female,WA,Dec qtr 2009,Dec,2009,6
10 to 17,Indigenous,Unsentenced,Female,WA,Mar qtr 2010,Mar,2010,10
10 to 17,Indigenous,Unsentenced,Female,WA,Jun qtr 2010,Jun,2010,6
10 to 17,Indigenous,Unsentenced,Female,WA,Sep qtr 2010,Sep,2010,9
10 to 17,Indigenous,Unsentenced,Female,WA,Dec qtr 2010,Dec,2010,7
10 to 17,Indigenous,Unsentenced,Female,WA,Mar qtr 2011,Mar,2011,6
10 to 17,Indigenous,Unsentenced,Female,WA,Jun qtr 2011,Jun,2011,9
10 to 17,Indigenous,Unsentenced,Female,WA,Sep qtr 2011,Sep,2011,10
10 to 17,Indigenous,Unsentenced,Female,WA,Dec qtr 2011,Dec,2011,9
10 to 17,Indigenous,Unsentenced,Female,WA,Mar qtr 2012,Mar,2012,6
10 to 17,Indigenous,Unsentenced,Female,WA,Jun qtr 2012,Jun,2012,10
10 to 17,Indigenous,Unsentenced,Female,WA,Sep qtr 2012,Sep,2012,8
10 to 17,Indigenous,Unsentenced,Female,WA,Dec qtr 2012,Dec,2012,6
10 to 17,Indigenous,Unsentenced,Female,WA,Mar qtr 2013,Mar,2013,3
10 to 17,Indigenous,Unsentenced,Female,WA,Jun qtr 2013,Jun,2013,6
10 to 17,Indigenous,Unsentenced,Female,SA,Jun qtr 2009,Jun,2009,1
10 to 17,Indigenous,Unsentenced,Female,SA,Sep qtr 2009,Sep,2009,2
10 to 17,Indigenous,Unsentenced,Female,SA,Dec qtr 2009,Dec,2009,0
10 to 17,Indigenous,Unsentenced,Female,SA,Mar qtr 2010,Mar,2010,1
10 to 17,Indigenous,Unsentenced,Female,SA,Jun qtr 2010,Jun,2010,2
10 to 17,Indigenous,Unsentenced,Female,SA,Sep qtr 2010,Sep,2010,1
10 to 17,Indigenous,Unsentenced,Female,SA,Dec qtr 2010,Dec,2010,1
10 to 17,Indigenous,Unsentenced,Female,SA,Mar qtr 2011,Mar,2011,3
10 to 17,Indigenous,Unsentenced,Female,SA,Jun qtr 2011,Jun,2011,2
10 to 17,Indigenous,Unsentenced,Female,SA,Sep qtr 2011,Sep,2011,2
10 to 17,Indigenous,Unsentenced,Female,SA,Dec qtr 2011,Dec,2011,1
10 to 17,Indigenous,Unsentenced,Female,SA,Mar qtr 2012,Mar,2012,2
10 to 17,Indigenous,Unsentenced,Female,SA,Jun qtr 2012,Jun,2012,3
10 to 17,Indigenous,Unsentenced,Female,SA,Sep qtr 2012,Sep,2012,1
10 to 17,Indigenous,Unsentenced,Female,SA,Dec qtr 2012,Dec,2012,1
10 to 17,Indigenous,Unsentenced,Female,SA,Mar qtr 2013,Mar,2013,2
10 to 17,Indigenous,Unsentenced,Female,SA,Jun qtr 2013,Jun,2013,5
10 to 17,Indigenous,Unsentenced,Female,Tas,Jun qtr 2009,Jun,2009,1
10 to 17,Indigenous,Unsentenced,Female,Tas,Sep qtr 2009,Sep,2009,1
10 to 17,Indigenous,Unsentenced,Female,Tas,Dec qtr 2009,Dec,2009,2
10 to 17,Indigenous,Unsentenced,Female,Tas,Mar qtr 2010,Mar,2010,1
10 to 17,Indigenous,Unsentenced,Female,Tas,Jun qtr 2010,Jun,2010,1
10 to 17,Indigenous,Unsentenced,Female,Tas,Sep qtr 2010,Sep,2010,1
10 to 17,Indigenous,Unsentenced,Female,Tas,Dec qtr 2010,Dec,2010,0
10 to 17,Indigenous,Unsentenced,Female,Tas,Mar qtr 2011,Mar,2011,0
10 to 17,Indigenous,Unsentenced,Female,Tas,Jun qtr 2011,Jun,2011,0
10 to 17,Indigenous,Unsentenced,Female,Tas,Sep qtr 2011,Sep,2011,0
10 to 17,Indigenous,Unsentenced,Female,Tas,Dec qtr 2011,Dec,2011,0
10 to 17,Indigenous,Unsentenced,Female,Tas,Mar qtr 2012,Mar,2012,0
10 to 17,Indigenous,Unsentenced,Female,Tas,Jun qtr 2012,Jun,2012,0
10 to 17,Indigenous,Unsentenced,Female,Tas,Sep qtr 2012,Sep,2012,0
10 to 17,Indigenous,Unsentenced,Female,Tas,Dec qtr 2012,Dec,2012,0
10 to 17,Indigenous,Unsentenced,Female,Tas,Mar qtr 2013,Mar,2013,0
10 to 17,Indigenous,Unsentenced,Female,Tas,Jun qtr 2013,Jun,2013,1
10 to 17,Indigenous,Unsentenced,Female,ACT,Jun qtr 2009,Jun,2009,0
10 to 17,Indigenous,Unsentenced,Female,ACT,Sep qtr 2009,Sep,2009,0
10 to 17,Indigenous,Unsentenced,Female,ACT,Dec qtr 2009,Dec,2009,1
10 to 17,Indigenous,Unsentenced,Female,ACT,Mar qtr 2010,Mar,2010,2
10 to 17,Indigenous,Unsentenced,Female,ACT,Jun qtr 2010,Jun,2010,1
10 to 17,Indigenous,Unsentenced,Female,ACT,Sep qtr 2010,Sep,2010,0
10 to 17,Indigenous,Unsentenced,Female,ACT,Dec qtr 2010,Dec,2010,1
10 to 17,Indigenous,Unsentenced,Female,ACT,Mar qtr 2011,Mar,2011,1
10 to 17,Indigenous,Unsentenced,Female,ACT,Jun qtr 2011,Jun,2011,1
10 to 17,Indigenous,Unsentenced,Female,ACT,Sep qtr 2011,Sep,2011,0
10 to 17,Indigenous,Unsentenced,Female,ACT,Dec qtr 2011,Dec,2011,1
10 to 17,Indigenous,Unsentenced,Female,ACT,Mar qtr 2012,Mar,2012,0
10 to 17,Indigenous,Unsentenced,Female,ACT,Jun qtr 2012,Jun,2012,0
10 to 17,Indigenous,Unsentenced,Female,ACT,Sep qtr 2012,Sep,2012,0
10 to 17,Indigenous,Unsentenced,Female,ACT,Dec qtr 2012,Dec,2012,0
10 to 17,Indigenous,Unsentenced,Female,ACT,Mar qtr 2013,Mar,2013,0
10 to 17,Indigenous,Unsentenced,Female,ACT,Jun qtr 2013,Jun,2013,1
10 to 17,Indigenous,Unsentenced,Female,NT,Jun qtr 2009,Jun,2009,1
10 to 17,Indigenous,Unsentenced,Female,NT,Sep qtr 2009,Sep,2009,2
10 to 17,Indigenous,Unsentenced,Female,NT,Dec qtr 2009,Dec,2009,1
10 to 17,Indigenous,Unsentenced,Female,NT,Mar qtr 2010,Mar,2010,2
10 to 17,Indigenous,Unsentenced,Female,NT,Jun qtr 2010,Jun,2010,1
10 to 17,Indigenous,Unsentenced,Female,NT,Sep qtr 2010,Sep,2010,2
10 to 17,Indigenous,Unsentenced,Female,NT,Dec qtr 2010,Dec,2010,2
10 to 17,Indigenous,Unsentenced,Female,NT,Mar qtr 2011,Mar,2011,2
10 to 17,Indigenous,Unsentenced,Female,NT,Jun qtr 2011,Jun,2011,2
10 to 17,Indigenous,Unsentenced,Female,NT,Sep qtr 2011,Sep,2011,1
10 to 17,Indigenous,Unsentenced,Female,NT,Dec qtr 2011,Dec,2011,4
10 to 17,Indigenous,Unsentenced,Female,NT,Mar qtr 2012,Mar,2012,5
10 to 17,Indigenous,Unsentenced,Female,NT,Jun qtr 2012,Jun,2012,2
10 to 17,Indigenous,Unsentenced,Female,NT,Sep qtr 2012,Sep,2012,2
10 to 17,Indigenous,Unsentenced,Female,NT,Dec qtr 2012,Dec,2012,1
10 to 17,Indigenous,Unsentenced,Female,NT,Mar qtr 2013,Mar,2013,3
10 to 17,Indigenous,Unsentenced,Female,NT,Jun qtr 2013,Jun,2013,2
10 to 17,Indigenous,Unsentenced,Female,Aust,Jun qtr 2009,Jun,2009,24
10 to 17,Indigenous,Unsentenced,Female,Aust,Sep qtr 2009,Sep,2009,29
10 to 17,Indigenous,Unsentenced,Female,Aust,Dec qtr 2009,Dec,2009,28
10 to 17,Indigenous,Unsentenced,Female,Aust,Mar qtr 2010,Mar,2010,33
10 to 17,Indigenous,Unsentenced,Female,Aust,Jun qtr 2010,Jun,2010,26
10 to 17,Indigenous,Unsentenced,Female,Aust,Sep qtr 2010,Sep,2010,31
10 to 17,Indigenous,Unsentenced,Female,Aust,Dec qtr 2010,Dec,2010,24
10 to 17,Indigenous,Unsentenced,Female,Aust,Mar qtr 2011,Mar,2011,29
10 to 17,Indigenous,Unsentenced,Female,Aust,Jun qtr 2011,Jun,2011,26
10 to 17,Indigenous,Unsentenced,Female,Aust,Sep qtr 2011,Sep,2011,23
10 to 17,Indigenous,Unsentenced,Female,Aust,Dec qtr 2011,Dec,2011,28
10 to 17,Indigenous,Unsentenced,Female,Aust,Mar qtr 2012,Mar,2012,31
10 to 17,Indigenous,Unsentenced,Female,Aust,Jun qtr 2012,Jun,2012,29
10 to 17,Indigenous,Unsentenced,Female,Aust,Sep qtr 2012,Sep,2012,29
10 to 17,Indigenous,Unsentenced,Female,Aust,Dec qtr 2012,Dec,2012,27
10 to 17,Indigenous,Unsentenced,Female,Aust,Mar qtr 2013,Mar,2013,34
10 to 17,Indigenous,Unsentenced,Female,Aust,Jun qtr 2013,Jun,2013,37
10 to 17,Indigenous,Unsentenced,Total,NSW,Jun qtr 2009,Jun,2009,95
10 to 17,Indigenous,Unsentenced,Total,NSW,Sep qtr 2009,Sep,2009,84
10 to 17,Indigenous,Unsentenced,Total,NSW,Dec qtr 2009,Dec,2009,102
10 to 17,Indigenous,Unsentenced,Total,NSW,Mar qtr 2010,Mar,2010,97
10 to 17,Indigenous,Unsentenced,Total,NSW,Jun qtr 2010,Jun,2010,93
10 to 17,Indigenous,Unsentenced,Total,NSW,Sep qtr 2010,Sep,2010,89
