region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IREG397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG401,117,6839,6956,298,9228,9526,485,17990,18475,717,43696,44413,1107,61654,62761,1088,55420,56508,795,50388,51183,826,48380,49206,619,42534,43153,837,62671,63508,588,44006,44594,300,32135,32435,331,38038,38369,827,39038,39865,469,13467,13936,9404,565484,574888
IREG402,24,294,318,76,567,643,135,1368,1503,186,2982,3168,276,3572,3848,250,2811,3061,172,2262,2434,154,2103,2257,154,1957,2111,197,2847,3044,95,1873,1968,51,1643,1694,61,1659,1720,222,2089,2311,161,984,1145,2214,29011,31225
IREG403,7,177,184,22,218,240,28,402,430,41,1048,1089,99,1543,1642,84,1250,1334,63,1140,1203,57,1031,1088,48,945,993,58,1275,1333,36,788,824,22,517,539,15,528,543,81,971,1052,65,369,434,726,12202,12928
IREG494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG501,14,60,74,35,27,62,70,68,138,63,112,175,90,142,232,136,145,281,84,190,274,89,210,299,71,219,290,98,399,497,86,373,459,72,406,478,74,534,608,152,421,573,63,89,152,1197,3395,4592
IREG502,32,293,325,44,322,366,95,514,609,96,1326,1422,224,1908,2132,217,1441,1658,132,1472,1604,133,1386,1519,98,1402,1500,142,2097,2239,88,1386,1474,75,1327,1402,74,1393,1467,282,2128,2410,195,639,834,1927,19034,20961
IREG503,12,230,242,43,167,210,80,350,430,82,778,860,170,958,1128,129,926,1055,93,875,968,103,1037,1140,101,1130,1231,152,2029,2181,83,1371,1454,71,2102,2173,92,2483,2575,186,1594,1780,101,524,625,1498,16554,18052
IREG504,14,33,47,19,16,35,60,34,94,65,43,108,136,63,199,147,78,225,102,108,210,111,140,251,65,141,206,100,267,367,64,194,258,31,179,210,50,291,341,122,226,348,45,51,96,1131,1864,2995
IREG505,126,7568,7694,236,7500,7736,401,12499,12900,462,30276,30738,835,43553,44388,793,38900,39693,641,38698,39339,659,41510,42169,632,40022,40654,973,66851,67824,705,50377,51082,633,60739,61372,797,78429,79226,1310,56988,58298,537,12107,12644,9740,586017,595757
IREG506,19,108,127,30,53,83,52,79,131,56,153,209,105,198,303,123,191,314,78,246,324,87,372,459,84,465,549,161,1016,1177,96,648,744,213,2698,2911,338,4016,4354,246,1188,1434,163,225,388,1851,11656,13507
IREG507,73,1882,1955,93,2242,2335,194,3760,3954,249,9506,9755,462,14843,15305,429,11956,12385,321,10905,11226,279,9593,9872,217,9322,9539,345,14143,14488,196,9178,9374,170,9145,9315,169,9243,9412,534,13287,13821,204,3700,3904,3935,132705,136640
IREG508,4,9,13,35,6,41,34,25,59,41,28,69,107,29,136,117,43,160,62,35,97,84,72,156,62,70,132,88,117,205,43,65,108,16,88,104,36,106,142,86,78,164,37,30,67,852,801,1653
IREG594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG601,77,1782,1859,183,3002,3185,363,6740,7103,656,16254,16910,1259,23012,24271,1140,19335,20475,854,16783,17637,937,15694,16631,756,13420,14176,968,19212,20180,608,12678,13286,313,8348,8661,302,9114,9416,697,13281,13978,307,4751,5058,9420,183406,192826
IREG694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
