region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
IREG494,0,69,81,150,0,0,0,17,23,40,0,0,0,17,23,40,7,5,12,300,84,384,3,0,3,310,89,399,18,9,27,340,198,538,9,14,23,367,221,588,42,37,79,1005,849,1854,16,10,26,1063,896,1959,12,12,24,193,100,293,7,8,15,212,120,332,44,30,74,1061,835,1896,14,13,27,1119,878,1997
IREG497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
IREG501,0,327,485,812,30,47,77,28,66,94,0,0,0,58,113,171,213,100,313,1254,410,1664,18,5,23,1485,515,2000,1614,1701,3315,3441,3090,6531,55,52,107,5110,4843,9953,332,394,726,1201,1311,2512,14,7,21,1547,1712,3259,1107,1190,2297,1709,1410,3119,41,28,69,2857,2628,5485,575,672,1247,2618,2715,5333,21,16,37,3214,3403,6617
IREG502,22,1111,1714,2825,22,50,72,186,421,607,3,3,6,211,474,685,204,119,323,5946,2059,8005,58,17,75,6208,2195,8403,2012,2279,4291,20171,19322,39493,302,275,577,22485,21876,44361,622,716,1338,4447,4348,8795,94,58,152,5163,5122,10285,1137,1303,2440,12883,12136,25019,187,180,367,14207,13619,27826,1095,1283,2378,10215,10040,20255,144,105,249,11454,11428,22882
IREG503,11,1002,1431,2433,14,38,52,155,360,515,0,5,5,169,403,572,156,107,263,6537,1874,8411,63,9,72,6756,1990,8746,2034,2196,4230,18511,16498,35009,230,223,453,20775,18917,39692,464,572,1036,5839,4876,10715,74,54,128,6377,5502,11879,1245,1333,2578,10105,8966,19071,133,136,269,11483,10435,21918,914,1120,2034,12464,10779,23243,122,98,220,13500,11997,25497
IREG504,6,197,258,455,18,47,65,17,44,61,0,0,0,35,91,126,166,71,237,757,204,961,4,0,4,927,275,1202,2129,2312,4441,1782,1521,3303,34,27,61,3945,3860,7805,370,400,770,884,761,1645,14,14,28,1268,1175,2443,1657,1781,3438,864,635,1499,26,18,44,2547,2434,4981,570,651,1221,1651,1525,3176,18,18,36,2239,2194,4433
IREG505,683,50404,65385,115789,112,228,340,4086,7781,11867,35,42,77,4233,8051,12284,1157,840,1997,145896,58375,204271,1307,494,1801,148360,59709,208069,8534,9325,17859,612468,630510,1242978,6316,6805,13121,627318,646640,1273958,2404,2662,5066,125040,127447,252487,1212,1204,2416,128656,131313,259969,4680,5084,9764,378971,394075,773046,4205,4616,8821,387856,403775,791631,4751,5396,10147,310982,318903,629885,2432,2440,4872,318165,326739,644904
IREG506,10,1520,1445,2965,36,80,116,165,311,476,0,0,0,201,391,592,442,172,614,9472,1881,11353,65,15,80,9979,2068,12047,2661,2531,5192,16805,11203,28008,177,110,287,19643,13844,33487,767,677,1444,9228,5453,14681,71,53,124,10066,6183,16249,1520,1551,3071,6399,4040,10439,93,53,146,8012,5644,13656,1511,1342,2853,18004,11249,29253,124,79,203,19639,12670,32309
IREG507,111,7903,12389,20292,36,97,133,1090,2439,3529,8,18,26,1134,2554,3688,468,354,822,39376,16550,55926,425,200,625,40269,17104,57373,3657,3957,7614,137485,138520,276005,1568,1663,3231,142710,144140,286850,1037,1163,2200,27614,28844,56458,317,273,590,28968,30280,59248,2063,2149,4212,87134,86406,173540,1036,1127,2163,90233,89682,179915,1946,2275,4221,67224,70806,138030,594,622,1216,69764,73703,143467
IREG508,0,94,130,224,13,31,44,15,12,27,0,0,0,28,43,71,122,79,201,339,85,424,3,0,3,464,164,628,1653,1796,3449,857,645,1502,18,14,32,2528,2455,4983,213,249,462,345,324,669,3,3,6,561,576,1137,1243,1329,2572,436,295,731,5,4,9,1684,1628,3312,418,492,910,683,625,1308,10,4,14,1111,1121,2232
