region_id,OH_T_NS_DS_FUA,OH_T_NS_DS_OD_CCH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_CCHb,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FUA,T_h_OO_DS_OD_CCH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FUA,T_h_M_DS_OD_CCH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FUA,T_h_RREA_DS_OD_CCH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FUA,T_h_RHA_DS_OD_CCH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FUA,T_h_R_PSH_DS_OD_CCH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FUA,T_h_R_HCC_DS_OD_CCH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FUA,T_h_R_OLT_DS_OD_CCH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FUA,T_h_R_LNS_DS_OD_CCH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FUA,T_h_R_Tot_DS_OD_CCH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FUA,T_h_OTT_DS_OD_CCH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FUA,T_h_T_NS_DS_OD_CCH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FUA,T_h_Tot_DS_OD_CCH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
IREG501,8,15,3,6,24,0,110,2316,335,261,377,29,48,454,28,3394,440,26,16,225,16,10,251,10,743,861,53,33,27,0,8,35,0,982,394,105,102,27,3,3,33,3,637,671,178,81,0,3,0,3,12,945,220,23,40,23,3,10,36,0,319,119,3,6,7,0,0,7,0,135,357,44,55,59,3,11,73,12,541,38,5,3,8,4,0,12,3,61,1799,358,287,124,16,24,164,30,2638,35,3,3,11,4,0,15,4,60,105,24,11,15,8,6,29,3,172,3240,464,350,402,44,48,494,47,4595
IREG502,41,66,3,0,69,3,535,16485,859,882,662,34,61,757,53,19036,6106,124,140,443,14,16,473,22,6865,5968,81,69,33,3,17,53,11,6182,1663,239,307,0,0,3,3,0,2212,1038,308,187,0,3,0,3,3,1539,1589,114,122,15,5,12,32,4,1861,83,15,57,0,0,0,0,0,155,776,59,37,106,6,8,120,4,996,246,12,14,7,0,5,12,3,287,5395,747,724,128,14,28,170,14,7050,147,4,16,16,3,3,22,3,192,479,67,50,69,3,0,72,6,674,18095,1023,999,689,37,64,790,56,20963
IREG503,21,35,5,4,44,7,449,13776,1316,887,438,34,47,519,55,16553,3440,213,69,199,14,12,225,13,3960,5816,249,119,19,6,12,37,11,6232,1821,356,353,4,0,3,7,6,2543,899,234,145,0,0,0,0,6,1284,1202,103,106,16,8,6,30,0,1441,237,72,17,3,0,3,6,0,332,931,105,114,168,0,11,179,9,1338,220,26,10,11,4,0,15,9,280,5310,896,745,202,12,23,237,30,7218,102,8,0,3,0,5,8,0,118,392,54,26,38,5,4,47,7,526,15060,1420,959,461,37,56,554,61,18054
IREG504,0,27,3,4,34,3,63,1223,135,85,311,28,47,386,35,1864,222,6,3,173,5,17,195,12,438,311,20,8,28,0,11,39,3,381,120,24,19,3,3,3,9,3,175,722,56,26,7,0,0,7,14,825,117,8,4,25,7,5,37,0,166,187,6,0,12,4,3,19,0,212,374,49,42,61,6,13,80,5,550,46,3,0,16,0,0,16,3,68,1566,146,91,124,20,24,168,25,1996,33,3,3,11,4,0,15,3,57,70,9,0,30,7,4,41,3,123,2202,184,105,366,36,56,458,46,2995
IREG505,1716,132,3,12,147,3,12500,459129,70169,54394,1667,63,335,2065,257,586014,149114,15506,8037,1158,17,59,1234,62,173953,210379,18779,9836,48,24,102,174,59,239227,46183,15373,18524,5,4,76,85,53,80218,8356,6365,5294,3,0,4,7,8,20030,35487,8888,7692,47,8,49,104,34,52205,636,860,1090,3,0,0,3,6,2595,3545,832,858,272,3,13,288,22,5545,1977,483,417,5,0,17,22,7,2906,96184,32801,33875,335,15,159,509,130,163499,2412,2043,1646,19,4,6,29,6,6136,8884,2136,1767,132,3,12,147,3,12937,466973,71265,55161,1692,63,338,2093,260,595752
IREG506,35,85,7,0,92,3,354,8794,1285,703,687,27,86,800,72,11654,864,41,44,382,10,19,411,17,1377,1661,105,42,57,8,25,90,12,1910,1109,217,121,9,0,12,21,4,1472,1006,290,91,0,0,0,0,3,1390,340,38,30,29,5,8,42,3,453,255,8,8,6,0,0,6,0,277,4477,704,373,116,0,20,136,27,5717,206,26,20,15,0,5,20,3,275,7393,1283,643,175,5,45,225,40,9584,112,11,4,11,4,0,15,4,146,256,65,42,90,34,0,124,3,490,10286,1505,775,715,61,89,865,76,13507
IREG507,200,219,13,7,239,3,3308,117996,8188,4423,1570,181,232,1983,116,132706,43472,1843,702,915,63,75,1053,42,47112,43839,800,378,74,69,54,197,22,45236,12604,1724,1126,8,3,10,21,11,15486,3188,1498,777,0,0,0,0,3,5466,10517,800,516,47,16,50,113,15,11961,293,335,328,4,0,0,4,3,963,2558,204,168,276,3,25,304,15,3249,1322,83,80,23,9,7,39,3,1527,30482,4644,2995,358,31,92,481,50,38652,1078,734,295,28,5,8,41,3,2151,2630,398,210,226,13,7,246,3,3487,121501,8419,4580,1601,181,236,2018,120,136638
IREG508,0,34,0,0,34,3,60,603,41,42,79,10,10,99,17,802,141,3,0,26,4,0,30,5,179,169,0,0,7,0,4,11,4,184,34,7,0,3,0,0,3,0,44,344,20,30,3,0,0,3,0,397,44,0,3,0,3,3,6,0,53,388,0,0,12,0,0,12,0,400,202,16,22,3,3,0,6,5,251,39,0,0,3,0,0,3,0,42,1051,43,55,24,6,3,33,5,1187,13,0,3,0,0,3,3,0,19,38,6,0,37,0,0,37,3,84,1412,52,58,94,10,10,114,17,1653
IREG594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
