region_id,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IREG302,7414,14408,615,485,1100,8243,8650,16893,559,650,1209,7193,7358,14551,621,428,1049,8373,8436,16809,450,569,1019,7036,6995,14031,572,454,1026,8058,8018,16076,371,413,784,6383,6320,12703,518,371,889,7272,7104,14376,241,316,557,5986,5417,11403,483,322,805,6710,6055,12765,334,500,834,12207,12130,24337,909,815,1724,13450,13445,26895,11351,12114,23465,91630,92292,183922,7918,6673,14591,110899,111079,221978
IREG303,211,488,34,26,60,600,538,1138,236,239,475,302,186,488,25,15,40,563,440,1003,192,193,385,270,242,512,39,17,56,501,452,953,155,148,303,274,197,471,25,23,48,454,368,822,117,90,207,237,142,379,32,12,44,386,244,630,137,193,330,309,149,458,25,18,43,471,360,831,4207,4358,8565,3530,2586,6116,439,300,739,8176,7244,15420
IREG304,681,1548,173,110,283,1268,1020,2288,206,233,439,899,738,1637,152,118,270,1257,1089,2346,152,181,333,859,655,1514,150,93,243,1161,929,2090,134,125,259,688,528,1216,125,61,186,947,714,1661,93,114,207,591,397,988,85,50,135,769,561,1330,154,165,319,959,727,1686,161,110,271,1274,1002,2276,3637,3796,7433,11632,9707,21339,2236,1598,3834,17505,15101,32606
IREG305,13761,26978,1122,693,1815,14849,15044,29893,453,505,958,13895,14325,28220,1117,764,1881,15465,15594,31059,371,391,762,14085,14247,28332,1094,713,1807,15550,15351,30901,261,306,567,13247,12877,26124,910,597,1507,14418,13780,28198,227,214,441,12916,12347,25263,883,584,1467,14026,13145,27171,311,353,664,30064,31106,61170,2159,2392,4551,32534,33851,66385,9253,9461,18714,197535,196539,394074,14735,11332,26067,221523,217332,438855
IREG306,10382,20076,605,472,1077,10689,11319,22008,345,410,755,9868,10473,20341,579,439,1018,10792,11322,22114,294,315,609,10357,10828,21185,561,425,986,11212,11568,22780,236,256,492,9707,9902,19609,513,389,902,10456,10547,21003,161,204,365,9863,9841,19704,477,415,892,10501,10460,20961,250,284,534,23642,26169,49811,1419,1651,3070,25311,28104,53415,7385,7803,15188,147763,152028,299791,8703,7558,16261,163851,167389,331240
IREG307,39,82,16,6,22,206,199,405,143,142,285,53,41,94,12,8,20,208,191,399,135,160,295,63,54,117,20,17,37,218,231,449,108,122,230,63,35,98,14,5,19,185,162,347,76,83,159,36,20,56,9,8,17,121,111,232,114,171,285,45,12,57,9,9,18,168,192,360,2946,2975,5921,632,550,1182,215,170,385,3793,3695,7488
IREG308,11987,23968,1175,650,1825,13777,13345,27122,550,553,1103,11949,12045,23994,1120,684,1804,13619,13282,26901,463,502,965,11915,11640,23555,1103,631,1734,13481,12773,26254,355,361,716,10426,9850,20276,914,495,1409,11695,10706,22401,213,276,489,9321,8575,17896,655,407,1062,10189,9258,19447,289,424,713,18788,20195,38983,1320,1394,2714,20397,22013,42410,11210,11331,22541,165028,163006,328034,13953,9641,23594,190191,183978,374169
IREG394,234,606,67,24,91,486,288,774,44,27,71,399,255,654,70,19,89,513,301,814,27,17,44,399,383,782,41,33,74,467,433,900,27,18,45,541,503,1044,70,40,110,638,561,1199,15,6,21,713,598,1311,70,45,115,798,649,1447,13,3,16,1034,617,1651,109,53,162,1156,673,1829,418,305,723,5944,4683,10627,790,405,1195,7152,5393,12545
IREG397,6,22,4,0,4,20,6,26,0,0,0,10,12,22,8,0,8,18,12,30,0,0,0,17,19,36,10,0,10,27,19,46,0,0,0,18,13,31,0,3,3,18,16,34,0,0,0,16,17,33,4,4,8,20,21,41,4,0,4,38,52,90,3,10,13,45,62,107,8,0,8,221,172,393,45,26,71,274,198,472
IREG401,50355,99189,2009,1573,3582,51414,52612,104026,500,574,1074,48926,50780,99706,2021,1610,3631,51447,52964,104411,407,503,910,48124,50353,98477,2024,1646,3670,50555,52502,103057,362,368,730,43608,46585,90193,1708,1491,3199,45678,48444,94122,243,267,510,42088,44396,86484,1740,1605,3345,44071,46268,90339,347,489,836,101454,125350,226804,4901,6472,11373,106702,132311,239013,10237,10522,20759,686126,713782,1399908,29735,27019,56754,726098,751323,1477421
IREG402,2420,4965,206,114,320,2986,2764,5750,216,212,428,2835,2484,5319,219,120,339,3270,2816,6086,149,154,303,2814,2555,5369,198,117,315,3161,2826,5987,100,107,207,2549,2250,4799,167,120,287,2816,2477,5293,80,107,187,2282,2145,4427,167,115,282,2529,2367,4896,150,192,342,5537,6060,11597,373,413,786,6060,6665,12725,3556,3649,7205,35926,34177,70103,2630,2029,4659,42112,39855,81967
IREG403,1083,2185,49,32,81,1213,1189,2402,73,81,154,1090,1046,2136,53,34,87,1216,1161,2377,59,66,125,1163,1194,2357,56,30,86,1278,1290,2568,45,40,85,1157,1054,2211,44,34,78,1246,1128,2374,20,29,49,1061,960,2021,51,36,87,1132,1025,2157,32,41,73,2444,2630,5074,117,158,275,2593,2829,5422,1091,1210,2301,15430,15091,30521,702,582,1284,17223,16883,34106
IREG494,67,193,11,7,18,150,77,227,6,8,14,123,55,178,10,8,18,139,71,210,5,11,16,115,98,213,8,8,16,128,117,245,3,3,6,126,73,199,13,5,18,142,81,223,0,3,3,112,77,189,11,4,15,123,84,207,6,0,6,186,148,334,22,23,45,214,171,385,88,77,165,1547,1118,2665,144,95,239,1779,1290,3069
IREG497,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6
IREG501,435,885,66,48,114,649,631,1280,124,136,260,378,358,736,56,43,99,558,537,1095,104,121,225,386,345,731,45,41,86,535,507,1042,85,86,171,353,297,650,45,30,75,483,413,896,38,51,89,254,179,433,32,16,48,324,246,570,59,95,154,327,216,543,38,22,60,424,333,757,2161,2210,4371,4798,4514,9312,710,616,1326,7669,7340,15009
IREG502,1867,3744,147,105,252,2208,2195,4403,154,151,305,1946,1876,3822,166,115,281,2266,2142,4408,143,145,288,1943,1822,3765,141,96,237,2227,2063,4290,112,138,250,1817,1700,3517,141,81,222,2070,1919,3989,80,101,181,1660,1463,3123,133,104,237,1873,1668,3541,125,163,288,3561,3369,6930,261,238,499,3947,3770,7717,3074,3258,6332,25305,24209,49514,2010,1540,3550,30389,29007,59396
IREG503,1690,3720,291,151,442,2477,2022,4499,151,183,334,1972,1660,3632,275,176,451,2398,2019,4417,116,139,255,1860,1520,3380,267,144,411,2243,1803,4046,69,98,167,1454,1213,2667,186,104,290,1709,1415,3124,67,69,136,1224,904,2128,142,79,221,1433,1052,2485,87,125,212,1942,1880,3822,219,183,402,2248,2188,4436,2691,2925,5616,25083,21996,47079,3507,2370,5877,31281,27291,58572
