region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
IREG697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
IREG701,135,124,259,147,181,328,239,308,547,130,238,368,100,149,249,101,142,243,86,84,170,221,236,457,219,283,502,1378,1745,3123
IREG702,178,129,307,710,832,1542,687,933,1620,182,278,460,146,190,336,103,86,189,40,45,85,40,44,84,857,431,1288,2943,2968,5911
IREG703,445,364,809,247,314,561,415,536,951,309,488,797,245,396,641,295,336,631,307,346,653,821,769,1590,797,339,1136,3881,3888,7769
IREG704,372,254,626,790,867,1657,972,1138,2110,239,422,661,350,355,705,208,158,366,95,64,159,134,90,224,147,160,307,3307,3508,6815
IREG705,212,172,384,415,441,856,835,902,1737,221,394,615,195,249,444,238,202,440,71,82,153,139,147,286,294,316,610,2620,2905,5525
IREG706,250,208,458,646,710,1356,1010,1042,2052,302,487,789,218,287,505,163,161,324,49,48,97,120,75,195,209,200,409,2967,3218,6185
IREG707,108,99,207,151,165,316,371,393,764,98,160,258,36,85,121,52,55,107,32,24,56,51,56,107,266,273,539,1165,1310,2475
IREG794,9,0,9,3,3,6,24,15,39,11,3,14,3,3,6,3,3,6,0,3,3,9,0,9,10,10,20,72,40,112
IREG797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG801,156,113,269,196,193,389,154,185,339,108,153,261,115,183,298,157,162,319,161,124,285,591,513,1104,124,77,201,1762,1703,3465
IREG894,3,4,7,0,3,3,0,0,0,3,0,3,0,3,3,5,0,5,0,0,0,0,4,4,0,0,0,11,14,25
IREG897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3
IREG901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,5,3,0,3,6,5,11
IREG902,13,6,19,4,7,11,18,27,45,12,17,29,6,12,18,3,3,6,4,0,4,7,4,11,6,3,9,73,79,152
IREG994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IREG997,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
