region_id,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
LGA35670,4,15,0,0,0,124,115,239,23,29,52,0,0,0,0,0,0,23,29,52,43,46,89,3,0,3,0,0,0,46,46,92,0,0,0,0,0,0,0,0,0,0,0,0,320,313,633,16,4,20,0,0,0,336,317,653,0,0,0,0,0,0,0,0,0,0,0,0,61,52,113,5,3,8,0,0,0,66,55,121,381,365,746,21,7,28,0,0,0,402,372,774,3,3,6,0,0,0,0,0,0,3,3,6
LGA35760,1182,2399,14,17,31,1287,1252,2539,17,16,33,327,240,567,5,4,9,349,260,609,32,31,63,651,482,1133,11,9,20,694,522,1216,8,5,13,20,14,34,0,0,0,28,19,47,235,262,497,3903,3904,7807,199,201,400,4337,4367,8704,0,0,0,7,6,13,3,0,3,10,6,16,29,18,47,250,194,444,21,17,38,300,229,529,264,280,544,4160,4104,8264,223,218,441,4647,4602,9249,3,0,3,14,22,36,37,54,91,54,76,130
LGA35780,14,61,0,0,0,203,174,377,31,18,49,4,4,8,0,0,0,35,22,57,59,71,130,9,4,13,0,0,0,68,75,143,0,5,5,0,0,0,0,0,0,0,5,5,711,803,1514,63,45,108,0,0,0,774,848,1622,0,0,0,3,3,6,0,0,0,3,3,6,152,148,300,82,67,149,0,0,0,234,215,449,863,951,1814,148,115,263,0,0,0,1011,1066,2077,0,3,3,3,5,8,0,0,0,3,8,11
LGA35790,3,19,0,0,0,251,214,465,112,101,213,4,0,4,4,0,4,120,101,221,146,128,274,3,0,3,0,0,0,149,128,277,6,0,6,0,0,0,0,0,0,6,0,6,933,871,1804,21,16,37,8,3,11,962,890,1852,4,0,4,0,0,0,0,0,0,4,0,4,106,86,192,12,13,25,3,0,3,121,99,220,1043,957,2000,33,29,62,11,3,14,1087,989,2076,28,17,45,22,22,44,0,6,6,50,45,95
LGA35800,145,329,4,0,4,227,195,422,33,14,47,45,25,70,0,0,0,78,39,117,22,29,51,82,63,145,3,0,3,107,92,199,7,0,7,11,3,14,0,0,0,18,3,21,207,262,469,543,459,1002,40,28,68,790,749,1539,0,0,0,0,0,0,3,0,3,3,0,3,14,12,26,24,19,43,0,3,3,38,34,72,221,274,495,567,478,1045,43,31,74,831,783,1614,6,0,6,8,11,19,0,0,0,14,11,25
LGA36070,6,17,0,0,0,77,79,156,41,29,70,0,0,0,0,0,0,41,29,70,56,47,103,3,3,6,0,0,0,59,50,109,6,8,14,0,0,0,0,0,0,6,8,14,231,228,459,16,12,28,0,0,0,247,240,487,0,0,0,0,0,0,0,0,0,0,0,0,43,43,86,12,9,21,0,0,0,55,52,107,274,271,545,28,21,49,0,0,0,302,292,594,5,4,9,3,0,3,0,0,0,8,4,12
LGA36150,94,219,0,0,0,139,105,244,6,0,6,31,14,45,0,0,0,37,14,51,6,7,13,38,12,50,4,0,4,48,19,67,0,0,0,3,0,3,0,0,0,3,0,3,41,44,85,338,315,653,12,9,21,391,368,759,0,0,0,3,0,3,0,0,0,3,0,3,7,6,13,29,20,49,0,0,0,36,26,62,48,50,98,370,335,705,12,9,21,430,394,824,3,0,3,19,0,19,4,0,4,26,0,26
LGA36250,16013,30697,114,118,232,15029,16415,31444,88,76,164,2802,2793,5595,31,16,47,2921,2885,5806,61,62,123,2670,3047,5717,31,55,86,2762,3164,5926,4,7,11,134,140,274,5,3,8,143,150,293,1065,1169,2234,56732,58061,114793,1696,1652,3348,59493,60882,120375,0,6,6,6,9,15,0,0,0,6,15,21,123,114,237,4347,6093,10440,216,254,470,4686,6461,11147,1188,1289,2477,61085,64163,125248,1912,1906,3818,64185,67358,131543,0,8,8,345,812,1157,29,97,126,374,917,1291
LGA36300,78,193,4,3,7,129,92,221,3,0,3,20,15,35,0,0,0,23,15,38,3,0,3,47,25,72,0,0,0,50,25,75,0,0,0,0,0,0,0,0,0,0,0,0,18,23,41,327,299,626,28,20,48,373,342,715,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,12,11,23,11,0,11,23,11,34,18,23,41,342,313,655,39,20,59,399,356,755,0,0,0,3,3,6,0,0,0,3,3,6
LGA36360,11958,23708,117,108,225,12353,12631,24984,161,158,319,2662,2327,4989,27,30,57,2850,2515,5365,167,168,335,3519,3306,6825,52,55,107,3738,3529,7267,20,18,38,181,138,319,6,8,14,207,164,371,2286,2594,4880,39535,41439,80974,2462,2304,4766,44283,46337,90620,4,3,7,67,53,120,11,8,19,82,64,146,193,202,395,3290,3624,6914,389,285,674,3872,4111,7983,2483,2799,5282,42892,45116,88008,2862,2597,5459,48237,50512,98749,253,85,338,1252,969,2221,208,276,484,1713,1330,3043
