region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
LGA13050,34,591,625,64,1113,1177,0,62,62,5,63,68,69,1238,1307,8,60,68,111,1889,2000
LGA13100,339,12612,12951,1184,40862,42046,50,1923,1973,102,2058,2160,1336,44843,46179,65,2100,2165,1740,59555,61295
LGA13310,79,2850,2929,190,6142,6332,12,407,419,26,387,413,228,6936,7164,16,346,362,323,10132,10455
LGA13320,213,4223,4436,335,8038,8373,17,471,488,37,422,459,389,8931,9320,32,516,548,634,13670,14304
LGA13340,23,930,953,52,2230,2282,6,113,119,8,108,116,66,2451,2517,3,138,141,92,3519,3611
LGA13380,339,5013,5352,539,10403,10942,32,616,648,48,500,548,619,11519,12138,50,621,671,1008,17153,18161
LGA13450,199,2278,2477,189,4808,4997,17,264,281,25,290,315,231,5362,5593,34,348,382,464,7988,8452
LGA13500,13,464,477,23,732,755,0,62,62,4,48,52,27,842,869,0,58,58,40,1364,1404
LGA13550,203,1249,1452,250,2273,2523,18,118,136,31,155,186,299,2546,2845,31,161,192,533,3956,4489
LGA13650,63,495,558,48,808,856,4,62,66,10,46,56,62,916,978,14,64,78,139,1475,1614
LGA13660,23,744,767,42,995,1037,3,67,70,4,50,54,49,1112,1161,7,80,87,79,1936,2015
LGA13700,19,497,516,38,725,763,3,47,50,6,47,53,47,819,866,6,49,55,72,1365,1437
LGA13800,151,3654,3805,493,14430,14923,14,658,672,39,681,720,546,15769,16315,28,697,725,725,20120,20845
LGA13850,24,390,414,39,578,617,0,37,37,4,38,42,43,653,696,3,51,54,70,1094,1164
LGA13950,97,6813,6910,255,22592,22847,12,843,855,25,1068,1093,292,24503,24795,19,1288,1307,408,32604,33012
