region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
LGA57420,0,21,21,0,11,11,0,17,17,0,40,40,3,57,60,0,42,42,0,61,61,3,36,39,4,41,45,3,83,86,0,38,38,0,102,102,3,58,61,0,59,59,0,34,34,16,700,716
LGA57490,5,367,372,9,411,420,19,752,771,21,1972,1993,58,3037,3095,53,2513,2566,46,2236,2282,56,2411,2467,61,2384,2445,100,4279,4379,66,3054,3120,52,3397,3449,50,3667,3717,105,4140,4245,22,816,838,723,35436,36159
LGA57560,4,35,39,9,27,36,18,21,39,14,45,59,35,60,95,31,52,83,23,75,98,22,140,162,23,178,201,54,383,437,26,254,280,51,1113,1164,116,1825,1941,92,455,547,27,75,102,545,4738,5283
LGA57630,0,0,0,0,3,3,0,0,0,0,4,4,3,3,6,0,3,3,0,0,0,0,3,3,0,0,0,0,4,4,0,3,3,0,3,3,0,3,3,0,7,7,0,5,5,3,41,44
LGA57700,4,62,66,3,76,79,0,73,73,4,154,158,4,357,361,4,334,338,4,317,321,8,368,376,8,394,402,17,742,759,9,588,597,10,547,557,8,672,680,13,755,768,3,104,107,99,5543,5642
LGA57770,0,16,16,0,10,10,6,9,15,0,18,18,8,33,41,7,26,33,0,30,30,5,16,21,5,19,24,4,39,43,0,29,29,0,16,16,0,12,12,3,24,27,0,13,13,38,310,348
LGA57840,0,331,331,8,221,229,16,354,370,14,785,799,19,1094,1113,15,961,976,3,1006,1009,18,1047,1065,7,1055,1062,7,1582,1589,3,1090,1093,12,2130,2142,14,2802,2816,19,1351,1370,18,273,291,173,16082,16255
LGA57910,18,1001,1019,36,1066,1102,42,2060,2102,49,4942,4991,107,6272,6379,84,5474,5558,71,5509,5580,64,5607,5671,56,5273,5329,74,8089,8163,62,5667,5729,55,7273,7328,89,10168,10257,111,6195,6306,73,1731,1804,991,76327,77318
LGA57980,0,185,185,0,148,148,4,241,245,6,390,396,4,472,476,0,433,433,6,448,454,8,463,471,3,432,435,0,649,649,5,356,361,5,1114,1119,0,1370,1370,3,593,596,0,122,122,44,7416,7460
LGA58050,19,383,402,33,392,425,41,688,729,66,1651,1717,94,2528,2622,97,2386,2483,65,2421,2486,81,2821,2902,59,2766,2825,148,4608,4756,75,3571,3646,63,3143,3206,74,3595,3669,154,3672,3826,61,786,847,1130,35411,36541
