region_id,P_NonI_35_44_PtgdDe_GdDp_GdCt,P_NonI_35_44_BDL,P_NonI_35_44_ADip_DipL,P_NonI_35_44_CL_nfd,P_NonI_35_44_Ct_III_IV,P_NonI_35_44_Ct_I_II,P_NonI_35_44_LoE_NS,P_NonI_35_44_Tot,P_NonI_45_54_PtgdDe_GdDp_GdCt,P_NonI_45_54_BDL,P_NonI_45_54_ADip_DipL,P_NonI_45_54_CL_nfd,P_NonI_45_54_Ct_III_IV,P_NonI_45_54_Ct_I_II,P_NonI_45_54_LoE_NS,P_NonI_45_54_Tot,P_NonI_55_64_PtgdDe_GdDp_GdCt,P_NonI_55_64_BDL,P_NonI_55_64_ADip_DipL,P_NonI_55_64_CL_nfd,P_NonI_55_64_Ct_III_IV,P_NonI_55_64_Ct_I_II,P_NonI_55_64_LoE_NS,P_NonI_55_64_Tot,P_NonI_65ov_PtgdDe_GdDp_GdCt,P_NonI_65ov_BDL,P_NonI_65ov_ADip_DipL,P_NonI_65ov_CL_nfd,P_NonI_65ov_Ct_III_IV,P_NonI_65ov_Ct_I_II,P_NonI_65ov_LoE_NS,P_NonI_65ov_Tot,P_NonI_Tot_PtgdDe_GdDp_GdCt,P_NonI_Tot_BDL,P_NonI_Tot_ADip_DipL,P_NonI_Tot_CL_nfd,P_NonI_Tot_Ct_III_IV,P_NonI_Tot_Ct_I_II,P_NonI_Tot_LoE_NS,P_NonI_Tot_Tot,P_IS_NS_15_19_PgdDe_GdDp_GdCt,P_IS_NS_15_19_BDL,P_IS_NS_15_19_ADip_DipL,P_IS_NS_15_19_CL_nfd,P_IS_NS_15_19_Ct_III_and_IV_L,P_IS_NS_15_19_Ct_I_II,P_IS_NS_15_19_LoE_NS,P_IS_NS_15_19_Tot,P_IS_NS_20_24_PgDe_GdDp_GdCtL,P_IS_NS_20_24_BDL,P_IS_NS_20_24_ADip_DipL,P_IS_NS_20_24_CL_nfd,P_IS_NS_20_24_Ct_III_and_IV_L,P_IS_NS_20_24_Ct_I_II,P_IS_NS_20_24_LoE_NS,P_IS_NS_20_24_Tot,P_IS_NS_25_34_PgDe_GdDp_GdCtL,P_IS_NS_25_34_BDL,P_IS_NS_25_34_ADip_DipL,P_IS_NS_25_34_CL_nfd,P_IS_NS_25_34_Ct_III_and_IV_L,P_IS_NS_25_34_Ct_I_II,P_IS_NS_25_34_LoE_NS,P_IS_NS_25_34_Tot,P_IS_NS_35_44_PgDe_GdDp_GdCtL,P_IS_NS_35_44_BDL,P_IS_NS_35_44_ADip_DipL,P_IS_NS_35_44_CL_nfd,P_IS_NS_35_44_Ct_III_and_IV_L,P_IS_NS_35_44_Ct_I_II,P_IS_NS_35_44_LoE_NS,P_IS_NS_35_44_Tot,P_IS_NS_45_54_PgDe_GdDp_GdCtL,P_IS_NS_45_54_BDL,P_IS_NS_45_54_ADip_DipL,P_IS_NS_45_54_CL_nfd,P_IS_NS_45_54_Ct_III_and_IV_L,P_IS_NS_45_54_Ct_I_II,P_IS_NS_45_54_LoE_NS,P_IS_NS_45_54_Tot,P_IS_NS_55_64_PgDe_GdDp_GdCtL,P_IS_NS_55_64_BDL,P_IS_NS_55_64_ADip_DipL,P_IS_NS_55_64_CL_nfd,P_IS_NS_55_64_Crt_III_and_IV,P_IS_NS_55_64_Ct_I_II,P_IS_NS_55_64_LoE_NS,P_IS_NS_55_64_Tot,P_IS_NS_65ov_PgdDe_GdDp_GdCt,P_IS_NS_65ov_BDL,P_IS_NS_65ov_ADip_DipL,P_IS_NS_65ov_CL_nfd,P_IS_NS_65ov_Crt_III_and_IV,P_IS_NS_65ov_Ct_I_II,P_IS_NS_65ov_LoE_NS,P_IS_NS_65ov_Tot,P_IS_NS_TotPdDe_GdDp_GdCt,P_IS_NS_Tot_BDL,P_IS_NS_Tot_ADip_DipL,P_IS_NS_Tot_CL_nfd,P_IS_NS_Tot_Ct_III_IV,P_IS_NS_Tot_Ct_I_II,P_IS_NS_Tot_LoE_NS,P_IS_NS_Tot_Tot,P_Tot_15_19_PgDe_GdDp_GdCtL,P_Tot_15_19_BDL,P_Tot_15_19_ADip_DipL,P_Tot_15_19_CL_nfd,P_Tot_15_19_Ct_III_and_IV_L,P_Tot_15_19_Ct_I_II,P_Tot_15_19_LoE_NS,P_Tot_15_19_Tot,P_Tot_20_24_PgDe_GdDp_GdCtL,P_Tot_20_24_BDL,P_Tot_20_24_ADip_DipL,P_Tot_20_24_CL_nfd,P_Tot_20_24_Ct_III_and_IV_L,P_Tot_20_24_Ct_I_II,P_Tot_20_24_LoE_NS,P_Tot_20_24_Tot,P_Tot_25_34_PgDe_GdDp_GdCtL,P_Tot_25_34_BDL,P_Tot_25_34_ADip_DipL,P_Tot_25_34_CL_nfd,P_Tot_25_34_Ct_III_and_IV_L,P_Tot_25_34_Ct_I_II,P_Tot_25_34_LoE_NS,P_Tot_25_34_Tot,P_Tot_35_44_PgDe_GdDp_GdCtL,P_Tot_35_44_BDL,P_Tot_35_44_ADip_DipL,P_Tot_35_44_CL_nfd,P_Tot_35_44_Ct_III_and_IV_L,P_Tot_35_44_Ct_I_II,P_Tot_35_44_LoE_NS,P_Tot_35_44_Tot,P_Tot_45_54_PgDe_GdDp_GdCtL,P_Tot_45_54_BDL,P_Tot_45_54_ADip_DipL,P_Tot_45_54_CL_nfd,P_Tot_45_54_Ct_III_and_IV_L,P_Tot_45_54_Ct_I_II,P_Tot_45_54_LoE_NS,P_Tot_45_54_Tot,P_Tot_55_64_PgDe_GdDp_GdCtL,P_Tot_55_64_BDL,P_Tot_55_64_ADip_DipL,P_Tot_55_64_CL_nfd,P_Tot_55_64_Ct_III_and_IV_L,P_Tot_55_64_Ct_I_II,P_Tot_55_64_LoE_NS,P_Tot_55_64_Tot,P_Tot_65ov_PtgdDe_GdDp_GdCt,P_Tot_65ov_BDL,P_Tot_65ov_ADip_DipL,P_Tot_65ov_CL_nfd,P_Tot_65ov_Ct_III_and_IV_L,P_Tot_65ov_Ct_I_II,P_Tot_65ov_LoE_NS,P_Tot_65ov_Tot,P_Tot_Tot_PgDe_GdDp_GdCtL,P_Tot_Tot_BDL,P_Tot_Tot_ADip_DipL,P_Tot_Tot_CL_nfd,P_Tot_Tot_Ct_III_and_IV_L,P_Tot_Tot_Ct_I_II,P_Tot_Tot_LoE_NS,P_Tot_Tot_Tot
LGA13320,95,313,288,58,877,71,184,1886,127,325,379,95,1128,75,304,2433,191,425,493,136,1060,69,414,2788,147,475,607,191,1631,49,1505,4605,595,1807,1968,549,5600,433,2655,13607,0,0,0,0,3,3,64,70,0,0,3,0,3,0,44,50,0,0,4,0,3,0,102,109,0,3,0,0,7,3,129,142,0,0,0,3,13,0,150,166,0,8,0,0,7,0,198,213,0,3,6,0,20,0,548,577,0,14,13,3,56,6,1235,1327,0,0,4,11,74,40,215,344,3,48,50,14,267,55,100,537,32,229,161,44,618,84,184,1352,98,321,296,62,918,83,319,2097,132,328,391,102,1166,81,468,2668,196,440,502,136,1088,69,630,3061,147,478,616,191,1664,49,2073,5218,608,1844,2020,560,5795,461,3989,15277
LGA13340,33,139,101,22,317,32,63,707,48,120,126,34,362,27,85,802,40,116,134,30,253,15,118,706,22,63,93,24,181,6,243,632,166,576,534,125,1462,129,599,3591,0,0,0,0,0,0,25,25,0,0,0,0,0,0,21,21,0,0,0,0,0,0,29,29,3,0,0,0,0,0,44,47,0,0,0,0,8,0,44,52,0,3,0,0,0,0,63,66,0,0,3,0,7,0,72,82,3,3,3,0,15,0,298,322,0,0,3,7,21,7,76,114,0,13,11,5,97,17,33,176,23,125,66,3,238,25,62,542,36,139,104,26,320,35,107,767,48,120,126,34,376,27,129,860,40,125,137,30,256,15,181,784,22,63,96,24,188,6,321,720,169,585,543,129,1496,132,909,3963
LGA13380,119,459,424,116,1251,114,265,2748,176,496,547,187,1582,115,401,3504,251,592,573,174,1320,86,564,3560,132,425,528,173,1361,54,1644,4317,741,2368,2371,777,6966,620,3287,17130,0,0,0,0,3,0,115,118,0,0,0,0,3,0,83,86,0,3,3,0,6,0,122,134,0,3,0,0,8,0,182,193,0,4,3,0,12,0,223,242,0,0,6,0,9,0,261,276,0,3,6,0,17,0,440,466,0,13,18,0,58,0,1426,1515,0,0,8,14,127,60,342,551,0,90,74,35,448,84,168,899,63,319,237,84,972,138,296,2109,123,469,442,127,1312,123,469,3065,179,513,571,194,1628,118,657,3860,251,597,587,178,1346,90,852,3901,132,428,537,173,1384,57,2100,4811,748,2416,2456,805,7217,670,4884,19196
LGA13450,98,359,231,69,653,53,182,1645,97,243,209,68,653,50,193,1513,57,162,135,46,385,22,214,1021,18,93,84,27,245,10,463,940,351,1364,939,277,3062,264,1408,7665,0,0,0,0,0,0,79,79,0,0,3,0,4,0,98,105,4,6,0,0,0,0,184,194,0,3,0,0,3,0,162,168,0,0,0,3,9,0,151,163,0,0,0,0,0,0,128,128,0,0,3,0,3,0,164,170,4,9,6,3,19,0,966,1007,0,0,4,9,78,26,220,337,8,83,69,25,338,40,185,748,77,437,216,39,758,75,342,1944,98,367,235,69,680,53,359,1861,100,247,215,71,676,53,357,1719,57,162,135,46,388,25,366,1179,18,93,87,27,248,10,637,1120,358,1389,961,286,3166,282,2466,8908
LGA13500,7,46,34,11,106,7,17,228,17,34,30,8,121,6,36,252,10,40,34,7,81,0,39,211,3,20,33,0,45,0,109,210,47,179,150,35,507,41,245,1204,0,0,0,0,0,0,4,4,0,0,0,0,0,0,8,8,0,0,0,0,0,0,9,9,0,0,0,0,0,0,3,3,0,0,0,0,0,0,14,14,0,0,0,0,3,0,14,17,0,0,0,0,0,0,25,25,0,0,0,0,3,0,77,80,0,0,0,0,13,7,21,41,0,4,4,3,53,10,20,94,10,35,15,9,91,11,24,195,7,46,37,11,109,7,26,243,17,34,33,8,121,6,50,269,10,43,34,7,84,0,56,234,3,20,33,0,45,0,137,238,47,182,156,38,516,41,334,1314
LGA13550,36,142,97,23,292,31,57,678,24,118,115,32,345,30,96,760,25,94,102,36,248,23,107,635,17,70,71,10,202,13,347,730,134,626,489,134,1547,160,710,3800,0,0,0,0,0,0,29,29,0,0,0,0,6,0,28,34,0,0,0,0,0,0,63,63,0,4,0,0,0,0,50,54,0,0,3,0,3,0,53,59,6,0,0,0,6,0,59,71,0,0,0,0,0,0,121,121,6,4,3,0,15,0,403,431,0,0,0,6,35,16,93,150,4,34,14,9,144,29,58,292,28,171,93,23,349,30,121,815,36,149,100,27,320,34,120,786,24,121,124,35,372,33,160,869,31,94,102,36,263,26,176,728,17,70,71,10,202,13,478,861,140,639,504,146,1685,181,1206,4501
LGA13650,13,47,42,8,89,13,30,242,16,35,40,11,103,3,35,243,22,33,31,13,90,10,55,254,13,35,25,8,55,0,91,227,73,198,173,55,477,41,255,1272,0,0,0,0,0,0,9,9,0,0,0,0,0,0,6,6,0,0,0,0,0,0,17,17,0,3,0,0,0,0,26,29,0,0,0,0,0,0,19,19,0,0,3,0,0,0,17,20,0,0,0,0,3,0,18,21,0,3,3,0,3,0,112,121,0,0,0,3,14,5,38,60,0,4,3,6,49,9,17,88,9,48,32,6,88,4,31,218,13,50,42,8,95,16,67,291,16,35,40,11,111,3,54,270,22,33,37,13,90,10,78,283,13,35,25,8,58,0,112,251,73,205,179,55,505,47,397,1461
LGA13660,10,64,63,16,106,11,43,313,23,45,43,12,126,9,35,293,9,29,36,12,80,7,59,232,11,23,37,6,97,9,175,358,58,238,214,54,601,57,356,1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,9,9,0,0,0,0,0,0,9,9,0,0,0,0,3,0,9,12,0,0,0,0,3,0,12,15,0,0,3,0,0,0,20,23,0,0,3,0,6,0,63,72,0,0,0,0,26,0,17,43,0,14,6,0,50,11,12,93,5,63,29,8,122,10,28,265,10,67,66,16,112,14,52,337,23,45,46,12,132,9,44,311,9,29,36,12,86,7,77,256,11,23,40,6,97,9,199,385,58,241,223,54,625,60,429,1690
LGA13700,13,53,36,5,92,11,17,227,11,38,30,8,97,8,22,214,16,37,41,14,86,7,47,248,14,29,37,11,70,0,101,262,60,182,181,46,479,47,215,1210,0,0,0,0,0,3,6,9,0,0,0,0,3,0,3,6,0,0,0,0,0,0,9,9,0,0,0,0,0,0,16,16,0,0,0,0,0,0,10,10,0,0,0,0,0,0,8,8,0,0,0,0,0,0,27,27,0,0,0,0,3,3,79,85,0,0,0,0,9,9,19,37,0,6,7,0,36,6,6,61,6,19,30,8,98,9,24,194,13,53,36,5,97,11,40,255,11,38,30,8,105,8,35,235,16,37,41,14,86,7,58,259,14,29,37,11,70,0,131,292,60,182,181,46,501,50,313,1333
LGA13800,299,964,965,197,2325,140,395,5285,399,883,933,214,2183,121,503,5236,331,627,663,162,1331,75,530,3719,166,393,404,126,953,31,1006,3079,1442,4106,3941,937,10326,732,3132,24616,0,0,0,0,3,0,163,166,0,0,3,0,11,0,167,181,0,10,3,0,10,0,251,274,0,5,5,0,14,3,352,379,0,3,3,3,20,0,352,381,4,3,3,0,11,4,296,321,3,0,3,0,7,0,357,370,7,21,20,3,76,7,1938,2072,0,0,32,26,238,80,465,841,35,318,280,84,1202,119,344,2382,212,946,681,137,2202,183,519,4880,299,973,995,206,2373,146,756,5748,399,893,949,220,2240,127,871,5699,343,636,669,165,1350,79,833,4075,169,396,407,130,964,31,1370,3467,1457,4162,4013,968,10569,765,5158,27092
