region_id,Med_ag_pe_In_pe_h_I_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_p,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_wi_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
LGA72300,23,37,36,567,881,864,1725,1771,1768,2200,2167,2167,250,300,300,1.5,1.2,1.2,3.6,2.7,2.8,19.1,6.4,7.6
LGA72330,25,38,27,226,942,257,737,1418,949,0,1625,1625,30,0,25,1.9,1.1,1.7,4.8,1.8,4.0,46.5,2.3,34.8
LGA72800,19,29,28,555,941,911,1367,1873,1813,2275,2167,2167,240,380,365,1.3,1.1,1.1,3.3,2.8,2.9,13.0,3.4,4.7
LGA73600,22,43,24,254,779,279,1076,1253,1128,0,806,806,55,0,50,2.2,1.3,1.9,5.7,2.0,4.3,62.4,5.8,41.6
LGA74050,25,39,27,231,1080,249,686,1419,778,542,0,542,40,0,40,1.7,1.1,1.6,4.3,1.8,3.9,42.1,3.3,35.8
LGA74500,20,37,23,229,866,274,836,1408,1027,726,800,800,50,0,40,2.1,1.2,1.8,5.2,2.1,4.1,56.3,4.4,37.0
LGA74560,28,47,47,250,869,855,250,1307,1261,800,2100,2100,0,200,200,1.0,1.2,1.2,1.7,2.0,2.0,0,7.1,6.7
LGA74660,22,35,26,270,1149,325,1483,2028,1716,108,0,108,75,25,50,2.3,1.2,1.8,5.8,2.2,4.2,65.7,3.6,38.5
LGA79399,30,34,33,668,1030,1005,1729,2036,1996,1517,1300,1300,30,10,11,1.4,1.2,1.2,3.0,2.6,2.6,9.9,4.4,4.8
LGA79499,36,47,45,271,523,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89399,22,35,34,647,921,918,1670,1925,1920,2167,2167,2167,315,380,380,1.2,1.1,1.1,3.0,2.6,2.6,6.4,2.1,2.2
LGA89499,45,31,31,500,505,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,29,32,32,289,887,820,860,1802,1685,1300,805,867,47,100,91,1.1,1.2,1.2,3.1,2.8,2.9,10.7,5.2,5.8
LGA99499,0,29,29,2000,1542,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
