region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
LGA13100,313,25163,160,25636,93,3534,44,3671,346,17347,168,17861,133,4351,49,4533,68,2467,46,2581,17,156,7,180,54,2592,2714,5360,1024,55610,3188,59822,372,27040,164,27576,80,3482,29,3591,349,19514,212,20075,144,5500,56,5700,76,2919,58,3053,9,131,3,143,70,3546,2513,6129,1100,62132,3035,66267,685,52203,324,53212,173,7016,73,7262,695,36861,380,37936,277,9851,105,10233,144,5386,104,5634,26,287,10,323,124,6138,5227,11489,2124,117742,6223,126089
LGA13310,40,3078,22,3140,11,566,5,582,71,3448,37,3556,27,1011,10,1048,18,804,13,835,3,65,3,71,109,903,385,1397,279,9875,475,10629,63,3558,27,3648,12,591,7,610,73,3559,35,3667,29,1043,7,1079,22,744,12,778,0,46,0,46,23,554,299,876,222,10095,387,10704,103,6636,49,6788,23,1157,12,1192,144,7007,72,7223,56,2054,17,2127,40,1548,25,1613,3,111,3,117,132,1457,684,2273,501,19970,862,21333
LGA13320,82,3613,34,3729,29,790,8,827,124,4578,43,4745,71,1706,15,1792,56,1064,14,1134,3,38,0,41,16,713,613,1342,381,12502,727,13610,71,3846,41,3958,34,806,9,849,138,4991,48,5177,74,1829,25,1928,52,985,23,1060,3,34,0,37,29,838,598,1465,401,13329,744,14474,153,7459,75,7687,63,1596,17,1676,262,9569,91,9922,145,3535,40,3720,108,2049,37,2194,6,72,0,78,45,1551,1211,2807,782,25831,1471,28084
LGA13340,8,981,6,995,3,326,3,332,11,1238,13,1262,8,438,9,455,3,302,7,312,3,9,0,12,7,139,149,295,43,3433,187,3663,10,1320,12,1342,12,331,3,346,13,1062,6,1081,7,323,4,334,0,217,5,222,3,6,0,9,4,163,139,306,49,3422,169,3640,18,2301,18,2337,15,657,6,678,24,2300,19,2343,15,761,13,789,3,519,12,534,6,15,0,21,11,302,288,601,92,6855,356,7303
LGA13380,102,4394,33,4529,48,950,7,1005,189,6053,66,6308,121,2062,25,2208,87,1509,22,1618,7,45,4,56,55,866,721,1642,609,15879,878,17366,133,5228,34,5395,54,1003,10,1067,239,6509,52,6800,148,2119,16,2283,100,1319,21,1440,5,42,0,47,61,1041,670,1772,740,17261,803,18804,235,9622,67,9924,102,1953,17,2072,428,12562,118,13108,269,4181,41,4491,187,2828,43,3058,12,87,4,103,116,1907,1391,3414,1349,33140,1681,36170
LGA13450,34,2551,27,2612,14,523,11,548,107,2884,39,3030,59,695,9,763,41,868,20,929,3,109,3,115,35,392,515,942,293,8022,624,8939,55,3032,28,3115,26,512,0,538,90,2648,31,2769,81,655,13,749,42,814,26,882,3,125,3,131,25,430,435,890,322,8216,536,9074,89,5583,55,5727,40,1035,11,1086,197,5532,70,5799,140,1350,22,1512,83,1682,46,1811,6,234,6,246,60,822,950,1832,615,16238,1160,18013
LGA13500,7,338,0,345,3,73,0,76,5,526,9,540,4,161,4,169,3,138,0,141,0,7,3,10,0,78,41,119,22,1321,57,1400,12,432,4,448,0,94,0,94,7,430,6,443,4,137,4,145,3,106,3,112,0,10,0,10,3,79,28,110,29,1288,45,1362,19,770,4,793,3,167,0,170,12,956,15,983,8,298,8,314,6,244,3,253,0,17,3,20,3,157,69,229,51,2609,102,2762
LGA13550,59,1138,8,1205,22,213,0,235,112,1502,7,1621,66,465,7,538,67,378,6,451,5,20,0,25,31,191,219,441,362,3907,247,4516,68,1414,12,1494,39,227,4,270,137,1425,11,1573,69,380,8,457,55,266,7,328,3,14,0,17,35,220,179,434,406,3946,221,4573,127,2552,20,2699,61,440,4,505,249,2927,18,3194,135,845,15,995,122,644,13,779,8,34,0,42,66,411,398,875,768,7853,468,9089
LGA13650,19,386,3,408,9,77,0,86,34,540,4,578,20,179,3,202,26,178,3,207,4,3,0,7,11,69,59,139,123,1432,72,1627,15,511,5,531,8,81,0,89,43,515,4,562,20,137,5,162,21,144,0,165,0,5,0,5,10,78,51,139,117,1471,65,1653,34,897,8,939,17,158,0,175,77,1055,8,1140,40,316,8,364,47,322,3,372,4,8,0,12,21,147,110,278,240,2903,137,3280
LGA13660,7,460,15,482,6,101,0,107,18,660,9,687,11,215,0,226,6,271,3,280,3,11,3,17,8,101,30,139,59,1819,60,1938,6,632,5,643,6,117,0,123,14,612,10,636,6,188,0,194,6,189,3,198,0,8,0,8,0,98,27,125,38,1844,45,1927,13,1092,20,1125,12,218,0,230,32,1272,19,1323,17,403,0,420,12,460,6,478,3,19,3,25,8,199,57,264,97,3663,105,3865
LGA13700,4,347,3,354,5,81,0,86,11,480,3,494,8,129,3,140,9,163,5,177,0,6,0,6,3,65,36,104,40,1271,50,1361,11,438,4,453,5,96,4,105,14,445,10,469,6,134,0,140,3,100,4,107,0,10,0,10,9,77,37,123,48,1300,59,1407,15,785,7,807,10,177,4,191,25,925,13,963,14,263,3,280,12,263,9,284,0,16,0,16,12,142,73,227,88,2571,109,2768
LGA13800,117,8028,49,8194,32,1423,5,1460,161,8146,67,8374,70,1830,16,1916,39,1135,16,1190,4,83,0,87,28,732,1027,1787,451,21377,1180,23008,138,9408,75,9621,50,1284,14,1348,157,7692,68,7917,77,1808,25,1910,42,976,14,1032,3,73,5,81,13,816,869,1698,480,22057,1070,23607,255,17436,124,17815,82,2707,19,2808,318,15838,135,16291,147,3638,41,3826,81,2111,30,2222,7,156,5,168,41,1548,1896,3485,931,43434,2250,46615
LGA13850,5,289,3,297,4,89,3,96,13,304,3,320,8,129,3,140,13,131,0,144,0,12,0,12,0,76,45,121,43,1030,57,1130,9,377,6,392,6,92,0,98,14,290,3,307,0,114,3,117,5,90,0,95,0,3,0,3,6,69,39,114,40,1035,51,1126,14,666,9,689,10,181,3,194,27,594,6,627,8,243,6,257,18,221,0,239,0,15,0,15,6,145,84,235,83,2065,108,2256
LGA13950,67,19280,197,19544,15,1519,21,1555,80,7248,86,7414,30,1794,30,1854,29,2317,27,2373,0,655,13,668,24,1527,1906,3457,245,34340,2280,36865,79,19715,183,19977,23,1372,16,1411,93,7397,78,7568,38,2052,34,2124,18,2857,47,2922,5,921,16,942,27,1769,1645,3441,283,36083,2019,38385,146,38995,380,39521,38,2891,37,2966,173,14645,164,14982,68,3846,64,3978,47,5174,74,5295,5,1576,29,1610,51,3296,3551,6898,528,70423,4299,75250
LGA14000,65,40159,247,40471,16,2290,19,2325,45,8510,68,8623,14,1731,18,1763,8,1057,18,1083,0,264,9,273,11,1267,1466,2744,159,55278,1845,57282,98,41588,238,41924,10,2367,18,2395,61,10248,99,10408,8,2244,27,2279,9,1476,23,1508,3,395,11,409,8,1799,1342,3149,197,60117,1758,62072,163,81747,485,82395,26,4657,37,4720,106,18758,167,19031,22,3975,45,4042,17,2533,41,2591,3,659,20,682,19,3066,2808,5893,356,115395,3603,119354
