region_id,OH_T_NS_DS_FUA,OH_T_NS_DS_OD_CCH,OH_T_NS_DS_OD_IH_t_SO,OH_T_NS_OD_HF_a_SO,OH_T_NS_DS_OD_Tot,OH_T_NS_DS_NS,OH_T_NS_DS_Tot,OH_Tot_DS_SHouse,OH_Tot_DS_SDRTHT,OH_Tot_DS_F_u_or_a,OH_Tot_DS_OD_CCHb,OH_Tot_DS_OD_IH_t_SO,OH_Tot_DS_OD_HF_a_to_a_s_o,OH_Tot_DS_OD_Tot,OH_Tot_DS_NS,OH_Tot_Tot,T_h_OO_DS_SH,T_h_OO_DS_SDRTHT,T_h_OO_DS_FUA,T_h_OO_DS_OD_CCH,T_h_OO_DS_OD_IH_t_SO,T_h_OO_OD_HF_a_SO,T_h_OO_DS_OD_Tot,T_h_OO_DS_NS,T_h_OO_DS_Tot,T_h_M_DS_SH,T_h_M_DS_SDRTHT,T_h_M_DS_FUA,T_h_M_DS_OD_CCH,T_h_M_DS_OD_IH_t_SO,T_h_M_OD_HF_a_SO,T_h_M_DS_OD_Tot,T_h_M_DS_NS,T_h_M_DS_Tot,T_h_RREA_DS_SH,T_h_RREA_DS_SDRTHT,T_h_RREA_DS_FUA,T_h_RREA_DS_OD_CCH,T_h_RREA_DS_OD_IH_t_SO,T_h_RREA_OD_HF_a_SO,T_h_RREA_DS_OD_Tot,T_h_RREA_DS_NS,T_h_RREA_DS_Tot,T_h_RHA_DS_SH,T_h_RHA_DS_SDRTHT,T_h_RHA_DS_FUA,T_h_RHA_DS_OD_CCH,T_h_RHA_DS_OD_IH_t_SO,T_h_RHA_OD_HF_a_SO,T_h_RHA_DS_OD_Tot,T_h_RHA_DS_NS,T_h_RHA_DS_Tot,T_h_R_PSH_DS_SH,T_h_R_PSH_DS_SDRTHT,T_h_R_PSH_DS_FUA,T_h_R_PSH_DS_OD_CCH,T_h_R_PSH_DS_OD_IH_t_SO,T_h_R_PSH_OD_HF_a_SO,T_h_R_PSH_DS_OD_Tot,T_h_R_PSH_DS_NS,T_h_R_PSH_DS_Tot,T_h_R_HCC_DS_SH,T_h_R_HCC_DS_SDRTHT,T_h_R_HCC_DS_FUA,T_h_R_HCC_DS_OD_CCH,T_h_R_HCC_DS_OD_IH_t_SO,T_h_R_HCC_OD_HF_a_SO,T_h_R_HCC_DS_OD_Tot,T_h_R_HCC_DS_NS,T_h_R_HCC_DS_Tot,T_h_R_OLT_DS_SH,T_h_R_OLT_DS_SDRTHT,T_h_R_OLT_DS_FUA,T_h_R_OLT_DS_OD_CCH,T_h_R_OLT_DS_OD_IH_t_SO,T_h_R_OLT_OD_HF_a_SO,T_h_R_OLT_DS_OD_Tot,T_h_R_OLT_DS_NS,T_h_R_OLT_DS_Tot,T_h_R_LNS_DS_SH,T_h_R_LNS_DS_SDRTHT,T_h_R_LNS_DS_FUA,T_h_R_LNS_DS_OD_CCH,T_h_R_LNS_DS_OD_IH_t_SO,T_h_R_LNS_OD_HF_a_SO,T_h_R_LNS_DS_OD_Tot,T_h_R_LNS_DS_NS,T_h_R_LNS_DS_Tot,T_h_R_Tot_DS_SH,T_h_R_Tot_DS_SDRTHT,T_h_R_Tot_DS_FUA,T_h_R_Tot_DS_OD_CCH,T_h_R_Tot_DS_OD_IH_t_SO,T_h_R_Tot_OD_HF_a_SO,T_h_R_Tot_DS_OD_Tot,T_h_R_Tot_DS_NS,T_h_R_Tot_DS_Tot,T_h_OTT_DS_SH,T_h_OTT_DS_SDRTHT,T_h_OTT_DS_FUA,T_h_OTT_DS_OD_CCH,T_h_OTT_DS_OD_IH_t_SO,T_h_OTT_OD_HF_a_SO,T_h_OTT_DS_OD_Tot,T_h_OTT_DS_NS,T_h_OTT_DS_Tot,T_h_T_NS_DS_SH,T_h_T_NS_DS_SDRTHT,T_h_T_NS_DS_FUA,T_h_T_NS_DS_OD_CCH,T_h_T_NS_DS_OD_IH_t_SO,T_h_T_NS_OD_HF_a_SO,T_h_T_NS_DS_OD_Tot,T_h_T_NS_DS_NS,T_h_T_NS_DS_Tot,T_h_Tot_DS_SH,T_h_Tot_DS_SDRTHT,T_h_Tot_DS_FUA,T_h_Tot_DS_OD_CCH,T_h_Tot_DS_OD_IH_t_SO,T_h_Tot_OD_HF_a_SO,T_h_Tot_DS_OD_Tot,T_h_Tot_DS_NS,T_h_Tot_DS_Tot
LGA50910,0,6,0,0,6,0,17,289,15,0,6,0,0,6,0,310,148,4,0,0,0,0,0,0,152,71,0,0,0,0,0,0,0,71,4,0,0,0,0,0,0,0,4,16,7,0,0,0,0,0,0,23,31,0,0,0,0,0,0,0,31,0,9,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,15,8,3,0,0,0,0,0,0,11,74,19,0,0,0,0,0,0,93,5,0,0,0,0,0,0,0,5,11,0,0,6,0,0,6,0,17,309,23,0,6,0,0,6,0,338
LGA50980,8,15,0,6,21,0,107,2315,333,260,376,25,49,450,30,3388,440,26,15,226,15,9,250,9,740,859,54,32,26,0,9,35,0,980,394,104,101,27,3,4,34,3,636,668,180,82,0,3,0,3,10,943,218,24,40,25,3,8,36,0,318,117,3,7,7,0,0,7,0,134,358,42,54,59,3,13,75,13,542,41,5,3,6,4,0,10,3,62,1796,358,287,124,16,25,165,29,2635,36,3,3,11,3,0,14,4,60,104,23,13,15,5,6,26,3,169,3235,464,350,402,39,49,490,45,4584
LGA51080,0,0,0,0,0,0,8,340,5,3,0,3,3,6,0,354,188,0,3,0,3,0,3,0,194,84,0,0,0,0,3,3,0,87,3,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,23,31,0,0,0,0,0,0,0,31,0,5,0,0,0,0,0,0,5,29,0,0,0,0,0,0,0,29,16,0,0,0,0,0,0,0,16,102,5,0,0,0,0,0,0,107,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,8,385,5,3,0,3,3,6,0,399
LGA51120,0,0,0,0,0,0,9,353,0,19,0,0,3,3,3,378,214,0,0,0,0,3,3,0,217,62,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,18,37,0,0,0,0,0,0,3,40,3,0,11,0,0,0,0,0,14,22,0,0,0,0,0,0,0,22,3,0,4,0,0,0,0,0,7,79,0,19,0,0,0,0,3,101,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,367,0,19,0,0,3,3,3,392
LGA51190,29,7,3,0,10,0,340,9240,1768,806,128,3,9,140,6,11960,2903,358,96,84,0,0,84,3,3444,3577,205,83,6,0,3,9,3,3877,1303,452,287,3,0,0,3,0,2045,368,284,82,0,0,0,0,0,734,960,213,162,0,0,0,0,0,1335,18,78,24,0,0,0,0,0,120,95,22,40,25,0,3,28,0,185,53,9,9,3,0,3,6,0,77,2797,1058,604,31,0,6,37,0,4496,35,108,10,3,0,0,3,0,156,230,88,29,7,3,0,10,0,357,9542,1817,822,131,3,9,143,6,12330
LGA51260,7,4,3,0,7,0,227,9451,808,315,177,16,12,205,7,10786,3090,220,68,119,3,3,125,4,3507,3439,86,25,7,4,3,14,0,3564,1421,175,71,0,0,3,3,0,1670,258,196,85,3,0,0,3,0,542,902,69,27,4,3,3,10,0,1008,16,20,0,3,0,0,3,0,39,137,11,11,33,3,0,36,3,198,89,3,5,6,0,0,6,0,103,2823,474,199,49,6,6,61,3,3560,93,20,19,4,0,0,4,0,136,190,27,7,4,3,0,7,0,231,9635,827,318,183,16,12,211,7,10998
LGA51310,25,0,0,0,0,0,160,7136,913,875,0,0,4,4,14,8942,3138,293,103,0,0,0,0,8,3542,2688,196,129,0,0,0,0,3,3016,638,137,402,0,0,0,0,3,1180,0,24,3,0,0,0,0,0,27,498,81,145,0,0,0,0,0,724,5,15,9,0,0,0,0,0,29,20,5,20,0,0,0,0,0,45,32,9,7,0,0,0,0,0,48,1193,271,586,0,0,0,0,3,2053,32,125,37,0,0,4,4,0,198,104,31,25,0,0,0,0,0,160,7155,916,880,0,0,4,4,14,8969
LGA51330,71,0,0,0,0,0,685,23717,3748,2204,22,3,9,34,8,29711,8574,727,281,14,0,3,17,0,9599,9374,913,436,0,0,0,0,5,10728,2514,949,593,0,0,0,0,0,4056,381,349,419,0,0,0,0,0,1149,2222,520,275,0,0,3,3,3,3023,49,30,17,0,0,3,3,0,99,168,44,30,8,3,0,11,0,253,110,24,20,0,0,0,0,0,154,5444,1916,1354,8,3,6,17,3,8734,126,89,101,0,0,0,0,0,316,467,163,71,0,0,0,0,0,701,23985,3808,2243,22,3,9,34,8,30078
LGA51400,6,0,0,0,0,0,70,4471,11,30,4,10,0,14,6,4532,1238,0,3,0,3,0,3,3,1247,2254,0,3,4,4,0,8,0,2265,527,0,0,0,0,0,0,3,530,116,8,19,0,0,0,0,0,143,298,0,3,0,3,0,3,0,304,3,0,0,0,0,0,0,0,3,39,0,0,0,0,0,0,0,39,27,0,0,0,0,0,0,0,27,1010,8,22,0,3,0,3,3,1046,20,0,0,0,0,0,0,0,20,64,3,6,0,0,0,0,0,73,4586,11,34,4,10,0,14,6,4651
LGA51470,0,0,0,0,0,0,8,202,8,0,4,0,0,4,0,214,84,0,0,4,0,0,4,0,88,62,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,27,5,0,0,0,0,0,0,0,5,51,8,0,0,0,0,0,0,59,3,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,8,208,8,0,4,0,0,4,0,220
LGA51540,3,33,3,0,36,0,79,1202,121,38,222,9,10,241,12,1614,393,18,3,147,3,4,154,8,576,409,12,0,11,0,0,11,4,436,93,24,13,0,0,0,0,0,130,217,46,25,0,0,0,0,0,288,121,14,6,4,0,3,7,0,148,7,8,4,0,0,0,0,4,23,136,8,3,24,3,3,30,0,177,28,0,0,6,0,0,6,0,34,602,100,51,34,3,6,43,4,800,16,0,0,3,3,0,6,0,22,55,19,7,33,3,0,36,0,117,1475,149,61,228,12,10,250,16,1951
