region_id,Med_age_persns_C2001,Med_age_persns_C2006,Med_age_persns_C2011,Med_mortg_rep_mon_C2001,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_person_inc_we_C2001,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_rent_weekly_C2001,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_Famly_inc_we_C2001,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Avg_num_p_per_brm_C2001,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Med_tot_hh_inc_wee_C2001,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Average_hh_size_C2001,Average_hh_size_C2006,Average_hh_size_C2011
LGA22250,40,43,46,542,758,988,319,377,421,85,100,127,739,959,962,1.1,1.1,1.1,588,727,764,2.5,2.4,2.3
LGA22310,37,37,37,1092,1600,2147,451,544,675,179,220,335,1170,1481,1925,1.1,1.1,1.1,894,1128,1442,2.4,2.4,2.5
LGA22410,37,40,43,570,867,1148,329,406,468,90,120,165,801,1082,1178,1.1,1.1,1.1,652,831,898,2.5,2.4,2.3
LGA22490,36,37,39,693,1083,1500,330,423,533,100,130,200,867,1130,1385,1.1,1.1,1.1,779,1037,1217,2.9,2.9,2.8
LGA22620,35,37,38,650,997,1300,321,403,511,125,160,200,787,1049,1245,1.1,1.1,1.1,652,833,991,2.5,2.5,2.5
LGA22670,35,36,35,700,1083,1517,295,342,396,135,160,250,773,918,1050,1.2,1.2,1.2,680,770,952,2.8,2.8,2.8
LGA22750,36,38,39,731,1100,1517,328,405,516,125,160,231,860,1103,1341,1.1,1.1,1.1,698,885,1048,2.5,2.5,2.4
LGA22830,34,36,37,758,1083,1300,364,428,512,125,150,185,855,1071,1206,1.1,1.1,1.1,722,885,977,2.7,2.6,2.5
LGA22910,40,43,46,650,867,1226,287,358,454,110,150,185,685,905,1072,1.1,1.1,1.1,556,692,846,2.4,2.3,2.3
LGA22980,42,45,47,433,607,800,312,362,441,55,80,120,742,914,990,1.1,1.1,1.1,572,652,789,2.4,2.3,2.3
LGA23110,35,37,38,900,1300,1800,383,460,581,160,190,281,970,1205,1568,1.1,1.1,1.1,821,1026,1284,2.6,2.6,2.6
LGA23190,37,39,40,607,910,1170,351,439,532,100,135,170,797,1073,1207,1.1,1.1,1.1,663,833,947,2.5,2.4,2.4
LGA23270,31,32,33,867,1300,1712,355,403,477,155,185,280,927,1112,1309,1.1,1.1,1.1,872,1033,1213,3.2,3.1,3.1
LGA23350,39,41,44,737,1083,1367,360,451,539,115,140,180,870,1150,1321,1.1,1.1,1.1,735,957,1059,2.6,2.6,2.5
LGA23430,37,38,39,953,1400,1950,406,483,596,160,195,300,1023,1256,1625,1.1,1.1,1.1,836,1050,1289,2.5,2.5,2.5
LGA23670,33,36,38,867,1257,1733,430,499,597,165,201,300,1107,1309,1610,1.1,1.1,1.1,989,1161,1397,2.9,2.8,2.8
LGA23810,35,37,38,542,867,1200,296,376,465,92,120,160,790,1053,1236,1.1,1.1,1.1,632,786,941,2.5,2.4,2.4
LGA23940,42,45,50,455,576,758,278,324,379,60,80,100,646,774,880,1.1,1.1,1.1,523,591,690,2.4,2.3,2.2
LGA24130,36,38,40,867,1213,1733,404,482,590,126,170,240,1039,1277,1661,1.1,1.1,1.1,905,1125,1389,2.8,2.8,2.7
LGA24210,38,40,42,1127,1582,2000,430,486,570,210,250,360,1217,1414,1713,1.1,1.1,1.1,1089,1233,1465,2.9,2.8,2.8
LGA24250,40,40,42,667,1016,1200,306,390,485,100,144,180,714,1015,1146,1.1,1.1,1.1,598,758,889,2.4,2.3,2.3
LGA24330,35,34,34,910,1430,2000,314,419,571,130,170,280,842,1132,1525,1.2,1.2,1.2,691,932,1252,2.4,2.4,2.5
LGA24410,35,37,38,867,1275,1733,431,501,608,160,195,290,1081,1284,1615,1.1,1.1,1.1,906,1088,1305,2.6,2.6,2.6
LGA24600,30,30,30,1300,1733,2167,486,601,749,235,295,400,1265,1584,1962,1.2,1.2,1.2,916,1088,1356,2.0,1.9,2.0
LGA24650,30,31,32,850,1300,1733,417,503,609,150,186,270,1014,1217,1486,1.1,1.1,1.1,938,1136,1361,3.1,3.0,3.0
LGA24780,35,37,39,650,1000,1268,336,396,464,120,150,170,780,1024,1092,1.1,1.1,1.1,659,783,878,2.6,2.5,2.5
LGA24850,33,35,36,780,1192,1600,375,454,550,120,151,205,891,1137,1368,1.1,1.1,1.1,778,1010,1167,2.8,2.8,2.7
LGA24900,39,41,43,654,979,1200,328,380,437,100,133,160,773,970,1001,1.1,1.1,1.1,638,751,825,2.5,2.5,2.4
LGA24970,37,38,38,1000,1430,2000,393,442,520,185,230,345,1085,1287,1549,1.1,1.1,1.1,941,1120,1318,2.7,2.7,2.7
LGA25060,36,37,38,1018,1500,2000,409,490,625,152,195,300,1088,1338,1776,1.1,1.1,1.1,880,1083,1374,2.5,2.5,2.5
LGA25150,34,37,39,800,1123,1517,356,437,537,120,150,203,935,1169,1409,1.1,1.1,1.1,812,1025,1179,2.9,2.8,2.7
LGA25250,35,36,35,932,1350,1950,331,411,548,155,196,310,869,1119,1452,1.2,1.1,1.2,730,929,1212,2.5,2.4,2.5
LGA25340,39,41,43,850,1300,1733,361,438,539,135,175,260,881,1126,1351,1.1,1.1,1.1,716,913,1053,2.5,2.5,2.4
LGA25430,41,44,46,600,867,1213,288,366,459,115,150,190,693,920,1078,1.1,1.1,1.1,548,679,839,2.4,2.3,2.3
LGA25490,38,40,41,625,886,1300,345,437,534,80,120,150,802,1090,1276,1.1,1.1,1.1,685,900,1046,2.7,2.6,2.6
LGA25620,38,41,45,693,1000,1400,329,416,478,100,130,168,768,1051,1161,1.1,1.1,1.1,637,834,922,2.5,2.4,2.4
LGA25710,33,36,38,1040,1408,1950,486,567,695,175,225,310,1349,1653,2070,1.1,1.1,1.1,1226,1491,1867,3.2,3.1,3.0
LGA25810,38,42,44,546,728,910,309,376,453,95,111,140,731,960,1053,1.1,1.1,1.1,589,719,823,2.5,2.4,2.3
LGA25900,34,35,35,1298,1733,2200,587,762,978,200,250,365,1395,1856,2371,1.1,1.1,1.2,969,1227,1665,1.9,1.9,2.0
LGA25990,42,45,47,500,689,997,275,333,388,79,90,130,657,791,910,1.1,1.1,1.1,524,624,730,2.4,2.4,2.3
LGA26080,47,51,54,867,1057,1500,346,433,583,140,170,230,894,1126,1422,1.1,1.0,1.0,633,796,1028,2.2,2.2,2.1
LGA26170,39,42,44,650,975,1300,318,387,480,85,120,180,769,1019,1148,1.1,1.1,1.1,623,780,919,2.6,2.5,2.4
LGA26260,40,41,43,520,823,1083,329,425,507,80,110,150,771,1057,1187,1.1,1.1,1.1,618,802,913,2.4,2.4,2.3
LGA26350,35,36,35,1350,1950,2447,588,716,893,200,245,360,1604,2014,2465,1.1,1.1,1.1,1088,1319,1718,2.2,2.2,2.2
LGA26430,44,47,49,607,813,1104,303,374,457,90,114,158,699,939,1027,1.1,1.1,1.1,556,693,840,2.3,2.3,2.2
LGA26490,36,38,39,867,1218,1800,385,484,595,147,200,285,927,1198,1516,1.1,1.1,1.1,781,1065,1273,2.6,2.6,2.6
LGA26610,35,38,38,628,867,1192,341,406,482,100,120,157,759,1021,1089,1.1,1.1,1.1,635,765,880,2.6,2.5,2.5
LGA26670,42,45,47,590,867,1083,324,374,453,80,92,130,790,992,1052,1.1,1.1,1.1,671,735,855,2.5,2.4,2.3
LGA26700,38,40,42,661,975,1300,339,415,499,110,140,175,800,1045,1170,1.1,1.1,1.1,656,798,912,2.5,2.4,2.4
LGA26730,34,36,38,693,1083,1495,342,423,535,120,165,220,818,1091,1296,1.1,1.1,1.1,676,874,1026,2.5,2.5,2.4
LGA26810,37,40,41,607,867,1213,313,385,475,100,125,170,778,1024,1168,1.1,1.1,1.1,635,776,906,2.6,2.4,2.4
LGA26890,41,43,46,433,542,715,316,408,494,45,45,70,734,1028,1033,1.1,1.1,1.1,572,739,817,2.4,2.4,2.3
LGA26980,37,38,38,1000,1408,1950,410,479,559,179,220,320,1117,1354,1682,1.1,1.1,1.1,910,1113,1314,2.5,2.6,2.6
LGA27070,32,34,34,867,1300,1863,351,405,518,165,200,300,927,1112,1375,1.1,1.1,1.1,883,1047,1273,3.2,3.0,3.0
LGA27170,31,33,34,780,1170,1473,386,482,582,130,170,205,890,1148,1317,1.1,1.1,1.1,752,994,1070,2.6,2.6,2.5
LGA27260,31,32,31,850,1300,1800,430,516,633,150,185,280,1041,1269,1556,1.1,1.1,1.1,952,1163,1422,3.0,2.9,2.9
LGA27350,32,33,34,1270,1750,2253,502,644,850,200,254,370,1245,1640,2198,1.1,1.1,1.2,970,1224,1670,2.1,2.2,2.2
LGA27450,34,36,38,828,1200,1642,401,474,578,145,185,265,1002,1210,1492,1.1,1.1,1.1,885,1085,1279,2.9,2.8,2.7
LGA27630,41,45,47,400,520,650,312,354,427,53,78,110,749,887,986,1.1,1.1,1.1,583,651,769,2.4,2.3,2.3
LGA29399,30,32,31,735,867,1500,683,814,972,1035,1800,1500,933,1166,1339,1.2,1.3,1.2,1550,2323,2337,2.4,2.2,1.9
LGA30250,26,25,26,0,0,0,150,220,262,50,0,80,446,581,633,2.0,2.0,1.8,772,965,1148,5.3,5.7,5.0
LGA30300,32,35,38,650,867,1200,429,490,565,70,90,120,878,1097,1202,1.2,1.1,1.1,751,961,992,2.7,2.7,2.6
LGA30370,34,35,37,650,975,1625,398,552,673,79,100,150,942,1283,1646,1.1,1.1,1.1,803,1128,1367,2.7,2.6,2.6
LGA30410,36,39,42,498,600,867,376,414,554,50,50,78,826,1055,1252,1.1,1.1,1.1,675,748,960,2.6,2.5,2.4
LGA30450,36,43,46,1200,3000,453,435,515,641,24,70,70,1054,1083,1363,1.1,1.1,1.2,780,796,948,2.7,2.3,2.3
LGA30760,37,43,43,433,500,953,369,405,502,58,65,99,823,944,1170,1.1,1.1,1.1,641,729,876,2.5,2.4,2.3
LGA30900,30,36,36,720,795,500,439,540,621,50,50,50,1045,1166,1237,1.3,1.3,1.3,954,1046,1130,3.2,2.9,2.6
LGA31000,34,35,35,975,1452,2100,416,552,692,170,240,350,1064,1414,1873,1.1,1.1,1.1,870,1179,1544,2.5,2.5,2.6
LGA31750,38,44,46,398,338,934,564,704,763,0,75,100,881,1239,1347,1.2,1.1,1.1,692,909,891,2.6,2.4,2.5
LGA31820,39,42,43,650,910,1350,274,355,418,120,160,230,648,862,980,1.1,1.1,1.1,550,715,829,2.5,2.5,2.4
LGA31900,36,40,42,685,867,1300,362,430,529,100,120,180,840,1089,1284,1.1,1.1,1.1,702,851,989,2.6,2.5,2.5
LGA31950,39,43,46,1542,0,884,641,818,1039,50,50,80,737,1073,1231,1.6,1.1,1.4,780,1017,1161,3.2,2.5,2.6
LGA32070,34,36,37,940,1257,1733,419,529,614,150,200,255,919,1192,1393,1.1,1.1,1.1,773,1061,1136,2.5,2.5,2.5
LGA32250,42,48,50,580,914,898,348,438,518,79,80,120,832,1075,1310,1.4,1.3,1.3,671,830,900,3.0,2.9,2.6
LGA32260,38,41,44,737,897,1300,336,424,497,110,139,200,751,1032,1145,1.2,1.2,1.1,629,825,923,2.6,2.5,2.5
LGA32270,32,34,34,784,1322,2000,443,654,896,75,81,120,1176,1689,2321,1.1,1.1,1.1,970,1391,1871,2.8,2.8,2.8
LGA32310,33,37,39,688,901,1350,329,385,481,110,120,170,836,1060,1221,1.2,1.1,1.1,691,848,960,2.7,2.6,2.5
LGA32330,19,18,21,0,0,0,194,225,281,55,70,73,488,586,717,1.5,1.5,1.5,591,597,780,4.5,4.3,4.3
LGA32450,32,34,38,800,837,1500,602,730,1050,72,75,120,1063,1391,1871,1.2,1.2,1.2,864,1159,1413,2.8,2.7,2.7
LGA32500,40,45,43,614,867,1000,306,438,546,80,100,125,587,896,1062,1.4,1.3,1.3,553,784,921,2.5,2.4,2.3
LGA32600,35,35,40,0,1094,844,356,445,520,54,100,115,692,1014,1053,1.4,1.4,1.2,611,900,806,2.5,2.9,2.8
LGA32750,36,40,50,0,0,780,480,595,744,60,85,100,933,1170,1196,1.2,1.2,1.0,840,1077,1087,2.7,2.4,2.3
LGA32770,21,21,23,0,0,303,195,226,292,50,40,105,628,609,683,2.2,2.1,1.9,953,1145,1165,6.1,6.5,5.1
LGA33100,43,49,51,375,607,650,356,448,531,47,60,70,746,945,944,1.2,1.2,1.2,588,732,796,2.5,2.4,2.3
LGA33200,35,39,44,563,489,693,400,457,539,55,65,80,873,1086,1175,1.2,1.1,1.1,722,808,937,2.7,2.5,2.3
LGA33220,42,44,45,650,997,1387,265,345,396,120,180,235,599,811,912,1.1,1.1,1.1,527,692,783,2.4,2.4,2.4
LGA33360,34,35,36,823,1200,2000,346,494,690,125,175,300,943,1319,1941,1.1,1.1,1.1,820,1160,1686,2.7,2.7,2.7
LGA33430,38,38,38,984,1517,2075,361,477,565,180,270,350,828,1157,1379,1.1,1.1,1.1,706,1028,1167,2.5,2.5,2.5
LGA33610,35,37,39,859,1070,1300,392,456,569,90,110,155,827,1084,1232,1.1,1.1,1.1,720,899,1013,2.6,2.5,2.5
LGA33620,39,41,43,650,880,1347,271,345,411,115,150,220,633,851,947,1.1,1.1,1.1,549,699,807,2.5,2.5,2.4
LGA33800,40,44,47,650,804,1200,291,384,477,90,100,160,707,1015,1187,1.1,1.1,1.1,587,752,908,2.5,2.4,2.4
LGA33830,25,27,25,0,0,0,193,234,305,25,65,90,521,733,738,1.5,1.5,1.4,492,688,917,3.9,3.8,3.9
LGA33960,32,33,32,693,1101,1733,352,466,587,125,180,280,862,1135,1398,1.1,1.1,1.1,755,1026,1231,2.8,2.8,2.8
LGA33980,32,34,35,350,1146,1907,535,874,1346,45,52,63,1399,1966,2671,1.1,1.1,1.1,1193,1773,2553,2.8,2.8,2.9
LGA34420,27,28,28,0,0,0,180,239,293,50,30,45,470,739,760,1.8,1.7,1.6,712,1066,1065,4.8,4.9,4.1
LGA34570,32,25,30,0,0,0,464,224,368,20,50,105,900,714,1062,1.5,1.5,1.4,782,938,1085,3.4,4.1,3.9
LGA34580,34,37,37,680,997,1517,293,373,455,120,160,250,750,990,1163,1.1,1.1,1.1,652,825,999,2.7,2.7,2.7
LGA34590,31,32,33,800,1213,1800,364,472,572,140,200,300,862,1147,1381,1.1,1.1,1.1,775,1063,1261,2.9,2.9,2.9
LGA34710,35,39,42,703,892,1465,421,483,621,75,100,142,945,1138,1422,1.1,1.1,1.1,774,920,1061,2.6,2.5,2.5
LGA34770,34,36,36,867,1300,2167,341,499,682,130,190,310,837,1287,1821,1.1,1.1,1.1,713,1134,1553,2.7,2.7,2.7
LGA34800,33,37,40,433,2142,975,566,842,1095,40,55,0,957,1092,1410,1.2,1.1,1.1,732,882,1066,2.6,2.4,2.4
LGA34830,24,33,31,0,0,0,191,226,316,30,53,53,487,531,854,1.7,1.4,1.3,566,1097,933,4.3,2.7,3.2
LGA34860,35,36,37,639,888,1365,395,502,673,78,100,150,860,1134,1444,1.1,1.1,1.1,708,939,1181,2.6,2.6,2.6
LGA35010,34,36,36,862,1300,1928,349,462,575,145,200,300,878,1168,1451,1.1,1.1,1.1,759,1048,1253,2.7,2.7,2.7
LGA35250,25,28,27,0,0,0,186,214,295,35,37,60,492,552,690,1.9,1.7,1.6,650,718,1035,4.6,4.4,4.0
LGA35300,30,31,32,867,1083,2000,503,677,923,122,150,250,1274,1673,2397,1.2,1.2,1.2,1081,1422,1943,2.8,2.7,2.7
LGA35600,35,38,39,520,687,1083,389,464,569,77,86,130,807,1048,1259,1.1,1.1,1.1,665,824,981,2.6,2.4,2.5
LGA35670,24,24,23,0,0,0,182,226,258,40,65,90,445,587,692,1.5,1.6,1.5,476,673,840,4.0,4.0,4.2
LGA35760,40,43,45,600,730,1000,313,382,442,70,90,113,697,868,950,1.1,1.1,1.1,576,697,786,2.4,2.4,2.3
LGA35780,23,22,27,0,0,0,235,288,497,40,50,60,526,676,907,1.7,1.5,1.5,660,719,1032,4.2,3.7,3.6
LGA35790,22,22,23,0,0,0,179,221,290,80,50,100,613,670,954,2.2,2.0,1.8,673,864,1156,5.8,5.1,4.8
LGA35800,37,43,45,433,567,520,321,346,484,58,75,85,658,784,1165,1.1,1.1,1.1,553,583,848,2.5,2.4,2.3
LGA36070,29,30,34,0,0,0,261,242,337,40,0,77,767,741,768,1.6,1.4,1.5,906,784,1062,4.2,4.0,3.5
LGA36150,36,38,44,542,500,650,454,608,635,49,55,80,892,1029,1134,1.1,1.1,1.1,719,767,928,2.4,2.5,2.3
LGA36250,36,38,39,867,1387,2000,381,488,602,170,240,350,964,1246,1604,1.1,1.1,1.1,845,1117,1362,2.8,2.7,2.7
LGA36300,33,37,41,500,498,715,391,473,564,20,0,34,842,1053,1104,1.1,1.1,1.1,693,874,961,2.7,2.5,2.4
LGA36360,35,37,37,700,1010,1690,315,423,564,120,150,250,797,1100,1435,1.1,1.1,1.1,659,904,1151,2.6,2.6,2.6
LGA36510,38,40,41,800,1155,1733,323,411,494,120,160,250,755,1055,1212,1.1,1.1,1.1,652,889,1007,2.6,2.6,2.6
LGA36580,38,41,41,650,984,1500,277,355,438,110,150,240,686,917,1069,1.1,1.1,1.1,593,765,926,2.7,2.6,2.6
LGA36630,38,40,42,572,850,1200,282,352,400,100,135,195,656,854,952,1.1,1.1,1.1,563,702,792,2.5,2.5,2.4
LGA36660,37,40,42,650,888,1300,291,369,447,100,140,195,700,911,1001,1.1,1.1,1.1,576,711,837,2.5,2.5,2.4
LGA36710,40,42,42,867,1300,1863,313,426,515,160,245,325,711,1054,1219,1.1,1.1,1.1,616,895,1004,2.5,2.5,2.5
LGA36810,38,41,43,780,975,1424,291,373,444,102,130,185,686,924,1049,1.2,1.1,1.1,566,731,853,2.5,2.5,2.4
LGA36910,34,35,37,737,1083,1517,339,431,545,125,165,230,829,1102,1308,1.1,1.1,1.1,700,928,1059,2.6,2.6,2.5
LGA36950,29,27,30,1000,1083,1817,425,439,709,85,100,120,960,1099,1577,1.5,1.4,1.4,927,1115,1568,3.4,3.4,3.4
LGA36960,22,23,23,0,0,0,210,245,320,40,50,60,592,691,788,1.6,1.4,1.4,628,758,871,4.3,3.9,3.7
LGA37010,32,33,34,867,1200,1860,396,517,652,140,185,290,959,1248,1626,1.1,1.1,1.1,829,1109,1368,2.7,2.6,2.6
LGA37300,33,33,33,845,1386,2000,695,1013,1199,35,36,250,1471,2076,2647,1.1,1.2,1.2,1202,1772,2410,2.7,2.8,2.8
LGA37310,36,38,37,585,867,1300,314,413,580,81,111,200,720,1022,1294,1.1,1.1,1.1,620,822,1075,2.6,2.6,2.6
LGA37340,38,39,40,800,1127,1768,379,504,624,130,175,265,802,1144,1405,1.2,1.1,1.1,675,1009,1142,2.5,2.4,2.4
LGA37400,39,45,49,433,500,921,402,465,570,44,63,80,844,1113,1081,1.2,1.1,1.1,667,829,866,2.6,2.3,2.3
LGA37550,21,20,22,0,0,0,196,198,284,55,60,105,521,487,706,1.9,1.7,1.6,638,551,757,4.3,4.2,3.8
LGA37570,33,29,25,368,0,0,134,233,266,50,54,65,339,781,614,1.4,1.4,1.4,361,789,866,3.0,3.5,3.6
LGA37600,20,20,21,0,0,0,185,223,274,75,90,120,594,683,728,2.0,2.0,1.7,769,1008,1004,5.6,5.6,4.9
LGA39399,49,49,50,0,0,0,530,770,672,0,5740,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40070,37,35,34,1083,1517,1857,466,561,619,175,245,320,1364,1696,1870,1.1,1.1,1.1,822,1029,1139,1.7,1.9,1.9
LGA40120,37,40,41,850,1170,1700,434,533,655,140,180,260,1090,1379,1798,1.1,1.1,1.1,944,1204,1504,2.7,2.7,2.7
LGA40220,42,44,47,650,1000,1365,298,376,450,120,151,210,692,902,1019,1.1,1.1,1.1,572,722,864,2.4,2.4,2.3
LGA40250,25,26,27,0,0,0,185,221,280,32,20,20,506,585,691,1.9,1.7,1.6,802,880,1135,4.7,4.1,3.8
LGA40310,38,40,41,693,1083,1460,399,478,564,120,160,215,920,1155,1394,1.1,1.1,1.1,770,1008,1121,2.5,2.5,2.5
LGA40430,43,46,50,427,604,867,269,335,397,80,100,140,622,785,918,1.1,1.1,1.1,517,596,724,2.3,2.3,2.2
LGA40520,37,39,41,574,867,1083,352,393,448,100,122,150,789,1000,997,1.1,1.1,1.1,660,761,801,2.5,2.4,2.3
LGA40700,42,43,43,1083,1460,2000,474,595,705,150,200,290,1367,1746,2123,1.1,1.1,1.1,965,1224,1468,2.4,2.4,2.4
LGA40910,38,39,40,758,1083,1600,337,413,515,135,180,260,874,1137,1366,1.1,1.1,1.1,706,903,1069,2.5,2.5,2.5
LGA41010,35,36,39,542,860,1192,333,427,590,72,100,130,759,1034,1327,1.1,1.1,1.1,658,891,1053,2.6,2.6,2.5
LGA41060,39,41,41,758,1100,1700,318,404,520,115,155,235,831,1103,1345,1.1,1.1,1.1,639,815,1019,2.3,2.3,2.3
LGA41140,40,42,43,584,867,1200,350,432,524,95,125,180,779,1052,1193,1.1,1.1,1.1,657,821,951,2.5,2.4,2.4
LGA41190,38,42,43,499,650,733,343,427,545,50,88,86,748,1016,1136,1.1,1.1,1.1,624,796,944,2.4,2.5,2.3
LGA41330,41,48,49,477,433,581,281,336,471,70,85,100,569,755,1057,1.2,1.1,1.1,491,542,739,2.3,2.0,2.0
LGA41560,43,45,47,498,737,1083,261,330,398,100,125,185,595,771,926,1.1,1.1,1.0,489,624,754,2.3,2.3,2.2
LGA41750,38,42,45,477,557,1083,306,379,504,50,74,69,660,903,988,1.1,1.1,1.1,565,721,802,2.6,2.6,2.3
LGA41830,41,46,47,401,620,910,294,361,509,80,99,131,698,867,1166,1.1,1.1,1.1,549,698,915,2.4,2.4,2.3
LGA41960,40,44,44,518,660,1120,279,417,466,80,112,170,664,1013,992,1.1,1.1,1.1,556,795,859,2.4,2.4,2.3
LGA42030,37,39,40,650,1000,1408,321,408,513,120,160,224,817,1076,1253,1.1,1.1,1.1,657,837,959,2.5,2.4,2.4
LGA42110,40,43,46,433,585,758,282,334,413,60,92,120,648,798,940,1.1,1.1,1.1,526,607,770,2.4,2.3,2.3
LGA42250,37,38,41,650,999,1300,396,488,577,75,100,135,954,1187,1372,1.1,1.1,1.1,841,1065,1171,2.7,2.7,2.7
LGA42600,43,44,45,867,1257,1850,403,515,646,140,185,270,1019,1339,1727,1.1,1.1,1.1,696,954,1156,2.1,2.1,2.1
LGA42750,39,42,46,535,780,1083,322,418,497,85,120,159,678,1008,1053,1.1,1.1,1.1,564,760,843,2.4,2.3,2.2
LGA43080,39,44,46,425,527,802,291,331,394,40,60,92,686,832,887,1.1,1.1,1.1,556,660,746,2.5,2.5,2.4
LGA43220,38,42,43,371,433,575,338,438,586,50,50,83,757,1036,1365,1.1,1.1,1.1,593,740,1039,2.5,2.3,2.4
LGA43360,39,43,46,574,700,1083,321,396,481,72,100,130,736,935,988,1.1,1.1,1.0,596,720,822,2.4,2.3,2.2
LGA43650,36,36,38,650,1083,1430,359,467,568,110,150,200,866,1179,1457,1.1,1.1,1.1,761,1074,1277,2.8,2.8,2.8
LGA43710,38,39,40,607,971,1200,343,426,518,80,100,150,754,1037,1238,1.1,1.1,1.1,649,838,1054,2.6,2.6,2.6
LGA43790,38,40,43,555,800,1062,344,405,452,97,113,136,763,1022,1070,1.1,1.1,1.1,633,759,826,2.5,2.4,2.3
LGA43920,34,37,40,655,968,1354,349,429,521,118,135,190,836,1092,1317,1.1,1.1,1.1,762,973,1161,2.8,2.8,2.7
LGA44000,26,29,39,0,0,0,185,322,266,20,0,0,394,700,724,1.6,2.1,1.2,680,1416,1531,3.9,4.4,1.9
LGA44060,39,39,39,737,1083,1600,341,438,548,110,158,240,852,1135,1422,1.1,1.1,1.1,661,869,1063,2.3,2.3,2.3
LGA44210,41,45,48,500,693,1083,278,321,401,80,106,145,644,783,931,1.1,1.1,1.1,517,622,754,2.3,2.3,2.2
LGA44340,40,40,41,867,1203,1733,407,514,626,140,180,265,1110,1423,1815,1.1,1.1,1.1,845,1127,1382,2.4,2.5,2.5
LGA44550,34,36,38,715,1100,1612,380,474,594,135,180,265,888,1178,1502,1.1,1.1,1.1,756,1028,1251,2.7,2.7,2.6
LGA44620,34,36,37,650,900,1257,368,432,509,100,128,160,855,1062,1174,1.1,1.1,1.1,692,825,902,2.4,2.4,2.3
LGA44830,43,46,47,477,542,910,281,334,411,60,83,100,630,819,994,1.1,1.1,1.1,528,689,797,2.5,2.4,2.3
LGA45040,36,39,39,563,867,1200,297,370,451,95,130,180,683,893,1026,1.1,1.1,1.1,562,690,838,2.4,2.4,2.4
LGA45090,36,37,39,520,802,1083,401,477,580,85,116,150,856,1102,1243,1.1,1.1,1.1,713,929,1015,2.5,2.4,2.4
LGA45120,40,43,45,433,640,900,288,356,461,66,85,115,641,881,1069,1.1,1.1,1.1,539,679,856,2.5,2.4,2.3
LGA45290,38,39,39,900,1300,1809,390,486,594,130,180,260,1029,1357,1677,1.1,1.1,1.1,708,935,1131,2.1,2.1,2.2
LGA45340,35,37,38,650,1000,1473,355,437,539,130,170,250,857,1097,1311,1.1,1.1,1.1,733,919,1077,2.6,2.6,2.5
LGA45400,44,47,51,451,368,867,289,346,433,70,50,95,690,774,1090,1.1,1.1,1.1,555,652,864,2.4,2.3,2.3
LGA45540,42,46,50,300,390,563,241,279,367,75,70,125,511,641,727,1.1,1.1,1.1,413,514,580,2.2,2.1,2.0
LGA45680,32,34,32,574,867,1300,284,368,452,100,135,200,686,900,1063,1.1,1.1,1.1,583,724,896,2.7,2.6,2.6
LGA45890,38,38,37,650,1083,1600,288,378,480,100,145,220,717,1009,1221,1.1,1.1,1.1,551,730,951,2.3,2.3,2.4
LGA46090,35,37,39,500,700,1200,321,418,538,85,116,155,752,1030,1245,1.1,1.1,1.1,604,797,992,2.5,2.4,2.4
LGA46300,34,36,38,650,1000,1300,338,441,522,110,145,180,788,1058,1203,1.1,1.1,1.1,646,831,922,2.5,2.4,2.4
LGA46450,38,40,41,477,650,1000,272,340,405,80,110,150,683,886,1006,1.1,1.1,1.1,548,657,775,2.4,2.4,2.3
LGA46510,36,36,36,867,1300,1777,429,530,654,135,175,259,1110,1430,1821,1.1,1.1,1.1,805,1071,1335,2.3,2.4,2.4
LGA46670,37,39,40,607,806,1083,342,415,464,100,120,150,770,1010,1052,1.1,1.1,1.1,631,764,844,2.5,2.5,2.4
LGA46860,39,43,47,628,900,1389,358,439,492,92,120,161,751,1078,1206,1.1,1.1,1.0,666,795,881,2.3,2.4,2.3
LGA46970,29,32,32,867,1300,2323,840,1191,1523,110,146,196,1549,2187,2840,1.1,1.1,1.1,1382,2015,2718,2.9,2.9,2.9
LGA47140,33,35,35,618,975,1410,327,417,500,120,160,240,786,1038,1193,1.1,1.1,1.1,689,873,1019,2.7,2.6,2.6
LGA47290,37,41,43,430,477,780,369,429,498,50,64,85,761,1001,1060,1.1,1.1,1.1,641,755,877,2.5,2.3,2.3
LGA47490,38,42,44,500,780,1116,304,394,472,79,105,140,664,963,1044,1.1,1.1,1.1,547,735,843,2.5,2.4,2.4
LGA47630,35,37,39,520,802,1000,391,462,536,80,100,135,822,1087,1152,1.1,1.1,1.1,717,938,949,2.6,2.5,2.5
LGA47700,35,37,39,737,1083,1517,406,494,588,145,185,260,999,1229,1493,1.1,1.0,1.0,874,1083,1243,2.7,2.6,2.6
LGA47800,38,40,43,520,650,877,300,371,431,65,70,110,677,843,964,1.1,1.1,1.1,563,674,785,2.5,2.4,2.4
LGA47910,43,46,46,542,800,1200,282,367,465,80,110,150,634,819,1012,1.1,1.1,1.1,519,666,775,2.4,2.3,2.2
