region_id,Med_age_persns_C2001,Med_age_persns_C2006,Med_age_persns_C2011,Med_mortg_rep_mon_C2001,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_person_inc_we_C2001,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_rent_weekly_C2001,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_Famly_inc_we_C2001,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Avg_num_p_per_brm_C2001,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Med_tot_hh_inc_wee_C2001,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Average_hh_size_C2001,Average_hh_size_C2006,Average_hh_size_C2011
LGA12300,42,44,46,693,1036,1300,332,395,477,115,150,180,767,1017,1093,1.1,1.1,1.1,636,780,877,2.4,2.4,2.3
LGA12350,38,41,44,650,975,1098,311,362,416,92,130,155,721,908,1003,1.1,1.1,1.1,591,701,788,2.5,2.5,2.3
LGA12500,37,41,44,676,867,1083,355,407,490,110,120,150,832,1024,1169,1.1,1.1,1.0,660,762,859,2.4,2.3,2.2
LGA12600,33,35,36,867,1170,1500,386,462,578,125,155,200,883,1116,1340,1.1,1.1,1.1,754,965,1094,2.7,2.6,2.6
LGA12700,39,41,44,780,1200,1647,302,384,483,110,150,185,772,1066,1278,1.1,1.1,1.1,648,877,1009,2.6,2.6,2.5
LGA12750,44,47,50,758,1083,1430,275,344,424,120,170,220,610,780,939,1.1,1.1,1.1,524,664,786,2.3,2.3,2.3
LGA12850,33,34,35,1000,1500,1800,282,318,368,150,180,280,811,946,1065,1.2,1.2,1.2,762,871,1019,3.3,3.2,3.2
LGA12900,37,40,41,650,867,1127,310,368,462,90,120,150,728,911,1010,1.1,1.1,1.1,584,690,835,2.5,2.4,2.4
LGA12950,40,42,44,650,867,953,275,355,423,75,100,120,676,862,932,1.1,1.1,1.1,554,704,779,2.6,2.5,2.4
LGA13010,40,43,46,596,780,1083,282,341,398,80,110,155,648,776,915,1.1,1.1,1.1,517,616,736,2.4,2.3,2.3
LGA13050,42,47,49,758,1083,1517,280,344,428,100,120,165,691,855,971,1.1,1.1,1.1,564,691,805,2.5,2.3,2.3
LGA13100,38,40,41,1083,1517,1950,363,435,529,180,215,280,936,1163,1395,1.1,1.1,1.1,755,943,1085,2.5,2.5,2.5
LGA13310,36,38,40,800,1146,1517,345,402,521,120,150,185,850,1077,1281,1.1,1.1,1.1,689,842,982,2.5,2.4,2.4
LGA13320,47,49,52,834,1170,1395,270,337,395,135,175,220,599,770,881,1.1,1.1,1.1,511,641,735,2.3,2.2,2.2
LGA13340,38,41,43,650,950,1200,323,407,482,85,100,150,780,1037,1181,1.1,1.1,1.1,663,835,948,2.7,2.5,2.5
LGA13380,40,43,46,737,1040,1300,277,338,394,115,150,200,649,800,930,1.1,1.1,1.1,544,662,770,2.5,2.4,2.4
LGA13450,33,35,36,962,1300,1517,397,466,538,135,160,180,912,1139,1288,1.1,1.1,1.1,783,994,1062,2.8,2.7,2.7
LGA13500,38,40,43,663,867,1186,325,379,467,70,100,145,760,935,1130,1.1,1.1,1.1,617,747,907,2.6,2.6,2.5
LGA13550,37,40,40,676,867,1300,290,369,494,100,120,185,691,914,1200,1.1,1.1,1.1,580,726,939,2.6,2.5,2.5
LGA13650,38,39,41,650,804,1083,293,357,421,80,100,150,712,911,985,1.1,1.1,1.1,589,719,806,2.6,2.6,2.5
LGA13660,40,43,45,563,650,928,280,331,391,50,60,100,634,757,907,1.1,1.1,1.1,535,625,734,2.5,2.4,2.3
LGA13700,40,44,47,560,758,1083,298,357,434,80,100,138,712,906,1030,1.1,1.1,1.1,599,679,779,2.5,2.4,2.4
LGA13800,32,34,36,1083,1625,2029,448,523,621,170,205,280,1080,1300,1598,1.1,1.1,1.1,964,1160,1380,2.9,2.8,2.8
LGA13850,37,40,45,620,650,1083,347,395,454,90,105,128,743,984,981,1.1,1.1,1.1,619,748,811,2.5,2.5,2.4
LGA13950,34,34,34,1100,1700,2058,388,431,516,200,225,330,982,1134,1353,1.2,1.2,1.2,854,997,1207,2.8,2.8,2.8
LGA14000,36,38,39,1430,2000,2400,502,576,676,260,300,401,1485,1749,2119,1.1,1.1,1.1,1244,1466,1820,2.9,2.8,2.9
LGA14100,39,41,41,2000,2700,3000,517,694,817,250,300,380,1775,2506,2715,1.1,1.1,1.1,1464,1776,2175,2.6,2.6,2.6
LGA14150,37,37,37,1300,1755,2167,411,455,538,210,240,350,1069,1228,1475,1.2,1.2,1.2,903,1067,1282,2.7,2.7,2.8
LGA14200,38,39,40,650,867,1200,287,357,434,95,120,165,668,839,963,1.1,1.1,1.1,559,666,791,2.5,2.5,2.5
LGA14250,37,43,45,550,800,1000,379,422,464,69,60,80,813,1017,1068,1.1,1.1,1.1,685,762,839,2.6,2.5,2.5
LGA14300,35,36,38,602,867,1192,323,364,477,90,105,155,791,992,1142,1.1,1.1,1.1,651,769,892,2.7,2.6,2.5
LGA14350,40,43,45,650,953,1300,260,321,387,115,150,190,592,757,902,1.1,1.1,1.1,510,632,752,2.5,2.4,2.4
LGA14400,39,43,45,1058,1452,2000,364,449,558,175,230,300,990,1236,1522,1.1,1.1,1.1,823,1058,1229,2.7,2.6,2.5
