region_id,C06_DS_ns_NPUR_5,C06_DS_ns_NPUR_6more,C06_Dwg_st_NS_T,C06_Tot_NPUR_1,C06_Tot_NPUR_2,C06_Tot_NPUR_3,C06_Tot_NPUR_4,C06_Tot_NPUR_5,C06_Tot_NPUR_6more,C06_T_T,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_S_r_t_h_t_1_s_NPUR_1,C11_S_r_t_h_t_1_s_NPUR_2,C11_S_r_t_h_t_1_s_NPUR_3,C11_S_r_t_h_t_1_s_NPUR_4,C11_S_r_t_h_t_1_s_NPUR_5,C11_S_r_t_h_t_1_s_NPUR_6mo,C11_SDRTHTS_To,C11_S_r_t_h_t_2mor_s_NPUR_1,C11_S_r_t_h_t_2mor_s_NPUR_2,C11_S_r_t_h_t_2mor_s_NPUR_3,C11_S_r_t_h_t_2mor_s_NPUR_4,C11_S_r_t_h_t_2mor_s_NPUR_5,C11_SDRTHT2S_NPUR_6mo,C11_SDRTHT2S_To,C11_Sd_r_t_h_t_To_NPUR_1,C11_Sd_r_t_h_t_To_NPUR_2,C11_Sd_r_t_h_t_To_NPUR_3,C11_Sd_r_t_h_t_To_NPUR_4,C11_Sd_r_t_h_t_To_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_Sd_r_t_h_t_To_Tot,C11_Fl_u_a_1_2SB_NPUR_1,C11_Fl_u_a_1_2SB_NPUR_2,C11_Fl_u_a_1_2SB_NPUR_3,C11_Fl_u_a_1_2SB_NPUR_4,C11_Fl_u_a_1_2SB_NPUR_5,C11_F_u_a_1_2SB_NPUR_6mor,C11_FUA_1_2SB_Tot,C11_F_u_a_I_a_3SB_NPUR_1,C11_F_u_a_I_a_3SB_NPUR_2,C11_F_u_a_I_a_3SB_NPUR_3,C11_F_u_a_I_a_3SB_NPUR_4,C11_F_u_a_I_a_3SB_NPUR_5,C11_F_u_a_I_a_3SB_NPUR_6m,C11_FUA_In_a_3_st_b_To,C11_F_u_a_4mor_s_b_NPUR_1,C11_F_u_a_4mor_s_b_NPUR_2,C11_F_u_a_4mor_s_b_NPUR_3,C11_F_u_a_4mor_s_b_NPUR_4,C11_F_u_a_4mor_s_b_NPUR_5,C11_F_u_a_4m_s_b_NPUR_6mor,C11_FUA_4mor_st_bl_Tot,C11_FUA_AH_NPUR_1,C11_FUA_AH_NPUR_2,C11_FUA_AH_NPUR_3,C11_FUA_AH_NPUR_4,C11_FUA_AH_NPUR_5,C11_FUA_AH_NPUR_6mo,C11_FUA_AH_Tot,C11_FUA_To_NPUR_1,C11_FUA_To_NPUR_2,C11_FUA_To_NPUR_3,C11_FUA_To_NPUR_4,C11_FUA_To_NPUR_5,C11_FUA_To_NPUR_6mo,C11_FUA_To_To,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mo,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mo,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_TO,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_T_T,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T
LGA10650,3,0,9,849,1292,369,330,202,90,3132,784,1215,308,307,154,85,2853,95,29,5,3,0,0,132,0,6,4,0,0,3,13,95,35,9,3,0,3,145,106,41,10,0,3,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,41,10,0,3,0,160,34,17,3,3,0,0,57,3,3,0,0,0,0,6,5,8,3,0,3,3,22,42,28,6,3,3,3,85,0,3,0,0,0,0,3,1027,1322,333,313,160,91,3246
LGA10750,3,0,23,14188,23083,16567,17817,8647,5301,85603,10752,20025,15123,17336,8559,5878,77673,1106,1068,656,602,266,174,3872,1125,1628,1598,1361,655,483,6850,2231,2696,2254,1963,921,657,10722,916,196,42,28,13,10,1205,479,491,300,181,60,34,1545,417,636,460,288,75,40,1916,70,48,13,3,3,4,141,1882,1371,815,500,151,88,4807,178,65,20,11,0,0,274,6,4,0,0,0,0,10,29,29,19,13,5,5,100,213,98,39,24,5,5,384,23,18,11,13,6,0,71,15101,24208,18242,19836,9642,6628,93657
LGA10800,0,0,0,618,846,321,244,187,92,2308,553,832,259,233,147,104,2128,10,5,0,0,0,0,15,0,0,0,0,0,0,0,10,5,0,0,0,0,15,63,15,3,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,66,15,3,0,3,0,87,9,0,0,0,0,0,9,0,3,0,0,0,0,3,6,5,3,3,3,0,20,15,8,3,3,3,0,32,0,0,0,0,0,0,0,644,860,265,236,153,104,2262
LGA10850,0,0,0,598,833,336,345,187,99,2398,586,877,328,331,194,100,2416,31,15,3,0,0,0,49,0,5,0,0,0,0,5,31,20,3,0,0,0,54,42,9,3,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,48,9,3,0,0,0,60,10,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,4,0,0,0,9,15,0,4,0,0,0,19,0,0,0,0,0,0,0,680,906,338,331,194,100,2549
LGA10900,0,0,0,6841,9253,4207,4278,1897,776,27252,5999,9000,4195,4186,1790,802,25972,514,317,69,35,12,3,950,252,142,43,20,7,4,468,766,459,112,55,19,7,1418,287,95,25,8,0,0,415,54,17,3,3,0,0,77,4,0,0,0,0,0,4,48,21,5,3,0,3,80,393,133,33,14,0,3,576,8,4,0,3,0,0,15,0,0,0,0,0,0,0,13,10,6,0,3,0,32,21,14,6,3,3,0,47,4,10,3,0,3,0,20,7183,9616,4349,4258,1815,812,28033
LGA10950,0,0,0,290,387,137,147,84,39,1084,261,322,136,136,79,38,972,16,3,3,3,0,0,25,0,0,0,0,0,0,0,16,3,3,3,0,0,25,23,6,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,29,9,3,0,0,0,0,12,0,0,0,0,0,0,0,4,4,0,0,0,0,8,13,7,0,0,0,0,20,3,0,0,0,0,0,3,316,338,139,139,79,38,1049
LGA11000,0,0,0,291,395,118,124,50,18,996,307,380,101,110,48,23,969,11,3,0,0,0,0,14,0,0,0,0,0,0,0,11,3,0,0,0,0,14,10,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,14,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,0,6,0,0,0,0,0,0,0,331,387,104,110,48,23,1003
LGA11050,0,0,0,278,349,102,90,74,32,925,286,340,101,98,66,27,918,23,7,0,0,0,0,30,0,0,3,0,0,0,3,23,7,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,6,3,0,3,3,0,0,9,6,3,3,3,0,3,18,0,0,0,0,0,0,0,315,350,107,101,66,30,969
LGA11100,0,0,6,3351,3883,2492,2187,859,373,13145,912,1513,1030,1256,571,295,5577,252,342,214,205,65,27,1105,179,237,224,206,86,29,961,431,579,438,411,151,56,2066,442,249,117,85,22,12,927,930,1023,705,498,139,42,3337,715,793,327,194,54,18,2101,0,0,0,5,0,0,5,2087,2065,1149,782,215,72,6370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,15,10,4,10,74,13,22,15,10,4,10,74,21,5,7,0,0,0,33,3464,4184,2639,2459,941,433,14120
LGA11150,0,0,0,297,306,142,118,89,73,1025,256,296,102,110,73,53,890,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,15,8,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,18,8,3,0,0,0,29,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,5,11,0,0,5,0,0,16,0,0,0,0,0,0,0,289,304,105,115,73,53,939
LGA11200,0,0,0,141,187,80,70,41,61,580,150,154,83,64,31,50,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,3,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,3,0,0,3,37,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,168,167,86,64,31,59,575
LGA11250,0,0,3,2522,2709,1049,869,377,167,7693,2245,2554,964,768,329,159,7019,57,14,0,0,3,0,74,0,0,0,0,0,0,0,57,14,0,0,3,0,74,169,47,13,8,8,0,245,0,0,0,0,0,0,0,24,28,8,7,0,0,67,0,0,0,3,0,0,3,193,75,21,18,8,0,315,9,9,0,0,0,0,18,0,0,0,0,0,0,0,3,4,0,0,0,3,10,12,13,0,0,0,3,28,0,0,0,0,0,0,0,2507,2656,985,786,340,162,7436
LGA11300,0,0,0,2222,2936,1932,1842,816,469,10217,849,1521,990,1256,624,391,5631,230,233,136,129,54,15,797,99,86,66,106,30,14,401,329,319,202,235,84,29,1198,302,267,167,86,40,8,870,366,459,364,245,56,22,1512,325,444,336,222,69,21,1417,14,3,0,6,0,3,26,1007,1173,867,559,165,54,3825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,6,3,8,3,60,19,21,6,3,8,3,60,7,3,3,0,0,0,13,2211,3037,2068,2053,881,477,10727
LGA11350,0,0,4,2852,3840,1764,1464,596,196,10712,2129,3362,1539,1392,539,235,9196,206,153,60,34,10,3,466,176,218,106,43,10,4,557,382,371,166,77,20,7,1023,265,146,46,19,0,0,476,36,22,3,3,0,0,64,0,5,0,0,0,0,5,35,15,7,0,0,0,57,336,188,56,22,0,0,602,189,83,14,5,0,0,291,10,0,0,0,0,0,10,32,14,4,0,0,0,50,231,97,18,5,0,0,351,11,7,3,3,0,0,24,3089,4025,1782,1499,559,242,11196
LGA11400,0,0,0,1034,1694,614,622,370,181,4515,971,1734,616,616,376,193,4506,41,7,0,0,3,0,51,7,6,0,0,0,0,13,48,13,0,0,3,0,64,49,11,4,3,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,11,4,3,0,0,67,26,0,0,6,0,0,32,5,3,0,3,0,0,11,8,9,0,0,4,0,21,39,12,0,9,4,0,64,0,5,0,0,0,0,5,1107,1775,620,628,383,193,4706
LGA11450,0,0,0,2225,4471,2912,3662,1713,741,15724,1883,4737,2986,4065,1806,920,16397,313,185,49,61,24,11,643,99,127,54,70,16,10,376,412,312,103,131,40,21,1019,164,56,8,3,0,3,234,11,11,0,0,0,0,22,0,0,0,0,0,0,0,11,3,4,3,0,0,21,186,70,12,6,0,3,277,102,36,3,0,0,0,141,0,0,0,0,0,0,0,3,3,3,3,3,0,15,105,39,6,3,3,0,156,4,12,0,4,3,3,26,2590,5170,3107,4209,1852,947,17875
LGA11500,0,6,18,8046,12711,8911,9064,4419,2591,45742,5500,10606,7518,7906,3830,2692,38052,1332,1178,587,374,157,69,3697,1023,995,669,467,225,209,3588,2355,2173,1256,841,382,278,7285,604,258,81,52,7,5,1007,199,180,40,14,3,0,436,118,125,30,9,3,0,285,35,17,3,0,0,0,55,956,580,154,75,13,5,1783,3,0,0,0,0,0,3,0,0,3,3,0,0,6,33,37,21,30,5,12,138,36,37,24,33,5,12,147,7,3,3,3,4,0,20,8854,13399,8955,8858,4234,2987,47287
LGA11520,0,0,9,5902,8640,4178,3827,1356,509,24412,1990,3570,2441,3017,1260,476,12754,254,377,210,175,43,15,1074,525,814,489,367,85,18,2298,779,1191,699,542,128,33,3372,920,790,282,157,30,9,2188,1054,1412,520,283,59,14,3342,1640,2597,1160,572,141,24,6134,13,17,3,3,0,0,36,3627,4816,1965,1015,230,47,11700,3,0,0,0,0,0,3,0,0,0,0,0,0,0,41,48,29,14,3,0,135,44,48,29,14,3,0,138,18,29,7,0,0,0,54,6458,9654,5141,4588,1621,556,28018
LGA11550,0,0,7,10245,12512,8140,7529,3537,2295,44258,3666,6471,4480,4981,2625,1877,24100,462,433,283,265,83,74,1600,558,827,677,582,280,156,3080,1020,1260,960,847,363,230,4680,3034,3082,2105,1484,555,250,10510,1425,1380,938,625,252,84,4704,484,469,253,203,62,35,1506,8,12,5,0,0,0,25,4951,4943,3301,2312,869,369,16745,5,0,3,0,0,3,11,0,0,0,0,0,0,0,60,70,39,46,17,6,238,65,70,42,46,17,9,249,44,40,30,14,14,12,154,9746,12784,8813,8200,3888,2497,45928
LGA11600,0,0,0,278,336,153,141,76,44,1028,236,338,119,121,62,43,919,5,3,0,0,0,0,8,0,0,0,0,0,0,0,5,3,0,0,0,0,8,21,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,25,16,10,0,0,0,0,26,4,0,0,0,0,0,4,0,0,0,0,0,0,0,20,10,0,0,0,0,30,0,0,0,0,0,0,0,282,355,119,121,62,43,982
LGA11700,0,0,0,263,225,76,60,29,50,703,204,198,69,61,37,37,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,3,0,0,0,43,13,6,0,0,0,0,19,0,0,0,0,0,0,0,15,7,0,0,0,0,22,28,13,0,0,0,0,41,12,10,13,3,0,12,50,266,239,85,64,37,49,740
LGA11720,3,0,29,3907,5759,2606,2613,1207,572,16664,3533,5832,2810,2620,1288,624,16707,404,267,78,55,19,5,828,29,20,4,0,0,0,53,433,287,82,55,19,5,881,335,143,38,11,3,3,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3,0,3,22,338,151,43,14,3,6,555,23,12,0,3,4,0,42,0,0,3,0,0,0,3,11,7,5,3,0,0,26,34,19,8,6,4,0,71,3,6,3,0,3,0,15,4341,6295,2946,2695,1317,635,18229
LGA11730,0,0,6,4892,7190,2431,2252,1075,539,18379,3894,6864,2381,2099,998,567,16803,299,171,32,16,0,0,518,130,83,40,13,5,3,274,429,254,72,29,5,3,792,599,290,69,30,9,0,997,41,27,4,3,0,0,75,8,0,0,3,0,0,11,13,4,0,0,3,0,20,661,321,73,36,12,0,1103,261,122,16,6,4,3,412,27,3,3,3,0,0,36,32,28,3,14,0,3,80,320,153,22,23,4,6,528,23,8,0,0,0,0,31,5327,7600,2548,2187,1019,576,19257
LGA11750,0,0,0,476,560,250,261,113,72,1732,397,544,203,215,117,56,1532,11,8,3,0,0,0,22,0,0,0,0,0,0,0,11,8,3,0,0,0,22,84,30,6,3,0,4,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,30,6,3,0,4,127,21,9,0,0,0,0,30,0,0,0,0,0,0,0,7,0,0,0,0,0,7,28,9,0,0,0,0,37,5,0,0,0,0,0,5,525,591,212,218,117,60,1723
LGA11800,0,0,6,6287,9175,3599,3369,1545,648,24623,3733,7661,3186,3137,1455,693,19865,858,599,128,74,20,11,1690,453,464,153,85,23,8,1186,1311,1063,281,159,43,19,2876,1177,566,166,61,21,11,2002,107,93,22,9,0,0,231,117,90,20,4,3,3,237,38,22,4,7,0,0,71,1439,771,212,81,24,14,2541,418,257,34,10,3,0,722,6,3,3,3,0,0,15,21,16,4,3,0,0,44,445,276,41,16,3,0,781,5,0,0,3,3,0,11,6933,9771,3720,3396,1528,726,26074
