region_id,C11_85o_SOL_SE_To,C11_85o_LPE_NS,C11_85o_Tot,C11_Tot_SEO,C11_To_SOL_SE_Vw_w,C11_To_SOL_SE_Nw_Na,C11_To_SOL_SE_P_E_n,C11_Tot_SOL_SE_Tot,C11_Tot_LPE_NS,C11_T_T
LGA34580,17,32,465,30811,1380,382,65,1827,1968,34606
LGA34590,296,335,2481,226583,29689,6157,521,36367,12284,275234
LGA34710,0,9,69,4917,94,3,3,100,244,5261
LGA34770,72,114,1307,100619,4836,487,91,5414,4645,110678
LGA34800,0,4,9,1344,38,3,0,41,291,1676
LGA34830,0,0,3,261,42,3,0,45,0,306
LGA34860,3,15,156,12330,374,48,5,427,1203,13960
LGA35010,291,552,5583,338044,18559,2191,321,21071,14046,373161
LGA35250,4,0,4,1068,114,7,0,121,14,1203
LGA35300,11,14,84,18123,1539,142,19,1700,3290,23113
LGA35600,0,7,72,4389,102,105,4,211,302,4902
LGA35670,0,0,0,146,629,45,0,674,0,820
LGA35760,0,61,217,9382,276,76,0,352,595,10329
LGA35780,7,0,10,760,1384,328,13,1725,113,2598
LGA35790,0,0,0,2245,61,36,3,100,16,2361
LGA35800,0,0,23,1967,44,4,0,48,100,2115
LGA36070,0,0,0,213,388,90,3,481,0,694
LGA36150,0,0,15,1092,26,3,0,29,36,1157
LGA36250,282,173,2715,124741,7198,799,144,8141,3554,136436
LGA36300,0,0,19,866,23,3,3,29,54,949
LGA36360,42,387,1837,98258,3719,883,56,4658,7092,110008
LGA36510,22,39,681,33930,1048,137,26,1211,1261,36402
LGA36580,11,13,286,19672,581,174,25,780,701,21153
LGA36630,17,66,603,28926,641,91,15,747,1191,30864
LGA36660,72,81,789,30771,1227,262,25,1514,1142,33427
LGA36710,363,676,7388,287529,12212,1060,206,13478,11783,312790
LGA36810,87,120,764,38164,2851,424,39,3314,2731,44209
LGA36910,77,468,3018,135867,6021,1168,134,7323,6019,149209
LGA36950,6,3,18,1728,1141,202,35,1378,396,3502
LGA36960,9,0,9,320,2664,905,25,3594,103,4017
LGA37010,124,287,1981,154927,9808,1193,167,11168,10657,176752
LGA37300,0,0,4,3013,311,30,0,341,449,3803
LGA37310,9,55,510,29694,775,82,21,878,2456,33028
LGA37340,21,23,394,30839,1518,321,25,1864,3570,36273
LGA37400,0,0,21,1733,45,0,0,45,76,1854
LGA37550,0,0,0,911,13,13,0,26,6,943
LGA37570,0,0,0,154,121,10,0,131,0,285
LGA37600,0,0,6,1957,403,24,0,427,5,2389
LGA39399,3,12,39,2592,199,19,6,224,1149,3965
LGA40070,59,71,529,14539,5813,874,58,6745,3568,24852
