region_id,C11_C_Sev_day_Adv_0_14,C11_C_Sev_day_Adv_15_24,C11_C_Sev_day_Adv_25_34,C11_C_Sev_day_Adv_35_44,C11_C_Sev_day_Adv_45_54,C11_C_Sev_day_Adv_55_64,C11_C_Sev_day_Adv_65_74,C11_C_Sev_day_Adv_75_84,C11_C_Sev_day_Adv_85ov,C11_C_Sev_day_Adv_Tot,C11_Chr_Unit_Ch_0_14,C11_Chr_Unit_Ch_15_24,C11_Chr_Unit_Ch_25_34,C11_Chr_Unit_Ch_35_44,C11_Chr_Unit_Ch_45_54,C11_Chr_Unit_Ch_55_64,C11_Chr_Unit_Ch_65_74,C11_Chr_Unit_Ch_75_84,C11_Chr_Unit_Ch_85ov,C11_Chr_Unit_Ch_Tot,C11_Chr_Chi_nfd_0_14,C11_Chr_Chi_nfd_15_24,C11_Chr_Chi_nfd_25_34,C11_Chr_Chi_nfd_35_44,C11_Chr_Chi_nfd_45_54,C11_Chr_Chi_nfd_55_64,C11_Chr_Chi_nfd_65_74,C11_Chr_Chi_nfd_75_84,C11_Chr_Chi_nfd_85ov,C11_Chr_Chi_nfd_Tot,C11_Chr_Oth_Chi_0_14,C11_Chr_Oth_Chi_15_24,C11_Chr_Oth_Chi_25_34,C11_Chr_Oth_Chi_35_44,C11_Chr_Oth_Chi_45_54,C11_Chr_Oth_Chi_55_64,C11_Chr_Oth_Chi_65_74,C11_Chr_Oth_Chi_75_84,C11_Chr_Oth_Chi_85ov,C11_Chr_Oth_Chi_Tot,C11_Christ_Tot_0_14,C11_Christ_Tot_15_24,C11_Christ_Tot_25_34,C11_Christ_Tot_35_44,C11_Christ_Tot_45_54,C11_Christ_Tot_55_64,C11_Christ_Tot_65_74,C11_Christ_Tot_75_84,C11_Christ_Tot_85ov,C11_Christ_T_T,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_AusAborTrad_0_14,C11_OR_AusAborTrad15_24,C11_OR_AusAborTrad25_34,C11_OR_AusAborTrad35_44,C11_OR_AusAborTrad45_54,C11_OR_AusAborTrad55_64,C11_OR_AusAborTrad65_74,C11_OR_AusAborTrad75_84,C11_OR_AusAborTrad85oe,C11_OR_AusAborTrade_Tot,C11_OR_Ot_Re_Gr_0_14,C11_OR_Ot_Re_Gr_15_24,C11_OR_Ot_Re_Gr_25_34,C11_OR_Ot_Re_Gr_35_44,C11_OR_Ot_Re_Gr_45_54,C11_OR_Ot_Re_Gr_55_64,C11_OR_Ot_Re_Gr_65_74,C11_OR_Ot_Re_Gr_75_84,C11_O_R_Ot_Re_Gr_85ov,C11_OR_Ot_Re_Gr_Tot,C11_Oth_Rel_Tot_0_14,C11_Oth_Rel_Tot_15_24,C11_Oth_Rel_Tot_25_34,C11_Oth_Rel_Tot_35_44,C11_Oth_Rel_Tot_45_54,C11_Oth_Rel_Tot_55_64,C11_Oth_Rel_Tot_65_74,C11_Oth_Rel_Tot_75_84,C11_Oth_Rel_Tot_85ov,C11_Other_Rel_T_T,C11_No_religion_0_14,C11_No_religion_15_24,C11_No_religion_25_34,C11_No_religion_35_44,C11_No_religion_45_54,C11_No_religion_55_64,C11_No_religion_65_74,C11_No_religion_75_84,C11_No_religion_85ov,C11_No_religion_Tot,C11_Oth_rel_affi_0_14,C11_Oth_rel_aff_15_24,C11_Oth_rel_aff_25_34,C11_Oth_rel_aff_35_44,C11_Oth_rel_aff_45_54,C11_Oth_rel_aff_55_64,C11_Oth_rel_aff_65_74,C11_Oth_rel_aff_75_84,C11_Oth_rel_affil_85ov,C11_Oth_rel_affil_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_T,C11_OS_vis_0_14,C11_OS_vis_15_24,C11_OS_vis_25_34,C11_OS_vis_35_44,C11_OS_vis_45_54,C11_OS_vis_55_64,C11_OS_vis_65_74,C11_OS_vis_75_84,C11_OS_vis_85ov,C11_OS_vis_Tot,C11_Tot_0_14_yrs,C11_Tot_15_24_yrs,C11_Tot_25_34_yrs,C11_Tot_35_44_yrs,C11_Tot_45_54_yrs,C11_Tot_55_64_yrs,C11_Tot_65_74_yrs,C11_Tot_75_84_yrs,C11_Tot_85o,C11_T_T
LGA10050,36,22,26,27,25,36,23,10,4,209,322,335,230,287,420,415,270,221,99,2599,237,145,109,138,129,107,52,35,9,961,12,4,3,5,10,10,4,0,0,48,5890,4253,3448,4218,4705,4285,2888,2031,892,32610,93,75,165,63,29,16,7,3,6,457,58,38,80,43,16,4,3,0,0,242,3,3,3,3,3,7,4,3,0,29,3,0,0,0,0,0,0,0,0,3,22,37,74,27,25,13,6,4,0,208,25,37,74,27,25,13,6,4,0,211,2323,1951,1638,1224,1099,781,323,163,72,9574,61,116,107,74,25,23,8,3,0,417,759,584,434,462,480,401,258,191,91,3660,13,39,29,10,19,13,10,0,0,133,9297,7153,6058,6214,6469,5592,3525,2406,1061,47775
LGA10110,46,18,15,22,14,18,12,6,0,151,125,167,63,79,163,125,106,70,36,934,78,84,39,46,64,64,29,17,4,425,3,3,4,3,6,5,6,0,0,30,2847,3145,1409,1744,2247,1841,1379,904,380,15896,18,16,27,24,8,5,5,0,0,103,103,42,123,54,30,4,0,3,0,359,0,4,5,0,0,4,3,0,0,16,0,0,0,0,3,0,3,0,0,6,18,28,18,23,27,19,0,0,3,136,18,28,18,23,30,19,3,0,3,142,1069,1493,685,513,605,508,229,87,43,5232,38,99,41,30,26,14,9,3,0,260,475,444,260,265,249,218,143,87,38,2179,21,196,43,17,24,7,5,3,0,316,4631,5536,2651,2728,3258,2651,1786,1091,464,24796
LGA10150,3,12,11,7,4,12,0,3,5,57,104,71,98,103,120,99,65,60,52,772,78,71,109,89,70,32,26,21,19,515,5,9,5,8,3,11,0,0,3,44,3156,2100,2726,3151,2909,2372,1870,1665,918,20867,338,391,1212,284,89,63,17,13,0,2407,120,92,230,94,74,46,19,12,6,693,24,12,20,19,18,17,3,4,4,121,0,0,0,0,5,0,0,0,0,5,28,38,88,59,33,25,3,3,3,280,28,38,88,59,38,25,3,3,3,285,1738,1676,2237,1767,1567,1010,342,191,69,10597,36,69,100,68,30,21,9,3,3,339,594,459,702,531,478,333,207,190,156,3650,29,85,78,35,48,102,50,12,0,439,6230,5193,7915,6357,5642,4221,2613,2174,1192,41537
LGA10200,29,15,22,25,17,13,7,7,0,135,293,233,264,222,202,180,81,50,30,1555,224,239,260,206,143,83,35,10,6,1206,15,14,9,15,10,5,3,4,0,75,4221,3283,4120,3632,3442,2945,1889,1287,638,25457,495,647,1519,442,299,216,87,45,14,3764,5666,3366,3805,2591,1737,952,482,143,20,18762,6,5,6,5,3,4,7,0,0,36,0,0,5,0,0,0,0,0,0,5,94,169,335,87,43,46,16,0,3,793,94,169,340,87,43,46,16,0,3,798,1907,1801,2335,1550,1616,981,346,156,46,10738,43,58,79,53,35,19,7,4,3,301,1246,1251,1859,1154,985,571,251,145,48,7510,100,97,162,64,133,171,68,24,0,819,14599,11615,15309,10632,9579,6790,3514,2032,849,74919
LGA10250,41,17,20,22,43,19,38,37,33,270,205,146,120,203,314,417,362,314,162,2243,227,142,104,125,152,126,82,40,10,1008,7,5,13,7,7,7,3,3,3,55,4258,2446,1854,3197,3954,4138,3389,2529,1147,26912,8,4,12,7,8,5,4,0,0,48,13,3,9,8,8,0,0,0,0,41,7,3,5,4,10,11,10,3,4,57,6,3,4,4,0,3,0,0,0,20,20,24,22,30,28,33,7,3,0,167,26,27,26,34,28,36,7,3,0,187,2080,1087,996,1171,1206,1059,485,215,84,8383,85,65,80,93,71,39,12,11,0,456,563,250,253,317,353,408,292,244,165,2845,38,22,34,34,36,15,13,0,4,196,7168,3960,3332,4962,5770,5809,4231,3009,1404,39645
LGA10300,0,0,0,0,0,0,0,0,0,0,8,15,3,11,21,34,22,9,0,123,15,11,3,13,11,9,3,0,0,65,0,0,0,0,0,3,0,0,0,3,325,157,148,227,301,283,190,104,33,1768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,51,50,53,42,28,10,3,3,339,0,0,0,0,0,4,0,0,0,4,43,41,20,25,40,41,33,15,0,258,0,9,10,3,0,0,0,0,0,22,467,258,238,311,386,364,233,122,36,2415
LGA10350,66,52,40,36,42,32,23,13,6,310,468,412,291,334,455,441,360,320,175,3256,484,325,334,278,308,203,84,53,29,2098,52,43,43,38,43,38,19,26,13,315,18544,12892,11815,13451,14132,12540,9152,7024,3023,102573,308,204,366,295,229,167,57,28,12,1666,12072,5952,6154,4518,3186,1847,777,256,67,34829,10,6,9,4,10,9,11,4,5,68,0,0,0,0,3,0,3,0,0,6,185,173,253,143,160,119,40,17,3,1093,185,173,253,143,163,119,43,17,3,1099,3013,2634,2387,2039,2306,1489,646,428,154,15096,98,110,109,75,70,44,12,9,3,530,2904,1780,1798,1650,1593,1231,744,687,490,12877,92,156,146,98,113,154,101,29,9,898,39638,25630,24784,24485,24326,19176,12115,8916,3891,182961
LGA10470,9,11,4,7,12,7,6,6,0,62,229,246,161,199,286,282,217,115,44,1779,134,104,82,65,76,81,40,17,7,606,3,3,0,3,0,3,3,0,0,15,5642,4312,2875,3500,3820,3417,2357,1508,570,28001,22,7,14,16,11,5,0,0,0,75,33,19,18,20,8,6,4,0,0,108,0,7,0,0,4,6,0,0,0,17,3,0,3,4,0,4,0,0,0,14,18,24,29,19,23,13,7,0,0,133,21,24,32,23,23,17,7,0,0,147,1610,1523,894,740,690,523,228,88,26,6322,46,110,65,47,26,11,10,3,0,318,613,616,554,486,395,348,224,137,50,3423,52,80,9,11,7,9,4,0,4,176,8076,6744,4513,4891,5030,4369,2846,1740,650,38859
LGA10550,32,14,7,17,12,12,8,7,3,112,142,107,53,110,222,305,296,196,65,1496,136,71,36,76,98,106,71,36,7,637,0,0,4,3,7,4,8,3,0,29,2802,1718,1190,2102,3114,3485,2985,1826,615,19837,6,4,5,5,10,5,0,3,0,38,3,4,4,6,10,3,3,0,0,33,0,3,0,3,6,3,4,3,0,22,3,3,0,0,0,4,0,0,0,10,12,9,26,25,33,35,10,0,0,150,15,12,26,25,33,39,10,0,0,160,2027,1004,793,989,1321,1327,639,258,112,8470,52,41,55,49,41,37,9,9,0,293,566,263,235,283,390,466,291,195,100,2789,10,17,22,10,13,14,14,3,4,107,5546,3108,2354,3524,5021,5473,3973,2300,831,32130
LGA10600,5,5,3,0,7,0,15,3,0,38,112,63,43,79,121,152,145,87,48,850,77,40,23,33,60,59,26,10,6,334,10,4,3,5,9,5,4,3,0,43,1038,586,387,745,1118,1187,1020,645,263,6989,3,0,3,3,0,3,3,0,0,15,4,0,0,3,4,0,0,0,0,11,11,5,0,7,6,4,0,0,0,33,4,3,0,3,0,0,0,0,0,10,27,9,20,28,27,18,4,0,0,133,31,12,20,31,27,18,4,0,0,143,1027,436,326,470,619,577,279,112,36,3882,41,30,34,39,40,27,5,0,5,221,190,105,45,101,149,139,87,51,14,881,4,6,17,3,10,14,9,0,0,63,2378,1205,845,1444,2028,2036,1419,814,322,12491
LGA10650,3,0,3,3,0,0,0,0,0,9,87,58,57,83,116,127,130,71,31,760,8,16,3,8,18,12,3,3,0,71,0,0,0,0,0,4,3,0,0,7,901,492,430,589,804,979,834,518,207,5754,0,0,3,0,0,0,3,0,0,6,0,0,3,6,0,3,0,0,0,12,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,3,8,7,3,4,0,0,0,0,0,22,8,7,3,4,0,0,3,0,0,25,347,187,139,170,152,174,109,43,23,1344,11,9,9,14,10,6,4,0,0,63,109,63,47,60,63,79,74,57,29,581,3,3,3,0,0,0,3,3,0,15,1379,767,648,843,1029,1244,1034,621,259,7824
LGA10750,456,236,231,258,207,192,110,60,45,1795,1821,1281,1036,1112,1132,933,544,263,80,8202,2058,1245,1082,1071,948,530,170,93,28,7225,181,130,119,117,114,86,33,15,9,804,44772,27491,27030,29272,27300,22649,12876,6821,2371,200582,4405,1893,4154,3379,1970,987,409,153,23,17373,5364,2678,3261,2585,1964,1027,460,121,25,17485,25,19,12,26,21,23,16,3,4,149,0,8,0,4,3,0,0,0,0,15,1834,1189,2331,1228,719,400,183,74,10,7968,1834,1197,2331,1232,722,400,183,74,10,7983,9332,5385,5721,4761,3555,2112,861,375,102,32204,337,269,343,273,162,87,30,20,0,1521,4340,2673,2689,2379,2043,1618,907,590,215,17454,150,233,226,133,251,554,368,74,11,2000,71486,42429,46598,45012,38862,30052,16337,8335,2786,301897
LGA10800,0,0,0,3,0,0,0,0,0,3,70,31,54,43,87,67,51,45,23,471,56,20,20,24,25,25,20,8,4,202,0,0,0,0,0,0,0,3,0,3,1000,452,445,601,721,675,508,371,141,4914,0,0,3,0,3,0,0,0,0,6,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,9,0,3,3,0,0,3,0,0,0,9,214,89,94,79,65,57,15,13,3,629,12,4,12,4,5,0,0,0,0,37,53,29,25,34,36,40,31,17,7,272,0,0,5,3,0,3,0,0,0,11,1279,583,593,724,833,778,557,401,151,5899
LGA10850,8,0,8,0,7,3,0,4,3,33,73,46,39,63,66,95,75,50,16,523,27,11,18,17,15,18,15,0,0,121,0,0,0,0,0,0,3,4,0,7,1113,567,452,717,798,709,543,356,86,5341,3,0,0,0,3,0,0,0,0,6,0,5,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,4,3,3,0,0,0,15,5,0,0,4,3,3,0,0,0,15,312,118,132,146,113,113,50,16,3,1003,11,5,12,11,7,0,0,0,0,46,97,55,30,48,54,55,41,24,7,411,3,0,3,0,0,3,0,0,0,9,1548,753,633,933,986,886,642,396,96,6873
LGA10900,21,12,15,22,22,24,24,12,9,161,457,214,204,328,394,499,361,253,116,2826,575,299,267,291,373,319,141,60,11,2336,14,4,10,19,26,29,34,17,3,156,8586,4848,3719,5752,6947,6959,4631,2634,1200,45276,17,11,22,27,34,37,13,4,0,165,46,25,36,35,18,14,3,4,3,184,18,5,9,30,20,34,22,8,8,154,7,5,0,5,10,3,0,0,0,30,77,57,82,131,123,97,42,10,3,622,84,62,82,136,133,100,42,10,3,652,4474,2573,2237,3039,2948,2754,1260,508,159,19952,161,202,161,218,139,109,35,10,6,1041,1377,706,553,794,959,935,590,315,165,6394,37,179,91,45,55,48,24,14,3,496,14968,8702,7026,10316,11472,11221,6685,3525,1547,75462
LGA10950,0,0,0,0,0,0,0,0,0,0,37,34,20,41,39,41,49,20,7,288,5,3,6,0,5,3,3,0,0,25,0,0,0,0,0,0,0,0,0,0,530,255,231,347,335,262,311,142,43,2456,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,61,34,59,46,30,22,8,0,0,260,8,5,0,0,0,0,0,0,0,13,61,26,20,33,35,25,17,16,4,237,3,5,3,0,4,0,0,0,0,15,674,328,319,437,407,315,336,158,47,3021
LGA11000,0,0,0,0,0,0,0,3,0,3,4,3,3,10,12,9,7,0,5,53,6,3,3,4,4,3,3,0,0,26,0,0,3,0,0,0,0,0,0,3,287,139,151,199,292,314,214,121,72,1789,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,4,0,0,0,13,3,0,3,0,3,4,0,0,0,13,116,59,54,34,59,41,13,13,4,393,0,0,0,8,5,0,0,0,0,13,37,14,6,25,8,23,10,8,12,143,0,0,3,0,3,7,0,0,0,13,446,212,220,269,373,392,237,142,88,2379
LGA11050,4,0,7,0,0,0,0,0,0,11,19,9,10,20,28,25,32,21,7,171,9,10,0,3,6,6,3,0,0,37,0,0,0,0,0,0,0,3,0,3,344,175,132,214,294,293,254,133,46,1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,9,0,0,0,3,3,0,3,0,0,9,85,42,19,33,34,38,22,6,0,279,0,0,0,4,3,3,0,0,0,10,34,15,12,16,14,16,17,10,0,134,0,0,0,0,0,0,0,0,0,0,463,232,166,270,348,350,296,149,46,2320
LGA11100,5,7,7,7,5,11,9,0,3,54,116,107,98,100,108,96,74,44,19,762,123,90,129,109,66,40,17,15,3,592,0,4,3,10,5,3,3,0,0,28,4445,2654,3195,3950,3381,2887,2428,1563,550,25053,128,104,246,124,89,62,28,6,0,787,747,497,749,515,350,209,96,17,3,3183,140,58,64,111,77,65,45,32,16,608,0,0,4,0,4,0,0,0,0,8,25,31,46,22,21,24,3,7,0,179,25,31,50,22,25,24,3,7,0,187,861,850,1202,867,640,439,215,121,31,5226,28,40,46,47,25,16,5,0,0,207,525,386,507,450,412,362,233,133,53,3061,37,97,95,44,92,79,35,12,0,491,7084,4899,6474,6336,5313,4328,3153,1926,665,40178
LGA11150,0,0,0,3,3,0,0,0,0,6,5,7,4,8,12,23,22,9,0,90,16,5,10,13,12,4,3,0,0,63,0,0,0,0,0,0,0,0,0,0,470,268,269,310,322,320,243,129,15,2346,0,3,3,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,3,3,0,0,0,6,60,26,45,47,35,32,20,6,0,271,0,0,3,3,3,4,0,0,0,13,129,61,48,66,52,49,57,28,5,495,0,6,10,0,0,0,3,0,0,19,659,364,381,432,418,408,323,163,20,3168
LGA11200,3,0,0,0,3,3,0,0,0,9,3,3,0,5,6,7,3,3,0,30,6,3,7,3,3,3,0,3,0,28,0,0,0,0,0,0,0,0,0,0,256,183,125,153,208,159,83,57,18,1242,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,73,52,43,36,19,10,4,0,385,0,0,0,0,7,0,0,0,0,7,52,16,22,24,18,10,7,4,3,156,0,0,0,8,0,4,0,0,0,12,459,272,203,232,269,192,100,65,21,1813
LGA11250,6,4,4,0,3,5,8,6,5,41,201,163,110,193,366,452,402,323,108,2318,50,36,35,36,47,36,22,7,0,269,0,0,0,0,0,4,0,0,0,4,1393,1044,913,1203,1847,1890,1445,1092,354,11181,6,0,16,8,0,3,0,0,0,33,12,3,3,5,0,3,4,0,0,30,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,9,8,7,7,9,3,0,0,49,6,9,8,7,7,9,3,0,0,49,1361,799,668,606,631,490,226,124,35,4940,31,29,20,21,12,11,6,0,0,130,493,273,263,251,269,240,214,189,102,2294,4,9,6,4,11,6,7,0,0,47,3322,2172,1921,2116,2801,2670,1905,1405,491,18803
LGA11300,7,5,8,8,3,4,0,6,0,41,144,105,81,106,112,96,55,48,27,774,71,69,87,61,67,52,20,14,10,451,4,8,4,5,8,0,0,5,0,34,2871,2161,2099,2314,2390,1969,1547,1282,583,17216,242,454,1140,219,107,86,47,28,10,2333,105,129,179,93,44,58,30,11,0,649,3,3,3,3,3,4,5,5,0,29,0,3,0,0,0,0,0,0,0,3,22,37,77,29,15,13,4,5,0,202,22,40,77,29,15,13,4,5,0,205,960,1555,1579,852,928,608,262,159,59,6962,20,45,34,26,19,11,4,3,0,162,325,434,507,269,329,249,147,140,109,2509,32,108,107,45,47,84,46,14,0,483,4787,5323,6226,4181,4290,3339,2211,1749,795,32901
LGA11350,6,12,11,12,15,18,10,14,6,104,126,93,68,119,210,228,159,115,65,1183,92,53,67,54,105,106,32,19,8,536,3,0,4,8,10,6,3,0,0,34,1755,1105,938,1564,2239,2205,1404,939,429,12578,22,11,18,20,25,18,4,3,0,121,9,18,13,7,5,6,0,0,0,58,95,15,26,76,46,29,18,0,0,305,6,0,0,3,3,3,0,0,0,15,52,47,60,102,108,69,21,10,0,469,58,47,60,105,111,72,21,10,0,484,2544,1161,1332,1850,1795,1629,565,191,79,11146,137,160,145,199,184,140,23,5,0,993,656,336,367,476,573,492,199,95,55,3249,61,464,240,67,50,57,22,10,0,971,5494,3392,3253,4578,5263,4849,2312,1262,563,30966
LGA11400,6,0,0,10,0,0,0,4,0,20,183,101,94,123,191,198,146,115,42,1193,72,22,32,25,39,30,20,6,10,256,0,0,0,0,0,0,0,0,0,0,2091,989,848,1231,1546,1432,1059,610,209,10015,0,0,0,0,0,3,0,0,0,3,4,3,0,3,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,7,0,10,6,3,0,3,0,0,29,7,0,10,6,3,3,3,0,0,32,497,196,179,243,231,170,96,47,3,1662,15,10,9,8,11,4,0,0,0,57,167,65,56,78,76,94,61,55,25,677,6,24,31,13,8,4,0,3,0,89,2797,1294,1143,1587,1892,1719,1225,715,237,12609
LGA11450,27,11,22,15,11,8,6,0,0,100,337,289,188,265,279,271,166,92,62,1949,315,148,160,154,123,97,33,16,5,1051,15,9,10,11,9,14,11,3,0,82,10388,5714,5583,7194,5973,4625,2624,1415,666,44182,74,31,45,72,39,13,12,0,3,289,205,87,107,93,57,24,13,8,0,594,13,4,9,5,7,5,0,0,0,43,0,0,0,0,0,0,0,0,0,0,41,20,29,48,24,20,6,0,0,188,41,20,29,48,24,20,6,0,0,188,2121,1274,1124,1112,801,511,198,84,32,7257,41,57,56,52,26,10,5,0,0,247,728,394,353,378,353,276,188,137,56,2863,17,41,11,23,19,9,23,3,0,146,13738,7691,7414,9068,7390,5533,3083,1651,757,56325
LGA11500,218,167,115,89,122,64,24,16,0,815,616,563,396,408,557,584,323,152,70,3669,897,581,429,439,363,261,102,29,14,3115,74,51,42,55,41,21,13,3,3,303,19399,14964,12718,12589,14734,13744,6778,3132,998,99056,1069,541,891,866,613,290,117,34,9,4430,2658,1290,1457,1223,968,441,187,47,12,8283,14,10,10,7,7,9,5,3,3,68,3,5,4,0,3,0,0,0,0,15,220,168,302,191,135,81,33,7,6,1143,223,173,306,191,138,81,33,7,6,1158,5326,3403,3216,2302,1919,1395,506,198,40,18305,157,159,177,135,101,60,12,4,0,805,2628,1609,1348,1206,1253,1029,555,373,289,10290,45,81,40,44,63,120,82,23,4,502,32142,22704,20685,19172,20375,17558,8410,3877,1379,146302
LGA11520,20,5,15,7,7,11,3,7,3,78,253,178,263,266,254,263,167,99,62,1805,147,97,166,136,124,95,54,16,6,841,6,7,3,13,12,5,5,0,0,51,8607,4957,6746,7937,6894,5619,4220,3095,1265,49340,234,169,626,239,119,82,56,19,11,1555,181,166,267,162,126,87,55,23,9,1076,39,13,31,36,31,28,17,7,13,215,0,0,0,0,0,0,0,0,0,0,40,42,117,61,43,33,22,4,3,365,40,42,117,61,43,33,22,4,3,365,2247,2283,3387,2273,1683,1343,480,257,95,14048,58,68,95,87,53,46,10,5,3,425,1055,744,1274,955,673,552,357,282,143,6035,55,139,127,70,97,141,69,20,3,721,12730,8925,13272,12217,10080,8212,5392,3776,1559,76163
LGA11550,61,53,40,50,31,38,22,9,5,309,443,319,254,332,365,290,186,183,85,2457,341,257,287,282,234,153,73,42,24,1693,19,22,29,16,26,22,5,7,3,149,12871,8330,8874,10757,9806,8455,7199,5097,1679,73068,501,475,1342,470,237,161,74,24,3,3287,7068,3360,5596,3249,1903,1041,428,157,35,22837,9,7,13,17,20,17,7,12,3,105,6,0,3,3,3,0,3,0,0,18,161,141,281,128,99,76,25,15,0,926,167,141,284,131,102,76,28,15,0,944,3270,2430,2691,2649,2927,1818,776,504,120,17185,89,88,119,93,88,54,17,9,0,557,2265,1382,1763,1476,1372,1008,605,530,267,10668,106,174,154,98,118,219,129,23,0,1021,27578,17391,22037,20293,18233,13919,9721,6671,2201,138044
LGA11600,0,0,0,0,0,0,0,0,0,0,40,26,11,40,55,26,44,28,9,279,12,3,4,3,3,13,3,0,0,41,0,0,0,3,0,0,0,0,0,3,360,172,201,273,345,272,215,120,32,1990,4,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,15,0,0,12,3,0,0,0,0,0,15,118,58,55,56,44,27,4,3,0,365,3,5,7,0,7,3,0,0,0,25,46,11,18,23,21,16,13,4,0,152,3,25,25,0,0,0,0,0,0,53,541,275,323,355,417,318,232,127,32,2620
LGA11700,0,0,0,0,0,0,0,0,0,0,22,14,13,16,25,38,20,10,0,158,4,0,3,3,8,3,6,0,0,27,0,0,0,0,3,0,0,0,0,3,295,181,185,200,250,279,183,62,9,1644,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,3,4,0,0,0,0,10,3,0,0,7,4,0,0,0,0,14,78,79,71,56,49,58,20,10,0,421,6,0,6,6,0,0,0,0,0,18,33,35,36,34,37,23,29,3,4,234,0,11,22,0,3,3,3,0,0,42,418,306,323,303,349,366,235,75,13,2388
LGA11720,48,16,27,27,33,27,26,13,7,224,501,380,330,452,580,641,438,287,132,3741,215,105,93,112,114,90,60,16,8,813,11,4,3,4,6,6,0,7,0,41,6741,4221,4097,4860,5046,5081,3207,1927,765,35945,10,10,14,6,9,5,3,0,0,57,14,10,12,12,8,8,3,3,0,70,0,0,3,3,3,6,3,3,0,21,0,3,0,3,0,0,0,0,0,6,20,22,26,35,29,9,9,3,0,153,20,25,26,38,29,9,9,3,0,159,2996,1536,1384,1149,963,822,367,144,44,9405,98,55,75,32,52,30,5,3,0,350,880,624,639,592,591,542,312,214,61,4455,21,19,26,38,23,32,10,0,0,169,10816,6534,6313,6771,6765,6564,3931,2297,870,50861
