region_id,C11_C_Sev_day_Adv_0_14,C11_C_Sev_day_Adv_15_24,C11_C_Sev_day_Adv_25_34,C11_C_Sev_day_Adv_35_44,C11_C_Sev_day_Adv_45_54,C11_C_Sev_day_Adv_55_64,C11_C_Sev_day_Adv_65_74,C11_C_Sev_day_Adv_75_84,C11_C_Sev_day_Adv_85ov,C11_C_Sev_day_Adv_Tot,C11_Chr_Unit_Ch_0_14,C11_Chr_Unit_Ch_15_24,C11_Chr_Unit_Ch_25_34,C11_Chr_Unit_Ch_35_44,C11_Chr_Unit_Ch_45_54,C11_Chr_Unit_Ch_55_64,C11_Chr_Unit_Ch_65_74,C11_Chr_Unit_Ch_75_84,C11_Chr_Unit_Ch_85ov,C11_Chr_Unit_Ch_Tot,C11_Chr_Chi_nfd_0_14,C11_Chr_Chi_nfd_15_24,C11_Chr_Chi_nfd_25_34,C11_Chr_Chi_nfd_35_44,C11_Chr_Chi_nfd_45_54,C11_Chr_Chi_nfd_55_64,C11_Chr_Chi_nfd_65_74,C11_Chr_Chi_nfd_75_84,C11_Chr_Chi_nfd_85ov,C11_Chr_Chi_nfd_Tot,C11_Chr_Oth_Chi_0_14,C11_Chr_Oth_Chi_15_24,C11_Chr_Oth_Chi_25_34,C11_Chr_Oth_Chi_35_44,C11_Chr_Oth_Chi_45_54,C11_Chr_Oth_Chi_55_64,C11_Chr_Oth_Chi_65_74,C11_Chr_Oth_Chi_75_84,C11_Chr_Oth_Chi_85ov,C11_Chr_Oth_Chi_Tot,C11_Christ_Tot_0_14,C11_Christ_Tot_15_24,C11_Christ_Tot_25_34,C11_Christ_Tot_35_44,C11_Christ_Tot_45_54,C11_Christ_Tot_55_64,C11_Christ_Tot_65_74,C11_Christ_Tot_75_84,C11_Christ_Tot_85ov,C11_Christ_T_T,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_AusAborTrad_0_14,C11_OR_AusAborTrad15_24,C11_OR_AusAborTrad25_34,C11_OR_AusAborTrad35_44,C11_OR_AusAborTrad45_54,C11_OR_AusAborTrad55_64,C11_OR_AusAborTrad65_74,C11_OR_AusAborTrad75_84,C11_OR_AusAborTrad85oe,C11_OR_AusAborTrade_Tot,C11_OR_Ot_Re_Gr_0_14,C11_OR_Ot_Re_Gr_15_24,C11_OR_Ot_Re_Gr_25_34,C11_OR_Ot_Re_Gr_35_44,C11_OR_Ot_Re_Gr_45_54,C11_OR_Ot_Re_Gr_55_64,C11_OR_Ot_Re_Gr_65_74,C11_OR_Ot_Re_Gr_75_84,C11_O_R_Ot_Re_Gr_85ov,C11_OR_Ot_Re_Gr_Tot,C11_Oth_Rel_Tot_0_14,C11_Oth_Rel_Tot_15_24,C11_Oth_Rel_Tot_25_34,C11_Oth_Rel_Tot_35_44,C11_Oth_Rel_Tot_45_54,C11_Oth_Rel_Tot_55_64,C11_Oth_Rel_Tot_65_74,C11_Oth_Rel_Tot_75_84,C11_Oth_Rel_Tot_85ov,C11_Other_Rel_T_T,C11_No_religion_0_14,C11_No_religion_15_24,C11_No_religion_25_34,C11_No_religion_35_44,C11_No_religion_45_54,C11_No_religion_55_64,C11_No_religion_65_74,C11_No_religion_75_84,C11_No_religion_85ov,C11_No_religion_Tot,C11_Oth_rel_affi_0_14,C11_Oth_rel_aff_15_24,C11_Oth_rel_aff_25_34,C11_Oth_rel_aff_35_44,C11_Oth_rel_aff_45_54,C11_Oth_rel_aff_55_64,C11_Oth_rel_aff_65_74,C11_Oth_rel_aff_75_84,C11_Oth_rel_affil_85ov,C11_Oth_rel_affil_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_T,C11_OS_vis_0_14,C11_OS_vis_15_24,C11_OS_vis_25_34,C11_OS_vis_35_44,C11_OS_vis_45_54,C11_OS_vis_55_64,C11_OS_vis_65_74,C11_OS_vis_75_84,C11_OS_vis_85ov,C11_OS_vis_Tot,C11_Tot_0_14_yrs,C11_Tot_15_24_yrs,C11_Tot_25_34_yrs,C11_Tot_35_44_yrs,C11_Tot_45_54_yrs,C11_Tot_55_64_yrs,C11_Tot_65_74_yrs,C11_Tot_75_84_yrs,C11_Tot_85o,C11_T_T
LGA20660,10,10,19,5,5,12,7,6,3,77,514,412,387,529,707,848,666,453,273,4789,364,268,299,263,245,231,113,64,24,1871,15,7,10,13,17,17,4,10,3,96,11480,7998,7504,9730,10273,9546,6992,4878,2213,70614,197,197,496,181,107,89,42,11,5,1325,781,422,469,347,223,102,57,23,7,2431,17,3,27,28,22,24,16,7,3,147,0,3,3,0,0,3,0,0,0,9,82,115,228,127,82,74,21,11,7,747,82,118,231,127,82,77,21,11,7,756,6391,4860,5217,4946,3793,3012,1278,597,253,30347,196,236,278,238,126,79,15,7,5,1180,1446,1099,1115,1099,1057,1022,729,595,449,8611,66,145,105,60,59,107,68,19,4,633,20985,15348,15857,17198,16074,14291,9312,6180,2959,118204
LGA20740,3,3,0,4,3,7,4,3,3,30,132,61,71,126,193,342,342,216,136,1619,124,43,58,55,74,65,58,28,11,516,4,3,0,5,5,8,3,3,0,31,2231,1190,1314,1932,2344,2781,2613,1627,629,16661,6,3,4,12,3,7,5,0,0,40,11,7,13,13,7,3,7,0,0,61,3,0,5,3,3,4,5,0,0,23,3,0,0,0,0,0,0,0,0,3,9,14,14,18,24,17,4,3,0,103,12,14,14,18,24,17,4,3,0,106,2109,1124,1216,1318,1127,1060,539,317,101,8911,45,56,57,59,32,22,5,4,0,280,639,328,321,393,432,416,329,205,101,3164,21,66,24,22,20,15,11,3,0,182,5118,2826,3012,3826,4057,4366,3532,2167,831,29735
LGA20830,36,23,14,32,10,17,18,10,3,163,398,253,165,288,468,504,434,286,141,2937,324,168,137,158,169,137,79,21,10,1203,3,6,0,0,8,5,7,4,3,36,4533,2971,2229,3125,3947,3804,2886,1736,670,25901,14,5,20,12,11,4,0,0,0,66,14,16,13,8,11,3,3,0,0,68,0,3,0,0,4,3,0,0,0,10,0,3,0,0,3,0,0,0,0,6,17,11,29,24,25,23,13,3,0,145,17,14,29,24,28,23,13,3,0,151,3073,1782,1646,1595,1414,1160,500,199,60,11429,63,68,66,59,43,30,10,3,0,342,785,447,326,415,480,452,349,225,104,3583,5,30,21,7,12,8,4,3,0,90,8544,5370,4382,5293,5992,5526,3774,2169,834,41884
LGA20910,6,5,4,4,0,4,5,0,4,32,549,354,178,459,654,718,529,393,311,4145,161,96,86,115,156,161,85,53,23,936,8,8,9,5,9,24,11,6,9,89,10059,5535,3291,7528,8513,6939,5064,3658,2364,52951,51,62,102,60,49,28,7,5,0,364,97,74,78,75,54,39,28,6,3,454,515,285,218,371,395,488,321,193,107,2893,0,0,0,0,0,0,0,0,0,0,42,44,69,57,54,36,9,5,3,319,42,44,69,57,54,36,9,5,3,319,5421,3400,2539,3917,3706,2706,1235,638,371,23933,111,172,108,131,114,72,24,12,7,751,1351,816,545,943,1000,889,584,497,389,7014,80,180,77,82,65,58,45,10,0,597,17888,10680,7182,13417,14192,11427,7397,5045,3248,90476
LGA21010,8,3,4,0,9,4,7,0,3,38,137,86,63,97,200,247,178,169,82,1259,46,46,12,22,36,39,25,22,4,252,0,0,0,0,3,3,0,0,0,6,1217,821,582,866,1404,1478,1069,777,365,8579,24,0,25,12,0,3,0,0,0,64,3,0,3,4,0,0,0,0,0,10,0,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,6,0,6,3,8,0,4,0,0,27,6,0,6,3,8,0,4,0,0,27,849,519,387,411,418,410,190,71,26,3281,9,27,18,11,18,11,0,0,3,97,235,135,83,125,153,128,111,77,19,1066,3,22,3,4,0,3,4,0,0,39,2356,1538,1123,1450,2018,2045,1378,929,416,13253
LGA21110,22,18,11,14,17,5,17,3,4,111,1027,842,452,800,1297,1154,854,691,505,7622,451,407,377,330,374,329,164,78,33,2543,11,13,16,17,19,19,12,18,8,133,15732,11244,7956,11639,13530,10489,7390,5685,3518,87183,449,558,1436,390,275,137,70,36,3,3354,223,317,456,194,103,91,28,24,3,1439,286,246,129,203,258,302,202,107,85,1818,0,0,0,0,0,3,0,0,0,3,126,173,254,150,107,111,51,23,15,1010,126,173,254,150,107,114,51,23,15,1013,8070,8672,6968,6059,6060,4728,2029,958,473,44017,143,440,342,205,191,93,25,11,0,1450,1817,1825,1640,1278,1505,1271,811,546,418,11111,165,705,274,210,194,227,135,50,12,1972,27544,25111,20519,21105,23084,18140,10997,7587,4556,158643
LGA21180,95,64,43,55,51,30,25,20,0,383,404,325,346,317,375,408,239,167,63,2644,668,455,476,413,294,226,98,40,5,2675,26,30,30,34,40,23,13,0,3,199,18512,14247,13394,14749,14984,14606,9430,5311,1715,106948,743,549,1709,508,230,149,71,24,7,3990,2414,1788,2077,1356,1105,838,388,111,31,10108,9,4,10,16,8,5,3,0,3,58,0,0,0,0,0,0,0,0,0,0,580,930,1932,352,174,116,47,20,15,4166,580,930,1932,352,174,116,47,20,15,4166,4574,3735,3792,3077,2309,1547,588,282,116,20020,157,156,241,161,83,51,31,13,3,896,3194,2175,2449,1916,1708,1358,786,461,223,14270,88,126,162,64,140,224,115,16,3,938,34833,27088,29041,26142,24188,20712,12112,6591,2191,182898
LGA21270,0,0,0,0,0,4,0,0,0,4,194,75,70,140,184,234,205,176,73,1351,6,4,4,3,7,5,4,4,0,37,6,0,0,6,0,0,0,0,0,12,737,394,296,491,707,770,600,456,207,4658,5,3,9,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,3,0,17,0,3,4,3,4,0,0,3,0,17,328,154,111,144,143,126,53,23,8,1090,5,0,0,6,7,0,0,0,0,18,73,45,35,39,46,73,53,38,16,418,0,0,4,0,0,4,0,0,0,8,1154,599,462,693,910,973,709,520,231,6251
LGA21370,0,0,0,5,0,6,0,4,5,20,506,342,224,393,606,589,507,399,164,3730,167,91,82,81,90,79,35,25,4,654,4,3,0,3,6,4,0,0,0,20,4061,2404,1763,2851,3750,3495,2917,1850,717,23808,8,4,15,3,5,0,0,4,0,39,16,12,12,9,11,10,4,0,0,74,0,4,0,0,4,0,0,0,0,8,0,0,3,0,3,3,0,0,0,9,8,9,14,9,12,12,5,4,0,73,8,9,17,9,15,15,5,4,0,82,2250,1287,1026,1137,930,683,337,164,50,7864,39,48,41,37,31,15,4,0,0,215,799,365,304,391,384,421,291,260,137,3352,5,21,23,3,7,4,14,0,0,77,7195,4168,3231,4459,5170,4656,3576,2282,904,35641
LGA21450,33,34,30,21,23,18,6,5,4,174,557,392,280,464,538,510,351,229,93,3414,564,297,297,280,251,202,71,28,5,1995,32,12,16,15,11,9,6,0,0,101,8779,5237,4824,6352,6296,4976,3250,1764,688,42166,77,11,127,63,23,12,4,0,0,317,122,39,90,84,32,12,6,3,0,388,10,6,13,9,12,7,3,3,0,63,0,0,0,0,3,0,0,0,0,3,94,50,107,83,45,29,16,7,0,431,94,50,107,83,48,29,16,7,0,434,6234,3568,3655,3371,2440,1545,683,265,68,21829,119,134,152,124,79,43,10,3,3,667,1642,875,801,850,785,638,400,195,68,6254,40,54,27,28,28,30,10,3,0,220,17250,10062,9952,11134,9842,7344,4397,2247,830,73058
