region_id,C11_1PF_Cu15DS_4000ov,C11_1PF_Cu15DS_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_0_299,C11_1PF_CU15_NDS_300_449,C11_1PF_CU15_NDS_450_599,C11_1PF_CU15_NDS_600_799,C11_1PF_CU15_NDS_800_999,C11_1PF_CU15_NDS_1000_1399,C11_1PF_CU15_NDS_1400_1799,C11_1PF_CU15_NDS_1800_2399,C11_1PF_CU15_NDS_2400_2999,C11_1PF_CU15_NDS_3000_3999,C11_1PF_CU15_NDS_4000ov,C11_1PF_CU15_NDS_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_0_299,C11_1PF_NCu15DS_300_449,C11_1PF_NCu15DS_450_599,C11_1PF_NCu15DS_600_799,C11_1PF_NCu15DS_800_999,C11_1PF_NCu15DS_1000_1399,C11_1PF_NCu15DS_1400_1799,C11_1PF_NCu15DS_1800_2399,C11_1PF_NCu15DS_2400_2999,C11_1PF_NCu15DS_3000_3999,C11_1PF_NCu15DS_4000ov,C11_1PF_NCu15DS_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_0_299,C11_1PF_NDCO_300_449,C11_1PF_NDCO_450_599,C11_1PF_NDCO_600_799,C11_1PF_NDCO_800_999,C11_1PF_NDCO_1000_1399,C11_1PF_NDCO_1400_1799,C11_1PF_NDCO_1800_2399,C11_1PF_NDCO_2400_2999,C11_1PF_NDCO_3000_3999,C11_1PF_NDCO_4000ov,C11_1PF_NDCO_NS,C11_1PF_NDCO_Tot,C11_1PF_T_0_299,C11_1PF_T_300_449,C11_1PF_T_450_599,C11_1PF_T_600_799,C11_1PF_T_800_999,C11_1PF_T_1000_1399,C11_1PF_T_1400_1799,C11_1PF_T_1800_2399,C11_1PF_T_2400_2999,C11_1PF_T_3000_3999,C11_1PF_T_4000ov,C11_1PF_T_NS,C11_1_PF_T_T,C11_T_0_299,C11_T_300_449,C11_T_450_599,C11_T_600_799,C11_T_800_999,C11_T_1000_1399,C11_T_1400_1799,C11_T_1800_2399,C11_T_2400_2999,C11_T_3000_3999,C11_T_4000ov,C11_T_NS,C11_T_T
LGA40220,0,0,34,5,3,3,16,18,32,23,12,3,4,0,8,127,4,0,3,7,11,10,0,3,0,4,4,0,46,4,9,3,9,12,19,14,10,0,0,0,6,86,13,12,12,35,50,65,43,28,6,11,4,14,293,140,99,102,162,201,506,479,492,174,126,76,128,2685
LGA40250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40310,0,0,34,8,5,3,6,12,38,25,10,3,3,0,8,121,4,3,3,3,7,10,10,7,3,3,0,4,57,7,4,3,6,7,17,7,10,3,0,3,3,70,19,12,12,15,33,78,42,32,12,9,3,15,282,146,104,77,165,228,567,604,591,216,117,53,112,2980
LGA40430,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,3,12,3,3,3,3,3,6,0,0,0,0,0,3,24,18,19,21,16,23,29,20,13,0,0,6,6,171
LGA40520,0,0,14,0,4,5,14,9,17,8,5,6,0,0,0,68,0,0,0,4,4,5,0,0,0,0,0,0,13,0,3,5,3,8,5,3,4,0,0,0,3,34,0,10,10,24,21,27,16,12,6,0,0,3,129,64,45,60,107,131,276,154,121,31,19,16,54,1078
LGA40700,6,0,48,4,3,0,6,9,23,15,18,20,9,10,3,120,4,3,4,8,6,22,14,15,12,16,15,5,124,9,4,10,3,7,13,9,13,5,3,9,6,91,24,10,17,20,22,62,41,53,37,43,40,14,383,218,93,69,136,155,455,417,680,439,619,709,202,4192
LGA40910,0,0,59,11,3,11,14,12,32,28,43,11,13,4,7,189,3,3,4,15,9,27,23,25,10,5,3,15,142,10,8,8,18,12,30,25,16,6,11,0,10,154,24,17,26,52,40,107,86,91,27,35,7,32,544,245,141,124,257,269,737,658,964,513,386,163,227,4684
LGA41010,0,0,3,0,0,0,3,5,4,3,0,0,0,0,0,15,0,3,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,4,0,3,0,0,0,0,10,0,3,0,6,5,8,9,3,0,0,0,0,34,13,12,10,25,22,65,44,34,14,6,0,18,263
LGA41060,6,5,107,17,17,19,29,48,84,92,75,32,13,4,28,458,9,7,17,27,23,48,22,44,12,10,4,10,233,24,21,22,34,29,70,39,47,30,14,7,11,348,54,48,61,97,116,224,170,184,77,40,21,54,1146,394,270,272,484,633,1486,1426,2072,1120,892,426,416,9891
LGA41140,0,0,16,3,0,3,0,5,9,4,6,0,0,3,0,33,0,3,3,4,3,0,0,0,0,0,0,0,13,3,3,3,3,3,3,3,0,0,0,0,0,21,6,6,9,7,15,21,7,6,3,0,3,0,83,56,34,41,80,102,196,176,123,47,34,21,34,944
LGA41190,0,0,0,3,0,0,3,3,3,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,6,6,0,0,3,6,6,0,0,0,0,0,0,21,30,4,13,19,26,21,13,10,0,3,6,5,150
LGA41330,0,0,9,0,0,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,0,0,0,0,0,15,14,11,16,12,16,10,0,6,0,0,0,7,92
LGA41560,0,0,13,0,3,6,13,9,21,8,5,0,0,3,6,74,0,3,3,0,11,0,0,0,0,0,0,3,20,4,4,4,5,5,7,0,0,0,3,3,4,39,4,10,13,22,28,28,11,8,0,3,6,13,146,59,74,51,119,144,264,189,165,31,26,18,54,1194
LGA41750,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,9,6,7,7,9,3,9,8,3,6,3,0,6,67
LGA41830,0,0,3,0,0,3,3,4,3,0,0,0,0,0,0,13,0,3,0,4,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,7,3,0,0,0,0,0,27,9,8,12,26,21,39,24,25,5,10,3,11,193
LGA41960,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,7,6,9,0,13,12,20,21,6,3,6,0,3,99
LGA42030,0,3,52,8,5,8,21,22,37,28,17,4,3,3,0,156,3,6,3,7,7,18,20,5,4,0,0,3,76,5,6,9,12,8,31,19,9,0,0,3,4,106,16,17,23,50,42,96,74,41,12,3,6,10,390,87,83,72,164,208,513,524,506,165,81,34,103,2540
LGA42110,0,0,15,5,3,7,0,3,6,3,0,0,0,0,0,27,0,3,0,0,0,0,4,0,0,0,0,3,10,0,0,4,0,3,0,3,0,0,0,0,0,10,5,9,11,4,9,11,10,0,0,0,0,3,62,41,34,44,49,40,95,41,31,3,4,3,24,409
LGA42250,0,0,10,0,0,3,3,4,9,4,4,0,0,0,0,27,3,0,3,0,3,3,0,3,0,0,0,0,15,0,4,0,4,0,6,3,0,0,0,0,0,17,3,4,6,10,10,18,11,7,0,0,0,0,69,48,30,43,70,109,205,165,152,55,34,22,62,995
LGA42600,0,0,19,3,3,0,6,7,16,24,26,9,10,6,5,115,7,3,4,8,4,17,10,9,4,3,4,7,80,6,11,8,7,9,15,21,9,9,5,0,4,104,16,17,12,21,23,51,60,49,25,18,10,16,318,160,86,67,141,150,398,361,627,383,370,302,135,3180
LGA42750,0,0,6,3,3,0,0,0,3,3,0,0,0,0,3,15,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,9,6,6,0,6,6,3,3,0,0,0,0,3,33,29,21,16,46,35,84,69,57,15,17,5,17,411
LGA43080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,6,13,6,6,14,13,14,6,0,0,0,3,5,80
LGA43220,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,6,18,8,3,6,9,15,3,0,3,0,3,3,71
LGA43360,0,0,6,0,3,0,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,3,0,3,0,0,0,0,18,13,6,16,13,16,42,27,23,6,4,0,9,175
LGA43650,3,0,33,0,0,3,9,12,19,10,8,3,3,3,6,76,3,0,3,3,3,13,3,4,3,0,3,3,41,4,5,3,3,3,14,8,4,3,0,0,3,50,7,8,12,20,22,49,27,19,9,6,9,12,200,79,54,73,131,155,401,405,403,203,92,52,105,2153
LGA43710,0,0,3,0,4,0,7,5,3,3,0,0,0,0,4,26,0,0,0,0,0,3,3,0,0,0,3,0,9,3,0,3,0,0,0,3,3,0,3,0,0,15,3,4,3,7,5,9,9,3,0,3,3,4,53,37,31,23,50,52,103,87,71,30,25,15,29,553
LGA43790,0,0,16,3,3,5,6,0,22,9,0,3,0,0,4,55,0,6,3,0,3,0,3,3,0,0,0,3,21,4,5,4,3,3,4,0,0,0,0,0,3,26,7,14,12,14,10,30,15,3,3,0,0,10,118,66,65,86,109,152,266,172,128,28,25,9,57,1163
LGA43920,0,0,12,0,3,5,6,5,20,18,18,3,0,0,0,78,0,0,3,3,3,5,5,3,0,0,0,8,30,6,0,0,4,3,6,5,4,4,5,0,0,37,6,3,8,16,14,34,28,28,7,5,0,8,157,28,51,51,91,107,286,236,252,114,59,16,68,1359
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA44060,0,3,87,9,12,14,34,29,89,81,90,33,8,6,22,427,17,13,19,19,27,75,47,36,8,8,7,14,290,28,32,21,43,54,81,51,46,15,11,0,28,410,54,60,57,106,119,271,195,181,60,31,13,67,1214,372,271,301,505,609,1529,1596,2254,1113,600,246,369,9765
LGA44210,0,0,15,0,4,4,6,5,14,5,3,0,0,0,3,44,0,0,4,0,0,4,0,3,0,0,0,3,14,3,3,3,6,4,3,3,0,0,0,0,3,28,3,7,11,16,9,27,13,6,0,0,0,9,101,49,49,52,84,87,179,119,75,25,17,11,40,787
LGA44340,0,0,85,9,7,7,22,22,59,51,43,21,22,12,8,283,14,5,13,20,11,43,35,32,27,9,5,7,221,14,14,4,19,28,41,31,34,11,9,12,7,224,42,29,24,64,66,160,128,134,70,45,29,22,813,325,198,165,320,419,1052,1033,1620,953,847,528,281,7741
LGA44550,0,0,44,4,3,4,11,26,42,31,35,15,10,7,7,195,3,5,5,14,10,9,17,9,5,4,0,3,84,13,7,8,13,13,22,17,9,8,0,3,4,117,20,15,20,41,55,88,72,58,33,14,10,14,440,165,99,123,209,276,675,772,993,447,263,150,163,4335
LGA44620,0,3,33,3,3,11,25,30,51,30,13,0,5,3,6,180,0,3,0,6,11,9,9,7,3,0,0,0,48,3,3,6,14,13,20,11,0,0,0,0,7,77,6,12,17,51,57,92,53,23,3,5,3,16,338,79,78,95,217,327,823,595,337,78,58,34,104,2825
LGA44830,0,0,0,0,5,0,6,0,3,0,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,4,6,0,9,0,0,0,0,0,0,24,15,16,23,26,31,46,27,13,8,3,9,14,231
LGA45040,0,0,21,0,6,5,14,15,22,24,11,3,0,0,10,110,3,0,0,10,7,10,4,3,0,0,0,4,41,7,8,9,9,5,17,12,0,0,0,0,0,67,10,14,14,36,33,54,44,17,3,0,0,14,239,106,81,83,167,193,434,360,223,64,29,26,102,1868
LGA45090,0,0,16,0,0,7,4,5,13,6,4,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,4,6,0,0,0,0,0,0,13,0,4,10,10,15,19,6,4,0,0,0,3,71,68,31,49,80,91,229,130,65,21,10,15,62,851
LGA45120,0,0,9,3,3,4,0,3,5,3,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,5,8,0,0,4,3,3,0,0,0,0,0,0,0,10,3,3,8,6,12,8,3,0,0,0,0,5,48,43,36,35,64,53,88,48,26,6,0,6,31,436
LGA45290,0,5,34,3,3,0,11,6,20,14,21,9,13,8,4,112,3,0,3,8,8,17,8,12,4,5,6,0,74,7,4,7,10,7,17,6,9,3,3,5,5,83,13,7,14,29,21,59,35,47,21,24,19,14,303,145,52,63,110,146,398,323,517,351,343,337,114,2899
