region_id,C11_1PF_Cu15DS_4000ov,C11_1PF_Cu15DS_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_0_299,C11_1PF_CU15_NDS_300_449,C11_1PF_CU15_NDS_450_599,C11_1PF_CU15_NDS_600_799,C11_1PF_CU15_NDS_800_999,C11_1PF_CU15_NDS_1000_1399,C11_1PF_CU15_NDS_1400_1799,C11_1PF_CU15_NDS_1800_2399,C11_1PF_CU15_NDS_2400_2999,C11_1PF_CU15_NDS_3000_3999,C11_1PF_CU15_NDS_4000ov,C11_1PF_CU15_NDS_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_0_299,C11_1PF_NCu15DS_300_449,C11_1PF_NCu15DS_450_599,C11_1PF_NCu15DS_600_799,C11_1PF_NCu15DS_800_999,C11_1PF_NCu15DS_1000_1399,C11_1PF_NCu15DS_1400_1799,C11_1PF_NCu15DS_1800_2399,C11_1PF_NCu15DS_2400_2999,C11_1PF_NCu15DS_3000_3999,C11_1PF_NCu15DS_4000ov,C11_1PF_NCu15DS_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_0_299,C11_1PF_NDCO_300_449,C11_1PF_NDCO_450_599,C11_1PF_NDCO_600_799,C11_1PF_NDCO_800_999,C11_1PF_NDCO_1000_1399,C11_1PF_NDCO_1400_1799,C11_1PF_NDCO_1800_2399,C11_1PF_NDCO_2400_2999,C11_1PF_NDCO_3000_3999,C11_1PF_NDCO_4000ov,C11_1PF_NDCO_NS,C11_1PF_NDCO_Tot,C11_1PF_T_0_299,C11_1PF_T_300_449,C11_1PF_T_450_599,C11_1PF_T_600_799,C11_1PF_T_800_999,C11_1PF_T_1000_1399,C11_1PF_T_1400_1799,C11_1PF_T_1800_2399,C11_1PF_T_2400_2999,C11_1PF_T_3000_3999,C11_1PF_T_4000ov,C11_1PF_T_NS,C11_1_PF_T_T,C11_T_0_299,C11_T_300_449,C11_T_450_599,C11_T_600_799,C11_T_800_999,C11_T_1000_1399,C11_T_1400_1799,C11_T_1800_2399,C11_T_2400_2999,C11_T_3000_3999,C11_T_4000ov,C11_T_NS,C11_T_T
LGA46860,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,6,14,0,4,8,8,24,26,15,3,6,4,3,115
LGA46970,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,10,0,0,0,0,0,0,4,4,3,3,3,0,17,0,0,3,10,11,25,38,57,80,43,14,13,294
LGA47140,3,7,225,30,32,52,87,127,277,260,130,32,16,13,49,1105,14,25,13,58,54,99,67,49,11,6,3,17,416,50,63,74,84,97,161,135,84,13,11,6,51,829,107,127,144,252,306,600,513,285,59,33,25,124,2575,547,551,570,1072,1291,3341,3544,3237,915,542,231,670,16511
LGA47290,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,3,3,3,3,3,0,3,0,0,0,0,0,18,21,20,13,29,30,13,12,0,3,0,3,12,156
LGA47490,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,6,0,3,0,0,0,0,12,10,11,9,15,10,40,22,28,4,0,3,3,155
LGA47630,0,0,9,4,0,3,6,3,11,5,0,0,0,3,0,35,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,6,0,3,0,0,3,0,15,4,3,3,9,7,17,8,6,0,0,6,0,63,58,25,42,60,100,139,84,53,19,16,27,25,648
LGA47700,0,11,175,14,16,16,39,46,143,131,106,25,16,3,30,585,12,12,15,39,38,82,52,42,16,0,6,18,332,27,24,35,59,51,107,90,59,14,12,10,25,513,60,64,70,152,158,371,312,226,58,31,19,84,1605,508,402,387,754,961,2349,2446,3112,1167,621,279,553,13539
LGA47800,0,0,0,4,3,4,7,6,3,0,0,0,0,0,5,32,0,0,0,0,0,6,0,0,0,0,0,0,6,0,7,5,3,0,0,0,0,0,0,0,0,15,4,10,9,10,6,9,0,0,0,0,0,5,53,55,38,40,58,63,105,49,22,14,8,8,24,484
LGA47910,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,7,0,0,0,0,0,0,18,20,3,10,20,20,43,27,29,16,10,4,16,218
LGA47980,4,3,40,9,3,3,0,6,19,16,23,13,12,7,5,116,5,3,0,5,5,11,11,16,7,8,13,8,92,11,4,5,5,7,20,4,16,4,5,6,6,93,25,13,8,10,18,54,42,62,27,30,30,22,341,178,81,77,118,152,407,388,592,426,519,493,155,3586
LGA48050,0,0,12,0,0,6,3,4,20,8,0,0,4,5,0,50,3,0,0,3,3,6,3,0,4,0,0,3,25,3,0,3,7,8,0,3,3,0,0,0,3,30,6,0,12,16,15,29,14,6,4,4,5,6,117,72,51,56,80,105,209,198,178,73,54,30,41,1147
LGA48130,0,0,9,3,4,3,10,10,11,3,0,0,0,0,0,44,0,4,0,0,0,3,0,0,0,0,0,0,7,3,3,3,4,3,3,3,3,0,0,0,4,29,6,11,9,14,13,20,6,6,0,0,0,4,89,52,47,41,78,85,168,87,61,18,9,11,26,683
LGA48260,3,0,12,6,0,0,4,0,0,5,0,0,4,3,0,22,0,0,0,0,0,0,3,0,0,0,3,4,10,0,0,0,0,4,3,0,0,0,0,0,0,7,6,0,0,4,4,6,11,0,0,7,9,4,51,38,15,12,27,22,51,58,88,52,85,116,38,602
LGA48340,0,0,22,5,10,9,15,12,13,4,0,4,0,0,0,72,3,3,0,8,3,3,4,0,0,0,0,0,24,3,5,3,6,3,3,0,3,0,3,0,3,32,11,21,12,32,26,22,13,3,4,3,0,3,150,77,81,76,195,183,280,177,128,40,26,22,54,1339
LGA48410,0,4,46,6,5,8,15,22,43,36,44,21,7,3,7,217,8,6,8,7,15,24,17,18,5,10,0,9,127,8,8,11,15,14,38,28,18,10,8,0,12,170,26,19,30,40,61,112,85,88,39,25,3,32,560,174,129,123,215,301,699,703,1045,585,486,188,199,4847
LGA48540,0,0,41,3,6,14,24,31,55,28,16,0,4,0,9,190,0,8,3,0,4,10,10,3,0,0,0,0,38,3,8,3,16,13,8,12,10,0,0,0,6,79,12,22,23,48,56,86,53,29,0,4,0,15,348,61,114,110,214,271,538,411,386,135,69,27,113,2449
LGA48640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,10,10,12,8,3,0,3,3,3,82
LGA48750,0,0,3,0,0,3,5,3,7,3,3,3,0,0,0,27,3,0,0,0,5,5,3,0,0,0,0,0,16,3,0,3,0,4,4,3,0,0,0,0,0,17,6,0,6,5,12,19,9,3,3,0,0,0,63,43,25,31,36,40,106,81,69,24,15,6,23,499
LGA48830,0,5,17,0,4,6,7,3,7,3,0,0,0,3,0,33,0,0,0,0,0,6,3,4,3,0,0,0,16,0,0,0,3,5,0,4,0,0,0,0,0,12,0,4,9,13,8,16,13,4,3,0,3,5,78,63,55,57,88,81,163,112,71,17,12,12,39,770
LGA49399,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,3,0,0,0,0,0,12,18,9,14,4,9,12,9,11,3,0,6,12,107
LGA50080,8,5,36,4,9,5,12,14,36,18,22,7,8,0,7,142,4,0,3,7,7,13,10,7,3,3,0,0,57,10,0,6,7,10,23,8,9,3,0,0,6,82,18,9,17,26,31,78,43,42,16,11,8,18,317,137,91,99,149,224,567,511,627,327,222,132,167,3253
LGA50210,0,4,104,19,21,6,29,45,94,95,94,37,26,21,24,511,6,3,8,11,17,28,31,26,10,3,5,10,158,13,19,20,28,39,61,63,59,20,13,9,28,372,42,43,37,78,105,212,203,197,78,49,35,66,1145,219,197,185,366,455,1143,1305,2016,1260,922,431,399,8898
LGA50250,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,23,3,0,3,3,3,6,7,0,6,0,3,57
LGA50280,0,3,15,0,0,0,3,6,10,14,10,4,7,3,3,60,0,5,0,3,3,3,3,0,0,0,0,3,20,0,0,3,3,0,3,3,7,3,0,0,0,22,3,5,3,9,12,19,23,17,7,7,3,9,117,33,32,25,48,57,165,172,219,142,124,70,61,1148
LGA50350,0,0,20,3,0,3,5,7,15,13,21,9,7,5,0,88,5,0,0,5,3,11,12,3,0,0,0,0,39,8,5,0,6,3,11,10,11,0,4,0,5,63,16,5,9,20,16,44,35,35,9,11,5,5,210,71,27,40,78,72,239,221,354,239,201,78,72,1692
LGA50420,3,0,44,13,3,9,18,23,45,46,43,28,20,5,15,268,6,4,3,11,15,21,20,23,9,7,3,8,130,13,11,8,24,15,32,30,54,24,14,3,20,248,37,18,23,56,59,103,103,126,64,44,14,43,690,232,116,119,252,262,744,754,1262,868,898,462,264,6233
LGA50490,4,3,28,5,5,0,6,16,20,29,29,13,12,5,7,147,4,4,5,0,4,11,10,10,3,3,3,3,60,8,3,0,5,13,18,19,14,10,10,4,5,109,17,15,8,14,37,49,63,56,26,25,16,18,344,108,53,44,98,147,370,373,652,530,408,222,137,3142
LGA50560,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,7,12,8,6,3,12,26,19,13,9,9,4,10,131
LGA50630,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,4,0,0,11,0,4,3,12,9,20,22,26,23,25,12,6,162
LGA50770,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,16,0,7,10,16,23,15,17,5,6,11,8,134
LGA50840,3,0,9,3,0,0,6,3,3,3,4,3,3,0,3,31,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,5,0,0,0,3,0,0,14,6,0,6,6,3,14,3,4,3,6,3,3,57,40,5,25,35,30,85,70,87,51,36,15,29,508
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,11,10,3,0,5,0,6,45
LGA50980,0,0,3,0,0,0,0,3,8,5,3,4,6,9,4,42,0,0,0,0,3,0,0,4,3,0,0,0,10,3,0,0,0,0,4,0,7,0,6,0,6,26,3,0,0,0,6,12,8,14,7,12,9,10,81,17,6,9,11,17,58,62,137,109,198,164,55,843
LGA51080,0,0,4,4,0,0,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,3,4,3,3,0,0,0,0,0,0,17,13,0,6,13,6,16,0,6,0,4,6,4,74
LGA51120,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,0,9,4,6,9,6,7,13,3,0,0,0,0,6,54
LGA51190,0,0,28,12,0,3,12,13,27,39,26,13,5,0,9,159,3,4,3,13,9,12,6,14,4,3,0,5,76,7,3,9,11,14,26,19,11,3,6,0,9,118,22,10,15,39,41,71,69,54,23,14,0,23,381,101,70,68,145,187,497,524,679,316,213,107,146,3053
LGA51260,0,3,36,5,5,0,3,8,34,25,19,16,7,5,10,137,0,0,3,3,3,6,4,6,3,6,0,3,37,6,3,3,3,10,10,13,6,3,3,4,3,67,14,8,6,12,24,55,51,38,22,19,9,19,277,127,53,71,112,156,430,439,622,424,323,219,164,3140
LGA51310,3,4,25,3,4,0,0,3,5,9,15,11,9,18,3,80,3,0,3,5,3,13,5,4,3,6,4,5,54,3,0,0,0,4,4,4,3,5,4,9,6,42,12,4,6,5,10,25,21,25,22,19,34,18,201,133,31,35,62,63,197,171,356,214,400,811,147,2620
LGA51330,4,3,96,15,10,8,15,28,65,69,66,35,29,12,19,371,10,13,3,21,14,31,29,50,19,25,12,15,242,19,18,15,23,26,56,40,47,22,19,8,18,311,47,41,29,65,74,172,150,175,86,90,36,55,1020,374,191,176,329,432,1110,1171,1791,1279,1132,565,379,8929
LGA51400,3,3,29,4,3,3,4,9,23,13,33,11,6,0,3,112,0,0,3,3,0,3,3,6,3,3,0,3,27,0,0,3,0,0,4,8,5,3,3,0,3,29,4,3,9,7,13,40,27,47,17,15,3,12,197,62,37,33,57,80,239,292,496,334,220,92,89,2031
LGA51470,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,8,5,3,4,12,5,0,10,0,0,0,0,8,47
LGA51540,0,0,0,4,0,3,0,3,3,3,3,6,0,0,0,25,0,0,0,3,0,4,0,0,0,0,0,4,11,0,0,0,0,6,0,0,0,0,0,0,0,6,4,0,3,3,9,7,3,3,6,0,0,4,42,19,4,6,27,34,55,53,62,30,24,21,28,363
LGA51610,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,6,7,0,0,9,4,19,20,22,23,13,7,7,131
LGA51680,0,0,7,0,0,0,0,0,4,3,3,0,3,3,3,19,0,0,0,0,0,0,3,0,3,0,0,3,9,0,0,0,3,0,0,0,3,3,3,0,0,12,4,0,0,3,0,4,6,6,9,6,3,6,47,15,12,11,24,27,69,89,141,100,108,69,35,700
LGA51750,3,0,12,0,0,0,0,0,0,3,0,4,4,5,0,16,3,5,0,0,3,0,3,6,0,4,4,3,31,3,0,0,0,3,5,4,3,0,0,3,0,21,9,5,0,0,6,5,13,9,4,11,15,3,80,47,14,8,11,19,50,53,59,52,95,278,35,721
LGA51820,3,6,118,22,15,9,28,39,109,92,104,57,48,20,39,582,16,3,3,13,14,35,32,20,19,19,9,11,194,36,20,23,23,31,84,59,66,35,22,17,23,439,77,41,38,71,94,261,197,208,124,94,49,79,1333,348,213,194,402,487,1525,1622,2617,2107,1859,746,546,12666
LGA51890,0,0,12,0,4,3,6,12,10,8,9,0,3,0,9,64,0,0,3,3,3,0,3,0,0,0,0,3,15,0,3,3,3,3,3,6,4,3,0,0,3,31,0,10,9,15,18,19,17,13,3,3,0,15,122,28,30,28,75,73,169,191,203,88,67,29,82,1063
LGA51960,0,0,4,0,0,3,4,4,7,3,0,0,0,0,0,21,0,0,0,0,3,3,0,0,0,0,0,0,6,3,0,3,0,0,3,0,0,0,0,0,0,9,3,0,6,4,7,17,3,0,0,0,0,0,40,11,4,16,38,45,112,58,44,13,14,3,25,383
LGA52030,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,0,0,0,0,0,9,12,9,6,3,3,3,13,6,0,9,3,6,73
LGA52100,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,12,12,9,3,11,3,7,10,9,5,0,3,3,75
LGA52170,3,0,9,0,0,0,0,0,0,6,0,0,0,12,3,21,0,0,0,0,0,0,3,0,0,4,5,0,12,4,0,0,3,0,3,0,0,0,0,0,3,13,4,0,3,3,0,3,9,0,3,4,20,6,55,38,3,6,10,11,37,41,46,32,68,239,39,570
LGA52240,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,19,3,10,0,14,10,0,8,0,0,4,6,74
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,12,7,3,8,12,9,19,20,16,0,7,4,7,112
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
LGA52450,0,0,3,0,0,0,3,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,3,0,0,0,0,0,15,12,6,5,11,15,24,12,12,6,3,0,3,109
LGA52520,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,9,9,5,12,11,10,13,5,3,6,0,3,8,85
LGA52590,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,15,21,0,5,13,19,31,30,36,23,19,21,15,233
LGA52660,3,0,21,3,0,0,7,3,15,14,20,11,3,3,4,83,0,0,0,0,0,10,8,0,0,0,3,0,21,3,3,3,3,3,8,3,13,0,0,0,3,42,6,3,3,10,9,36,29,36,16,3,9,7,167,44,23,28,66,84,257,255,417,269,120,67,68,1698
LGA52730,0,0,6,0,0,0,4,3,4,3,3,3,3,0,0,23,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,0,3,3,0,0,0,0,0,12,0,3,0,7,3,13,6,6,3,3,0,0,44,28,17,8,26,36,71,55,87,34,30,20,25,437
LGA52800,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,3,3,7,7,0,0,0,0,0,20,7,3,0,11,3,30,32,26,14,17,7,5,155
LGA52870,0,0,3,0,0,4,0,4,6,6,0,5,0,0,5,30,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,5,3,0,0,0,0,0,20,0,0,7,6,13,11,9,0,5,0,0,5,56,21,23,23,24,61,137,95,107,68,40,26,34,659
LGA52940,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,6,3,9,4,11,6,3,3,0,0,0,3,48
LGA53010,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,3,3,3,9,0,3,3,0,0,3,4,37
LGA53080,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,3,0,0,0,0,0,3,15,9,12,3,8,5,9,0,3,0,6,0,3,58
LGA53150,0,0,0,0,0,4,0,4,7,7,5,3,0,0,0,30,0,3,0,3,0,4,0,3,0,7,4,0,24,0,0,0,3,3,3,3,3,0,0,4,0,19,0,3,4,6,7,14,10,11,3,7,8,0,73,34,15,13,24,16,75,71,102,78,124,182,31,765
LGA53220,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,3,0,0,0,0,0,0,0,11,40,63,20,9,12,6,6,0,6,3,6,9,180
LGA53290,0,4,19,0,0,5,3,8,10,6,5,3,3,7,4,54,0,0,0,3,3,0,0,4,3,0,0,0,13,9,0,3,3,3,4,3,3,3,3,0,3,37,9,0,8,12,18,18,13,12,9,6,7,11,123,82,30,36,59,79,198,188,232,109,90,65,71,1239
LGA53360,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,7,5,24,15,26,27,33,19,13,169
LGA53430,0,3,29,7,4,7,7,7,17,22,24,13,12,3,3,126,4,7,3,3,3,9,12,8,7,3,7,3,69,14,3,0,6,5,20,11,14,10,3,8,10,104,25,17,10,16,18,50,49,51,34,21,18,19,328,106,45,40,90,89,274,248,416,333,369,372,110,2492
LGA53520,0,0,46,10,8,13,25,19,42,29,40,14,12,5,14,231,6,4,0,7,6,12,6,9,5,0,0,0,55,11,4,4,8,15,23,13,14,8,3,0,3,106,27,19,20,44,43,86,56,76,27,18,5,17,438,135,85,99,187,237,586,611,759,410,344,132,175,3760
LGA53570,0,0,9,0,0,0,4,0,7,5,3,0,0,3,0,22,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,9,3,3,0,4,6,7,8,6,0,3,3,0,43,29,17,11,19,24,70,70,91,41,62,23,26,483
LGA53640,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,11,11,5,12,10,19,13,3,0,0,6,5,95
LGA53710,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,6,9,6,15,3,6,6,3,6,0,66
LGA53780,4,15,169,25,18,22,35,52,147,108,143,83,56,14,34,737,7,10,14,29,24,59,44,55,19,4,6,11,282,29,31,17,48,67,116,105,93,42,26,11,35,620,68,64,56,124,157,358,282,325,148,96,35,95,1808,391,247,261,577,791,2078,2222,3170,2096,1370,558,586,14347
LGA53920,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,4,0,0,0,6,10
LGA53990,0,5,30,7,0,3,5,14,29,19,22,16,8,5,5,133,3,0,0,3,3,7,3,5,4,3,0,0,31,3,5,3,3,8,18,11,13,6,3,0,8,81,16,5,6,14,25,59,40,44,29,14,5,18,275,99,59,69,105,140,393,451,676,452,276,113,140,2973
LGA54060,0,0,0,0,0,0,3,0,0,5,9,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,3,0,0,8,12,3,0,0,0,26,12,0,10,13,22,49,44,71,34,26,15,21,317
LGA54130,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,24,4,4,9,4,16,4,4,0,0,0,8,77
LGA54170,12,7,199,41,16,26,34,66,129,128,154,82,63,37,44,820,22,10,14,14,27,81,93,62,49,31,21,17,441,42,36,31,56,60,130,106,103,29,36,27,51,707,111,65,74,113,171,376,366,351,180,144,97,119,2167,846,418,404,832,987,2572,2714,3983,2937,3149,1904,982,21728
LGA54200,4,7,96,11,3,3,15,18,69,54,65,41,34,19,22,354,4,4,3,6,12,26,27,22,9,11,5,7,136,15,11,8,18,29,43,43,34,22,15,12,20,270,30,18,17,47,63,155,144,136,75,75,40,56,856,261,142,114,228,347,957,1040,1489,1127,935,476,337,7453
LGA54280,3,3,18,9,3,4,13,13,34,37,31,19,8,5,10,186,0,3,0,3,3,5,6,3,3,3,0,7,36,4,4,4,0,3,15,14,13,8,3,3,4,75,13,10,8,16,19,60,57,53,30,14,11,24,315,56,39,35,72,108,466,550,888,523,391,175,175,3478
LGA54340,0,0,0,0,3,14,8,3,8,3,3,0,0,0,0,42,0,3,0,0,0,0,0,3,0,0,0,0,6,3,0,0,0,4,0,0,0,0,0,0,0,7,3,6,14,8,7,8,3,6,0,0,0,0,55,20,12,31,45,45,68,56,41,11,16,5,20,370
LGA54410,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,4,0,0,0,0,0,9,12,9,3,24,3,16,8,3,3,0,0,4,85
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,3,3,7,0,6,0,0,0,0,28
LGA54550,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,6,7,0,0,0,0,0,0,0,0,13,21,5,12,18,13,28,13,7,8,6,4,4,139
LGA54620,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,0,0,3,0,3,3,0,0,0,0,0,3,12,15,0,3,8,11,12,0,3,3,3,3,6,67
LGA54690,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,6,4,3,11,0,0,0,0,4,0,0,0,4,26
LGA54760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,7,4,3,3,6,3,3,0,0,48
LGA54830,0,5,46,4,5,4,23,26,54,51,53,15,11,0,8,254,3,7,3,5,3,11,12,9,3,5,0,6,67,11,14,13,12,15,34,33,22,8,0,0,10,172,21,29,20,40,49,109,104,96,26,16,0,29,539,91,95,76,157,209,543,729,1060,576,252,142,156,4086
LGA54900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,6,13,18,8,0,5,0,0,5,76
