region_id,C01_N_inc_R0_74,C01_N_inc_R75_99,C01_Ne_Ni_inc_R100_149,C01_Ne_Ni_inc_R150_199,C01_Ne_Ni_inc_R200_224,C01_Ne_Ni_inc_R225_274,C01_Ne_Ni_inc_R275_349,C01_Ne_Ni_inc_R350_449,C01_Ne_Ni_inc_R450_549,C01_Ne_Ni_inc_R550_649,C01_Ne_Ni_inc_R650m,C01_Ne_Nil_inc_R_NS,C01_N_inc_Re_Tot,C01_1_199_R0_74,C01_1_199_R75_99,C01_1_199_R100_149,C01_1_199_R150_199,C01_1_199_R200_224,C01_1_199_R225_274,C01_1_199_R275_349,C01_1_199_R350_449,C01_1_199_R450_549,C01_1_199_R550_649,C01_1_199_R650m,C01_1_199_R_NS,C01_1_199_R_Tot,C01_200_299_R0_74,C01_200_299_R75_99,C01_200_299_R100_149,C01_200_299_R150_199,C01_200_299_R200_224,C01_200_299_R225_274,C01_200_299_R275_349,C01_200_299_R350_449,C01_200_299_R450_549,C01_200_299_R550_649,C01_200_299_R650m,C01_200_299_R_NS,C01_200_299_R_Tot,C01_300_399_R0_74,C01_300_399_R75_99,C01_300_399_R100_149,C01_300_399_R150_199,C01_300_399_R200_224,C01_300_399_R225_274,C01_300_399_R275_349,C01_300_399_R350_449,C01_300_399_R450_549,C01_300_399_R550_649,C01_300_399_R650m,C01_300_399_R_NS,C01_300_399_R_Tot,C01_400_599_R0_74,C01_400_599_R75_99,C01_400_599_R100_149,C01_400_599_R150_199,C01_400_599_R200_224,C01_400_599_R225_274,C01_400_599_R275_349,C01_400_599_R350_449,C01_400_599_R450_549,C01_400_599_R550_649,C01_400_599_R650m,C01_400_599_R_NS,C01_400_599_R_Tot,C01_600_799_R0_74,C01_600_799_R75_99,C01_600_799_R100_149,C01_600_799_R150_199,C01_600_799_R200_224,C01_600_799_R225_274,C01_600_799_R275_349,C01_600_799_R350_449,C01_600_799_R450_549,C01_600_799_R550_649,C01_600_799_R650m,C01_600_799_R_NS,C01_600_799_R_Tot,C01_800_999_R0_74,C01_800_999_R75_99,C01_800_999_R100_149,C01_800_999_R150_199,C01_800_999_R200_224,C01_800_999_R225_274,C01_800_999_R275_349,C01_800_999_R350_449,C01_800_999_R450_549,C01_800_999_R550_649,C01_800_999_R650m,C01_800_999_R_NS,C01_800_999_R_Tot,C01_1000_1249_R0_74,C01_1000_1249_R75_99,C01_1000_1249_R_100_149,C01_1000_1249_R_150_199,C01_1000_1249_R_200_224,C01_1000_1249_R_225_274,C01_1000_1249_R_275_349,C01_1000_1249_R_350_449,C01_1000_1249_R_450_549,C01_1000_1249_R_550_649,C01_1000_1249_R650m,C01_1000_1249_R_NS,C01_1000_1249_R_Tot,C01_1250_1499_R0_74,C01_1250_1499_R75_99,C01_1250_1499_R_100_149,C01_1250_1499_R_150_199,C01_1250_1499_R_200_224,C01_1250_1499_R_225_274,C01_1250_1499_R_275_349,C01_1250_1499_R_350_449,C01_1250_1499_R_450_549,C01_1250_1499_R_550_649,C01_1250_1499_R650m,C01_1250_1499_R_NS,C01_1250_1499_R_Tot,C01_1500_1999_R0_74,C01_1500_1999_R75_99,C01_1500_1999_R_100_149,C01_1500_1999_R_150_199,C01_1500_1999_R_200_224,C01_1500_1999_R_225_274,C01_1500_1999_R_275_349,C01_1500_1999_R_350_449,C01_1500_1999_R_450_549,C01_1500_1999_R_550_649,C01_1500_1999_R650m,C01_1500_1999_R_NS,C01_1500_1999_R_Tot,C01_2000_2499_R0_74,C01_2000_2499_R75_99,C01_2000_2499_R100_149,C01_2000_2499_R150_199,C01_2000_2499_R200_224,C01_2000_2499_R225_274,C01_2000_2499_R275_349,C01_2000_2499_R350_449,C01_2000_2499_R450_549,C01_2000_2499_R550_649,C01_2000_2499_R650m,C01_2000_2499_R_NS,C01_2000_2499_R_Tot,C01_2500_2999_R0_74,C01_2500_2999_R75_99,C01_2500_2999_R_100_149,C01_2500_2999_R_150_199,C01_2500_2999_R_200_224,C01_2500_2999_R_225_274,C01_2500_2999_R_275_349,C01_2500_2999_R_350_449,C01_2500_2999_R_450_549,C01_2500_2999_R_550_649,C01_2500_2999_Re_650mo,C01_2500_2999_R_NS,C01_2500_2999_Re_Tot,C01_3000m_R0_74,C01_3000m_R75_99,C01_3000m_R100_149,C01_3000m_R150_199,C01_3000m_R200_224,C01_3000m_R225_274,C01_3000m_R275_349,C01_3000m_R350_449,C01_3000m_R450_549,C01_3000m_R550_649,C01_3000m_R650m,C01_3000m_R_NS,C01_3000m_R_Tot,C01_PI_S_R0_74,C01_PI_S_R75_99,C01_PI_S_R100_149,C01_PI_S_R150_199,C01_PI_S_R200_224,C01_PI_S_R225_274,C01_PI_S_R275_349,C01_PI_S_R350_449,C01_PI_S_R450_549,C01_PI_S_R550_649,C01_PI_S_Re_650mo,C01_PI_S_R_NS,C01_PI_S_Re_Tot,C01_AI_NS_R0_74,C01_AI_NS_R75_99,C01_AI_NS_R100_149,C01_AI_NS_R150_199,C01_AI_NS_R200_224,C01_AI_NS_R225_274,C01_AI_NS_R275_349,C01_AI_NS_R350_449,C01_AI_NS_R450_549,C01_AI_NS_R550_649,C01_AI_NS_R650m,C01_AI_NS_R_NS,C01_AI_NS_R_Tot,C01_Tot_R0_74,C01_Tot_R75_99,C01_Tot_R100_149,C01_Tot_R150_199,C01_Tot_R200_224
LGA22250,3,0,0,0,0,0,0,0,0,0,0,0,3,39,17,16,0,0,0,3,0,0,0,0,7,82,66,22,26,3,0,0,0,0,0,0,3,7,127,40,27,43,0,0,0,0,0,0,0,0,5,115,55,56,53,0,0,0,0,0,0,0,3,4,171,46,24,59,0,0,0,0,0,0,0,0,5,134,38,21,41,0,0,3,0,0,0,0,0,0,103,24,9,19,3,0,0,0,0,0,0,0,3,58,15,3,11,3,0,0,0,0,0,0,0,0,32,15,6,17,3,0,0,0,0,0,0,0,0,41,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,18,3,0,0,0,0,0,0,0,4,48,15,6,12,0,0,0,0,0,0,0,4,13,50,378,198,318,15,0
LGA22310,21,4,54,50,30,21,13,7,3,3,8,13,227,171,24,193,111,25,31,13,4,0,0,6,35,613,267,66,445,159,37,35,16,10,5,0,9,37,1086,87,65,336,270,62,55,30,16,0,0,9,25,955,110,50,619,566,168,189,73,25,8,3,26,43,1880,85,19,531,536,199,187,93,22,16,8,20,34,1750,55,12,270,438,160,167,83,33,6,7,20,22,1273,59,15,193,445,216,242,146,54,19,4,16,33,1442,26,5,52,212,122,159,80,23,6,4,7,12,708,53,6,107,308,230,336,208,102,40,5,29,24,1448,18,0,19,77,80,138,110,58,13,3,9,8,533,4,3,4,24,21,37,70,49,14,3,8,3,240,6,0,0,6,6,16,26,15,7,0,6,4,92,38,5,68,149,103,140,125,66,13,6,10,33,756,37,10,116,99,26,31,25,6,6,0,8,76,440,1037,284,3007,3450,1485
LGA22410,4,3,3,0,0,0,0,0,0,0,0,0,10,81,20,19,0,0,0,0,0,0,0,3,9,132,111,56,44,3,0,0,0,0,0,0,0,7,221,80,62,89,5,0,0,0,0,0,0,0,5,241,64,68,104,4,3,0,3,0,0,0,0,13,259,48,39,83,6,0,0,0,0,0,0,0,8,184,36,17,59,7,0,0,0,0,0,0,3,3,125,25,16,51,10,0,0,0,0,0,0,3,4,109,10,3,27,6,0,0,0,0,0,0,0,3,49,16,7,28,15,3,0,3,0,0,0,0,4,76,5,3,12,0,0,0,0,0,0,0,0,0,20,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,3,13,16,26,4,0,0,3,0,0,0,3,3,68,25,9,14,0,0,0,3,0,0,0,3,11,65,521,322,559,60,6
LGA22490,0,0,0,0,3,0,0,0,0,0,0,0,3,7,3,8,3,0,0,0,0,0,0,0,3,24,22,6,14,0,0,0,0,0,0,0,0,3,45,16,7,23,0,0,0,0,0,0,0,0,0,46,27,9,34,9,0,0,0,0,0,0,0,3,82,14,3,24,10,3,0,0,0,0,0,0,3,57,13,3,9,3,3,0,0,0,0,0,0,0,31,13,3,8,6,0,0,0,0,0,0,0,0,30,6,0,9,3,3,0,0,0,0,0,0,0,21,9,0,5,4,0,0,3,0,0,0,0,3,24,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,3,21,6,0,8,0,0,0,0,0,0,0,0,3,17,143,34,154,38,12
LGA22620,4,0,11,7,0,0,0,0,0,0,0,4,26,273,99,157,32,6,4,0,0,0,0,3,32,606,418,203,349,40,6,3,3,0,0,3,4,36,1065,217,201,445,145,6,0,3,0,0,0,3,26,1046,166,203,852,315,30,4,0,3,3,0,10,46,1632,93,82,562,288,24,7,4,4,0,0,7,25,1096,53,41,301,236,28,9,0,3,0,0,3,9,683,37,22,196,215,21,13,6,3,0,0,5,10,528,12,5,84,107,9,7,3,0,0,3,3,4,237,28,14,70,101,22,18,3,4,4,0,0,10,274,5,0,11,21,14,10,3,3,0,0,0,3,70,3,3,8,4,4,4,3,0,0,0,0,0,29,4,3,0,0,3,0,0,0,0,0,3,0,13,64,34,141,133,25,23,6,3,0,3,3,21,456,68,37,77,26,5,0,3,0,3,0,7,46,272,1445,947,3264,1670,203
LGA22670,20,10,65,26,4,0,3,3,0,0,0,11,142,349,73,280,82,4,4,0,0,3,3,5,45,848,310,140,514,114,7,6,5,4,3,3,11,52,1169,176,227,631,362,11,8,8,6,9,3,16,56,1513,166,174,1099,636,24,11,11,12,8,3,19,75,2238,93,71,714,590,26,12,9,9,5,7,19,42,1597,60,44,483,484,21,9,3,3,3,3,12,37,1162,45,17,374,421,18,12,5,6,5,3,10,22,938,28,11,143,206,18,7,3,3,0,3,9,11,442,33,13,138,227,8,5,0,0,3,0,7,16,450,7,3,20,64,3,3,0,3,0,0,3,5,111,4,0,8,17,3,0,0,0,0,0,0,0,32,0,3,4,10,0,3,0,0,0,0,3,3,26,62,57,278,301,24,7,6,4,9,4,14,60,826,73,54,205,115,4,3,6,3,3,0,7,94,567,1426,897,4956,3655,175
LGA22750,15,15,35,14,3,4,3,0,0,0,3,12,104,590,237,251,66,6,7,0,0,3,5,12,58,1235,846,478,602,126,13,7,3,0,5,3,10,85,2178,409,417,841,297,15,12,8,3,0,3,16,72,2093,287,479,1287,694,58,25,13,7,6,3,20,71,2950,180,189,952,601,62,27,8,8,0,0,10,35,2072,98,67,529,493,44,20,12,8,0,0,7,32,1310,81,61,425,470,60,30,16,6,5,0,6,22,1182,44,9,168,259,43,24,13,6,0,0,3,18,587,67,21,170,270,68,39,28,11,6,3,6,18,707,24,9,34,62,22,15,19,6,4,0,3,7,205,8,3,15,24,14,8,10,6,0,0,3,3,94,0,0,7,5,6,9,7,3,0,0,0,0,37,110,47,259,250,43,24,19,6,3,3,5,39,808,198,122,169,67,10,3,8,6,5,3,12,154,757,2957,2154,5744,3698,467
LGA22830,4,3,14,6,0,0,0,0,0,0,0,3,30,176,64,70,22,3,0,0,3,0,0,4,27,369,262,107,156,49,3,3,0,0,0,0,6,37,623,169,134,294,120,10,3,3,0,0,0,10,29,772,141,141,445,204,24,10,3,0,0,0,8,33,1009,85,54,288,184,14,10,3,0,0,0,4,17,659,61,34,163,187,33,7,0,3,0,0,5,11,504,64,22,136,151,27,20,4,3,0,3,3,8,441,31,4,39,78,23,16,3,3,0,0,3,4,204,37,11,63,92,30,24,16,3,0,0,3,7,286,13,0,6,16,3,8,8,0,0,0,0,3,57,6,0,3,7,4,3,0,0,0,0,0,3,26,3,0,3,3,0,3,0,3,0,0,0,0,15,45,23,86,83,14,9,6,3,3,0,4,20,296,74,29,64,23,0,3,3,3,0,0,0,43,242,1171,626,1830,1225,188
LGA22910,0,0,3,0,0,0,0,0,0,0,0,0,3,64,10,16,0,0,0,0,0,0,0,0,6,96,53,25,41,8,3,0,0,0,0,0,0,5,135,41,24,70,12,0,0,0,0,3,0,3,3,156,37,16,79,29,3,0,3,0,0,0,0,0,167,22,11,60,16,3,0,0,0,0,0,3,3,118,7,5,28,9,0,0,0,3,0,0,0,3,55,4,0,22,8,3,0,0,0,0,0,0,4,41,6,0,11,4,0,3,0,0,3,0,0,0,27,5,0,6,4,0,0,3,0,0,0,0,3,21,4,0,3,5,0,0,0,3,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,0,0,0,0,3,6,7,3,22,7,3,0,0,0,3,0,0,3,48,18,6,8,0,0,0,0,0,0,0,0,9,41,268,100,372,102,18
LGA22980,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,3,0,0,0,0,0,0,0,0,3,36,48,4,8,0,0,0,0,0,0,0,3,3,66,21,7,8,0,0,0,0,0,0,0,0,0,36,40,9,14,0,0,0,0,0,0,0,0,3,66,25,9,14,0,0,0,0,0,0,0,0,0,48,11,8,5,0,0,0,0,0,0,0,0,0,24,12,5,11,0,0,0,0,0,0,0,0,0,28,6,4,3,0,0,0,0,0,0,0,0,3,16,15,3,4,0,0,0,0,0,0,0,0,0,22,3,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,10,12,3,3,0,0,0,0,0,0,0,0,7,25,226,59,76,0,0
