region_id,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_CF_T,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_CF_T,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_CF_T,C11_650ov_CF_NC,C11_650ov_CF_Cu15DS_,C11_650ov_CF_CU15_NDS,C11_650ov_CF_NCU15_DS,C11_650ov_CF_NDCO,C11_650ov_CF_T,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_CF_T,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_CF_Tot
LGA12200,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,3,3,3,0,0,9,3,3,4,0,3,13,121,16,84,6,18,245
LGA12300,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,5,0,7,0,4,16,200,12,166,14,7,399
LGA12350,5,0,0,5,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,7,4,6,0,0,17,217,30,171,16,22,456
LGA12500,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,113,14,83,9,8,227
LGA12600,82,5,12,162,4,0,4,0,0,8,0,0,3,0,0,3,6,0,0,0,0,6,20,5,15,0,5,45,655,95,632,55,77,1514
LGA12700,7,0,0,13,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,102,10,98,9,25,244
LGA12750,67,11,8,152,7,3,3,0,0,13,0,0,0,0,0,0,6,0,0,0,4,10,19,3,14,3,4,43,675,84,556,51,99,1465
LGA12850,1198,233,301,2658,90,89,211,63,88,541,28,14,37,7,20,106,10,10,23,13,12,68,97,35,99,26,46,303,2638,913,3398,728,1048,8725
LGA12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,3,7,0,3,23,161,12,125,15,9,322
LGA12950,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,5,0,0,8,85,4,66,0,8,163
LGA13010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,138,7,117,12,10,284
LGA13050,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,10,77,17,77,8,6,185
LGA13100,761,78,128,1612,151,58,236,26,47,518,31,25,70,20,16,162,40,15,49,10,5,119,65,3,53,11,6,138,2696,402,2504,260,391,6253
LGA13310,36,6,3,58,7,0,3,0,3,13,0,3,0,0,0,3,3,0,0,0,0,3,21,3,6,3,0,33,425,80,407,47,73,1032
LGA13320,71,14,14,157,5,0,9,0,0,14,3,0,3,0,0,6,5,0,0,0,0,5,20,3,14,5,3,45,649,87,522,66,79,1403
LGA13340,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,8,3,4,22,122,15,146,13,11,307
LGA13380,50,7,4,105,0,0,4,3,3,10,0,0,0,0,0,0,11,0,0,5,0,16,23,4,18,3,3,51,778,120,677,77,111,1763
LGA13450,40,5,3,75,0,0,4,0,0,4,0,0,0,0,3,3,0,0,3,0,0,3,14,3,17,3,3,40,451,76,530,48,77,1182
LGA13500,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,3,0,0,8,71,6,63,0,9,149
LGA13550,24,0,0,41,3,0,5,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,13,0,16,3,4,36,201,32,246,21,36,536
LGA13650,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,13,68,14,69,0,12,163
LGA13660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,10,0,0,18,111,25,100,9,7,252
LGA13700,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,13,55,16,55,3,3,132
LGA13800,229,20,40,528,35,12,62,8,8,125,19,6,26,3,12,66,17,3,9,3,3,35,23,7,42,3,3,78,877,157,944,96,162,2236
LGA13850,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,10,64,7,62,4,4,141
LGA13950,1220,136,136,2505,148,59,263,42,28,540,34,5,59,11,16,125,17,6,20,0,5,48,60,17,52,8,19,156,2238,358,2760,310,350,6016
LGA14000,811,97,76,1849,493,126,809,123,90,1641,143,87,367,97,60,754,89,84,303,81,37,594,57,9,54,9,18,147,2181,429,2708,479,334,6131
LGA14100,29,3,3,71,35,0,34,0,4,73,31,0,36,4,6,77,37,18,75,15,17,162,3,0,5,0,0,8,222,18,200,25,42,507
LGA14150,539,72,76,1380,273,58,319,56,73,779,89,20,107,24,17,257,44,17,59,19,13,152,51,6,49,18,9,133,1782,229,1493,244,264,4012
LGA14200,17,0,0,24,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,4,8,8,3,8,4,4,27,258,47,282,27,41,655
LGA14250,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,9,21,3,31,3,0,58
LGA14300,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,10,63,9,86,7,9,174
LGA14350,20,0,0,41,0,0,3,0,0,3,3,0,0,0,0,3,0,0,0,0,4,4,12,0,11,3,3,29,389,67,374,36,66,932
LGA14400,119,13,9,245,18,6,29,6,10,69,4,0,14,0,0,18,4,3,6,0,0,13,10,0,4,0,0,14,313,45,301,43,30,732
LGA14450,384,57,59,1053,263,42,234,38,27,604,84,23,87,17,23,234,49,14,57,10,14,144,49,4,27,3,6,89,1345,136,1047,159,171,2858
LGA14500,103,10,9,303,232,20,187,44,22,505,169,34,260,47,27,537,221,231,996,215,84,1747,25,10,37,4,3,79,982,326,1679,342,172,3501
LGA14550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,18,115,23,122,10,16,286
LGA14600,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,5,0,0,13,110,10,137,9,16,282
LGA14650,572,68,90,1290,102,44,196,31,37,410,20,7,35,11,3,76,24,5,26,5,6,66,56,15,34,5,15,125,2722,409,2494,273,497,6395
LGA14700,198,10,13,571,199,10,104,13,11,337,83,5,106,11,3,208,97,27,241,27,15,407,21,3,14,0,0,38,881,62,715,73,57,1788
LGA14750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,3,7,4,0,18,163,26,157,4,21,371
LGA14800,101,3,3,434,500,4,178,12,6,700,510,3,237,11,13,774,564,24,531,28,36,1183,48,3,23,7,0,81,2245,46,1176,76,82,3625
LGA14850,103,8,10,185,6,3,11,0,3,23,0,0,0,0,0,0,3,0,0,0,0,3,19,0,9,3,0,31,594,89,657,50,86,1476
LGA14870,19,0,3,27,0,0,0,0,3,3,0,0,0,0,0,0,4,0,4,0,0,8,5,0,8,3,0,16,254,43,255,18,48,618
LGA14900,1139,195,246,2417,245,135,420,105,100,1005,32,28,86,17,29,192,19,11,34,8,10,82,74,23,106,32,31,266,2455,823,3642,619,805,8344
LGA14920,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,11,3,9,4,0,27,170,27,156,17,13,383
LGA14950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,27,3,33,12,3,78
LGA15050,379,29,35,669,31,12,71,3,11,128,0,0,7,3,4,14,4,0,6,0,0,10,27,3,23,3,6,62,1047,173,1264,112,187,2783
LGA15150,115,4,3,415,401,8,111,9,6,535,309,6,113,4,8,440,461,62,530,44,18,1115,25,0,24,0,0,49,1654,89,959,73,47,2822
LGA15200,353,37,32,1413,656,17,254,24,18,969,383,6,181,13,8,591,231,14,161,18,6,430,54,3,19,5,3,84,3206,107,1343,132,139,4927
LGA15270,71,12,3,129,11,3,14,0,0,28,0,3,3,0,0,6,3,0,7,0,0,10,23,4,19,0,3,49,389,71,423,38,47,968
LGA15300,13,0,0,19,0,0,6,0,0,6,0,0,0,0,0,0,0,3,0,3,0,6,14,3,20,0,0,37,301,65,363,29,46,804
LGA15350,58,3,3,351,223,0,98,4,8,333,117,4,63,3,3,190,190,49,454,40,21,754,12,7,17,0,3,39,908,67,720,53,44,1792
