region_id,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_OS_visitrs_Marr_M,C11_OS_visitrs_Marr_F,C11_OS_visitr_Separ_M,C11_OS_visitr_Separ_F,C11_OS_visit_Divorc_M,C11_OS_visit_Divorc_F,C11_OS_visito_Widow_M,C11_OS_visito_Widow_F,C11_OS_vis_Nvr_marr_M,C11_OS_vis_Nvr_marr_F,C11_OS_vis_T_M,C11_OS_vis_T_F,C11_OS_vis_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA18200,3,3,3,4,21,39,4,3,108,113,221,55,34,3,0,3,4,28,28,4,3,93,69,162,24,15,0,0,3,0,17,57,3,0,47,72,119,5,4,0,0,4,0,0,0,13,4,22,8,30,1581,1493,106,77,266,209,101,218,989,727,3043,2724,5767
LGA18250,13,11,38,69,48,255,40,74,700,830,1530,445,257,22,7,41,60,84,393,34,46,626,763,1389,287,158,7,7,19,59,174,765,25,83,512,1072,1584,244,296,9,4,15,22,3,47,236,238,507,607,1114,14711,15254,449,594,1323,2316,481,2151,9263,9207,26227,29522,55749
LGA18350,20,19,46,93,65,302,42,35,811,891,1702,401,234,14,3,28,51,84,342,24,39,551,669,1220,224,132,3,3,21,39,135,556,8,45,391,775,1166,23,36,3,3,9,3,0,0,91,76,126,118,244,9317,9556,528,666,1320,2046,494,1944,4989,4548,16648,18760,35408
LGA18400,4,4,27,34,48,171,18,18,373,423,796,164,86,7,0,25,21,35,183,11,6,242,296,538,96,53,3,0,11,9,42,228,6,5,158,295,453,8,9,0,0,0,0,0,3,12,27,20,39,59,8861,9003,458,580,1033,1342,302,1087,5388,4602,16042,16614,32656
LGA18450,55,57,192,257,350,1352,160,67,2808,3332,6140,1436,949,31,25,102,163,445,1629,90,62,2104,2828,4932,829,419,17,8,63,89,557,2118,62,71,1528,2705,4233,189,190,3,7,18,24,9,26,387,375,606,622,1228,36921,37259,2109,2549,5645,7616,2161,7984,29859,24344,76695,79752,156447
LGA18500,3,5,54,70,29,291,68,69,584,720,1304,337,211,7,3,39,60,64,382,50,65,497,721,1218,296,140,9,10,22,65,161,710,33,83,521,1008,1529,107,118,3,3,11,26,3,15,158,228,282,390,672,9420,9618,348,496,1425,2336,395,2013,8892,9341,20480,23804,44284
LGA18550,68,51,212,291,315,1140,116,79,2374,2841,5215,1199,809,43,24,130,191,415,1373,80,51,1867,2448,4315,694,390,19,11,61,133,535,1808,55,66,1364,2408,3772,41,49,0,3,12,4,5,16,48,71,106,143,249,26922,27309,2152,2763,5248,7514,1980,6830,19538,17392,55840,61808,117648
LGA18710,3,0,13,10,16,60,3,9,150,167,317,91,46,0,3,3,6,27,82,3,3,124,140,264,36,28,3,3,6,0,28,113,8,3,81,147,228,6,3,0,0,0,0,5,0,12,11,23,14,37,3268,3288,149,145,435,489,131,427,1651,1472,5634,5821,11455
LGA18750,10,6,16,12,30,94,17,5,184,202,386,72,43,4,0,7,7,31,126,13,18,127,194,321,42,26,0,0,3,7,39,173,4,27,88,233,321,3,6,0,0,0,0,0,0,3,4,6,10,16,2325,2309,147,182,382,422,161,624,1521,1292,4536,4829,9365
LGA19399,0,0,6,3,13,35,0,7,81,90,171,53,28,0,0,4,3,3,31,0,3,60,65,125,20,4,0,0,4,3,6,16,0,0,30,23,53,21,26,3,0,4,3,3,11,52,65,83,105,188,985,935,48,33,146,135,61,182,389,333,1629,1618,3247
