region_id,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Married_M,C11_85o_Married_F,C11_85o_Seprtd_M,C11_85o_Seprtd_F,C11_85o_Divorce_M,C11_85o_Divorce_F,C11_85o_Wid_M,C11_85o_Wid_F,C11_85o_Nvr_mard_M,C11_85o_Nvr_mard_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_OS_visitrs_Marr_M,C11_OS_visitrs_Marr_F,C11_OS_visitr_Separ_M,C11_OS_visitr_Separ_F,C11_OS_visit_Divorc_M,C11_OS_visit_Divorc_F,C11_OS_visito_Widow_M,C11_OS_visito_Widow_F,C11_OS_vis_Nvr_marr_M,C11_OS_vis_Nvr_marr_F,C11_OS_vis_T_M,C11_OS_vis_T_F,C11_OS_vis_T_P,C11_T_Married_M,C11_T_Married_F,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA24250,0,3,15,11,14,44,10,0,111,118,229,54,31,0,0,9,7,15,51,5,0,83,89,172,27,16,0,3,5,0,14,89,3,3,49,111,160,11,9,0,0,0,0,0,0,23,30,34,39,73,1655,1638,116,134,281,330,86,297,1177,968,3315,3367,6682
LGA24330,23,12,51,73,80,377,66,33,604,813,1417,374,221,8,5,41,38,115,447,42,28,580,739,1319,218,104,8,7,11,24,156,557,29,32,422,724,1146,88,144,3,0,10,26,7,24,176,184,284,378,662,12374,12166,835,903,2077,2563,569,2253,14643,11894,30498,29779,60277
LGA24410,31,32,95,177,152,580,26,29,1190,1504,2694,623,409,15,16,54,107,207,823,25,33,924,1388,2312,411,234,11,3,21,53,275,1289,17,40,735,1619,2354,89,121,3,6,14,12,0,23,48,90,154,252,406,20347,20577,1077,1414,2748,4635,970,4092,14349,12816,39491,43534,83025
LGA24600,29,10,69,69,54,228,92,50,590,600,1190,236,119,6,8,30,44,74,272,66,75,412,518,930,166,99,4,7,18,27,97,442,29,67,314,642,956,2111,1667,46,32,155,179,19,79,2545,2626,4876,4583,9459,18743,17217,1124,1043,2965,3531,499,1843,33141,32032,56472,55666,112138
LGA24650,8,13,36,62,88,314,24,10,531,662,1193,189,133,8,0,24,22,71,333,13,5,305,493,798,98,64,5,3,5,8,79,359,6,17,193,451,644,116,155,3,6,8,10,10,46,57,56,194,273,467,21395,21591,1161,1687,2511,3543,579,2243,14711,12710,40357,41774,82131
LGA24780,16,7,42,68,91,372,39,24,722,873,1595,385,248,9,9,16,31,115,429,38,16,563,733,1296,226,134,3,5,14,18,130,562,14,14,387,733,1120,35,28,0,0,8,9,3,12,148,167,194,216,410,9852,9938,608,810,1573,1901,597,2183,6977,6215,19607,21047,40654
LGA24850,9,6,29,32,57,164,19,13,330,381,711,153,91,10,0,7,21,43,177,10,8,223,297,520,80,35,3,0,6,3,54,214,11,3,154,255,409,12,18,0,5,10,0,0,4,76,81,98,108,206,6512,6496,458,509,1018,1271,296,977,5100,4160,13384,13413,26797
LGA24900,15,9,30,38,54,232,30,18,535,615,1150,286,194,10,3,24,11,79,255,21,8,420,471,891,159,83,3,3,12,12,105,374,17,24,296,496,792,11,12,0,0,0,4,0,4,24,13,35,33,68,5913,5907,389,377,986,982,397,1358,3335,2648,11020,11272,22292
LGA24970,43,35,127,184,238,1087,73,75,2595,2945,5540,1510,893,30,25,70,114,342,1384,57,53,2009,2469,4478,792,410,15,6,31,73,468,1911,27,123,1333,2523,3856,548,604,8,8,20,38,12,92,495,495,1083,1237,2320,37355,38035,1200,1528,2975,4952,1608,6669,27562,22377,70700,73561,144261
LGA25060,29,27,72,106,129,777,102,77,1414,1785,3199,798,459,13,14,51,68,228,913,67,46,1157,1500,2657,498,260,3,4,19,32,285,1214,33,59,838,1569,2407,99,124,5,7,7,16,4,24,117,147,232,318,550,21345,21428,970,1306,2503,3636,1001,4414,16641,15355,42460,46139,88599
LGA25150,11,11,25,26,35,149,18,9,273,336,609,130,71,3,0,9,16,43,129,7,7,192,223,415,66,41,0,0,8,3,63,209,5,9,142,262,404,4,10,0,0,3,3,0,4,10,10,17,27,44,5589,5621,340,371,856,1071,263,842,3722,3209,10770,11114,21884
LGA25250,52,46,115,156,270,1167,129,95,2074,2696,4770,1264,768,29,26,61,90,325,1344,89,84,1768,2312,4080,737,333,20,11,28,64,458,1674,76,91,1319,2173,3492,190,266,5,5,13,25,4,53,231,248,443,597,1040,26667,26652,1395,1660,3583,4756,1463,6267,26610,24239,59718,63574,123292
LGA25340,67,41,237,225,251,1009,71,80,2512,2787,5299,1367,955,53,32,117,126,368,1213,62,69,1967,2395,4362,876,451,23,12,44,100,525,1957,28,62,1496,2582,4078,79,102,3,3,10,12,0,22,78,159,170,298,468,28972,29351,1724,2046,4654,6784,1774,6331,17257,15215,54381,59727,114108
LGA25430,4,6,18,36,29,129,21,8,274,320,594,147,105,0,3,13,16,47,146,18,8,225,278,503,82,45,0,0,9,15,66,240,11,17,168,317,485,11,13,0,0,3,3,0,0,15,18,29,34,63,3294,3253,254,254,737,972,240,805,2544,2056,7069,7340,14409
LGA25490,5,4,9,11,21,104,20,7,207,237,444,101,69,3,3,9,3,29,106,9,7,151,188,339,53,34,3,0,4,3,34,163,9,16,103,216,319,21,18,0,0,3,3,0,0,22,21,46,42,88,3383,3382,181,177,419,438,153,570,1946,1612,6082,6179,12261
LGA25620,9,4,25,16,21,71,5,3,180,189,369,97,61,6,0,3,7,32,81,10,10,148,159,307,50,21,0,3,4,14,28,125,5,4,87,167,254,10,8,0,0,3,0,0,0,5,12,18,20,38,2702,2706,200,164,552,504,161,453,1626,1357,5241,5184,10425
LGA25710,10,4,21,41,36,142,10,8,357,415,772,186,101,4,3,18,17,38,195,14,5,260,321,581,102,66,3,6,3,17,65,320,11,8,184,417,601,44,37,0,4,12,3,6,7,36,43,98,94,192,13010,13266,430,577,1121,1881,314,1219,7938,7124,22813,24067,46880
LGA25810,4,3,10,8,16,103,21,5,196,213,409,84,79,4,0,7,6,33,116,19,15,147,216,363,58,31,0,0,0,8,49,172,12,12,119,223,342,7,17,0,0,0,0,0,3,20,21,27,41,68,2447,2443,177,182,346,418,163,609,1681,1225,4814,4877,9691
LGA25900,26,19,97,133,75,308,136,64,754,813,1567,290,182,17,9,70,77,78,374,124,47,579,689,1268,173,84,22,10,20,47,139,528,61,49,415,718,1133,366,320,14,6,37,27,6,17,654,631,1077,1001,2078,13332,13127,1037,1024,3455,4219,570,2104,23132,21681,41526,42155,83681
LGA25990,8,0,15,3,21,33,11,3,131,93,224,43,28,3,0,8,6,24,61,5,5,83,100,183,31,7,3,0,0,0,16,66,4,3,54,76,130,3,3,0,0,0,3,0,0,0,3,3,9,12,1376,1334,142,83,334,302,120,289,780,575,2752,2583,5335
LGA26080,0,0,3,12,3,26,0,7,69,94,163,47,31,0,0,6,3,10,56,3,9,66,99,165,26,7,0,0,0,3,18,79,3,8,47,97,144,3,0,0,0,0,3,0,0,3,6,6,9,15,685,686,33,39,91,114,47,212,268,266,1124,1317,2441
LGA26170,10,8,33,26,42,191,18,5,421,476,897,220,124,5,6,17,20,66,226,21,5,329,381,710,119,61,6,0,7,9,88,327,16,15,236,412,648,20,20,0,0,5,0,4,0,20,19,49,39,88,5668,5671,340,322,831,1040,337,1154,3169,2712,10345,10899,21244
LGA26260,3,4,21,15,32,155,15,3,255,314,569,142,100,0,4,5,14,40,183,13,12,200,313,513,91,36,3,0,3,5,66,292,14,12,177,345,522,8,3,0,3,3,3,3,0,20,13,34,22,56,3450,3423,152,173,453,523,223,934,2108,1707,6386,6760,13146
LGA26350,23,21,93,139,101,480,94,103,1050,1294,2344,552,374,17,25,59,110,121,587,99,106,848,1202,2050,411,222,10,3,35,54,217,998,51,129,724,1406,2130,243,246,8,9,25,25,4,33,372,415,652,728,1380,16304,16592,677,898,2295,3525,717,3156,19006,18885,38999,43056,82055
LGA26430,5,3,19,14,25,60,15,14,205,196,401,92,47,6,6,13,8,38,117,10,8,159,186,345,52,30,0,0,6,3,33,159,9,5,100,197,297,0,3,3,0,3,3,0,0,3,5,9,11,20,1992,1987,153,150,416,402,156,511,1034,886,3751,3936,7687
LGA26490,5,6,15,15,45,101,10,10,283,314,597,159,98,7,3,4,9,24,124,10,3,204,237,441,90,53,4,0,5,10,50,227,6,12,155,302,457,27,39,3,0,3,3,3,0,25,38,61,80,141,5332,5413,243,294,640,869,200,721,3169,2832,9584,10129,19713
LGA26610,12,9,8,8,39,155,18,13,287,344,631,148,87,11,8,7,7,46,164,16,6,228,272,500,87,58,0,0,4,3,57,242,6,6,154,309,463,67,16,3,0,0,0,0,5,69,53,139,74,213,4268,4086,252,276,575,595,225,899,2910,2194,8230,8050,16280
LGA26670,6,0,10,5,15,35,14,4,115,91,206,49,39,3,0,7,0,13,46,8,0,80,85,165,34,19,0,0,3,3,25,87,11,4,73,113,186,5,3,0,0,0,0,0,0,0,6,5,9,14,1276,1283,69,71,237,193,92,260,635,492,2309,2299,4608
LGA26700,9,0,22,27,61,195,24,23,408,486,894,238,159,9,3,21,17,57,277,17,21,342,477,819,142,79,0,0,3,10,105,390,3,22,253,501,754,9,15,0,0,0,0,0,6,14,20,23,41,64,5417,5457,337,389,785,1036,361,1310,3315,2984,10215,11176,21391
LGA26730,5,4,19,34,64,260,27,20,399,580,979,232,138,3,10,15,16,48,270,17,26,315,460,775,135,86,3,0,8,10,94,399,17,37,257,532,789,23,12,3,0,3,3,0,4,45,59,74,78,152,5967,5942,351,446,824,1213,326,1435,4745,4361,12213,13397,25610
LGA26810,21,12,50,41,74,258,26,11,560,600,1160,286,175,12,6,20,28,96,356,32,12,446,577,1023,156,89,3,6,9,21,88,436,17,19,273,571,844,22,17,3,3,0,3,0,3,51,47,76,73,149,8064,8128,531,615,1312,1502,461,1736,5776,4354,16144,16335,32479
LGA26890,0,0,7,0,7,38,14,0,85,86,171,35,30,0,0,0,0,17,42,10,0,62,72,134,22,7,0,0,3,0,13,66,0,3,38,76,114,0,3,0,0,0,0,3,0,6,0,9,3,12,957,935,52,44,133,114,68,223,483,304,1693,1620,3313
LGA26980,44,46,117,233,223,1021,81,120,2173,2728,4901,1281,885,25,17,80,179,318,1389,76,136,1780,2606,4386,829,460,15,5,39,107,562,2065,44,128,1489,2765,4254,343,434,9,11,25,39,10,68,315,370,702,922,1624,31831,32436,1090,1478,2956,5479,1564,6522,21759,20112,59200,66027,125227
LGA27070,36,26,77,64,178,759,28,21,1538,1697,3235,674,364,18,14,23,52,220,727,12,24,947,1181,2128,297,140,6,0,13,17,253,813,16,6,585,976,1561,183,272,6,0,5,9,4,64,99,99,297,444,741,33038,33322,1582,2171,3090,4671,1176,4420,21148,17974,60034,62558,122592
LGA27170,12,5,21,32,41,178,17,12,323,406,729,180,111,3,3,19,16,45,230,8,8,255,368,623,96,45,3,0,8,14,68,281,3,9,178,349,527,10,11,0,0,0,0,3,3,14,23,27,37,64,6318,6336,462,533,1090,1506,287,1165,5396,4520,13553,14060,27613
LGA27260,27,21,60,58,113,424,28,25,823,992,1815,365,206,8,5,31,40,97,508,9,16,510,775,1285,188,98,3,4,15,22,141,596,18,15,365,735,1100,371,496,9,12,8,35,8,97,105,146,501,786,1287,32309,32612,1716,2269,3553,5007,792,3331,22287,19427,60657,62646,123303
LGA27350,22,29,53,98,71,318,113,50,668,830,1498,319,161,13,9,39,49,85,341,70,67,526,627,1153,186,85,8,7,14,36,109,426,53,61,370,615,985,108,111,4,0,15,15,0,4,227,246,354,376,730,9904,9917,770,889,2267,3155,500,1865,18819,18313,32260,34139,66399
LGA27450,18,29,97,133,126,550,53,29,1302,1457,2759,670,412,23,13,60,69,170,729,45,27,968,1250,2218,340,201,10,5,28,57,255,956,25,43,658,1262,1920,55,75,3,3,11,15,3,12,82,95,154,200,354,28464,28809,1568,1939,4140,5969,1080,3915,20122,17356,55374,57988,113362
LGA27630,7,4,9,6,21,64,15,8,162,157,319,89,67,5,0,4,8,32,88,6,3,136,166,302,48,20,3,0,3,3,34,147,3,16,91,186,277,0,0,0,0,0,0,0,0,0,5,0,5,5,1506,1505,93,90,212,210,138,430,801,639,2750,2874,5624
LGA29399,0,3,3,0,0,3,3,3,22,15,37,14,3,0,0,0,3,0,5,0,0,14,11,25,0,0,0,0,0,0,3,0,0,0,3,0,3,60,31,0,3,9,0,0,0,225,144,294,178,472,1876,1183,71,48,245,146,20,41,2277,1492,4489,2910,7399
LGA30250,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,3,0,0,3,3,6,0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,46,43,12,0,12,13,14,21,377,373,461,450,911
LGA30300,0,0,3,4,4,18,7,0,68,57,125,25,10,0,0,4,0,10,19,6,0,45,29,74,10,7,0,0,0,0,0,32,0,0,10,39,49,3,4,0,0,0,0,3,0,13,12,19,16,35,1013,1007,72,47,138,127,46,148,696,499,1965,1828,3793
LGA30370,5,7,18,9,17,71,10,4,170,178,348,72,30,3,0,4,9,26,73,3,3,108,115,223,37,25,3,0,3,0,24,89,5,0,72,114,186,21,21,3,0,0,0,0,0,38,30,62,51,113,3665,3160,207,158,475,381,137,413,2152,1363,6636,5475,12111
LGA30410,0,0,4,4,7,15,4,7,53,53,106,23,7,0,0,4,0,7,22,6,3,40,32,72,7,0,0,0,0,4,3,15,0,3,10,22,32,0,4,0,0,0,0,0,0,8,17,8,21,29,834,777,47,28,120,88,55,102,461,391,1517,1386,2903
LGA30450,0,0,0,0,0,0,3,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,3,4,6,4,10,135,104,8,0,24,19,3,6,100,49,270,178,448
LGA30760,3,0,3,7,6,17,5,0,41,37,78,16,5,3,0,0,0,6,24,3,0,28,29,57,7,5,0,0,0,0,3,12,3,0,13,17,30,3,0,0,0,3,3,0,0,3,5,9,8,17,547,530,33,26,73,75,33,92,269,224,955,947,1902
LGA30900,0,0,0,0,0,0,5,0,5,0,5,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,7,11,10,14,24,109,92,15,9,20,12,3,12,120,87,267,212,479
LGA31000,258,189,840,1114,998,4801,666,716,9582,12093,21675,5104,3358,155,107,453,776,1422,6253,481,611,7615,11105,18720,3218,1746,103,65,233,486,2131,9826,326,751,6011,12874,18885,2949,2839,77,101,233,332,79,466,3950,4657,7288,8395,15683,197753,198543,10654,12531,28629,40409,7702,32936,182469,164954,427207,449373,876580
LGA31750,0,0,3,0,3,0,0,0,10,3,13,0,3,3,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,6,4,6,10,234,111,12,6,46,16,15,7,125,56,432,196,628
LGA31820,49,32,177,128,171,577,61,41,1648,1673,3321,770,466,20,9,74,74,233,658,51,23,1148,1230,2378,384,198,16,7,40,35,269,855,31,31,740,1126,1866,138,138,10,4,17,22,8,24,414,388,587,576,1163,18896,19443,1228,1529,3367,3902,1151,3725,10975,9581,35617,38180,73797
LGA31900,13,0,18,14,33,146,9,3,279,317,596,127,83,3,0,7,6,46,162,7,9,190,260,450,88,33,3,0,4,3,41,203,5,3,141,242,383,17,24,0,0,6,0,0,0,230,186,253,210,463,3825,3875,221,210,547,499,220,820,2429,1872,7242,7276,14518
LGA31950,0,0,3,5,0,0,0,0,7,9,16,0,3,0,0,3,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,0,0,0,0,3,0,3,4,9,7,16,435,231,41,3,73,46,17,11,307,123,873,414,1287
LGA32070,61,26,167,133,168,655,123,42,1787,1681,3468,713,418,22,18,91,90,193,703,79,34,1098,1263,2361,348,168,20,6,43,45,248,948,59,44,718,1211,1929,2295,2323,53,62,196,251,67,168,1930,2523,4541,5327,9868,32323,33341,2133,2537,6339,7676,1375,4668,27881,26093,70051,74315,144366
LGA32250,3,0,5,0,10,3,3,0,68,25,93,18,4,0,0,4,0,0,6,0,0,22,10,32,4,0,0,0,0,0,0,0,5,0,9,0,9,5,5,0,0,0,0,0,0,6,13,11,18,29,773,697,59,41,147,100,32,46,435,373,1446,1257,2703
LGA32260,7,7,56,22,57,173,35,11,520,449,969,225,106,9,3,22,23,66,178,28,3,350,313,663,104,54,5,3,8,12,55,231,13,0,185,300,485,96,84,3,0,19,15,0,5,175,201,293,305,598,6294,6154,394,399,1227,1000,369,1062,4453,3203,12737,11818,24555
LGA32270,5,3,20,13,28,68,19,3,208,175,383,69,27,3,0,20,3,23,49,3,0,118,79,197,27,15,0,0,3,4,18,54,7,4,55,77,132,39,39,3,3,0,6,0,6,62,60,104,114,218,8179,6175,557,324,1339,767,192,429,5539,3214,15806,10909,26715
LGA32310,4,4,19,17,19,84,15,4,203,192,395,60,44,5,0,10,6,21,78,9,8,105,136,241,40,19,0,0,8,4,18,110,11,4,77,137,214,7,11,0,0,0,0,0,4,8,21,15,36,51,2522,2499,158,154,467,440,119,495,1749,1474,5015,5062,10077
LGA32330,0,0,0,0,3,4,3,0,6,7,13,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,38,4,3,13,13,6,26,287,339,346,419,765
LGA32450,3,0,3,4,5,8,3,3,37,22,59,3,3,3,0,0,0,4,8,0,0,10,11,21,4,0,3,0,4,0,0,4,4,0,15,4,19,15,6,0,0,0,0,0,0,23,37,38,43,81,1256,586,89,49,235,130,46,68,1049,591,2675,1424,4099
LGA32500,0,0,7,3,6,11,7,0,48,32,80,14,10,0,0,3,5,7,15,4,0,28,30,58,8,4,0,0,3,0,0,8,0,0,11,12,23,33,36,3,3,3,5,0,0,63,90,102,134,236,1138,916,75,61,318,181,79,102,1276,719,2886,1979,4865
LGA32600,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,3,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,3,7,3,10,102,74,3,6,17,11,6,3,69,47,197,141,338
LGA32750,0,0,0,0,0,0,0,0,3,3,6,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,10,5,10,15,153,102,7,3,25,13,3,6,107,65,295,189,484
LGA32770,0,0,0,0,0,4,0,0,3,4,7,0,0,0,0,0,0,3,3,0,3,3,6,9,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,102,93,10,13,17,9,12,26,282,267,423,408,831
LGA33100,3,0,5,0,3,0,3,0,32,11,43,3,4,0,0,0,0,3,0,3,0,9,4,13,4,0,0,0,0,0,0,0,0,0,4,0,4,15,14,0,0,0,3,0,0,12,15,27,32,59,460,384,34,8,84,34,17,28,241,119,836,573,1409
LGA33200,0,0,4,5,4,12,3,0,21,22,43,13,4,0,0,0,0,4,10,3,5,20,19,39,4,4,0,0,0,0,6,11,0,0,10,15,25,6,0,0,0,0,0,0,0,9,0,15,0,15,475,449,27,18,75,67,32,72,282,186,891,792,1683
LGA33220,61,33,199,132,242,657,64,30,2017,1893,3910,869,500,21,20,84,86,220,759,54,25,1248,1390,2638,450,247,22,4,49,46,303,949,29,34,853,1280,2133,176,181,3,7,7,24,3,24,245,360,434,596,1030,20553,20739,1447,1708,3846,4583,1303,4221,11147,9867,38296,41118,79414
LGA33360,10,6,45,26,61,188,24,8,514,441,955,199,124,7,5,21,14,57,223,11,4,295,370,665,86,36,7,3,11,8,59,207,6,6,169,260,429,107,80,6,5,11,15,12,19,132,156,268,275,543,12486,11775,853,722,2223,1839,431,1313,9000,6406,24993,22055,47048
LGA33430,199,103,679,794,661,2679,265,173,6720,7371,14091,3383,2247,93,69,384,511,853,3222,182,161,4895,6210,11105,2154,1120,52,32,210,303,1256,4569,138,135,3810,6159,9969,2823,3009,74,110,286,403,130,373,1775,2065,5088,5960,11048,99693,101669,6230,8027,18064,25329,4722,17874,75773,68664,204482,221563,426045
LGA33610,5,3,10,12,21,57,18,3,140,145,285,61,36,3,0,5,3,23,64,8,4,100,107,207,32,11,0,3,4,0,29,79,4,7,69,100,169,4,0,3,0,3,3,0,3,20,18,30,24,54,2242,2182,150,133,333,289,134,407,1306,1078,4165,4089,8254
LGA33620,27,5,66,68,89,253,48,19,760,704,1464,345,181,9,8,35,31,83,282,27,14,499,516,1015,155,78,8,0,13,13,110,377,12,35,298,503,801,45,54,3,0,3,13,0,11,93,156,144,234,378,9480,9659,695,748,1835,2113,527,1686,5352,4595,17889,18801,36690
LGA33800,8,4,19,11,30,112,20,7,271,266,537,144,77,4,3,4,4,43,140,9,0,204,224,428,60,16,4,3,0,4,35,169,11,8,110,200,310,10,8,0,0,4,3,0,0,20,13,34,24,58,2800,2770,144,104,417,328,190,663,1671,990,5222,4855,10077
LGA33830,0,0,0,0,3,5,0,0,3,5,8,3,0,0,0,0,0,3,0,0,0,6,0,6,0,0,0,0,0,0,3,3,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,72,52,15,7,9,3,12,25,292,236,400,323,723
LGA33960,28,23,108,171,177,647,71,50,1274,1582,2856,586,361,19,5,52,55,192,780,50,30,899,1231,2130,317,171,0,11,24,29,222,913,46,55,609,1179,1788,110,114,10,4,15,21,9,46,103,129,247,314,561,28532,28880,2280,2763,4778,6271,1245,4451,25077,21851,61912,64216,126128
LGA33980,4,0,10,4,8,33,8,3,91,78,169,30,20,3,0,3,0,18,39,7,0,61,59,120,19,4,0,0,4,0,7,29,3,0,33,33,66,43,18,3,3,12,7,4,8,58,34,120,70,190,9539,4656,826,265,1771,635,170,270,7451,2817,19757,8643,28400
LGA34420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,0,0,0,3,0,0,0,3,3,44,44,12,3,9,12,6,19,300,313,371,391,762
LGA34570,0,0,0,0,0,3,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,6,44,31,3,0,12,6,9,12,147,128,215,177,392
LGA34580,11,7,35,25,54,171,39,8,419,398,817,153,67,5,7,16,11,41,176,18,9,233,270,503,76,36,0,0,4,9,68,251,9,12,157,308,465,21,21,0,0,6,3,0,6,101,96,128,126,254,6661,6865,465,511,1090,1214,316,1084,4615,4324,13147,13998,27145
LGA34590,71,51,195,267,228,942,74,53,1984,2282,4266,829,514,37,20,115,135,272,962,34,26,1287,1657,2944,456,262,18,15,41,69,327,1222,35,35,877,1603,2480,215,296,3,13,25,56,19,93,222,272,484,730,1214,49365,50334,3569,4654,8131,11153,1804,6811,40511,35622,103380,108574,211954
LGA34710,5,3,8,0,9,30,8,3,87,74,161,27,13,3,0,0,3,11,30,3,3,44,49,93,14,6,0,0,4,0,4,37,3,3,25,46,71,7,7,0,0,0,0,0,0,13,13,20,20,40,1156,1127,60,56,178,146,60,185,673,610,2127,2124,4251
LGA34770,29,13,91,88,150,528,61,27,1094,1211,2305,485,276,18,13,44,46,127,576,52,18,726,929,1655,235,126,5,0,23,16,176,682,17,26,456,850,1306,101,107,6,7,17,20,11,17,141,109,276,260,536,21709,22454,1324,1419,3714,3710,946,3202,16260,12477,43953,43262,87215
LGA34800,0,0,0,0,0,8,4,0,16,15,31,8,0,0,0,0,0,0,5,5,0,13,5,18,0,4,0,0,0,0,0,5,0,0,0,9,9,3,3,0,0,0,0,0,0,5,19,8,22,30,496,245,35,15,77,40,21,31,413,170,1042,501,1543
LGA34830,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,0,8,6,8,6,6,90,67,130,111,241
LGA34860,11,3,22,11,21,60,10,7,168,142,310,72,36,3,4,15,3,16,56,15,3,121,102,223,19,16,0,0,0,3,23,82,5,6,47,107,154,29,11,0,0,0,3,0,0,33,24,62,38,100,3107,2731,181,144,473,368,115,395,2093,1515,5969,5153,11122
LGA35010,116,87,384,393,437,1759,154,114,3887,4430,8317,1874,1152,50,42,197,253,580,2031,115,68,2816,3546,6362,1040,542,39,20,101,148,738,2775,74,108,1992,3593,5585,298,354,10,17,35,64,24,119,336,454,703,1008,1711,73226,75123,4650,5954,11456,15807,3148,11694,48004,43059,140484,151637,292121
LGA35250,0,0,0,0,0,0,3,0,3,3,6,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,95,68,9,12,9,12,11,23,267,295,391,410,801
LGA35300,7,0,19,0,15,51,27,8,184,121,305,30,17,4,0,9,5,11,55,16,3,70,80,150,11,5,0,0,4,3,9,42,4,5,28,55,83,24,14,3,3,3,9,0,7,48,55,78,88,166,4164,3673,365,258,801,629,156,391,4482,3180,9968,8131,18099
LGA35600,3,0,3,0,6,38,11,3,73,68,141,22,19,0,0,0,0,12,41,5,3,39,63,102,19,11,0,0,0,0,6,36,0,0,25,47,72,0,0,0,0,0,0,0,0,10,10,10,10,20,1047,990,47,49,129,119,52,220,673,578,1948,1956,3904
LGA35670,0,0,0,0,0,0,4,3,4,8,12,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,3,0,3,6,6,16,246,210,283,259,542
LGA35760,7,3,15,11,23,51,12,7,180,155,335,85,46,3,0,12,5,20,78,17,3,137,132,269,35,23,0,0,5,0,36,107,3,10,79,140,219,53,5,0,3,4,0,6,0,111,66,174,74,248,2339,2271,145,131,434,341,148,433,1363,1015,4429,4191,8620
LGA35780,0,0,3,0,0,6,0,7,11,13,24,3,0,0,0,0,0,0,3,0,0,3,3,6,0,0,0,0,0,0,3,3,3,0,6,3,9,6,3,0,0,3,0,0,0,3,0,12,3,15,321,284,25,15,50,37,15,40,494,525,905,901,1806
LGA35790,0,0,0,3,0,3,3,0,6,6,12,0,3,0,0,0,0,0,3,0,3,0,9,9,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,3,3,6,85,87,10,19,6,15,7,31,701,650,809,802,1611
LGA35800,3,0,3,0,7,15,4,0,40,30,70,10,4,0,0,0,0,6,12,3,0,19,16,35,8,8,0,0,0,0,0,6,0,0,8,14,22,0,0,0,0,0,0,0,0,9,4,9,4,13,441,403,38,15,94,48,40,67,312,262,925,795,1720
LGA36070,0,0,0,0,0,4,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,53,45,9,12,15,5,6,21,196,169,279,252,531
