region_id,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T
LGA24900,14,5,4,111,574,45,81,42,0,742,9888,364,777,273,16,11318
LGA24970,244,3,0,543,2012,414,527,18,3,2974,47584,7197,6369,110,36,61296
LGA25060,54,0,0,218,1407,283,1059,28,0,2777,27814,5059,9401,136,18,42428
LGA25150,7,3,0,68,496,12,36,16,0,560,9778,107,470,100,0,10455
LGA25250,57,3,0,312,2226,695,1053,52,4,4030,37472,9958,10802,314,37,58583
LGA25340,64,6,3,629,2606,424,261,51,3,3345,48021,5169,2671,616,25,56502
LGA25430,3,3,0,56,356,16,30,11,0,413,6892,140,263,96,6,7397
LGA25490,0,3,0,71,287,10,5,10,0,312,5794,139,42,76,0,6051
LGA25620,0,7,0,43,323,5,4,24,0,356,5014,65,39,236,7,5361
LGA25710,4,0,0,91,556,37,27,0,0,620,18798,591,375,31,9,19804
LGA25810,3,3,0,41,215,6,12,45,0,278,4566,140,153,126,4,4989
LGA25900,125,0,0,202,423,545,2885,154,3,4010,6859,9126,29615,385,23,46008
LGA25990,0,0,0,23,148,0,0,8,0,156,2685,8,30,56,3,2782
LGA26080,0,0,0,0,76,7,3,3,0,89,1164,105,31,16,0,1316
LGA26170,12,3,0,113,485,28,33,22,0,568,10240,268,255,122,3,10888
LGA26260,3,3,0,72,280,5,28,13,0,326,6262,84,328,106,0,6780
LGA26350,156,0,0,283,809,502,1942,29,0,3282,15183,7363,19399,174,29,42148
LGA26430,6,3,0,44,236,5,16,46,4,307,3669,44,158,197,4,4072
LGA26490,7,3,0,63,433,30,50,23,0,536,8597,452,483,86,12,9630
LGA26610,0,8,0,58,422,25,57,95,0,599,6840,232,612,315,9,8008
LGA26670,0,0,0,22,95,4,3,4,0,106,2284,36,22,36,0,2378
LGA26700,3,0,0,93,385,30,59,19,0,493,9675,384,726,159,4,10948
LGA26730,63,4,0,143,470,59,129,54,0,712,10191,768,1452,171,0,12582
LGA26810,9,3,0,158,759,64,57,41,0,921,14863,660,610,205,6,16344
LGA26890,3,0,0,32,77,0,0,10,0,87,1728,9,53,27,0,1817
LGA26980,173,0,0,666,1595,488,563,14,4,2664,42789,8644,5688,64,23,57208
LGA27070,46,0,0,293,2325,167,163,0,0,2655,46328,3226,2111,39,9,51713
LGA27170,3,3,0,68,429,66,72,18,0,585,11201,1084,1237,103,0,13625
LGA27260,42,0,0,320,2574,205,196,49,0,3024,49444,3068,2311,190,9,55022
LGA27350,66,11,0,207,367,993,1414,111,7,2892,6959,13630,12573,328,34,33524
LGA27450,70,5,3,428,2014,127,132,56,5,2334,48170,1891,1860,332,20,52273
LGA27630,0,4,0,30,177,5,0,5,0,187,2858,40,32,34,3,2967
LGA29399,37,0,6,52,4,8,68,0,0,80,76,65,453,9,15,618
LGA30250,0,0,0,3,3,0,0,0,0,3,224,0,3,6,0,233
LGA30300,0,3,0,35,121,7,15,17,0,160,1556,70,98,133,12,1869
LGA30370,3,4,0,84,289,0,19,54,0,362,4990,55,274,359,7,5685
LGA30410,4,0,0,22,83,4,3,23,3,116,1198,20,39,156,33,1446
LGA30450,0,3,0,6,5,0,0,8,3,16,119,3,8,51,14,195
LGA30760,5,0,0,19,40,0,3,43,0,86,816,18,50,95,9,988
LGA30900,0,3,3,14,14,0,3,3,0,20,145,3,15,28,9,200
LGA31000,862,18,5,3023,11300,2589,7214,506,16,21625,277907,38972,78649,2728,210,398466
LGA31750,0,5,3,8,10,0,0,7,3,20,125,3,0,60,11,199
LGA31820,22,23,0,533,1325,161,238,214,0,1938,29957,1987,2404,1842,17,36207
LGA31900,3,9,0,56,288,16,53,64,6,427,5922,225,441,408,11,7007
LGA31950,0,8,0,15,35,0,0,67,0,102,120,3,0,221,11,355
LGA32070,89,61,5,487,2614,570,1893,361,13,5451,43008,4822,13251,2357,117,63555
LGA32250,3,10,0,20,96,4,12,94,0,206,560,12,72,584,24,1252
LGA32260,0,37,0,102,516,18,128,163,4,829,9336,203,1073,1250,22,11884
LGA32270,0,64,0,208,687,29,89,204,8,1017,8599,307,685,1357,47,10995
LGA32310,3,12,0,57,306,10,24,60,0,400,4088,51,162,474,10,4785
LGA32330,0,0,0,0,3,0,0,0,0,3,214,0,38,0,0,252
LGA32450,0,13,0,31,119,12,6,54,0,191,911,46,33,245,18,1253
LGA32500,0,35,5,67,114,3,8,154,8,287,1234,33,101,545,42,1955
LGA32600,0,4,0,8,14,0,0,22,4,40,102,0,0,48,7,157
LGA32750,0,4,0,4,4,0,0,8,0,12,98,6,3,66,19,192
LGA32770,0,0,0,4,4,0,0,0,0,4,218,0,9,12,3,242
LGA33100,0,14,0,24,33,0,0,52,13,98,322,0,11,297,28,658
LGA33200,0,5,4,25,55,0,0,13,0,68,681,7,14,99,8,809
LGA33220,45,39,0,551,1473,77,272,234,4,2060,33260,1176,2877,2023,29,39365
LGA33360,7,16,0,111,1250,127,300,272,10,1959,18217,758,1572,1415,38,22000
LGA33430,557,62,3,1681,5981,2853,5389,462,45,14730,114322,36494,41248,3283,238,195585
LGA33610,3,5,3,73,269,6,46,51,3,375,3667,24,320,180,15,4206
LGA33620,15,16,4,136,840,22,108,142,0,1112,16504,364,823,834,21,18546
LGA33800,4,4,0,56,217,0,24,26,0,267,4233,57,297,300,6,4893
LGA33830,0,3,0,6,3,0,0,0,0,3,221,0,11,3,0,235
LGA33960,29,5,3,254,2602,218,170,58,3,3051,52976,3090,1875,452,66,58459
LGA33980,3,9,4,130,483,26,28,119,4,660,6529,398,242,713,33,7915
LGA34420,4,0,0,4,0,0,0,0,0,0,161,0,92,0,3,256
LGA34570,0,6,0,9,3,0,0,0,0,3,85,0,29,12,3,129
LGA34580,4,4,3,81,859,13,37,65,0,974,11781,166,372,241,3,12563
LGA34590,50,5,0,480,4226,649,344,65,5,5289,83009,8244,3010,566,37,94866
LGA34710,0,10,0,26,80,6,7,49,5,147,1436,43,91,388,70,2028
LGA34770,25,26,0,404,1567,193,375,214,3,2352,34016,2043,3307,1606,58,41030
LGA34800,0,0,3,16,20,0,0,16,3,39,306,0,0,62,20,388
LGA34830,0,0,0,3,3,0,0,0,0,3,65,0,7,20,0,92
LGA34860,4,5,0,73,373,7,34,39,7,460,4431,143,187,291,46,5098
LGA35010,142,23,0,1361,4912,686,670,237,3,6508,117339,10250,8084,1677,75,137425
LGA35250,3,3,0,11,5,0,3,0,0,8,235,0,22,10,0,267
LGA35300,4,25,4,65,716,69,251,328,7,1371,5473,408,1197,983,52,8113
LGA35600,0,5,3,26,117,7,6,21,3,154,1672,24,38,157,30,1921
