region_id,C11_OTT_DS_FUA,C11_OTT_DS_OD,C11_OTT_DS_NS_,C11_OTT_Tot,C11_TT_NS_DS_Sep_house,C11_TT_NS_DS_SemiDRTHT,C11_TT_NS_DS_FUA,C11_TT_NS_DS_OD,C11_TT_NS_DS_NS_,C11_TT_NS_T,C11_Tot_DS_Sep_house,C11_Tot_DS_SemiDRTHT,C11_Tot_DS_FUA,C11_Tot_DS_OD,C11_Tot_DS_NS_,C11_T_T
LGA55320,223,0,0,527,1136,298,238,3,0,1675,29547,4495,2762,10,28,36842
LGA55390,0,0,0,3,8,0,0,0,0,8,73,0,3,21,13,110
LGA55460,0,0,0,11,68,6,3,0,0,77,1170,72,20,43,5,1310
LGA55530,0,0,0,4,8,0,0,7,0,15,172,0,9,18,0,199
LGA55600,0,0,0,7,32,3,5,0,0,40,860,26,28,12,6,932
LGA55670,0,0,0,7,16,0,0,5,0,21,311,6,0,11,0,328
LGA55740,21,0,0,41,97,32,129,0,0,258,2104,441,1035,3,0,3583
LGA55810,0,0,0,0,16,0,0,3,3,22,207,0,0,27,6,240
LGA55880,0,0,0,5,6,0,0,0,0,6,200,0,0,7,0,207
LGA55950,0,0,0,3,0,0,0,0,0,0,192,18,3,10,0,223
LGA56020,0,0,0,3,23,0,0,5,0,28,242,0,7,30,3,282
LGA56090,5,0,0,79,741,18,6,27,0,792,12463,337,100,39,3,12942
LGA56160,0,0,0,4,6,0,0,0,0,6,42,3,0,3,0,48
LGA56230,5,3,0,170,323,21,7,42,0,393,5023,148,76,234,5,5486
LGA56300,0,7,0,11,22,3,0,5,0,30,506,8,0,50,0,564
LGA56370,0,0,0,7,15,0,0,0,0,15,313,9,10,3,0,335
LGA56450,0,0,0,4,17,0,0,0,0,17,297,0,0,0,0,297
LGA56520,7,0,0,12,70,6,10,0,0,86,1387,80,127,9,0,1603
LGA56580,76,0,0,146,202,44,50,0,0,296,6148,639,480,3,3,7273
LGA56620,0,3,0,18,12,0,6,5,0,23,349,0,22,21,14,406
LGA56730,4,0,0,25,315,10,21,9,0,355,3737,77,168,81,9,4072
LGA56790,0,10,0,30,78,4,3,41,0,126,1161,81,37,434,13,1726
LGA56860,0,0,0,3,3,0,0,0,0,3,94,0,0,0,0,94
LGA56930,0,0,0,3,29,3,19,0,0,51,417,9,109,0,0,535
LGA57000,0,3,0,6,4,0,0,0,0,4,198,0,0,12,0,210
LGA57080,28,3,0,34,21,84,1260,164,0,1529,186,685,8020,231,19,9141
LGA57140,0,0,0,6,20,0,0,0,0,20,430,3,21,8,0,462
LGA57210,4,0,0,27,112,9,0,5,3,129,1751,101,13,33,3,1901
LGA57280,0,14,3,51,638,151,125,288,10,1212,3260,706,476,664,54,5160
LGA57350,0,0,0,8,10,0,0,0,0,10,415,4,4,9,0,432
LGA57420,0,0,0,5,45,18,3,19,0,85,695,53,9,63,0,820
LGA57490,37,7,0,230,1716,168,205,59,3,2151,33341,2112,1999,409,11,37872
LGA57560,16,20,6,99,849,269,132,124,3,1377,4965,980,454,946,62,7407
LGA57630,0,0,3,3,10,0,0,7,3,20,45,0,0,28,6,79
LGA57700,0,3,0,28,257,5,0,3,0,265,5769,23,14,34,3,5843
LGA57770,0,5,0,15,6,3,3,63,0,75,279,24,49,477,3,832
LGA57840,83,0,0,267,468,326,435,0,8,1237,8695,4772,3993,0,11,17471
LGA57910,270,3,0,803,2563,1707,1379,31,0,5680,47717,22362,11489,191,25,81784
LGA57980,186,0,0,220,156,143,287,0,0,586,3276,1812,2983,17,17,8105
LGA58050,8,6,3,179,1802,196,187,109,3,2297,34088,2348,1463,395,46,38340
LGA58190,0,0,0,3,13,0,0,0,0,13,153,0,0,4,0,157
LGA58260,0,0,0,9,13,3,0,0,0,16,248,17,0,0,0,265
LGA58330,0,0,0,14,128,0,0,5,0,133,1703,18,6,43,3,1773
LGA58400,0,0,0,3,9,0,0,0,3,12,135,0,7,6,3,151
LGA58470,0,0,0,4,11,0,0,0,0,11,85,0,0,13,3,101
LGA58510,179,0,0,296,435,311,463,5,0,1214,7492,3093,3495,13,8,14101
LGA58540,0,0,0,5,17,0,0,5,0,22,356,6,3,13,0,378
LGA58570,11,3,0,103,465,269,453,45,0,1232,7624,2676,3571,89,11,13971
LGA58610,0,0,0,0,31,0,0,3,0,34,695,44,0,12,0,751
LGA58680,0,0,0,5,11,0,0,0,0,11,169,6,0,3,0,178
LGA58760,54,10,0,847,2314,239,116,42,0,2711,46954,3660,1018,347,3,51982
LGA58820,0,0,0,24,61,8,0,0,0,69,1257,94,9,23,3,1386
LGA58890,0,0,0,8,14,0,0,0,3,17,346,0,11,8,3,368
LGA59030,0,0,0,5,9,0,0,0,0,9,104,0,0,3,0,107
LGA59100,0,3,0,7,21,0,0,0,0,21,284,0,9,6,0,299
LGA59170,0,0,0,4,7,0,0,0,0,7,360,9,3,6,0,378
LGA59250,0,0,4,4,15,0,0,0,10,25,100,11,14,15,36,176
LGA59310,0,4,0,11,25,0,3,0,0,28,521,4,41,28,0,594
LGA59320,0,0,0,4,3,0,0,0,0,3,155,0,0,4,0,159
LGA59330,0,0,0,3,25,0,3,0,0,28,227,8,9,3,0,247
LGA59340,4,74,4,110,137,28,12,255,6,438,1757,182,122,1557,88,3706
LGA59350,0,0,0,3,14,0,0,0,0,14,64,0,0,12,3,79
LGA59360,0,0,0,13,38,3,4,8,0,53,468,40,4,27,10,549
LGA59370,0,0,0,14,81,3,0,3,0,87,1316,47,12,19,3,1397
LGA59399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LGA60210,0,0,0,26,146,6,3,3,0,158,2545,82,31,65,4,2727
LGA60410,3,0,0,22,297,8,32,0,0,337,5072,102,428,18,0,5620
LGA60610,3,0,0,27,258,27,48,4,3,340,6949,344,531,32,6,7862
LGA60810,21,3,0,87,328,16,56,29,0,429,7575,230,627,112,0,8544
LGA61010,0,0,0,12,43,4,0,10,0,57,853,90,6,26,0,975
LGA61210,4,0,0,32,136,3,13,3,0,155,2864,10,177,40,0,3091
LGA61410,27,0,0,140,706,95,92,10,0,903,18246,1114,986,82,6,20434
LGA61510,0,0,0,21,161,0,8,5,0,174,3551,52,139,28,0,3770
LGA61610,3,3,0,64,350,84,62,31,0,527,8562,809,572,129,12,10084
LGA61810,5,0,0,36,120,0,0,3,3,126,2645,3,128,17,3,2796
LGA62010,0,0,0,6,15,3,0,0,0,18,367,9,0,0,3,379
LGA62210,4,0,0,21,98,6,21,5,0,130,2440,41,184,23,3,2691
LGA62410,3,3,0,19,92,3,3,4,0,102,1648,68,40,73,0,1829
LGA62610,25,0,0,105,661,82,177,4,0,924,14860,1346,2552,75,0,18833
LGA62810,88,0,3,257,527,140,383,50,3,1103,13815,2272,4301,191,43,20622
LGA63010,0,3,0,53,193,13,3,11,0,220,5722,99,53,110,0,5984
LGA63210,0,0,0,16,73,3,0,3,0,79,2220,39,18,36,3,2316
LGA63410,0,0,0,9,37,0,0,0,0,37,688,10,12,3,0,713
LGA63610,15,0,0,99,363,28,40,4,0,435,11602,525,802,69,3,13001
LGA63810,0,0,0,30,126,10,7,3,0,146,3519,189,136,43,6,3893
LGA64010,95,3,0,240,967,156,191,44,4,1362,21628,1879,2688,185,25,26405
LGA64210,0,0,3,52,242,20,20,8,0,290,6669,475,308,50,3,7505
LGA64610,0,0,0,34,194,7,6,3,0,210,4653,114,95,50,0,4912
LGA64810,0,0,0,25,236,9,11,3,0,259,5021,182,103,20,4,5330
LGA65010,0,0,0,31,123,0,4,3,0,130,2295,0,42,13,3,2353
LGA65210,0,0,0,5,65,0,0,6,0,71,972,9,10,22,0,1013
LGA65410,5,3,0,41,182,29,19,4,0,234,4830,384,246,61,0,5521
LGA65610,5,0,0,18,130,3,10,11,0,154,1985,20,110,35,0,2150
LGA65810,3,3,0,63,303,26,8,10,0,347,7898,358,184,80,6,8526
LGA69399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70200,6,20,3,103,434,165,243,215,9,1066,5769,1338,1593,995,54,9749
LGA70420,0,31,3,59,131,17,22,116,4,290,1299,81,133,441,40,1994
LGA70540,0,0,0,0,0,0,0,0,0,0,24,0,8,0,0,32
LGA70620,0,10,0,33,42,0,3,14,0,59,654,0,23,82,26,785
LGA70700,0,8,4,20,77,0,0,21,0,98,425,0,9,162,20,616
LGA71000,22,38,8,164,1268,531,1209,296,11,3315,14364,4286,7773,1271,116,27810
LGA71300,0,0,3,37,37,0,0,0,3,40,1186,0,39,12,26,1263
LGA72200,0,26,3,42,200,57,103,162,5,527,2225,304,323,640,37,3529
LGA72300,3,20,0,64,753,36,15,251,0,1055,5515,247,100,1243,16,7121
LGA72330,5,19,3,51,108,0,4,55,9,176,967,0,60,308,42,1377
LGA72800,0,11,0,33,641,100,129,22,0,892,7387,1032,1121,60,11,9611
LGA73600,4,19,8,47,95,0,17,94,9,215,1008,0,71,644,77,1800
LGA74050,5,0,0,17,17,0,4,0,0,21,499,0,68,8,0,575
LGA74500,5,25,4,56,56,0,8,56,4,124,1036,0,113,327,30,1506
LGA74560,0,0,0,3,12,0,0,3,0,15,156,0,0,21,0,177
LGA74660,3,25,3,56,57,0,23,95,6,181,912,16,156,414,38,1536
LGA79399,24,18,10,91,79,78,117,165,8,447,1436,476,512,626,60,3110
LGA89399,198,13,0,881,3028,1022,1726,94,3,5873,96769,19660,18159,394,55,135037
LGA99399,0,0,0,30,24,8,61,7,0,100,432,81,263,23,15,814
