region_id,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650m,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R0_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650m,C11_Tot_R_NS,C11_Tot_R_Tot
LGA40310,5,4,3,3,3,0,0,0,0,3,28,138,74,170,291,212,405,263,59,9,4,17,56,1698
LGA40430,0,0,0,0,0,0,0,0,0,4,4,31,12,59,55,17,15,4,0,0,0,0,13,206
LGA40520,16,15,3,0,0,0,0,0,3,7,63,166,107,361,448,82,67,37,12,3,6,12,55,1356
LGA40700,7,0,3,4,13,5,5,0,3,22,68,199,104,132,238,251,601,857,585,302,140,132,109,3650
LGA40910,10,9,10,16,21,13,0,3,0,31,121,281,365,383,375,332,855,1312,621,108,30,30,178,4870
LGA41010,0,0,0,3,0,0,0,0,0,3,9,126,37,109,80,35,60,30,13,0,3,3,36,532
LGA41060,37,26,14,32,29,16,7,5,12,95,420,986,1312,1362,1341,1015,2092,2731,1491,286,126,136,530,13408
LGA41140,5,0,5,4,0,0,0,0,0,5,23,117,52,116,189,90,122,67,18,6,12,10,47,846
LGA41190,0,0,0,0,0,0,0,0,0,0,3,67,20,24,29,9,3,0,0,0,0,0,14,166
LGA41330,6,3,3,0,0,0,0,0,0,8,24,59,34,81,54,9,3,3,6,0,0,0,20,269
LGA41560,7,5,11,5,3,0,0,0,3,10,52,146,90,205,284,183,294,106,21,0,0,12,69,1410
LGA41750,0,0,0,0,0,0,0,0,0,3,3,47,12,17,13,6,6,0,6,3,0,0,15,125
LGA41830,0,3,0,0,0,0,0,0,0,3,9,30,7,46,35,14,6,3,3,0,0,5,11,160
LGA41960,0,0,0,0,0,0,0,0,0,3,6,30,7,15,23,13,18,0,0,0,0,3,6,115
LGA42030,6,9,3,6,3,4,0,0,0,18,63,152,164,195,288,281,539,461,61,7,0,9,83,2240
LGA42110,4,0,3,3,0,0,0,0,0,0,10,99,27,72,69,30,23,3,6,0,0,5,16,350
LGA42250,0,3,0,3,0,0,0,0,0,3,9,104,11,76,71,39,30,15,6,3,0,6,30,391
LGA42600,10,4,4,11,18,14,0,5,6,9,97,237,175,282,426,394,816,1069,663,249,103,134,117,4665
LGA42750,0,0,0,3,0,0,0,0,5,12,20,80,33,81,119,72,52,9,6,3,0,11,32,498
LGA43080,0,0,0,0,0,0,0,0,0,0,0,36,7,25,12,0,0,0,3,0,0,0,6,89
LGA43220,3,0,0,0,0,0,0,0,0,0,6,41,9,25,7,0,3,3,0,0,0,0,0,88
LGA43360,0,0,3,0,0,0,0,0,0,0,7,70,12,56,65,24,9,0,0,0,0,3,21,260
LGA43650,3,4,0,0,0,0,0,0,3,3,13,84,21,70,133,116,108,85,61,4,0,6,27,715
LGA43710,0,3,0,0,3,0,0,0,0,3,9,91,14,71,72,23,13,26,5,4,3,3,10,335
LGA43790,12,0,0,0,0,0,0,0,0,4,27,221,103,346,303,82,43,17,7,6,0,4,50,1182
LGA43920,0,0,0,3,3,0,0,0,0,0,6,58,17,45,56,45,65,40,17,0,0,4,21,368
