region_id,C11_All_inc_ns_CF_1Ch,C11_All_inc_ns_CF_2C,C11_All_inc_ns_CF_3C,C11_All_inc_ns_CF_4mC,C11_All_inc_ns_CF_T,C11_Tot_CF_1C,C11_Tot_CF_2C,C11_Tot_CF_3C,C11_Tot_CF_4mC,C11_Tot_CF_T
LGA25060,72,65,31,16,184,4698,5822,2281,511,13312
LGA25150,19,17,17,3,56,1172,1522,707,256,3657
LGA25250,91,90,42,28,251,6169,6754,2309,914,16146
LGA25340,104,116,46,19,285,5311,7125,2793,837,16066
LGA25430,13,11,7,0,31,623,667,312,104,1706
LGA25490,15,7,8,4,34,617,732,432,162,1943
LGA25620,17,15,5,4,41,500,613,209,78,1400
LGA25710,41,36,21,4,102,2744,4645,1939,491,9819
LGA25810,8,7,0,3,18,414,478,195,84,1171
LGA25900,27,24,9,0,60,3041,2488,635,159,6323
LGA25990,7,3,3,3,16,231,232,146,49,658
LGA26080,0,4,0,0,4,82,129,39,13,263
LGA26170,9,21,16,8,54,974,1134,564,219,2891
LGA26260,8,8,8,0,24,584,689,372,120,1765
LGA26350,36,42,27,6,111,3197,3736,1450,308,8691
LGA26430,4,7,4,0,15,340,333,132,56,861
LGA26490,14,16,11,3,44,1034,1453,648,161,3296
LGA26610,23,12,9,12,56,757,761,465,198,2181
LGA26670,0,6,5,0,11,184,254,139,41,618
LGA26700,15,13,5,7,40,1034,1146,584,193,2957
LGA26730,20,15,4,4,43,1132,1356,685,251,3424
LGA26810,30,25,17,9,81,1499,1678,872,303,4352
LGA26890,0,4,0,0,4,157,180,89,30,456
LGA26980,69,90,25,3,187,6935,8825,2949,656,19365
LGA27070,159,168,76,33,436,7885,9940,3698,1163,22686
LGA27170,13,23,4,3,43,1376,1661,750,228,4015
LGA27260,128,136,57,38,359,8343,9546,3602,1388,22879
LGA27350,23,19,13,13,68,2418,2217,543,149,5327
LGA27450,118,144,73,20,355,6360,8403,3593,1114,19470
LGA27630,6,5,3,0,14,224,263,139,58,684
LGA29399,0,0,0,0,0,4,13,0,0,17
LGA30250,0,7,3,3,13,43,39,21,28,131
LGA30300,7,7,4,0,18,173,184,123,54,534
LGA30370,18,17,4,3,42,575,682,361,146,1764
LGA30410,6,4,4,3,17,136,147,63,28,374
LGA30450,0,0,0,0,0,9,13,6,0,28
LGA30760,3,0,0,0,3,88,93,45,17,243
LGA30900,0,3,3,0,6,9,19,15,4,47
LGA31000,452,466,180,89,1187,43728,50912,18808,5887,119335
LGA31750,3,0,0,0,3,15,15,4,3,37
