region_id,C01_SH_FH_CF_no_ch,C01_SH_FH_CF_w_ch,C01_SH_FH_One_PFam,C01_SH_FH_oth_fa,C01_SH_FH_Tot,C01_SH_LP_H,C01_SH_GH,C01_SH_OH,C01_SH_Tot,C01_SDRTHT1S_FH_CF_no_ch,C01_SDRTHT1S_FH_CF_w_ch,C01_SDRTHT1S_FH_One_PFam,C01_SDRTHT1S_FH_oth_fa,C01_SDRTHT1S_FH_Tot,C01_SDRTHT1S_LP_H,C01_SDRTHT1S_GH,C01_SDRTHT1S_OH,C01_SDRTHT1S_Tot,C01_SDRTHT2S_FH_CF_no_ch,C01_SDRTHT2S_FH_CF_w_ch,C01_SDRTHT2S_FH_One_PFam,C01_SDRTHT2S_FH_oth_fa,C01_SDRTHT2S_FH_Tot,C01_SDRTHT2S_LP_H,C01_SDRTHT2S_GH,C01_SDRTHT2S_OH,C01_SDRTHT2S_Tot,C01_SDRTHT_FH_CF_no_ch,C01_SDRTHT_FH_CF_w_ch,C01_SDRTHT_FH_One_PFam,C01_SDRTHT_FH_oth_fa,C01_SDRTHT_FH_Tot,C01_SDRTHT_LP_H,C01_SDRTHT_GH,C01_SDRTHT_OH,C01_SDRTHT_Tot,C01_F_u_a_1_2_FH_CF_no_ch,C01_F_u_a_1_2_FH_CF_w_ch,C01_F_u_a_1_2_FH_One_PFam,C01_F_u_a_1_2_FH_oth_fa,C01_F_u_a_1_2_FH_Tot,C01_F_u_a_1_2_LP_H,C01_F_u_a_1_2_GH,C01_F_u_a_1_2_OH,C01_F_u_a_1_2_Tot,C01_F_u_a_3_FH_CF_no_ch,C01_F_u_a_3_FH_CF_w_ch,C01_F_u_a_3_FH_One_PFam,C01_F_u_a_3_FH_oth_fa,C01_F_u_a_3_FH_Tot,C01_F_u_a_3_LP_H,C01_F_u_a_3_GH,C01_F_u_a_3_OH,C01_F_u_a_3_Tot,C01_F_u_a_4m_FH_CF_no_ch,C01_F_u_a_4m_FH_CF_w_ch,C01_F_u_a_4m_FH_One_PFam,C01_F_u_a_4m_FH_oth_fa,C01_F_u_a_4m_FH_Tot,C01_F_u_a_4m_LP_H,C01_F_u_a_4m_GH,C01_F_u_a_4m_OH,C01_F_u_a_4m_Tot,C01_F_u_a_a_h_FH_CF_no_ch,C01_F_u_a_a_h_FH_CF_w_ch,C01_F_u_a_a_h_FH_One_PFam,C01_F_u_a_a_h_FH_oth_fa,C01_F_u_a_a_h_FH_Tot,C01_F_u_a_a_h_LP_H,C01_F_u_a_a_h_GH,C01_F_u_a_a_h_OH,C01_F_u_a_a_h_Tot,C01_F_u_a_T_FH_CF_no_ch,C01_F_u_a_T_FH_CF_w_ch,C01_F_u_a_T_FH_One_PFam,C01_F_u_a_T_FH_oth_fa,C01_F_u_a_T_FH_Tot,C01_F_u_a_T_LP_H,C01_F_u_a_T_GH,C01_F_u_a_T_OH,C01_F_u_a_T_Tot,C01_OD_C_c_hb_FH_CF_no_ch,C01_OD_C_c_hb_FH_CF_w_ch,C01_OD_C_c_hb_FH_One_PFam,C01_OD_C_c_hb_FH_oth_fa,C01_OD_C_c_hb_FH_Tot,C01_OD_C_c_hb_LP_H,C01_OD_C_c_hb_GH,C01_OD_C_c_hb_OH,C01_OD_C_c_hb_Tot,C01_OD_Ih_t_s_FH_CF_no_ch,C01_OD_Ih_t_s_FH_CF_w_ch,C01_OD_Ih_t_s_FH_One_PFam,C01_OD_Ih_t_s_FH_oth_fa,C01_OD_Ih_t_s_FH_Tot,C01_OD_Ih_t_s_LP_H,C01_OD_Ih_t_s_GH,C01_OD_Ih_t_s_OH,C01_OD_Ih_t_s_Tot,C01_OD_H_f_so_FH_CF_no_ch,C01_OD_H_f_so_FH_CF_w_ch,C01_OD_H_f_so_FH_One_PFam,C01_OD_H_f_so_FH_oth_fa,C01_OD_H_f_so_FH_Tot,C01_OD_H_f_so_LP_H,C01_OD_H_f_so_GH,C01_OD_H_f_so_OH,C01_OD_H_f_so_Tot,C01_OD_T_FH_CF_no_ch,C01_OD_T_FH_CF_w_ch,C01_OD_T_FH_One_PFam,C01_OD_T_FH_oth_fa,C01_OD_T_FH_Tot,C01_OD_Tot_LP_H,C01_OD_Tot_GH,C01_OD_Tot_OH,C01_OD_T_T,C01_DS_ns_FH_CF_no_ch,C01_DS_ns_FH_CF_w_ch,C01_DS_ns_FH_One_PFam,C01_DS_ns_FH_oth_fa,C01_DS_ns_FH_Tot,C01_DS_ns_LP_H,C01_DS_ns_GH,C01_DS_ns_OH,C01_DS_NS_T,C01_T_FH_CF_no_ch,C01_T_FH_CF_w_ch,C01_T_FH_One_PFam,C01_T_FH_oth_fa,C01_T_FH_Tot,C01_Tot_LP_H,C01_Tot_GH,C01_Tot_OH,C01_T_T,C06_SH_FH_CF_no_ch,C06_SH_FH_CF_w_ch,C06_SH_FH_One_PFam,C06_SH_FH_oth_fa,C06_SH_FH_Tot,C06_SH_LP_H,C06_SH_GH,C06_SH_OH,C06_SH_Tot,C06_Sd_r_t_1_FH_CF_no_ch,C06_Sd_r_t_1_FH_CF_w_ch,C06_Sd_r_t_1_FH_One_PFam,C06_Sd_r_t_1_FH_oth_fa,C06_Sd_r_t_1_FH_Tot,C06_Sd_r_t_1_LP_H,C06_Sd_r_t_1_GH,C06_Sd_r_t_1_OH,C06_Sd_r_t_1_Tot,C06_Sd_r_t_2m_FH_CF_no_ch,C06_Sd_r_t_2m_FH_CF_w_ch,C06_Sd_r_t_2m_FH_One_PFam,C06_Sd_r_t_2m_FH_oth_fa,C06_Sd_r_t_2m_FH_Tot,C06_Sd_r_t_2m_LP_H,C06_Sd_r_t_2m_GH,C06_Sd_r_t_2m_OH,C06_Sd_r_t_2m_Tot,C06_Sd_r_t_T_FH_CF_no_ch,C06_Sd_r_t_T_FH_CF_w_ch,C06_Sd_r_t_T_FH_One_PFam,C06_Sd_r_t_T_FH_oth_fa,C06_Sd_r_t_T_FH_Tot,C06_Sd_r_t_T_LP_H,C06_Sd_r_t_T_GH,C06_Sd_r_t_T_OH,C06_Sd_r_t_T_Tot,C06_F_u_a_1_2_FH_CF_no_ch,C06_F_u_a_1_2_FH_CF_w_ch,C06_F_u_a_1_2_FH_One_PFam,C06_F_u_a_1_2_FH_oth_fa,C06_F_u_a_1_2_FH_Tot,C06_F_u_a_1_2_LP_H,C06_F_u_a_1_2_GH,C06_F_u_a_1_2_OH,C06_F_u_a_1_2_Tot,C06_F_u_a_3_FH_CF_no_ch,C06_F_u_a_3_FH_CF_w_ch,C06_F_u_a_3_FH_One_PFam,C06_F_u_a_3_FH_oth_fa,C06_F_u_a_3_FH_Tot,C06_F_u_a_3_LP_H,C06_F_u_a_3_GH,C06_F_u_a_3_OH,C06_F_u_a_3_Tot,C06_F_u_a_4m_FH_CF_no_ch,C06_F_u_a_4m_FH_CF_w_ch,C06_F_u_a_4m_FH_One_PFam,C06_F_u_a_4m_FH_oth_fa,C06_F_u_a_4m_FH_Tot,C06_F_u_a_4m_LP_H,C06_F_u_a_4m_GH,C06_F_u_a_4m_OH,C06_F_u_a_4m_Tot,C06_F_u_a_a_h_FH_CF_no_ch,C06_F_u_a_a_h_FH_CF_w_ch
LGA18400,2870,5542,1080,65,9557,1463,176,332,11528,52,22,16,0,90,114,3,7,214,7,3,5,3,18,3,3,3,27,59,25,21,3,108,117,6,10,241,14,17,16,3,50,61,5,5,121,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,12,6,5,0,23,27,3,4,57,26,23,21,3,73,92,11,9,185,15,6,9,0,30,40,0,11,81,6,7,0,0,13,3,0,3,19,9,11,6,0,26,11,0,0,37,30,24,15,0,69,54,0,14,137,11,31,6,0,48,18,4,15,85,2996,5645,1143,71,9855,1744,197,380,12176,3203,5913,1247,82,10445,1731,163,463,12802,80,27,22,3,132,127,8,12,279,7,5,0,0,12,12,0,4,28,87,32,22,3,144,139,8,16,307,17,5,8,3,33,68,3,4,108,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,9,8
LGA18450,13058,20887,5441,492,39878,7604,1134,1035,49651,595,319,316,13,1243,1009,75,80,2407,693,594,619,40,1946,901,164,131,3142,1288,913,935,53,3189,1910,239,211,5549,1019,473,687,96,2275,3534,503,440,6752,494,185,233,42,954,1391,265,203,2813,453,135,113,41,742,886,213,163,2004,52,44,24,4,124,186,15,27,352,2018,837,1057,183,4095,5997,996,833,11921,241,33,33,5,312,390,14,88,804,0,0,0,0,0,75,0,5,80,50,66,36,7,159,110,21,36,326,291,99,69,12,471,575,35,129,1210,97,76,22,3,198,192,12,68,470,16752,22812,7524,743,47831,16278,2416,2276,68801,13324,19986,5894,454,39658,8436,1107,1422,50623,836,445,430,31,1742,1499,139,127,3507,781,607,693,36,2117,1180,254,185,3736,1617,1052,1123,67,3859,2679,393,312,7243,1008,483,673,83,2247,3417,428,380,6472,429,175,215,42,861,1349,323,324,2857,672,268,168,49,1157,1014,295,355,2821,30,30
LGA18500,1113,2363,361,50,3887,669,108,390,5054,190,155,53,11,409,247,51,56,763,1131,961,325,79,2496,962,429,332,4219,1321,1116,378,90,2905,1209,480,388,4982,456,211,132,36,835,637,216,260,1948,793,293,168,61,1315,1310,374,490,3489,1418,344,271,83,2116,2815,429,908,6268,13,4,5,0,22,24,4,7,57,2680,852,576,180,4288,4786,1023,1665,11762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,21,12,3,73,49,17,30,169,37,21,12,3,73,49,17,30,169,102,101,24,6,233,119,30,67,449,5253,4453,1351,329,11386,6832,1658,2540,22416,1210,2378,389,56,4033,757,106,540,5436,161,147,38,7,353,189,35,66,643,1108,969,253,58,2388,851,402,416,4057,1269,1116,291,65,2741,1040,437,482,4700,525,349,157,30,1061,752,164,381,2358,891,393,204,53,1541,1231,340,624,3736,1355,380,260,70,2065,2677,421,856,6019,3,3
LGA18550,11713,14493,5503,372,32081,8286,1051,1008,42426,689,250,381,34,1354,1366,102,88,2910,240,145,247,14,646,469,55,44,1214,929,395,628,48,2000,1835,157,132,4124,305,53,155,7,520,1110,54,92,1776,18,4,8,3,33,71,4,26,134,38,11,16,0,65,73,11,34,183,26,18,20,0,64,101,10,12,187,387,86,199,10,682,1355,79,164,2280,269,34,78,8,389,743,43,144,1319,4,0,0,0,4,3,0,3,10,27,16,20,0,63,40,3,9,115,300,50,98,8,456,786,46,156,1444,104,44,33,3,184,313,8,44,549,13433,15068,6461,441,35403,12575,1341,1504,50823,12398,14953,6374,338,34063,9235,1196,1308,45802,675,245,386,31,1337,1533,89,108,3067,313,173,242,17,745,472,59,78,1354,988,418,628,48,2082,2005,148,186,4421,349,89,158,16,612,1385,52,98,2147,36,13,34,4,87,137,11,28,263,77,21,16,0,114,106,17,68,305,3,4
LGA18710,1199,1526,327,24,3076,691,71,71,3909,28,6,11,0,45,66,7,6,124,3,0,0,0,3,0,0,0,3,31,6,11,0,48,66,7,6,127,12,4,7,0,23,59,0,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,10,17,4,7,0,28,64,0,5,97,6,0,0,0,6,9,0,19,34,3,0,0,0,3,3,0,0,6,7,7,0,0,14,5,0,0,19,16,7,0,0,23,17,0,19,59,3,4,0,0,7,0,0,3,10,1266,1547,345,24,3182,838,78,104,4202,1429,1695,372,25,3521,803,73,132,4529,24,9,8,0,41,43,0,0,84,0,0,0,0,0,0,0,0,0,24,9,8,0,41,43,0,0,84,15,4,5,0,24,72,5,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA18750,1073,1343,392,44,2852,827,79,89,3847,20,6,11,3,40,87,3,8,138,3,0,0,0,3,0,0,0,3,23,6,11,3,43,87,3,8,141,25,9,24,0,58,140,6,17,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,7,25,9,27,0,61,144,6,17,228,5,0,5,0,10,24,0,12,46,3,3,0,0,6,4,0,0,10,12,13,3,0,28,10,3,0,41,20,16,8,0,44,38,3,12,97,3,0,0,0,3,3,0,0,6,1144,1374,438,47,3003,1099,91,126,4319,1141,1322,466,44,2973,918,82,70,4043,26,24,17,0,67,124,3,3,197,4,0,0,0,4,0,0,3,7,30,24,17,0,71,124,3,6,204,34,20,24,4,82,129,13,14,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LGA19399,131,124,19,4,278,100,12,51,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,5,3,24,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,8,5,3,0,0,8,10,3,27,48,3,0,3,0,6,10,0,12,28,0,0,0,0,0,0,0,6,6,4,3,3,0,10,3,0,0,13,7,3,6,0,16,13,0,18,47,0,0,0,0,0,3,0,3,6,143,130,25,4,302,126,15,99,542,117,110,20,6,253,87,11,27,378,7,8,4,0,19,3,0,0,22,0,0,0,0,0,0,0,0,0,7,8,4,0,19,3,0,0,22,11,3,0,0,14,14,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
LGA20110,1217,1286,353,26,2882,950,72,271,4175,19,7,9,0,35,50,0,8,93,4,0,0,0,4,0,0,5,9,23,7,9,0,39,50,0,13,102,30,14,16,3,63,143,11,39,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,33,14,16,3,66,143,11,39,259,16,3,4,0,23,23,0,52,98,0,0,0,0,0,3,0,0,3,18,26,3,0,47,8,3,7,65,34,29,7,0,70,34,3,59,166,10,10,6,0,26,4,0,32,62,1317,1346,391,29,3083,1181,86,414,4764,1420,1246,369,24,3059,1063,91,329,4542,22,10,11,0,43,90,4,11,148,6,0,0,0,6,6,0,3,15,28,10,11,0,49,96,4,14,163,13,8,14,4,39,105,9,51,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20260,1223,1228,354,27,2832,972,78,62,3944,5,0,0,0,5,14,0,0,19,4,3,0,0,7,0,0,0,7,9,3,0,0,12,14,0,0,26,18,8,15,0,41,166,12,7,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,15,0,41,166,12,7,226,4,3,0,0,7,15,0,15,37,0,0,0,0,0,0,0,3,3,6,10,0,3,19,7,3,0,29,10,13,0,3,26,22,3,18,69,4,3,0,0,7,0,0,3,10,1264,1255,369,30,2918,1174,93,90,4275,1353,1140,390,31,2914,1027,108,85,4134,13,0,4,0,17,65,3,3,88,0,0,0,0,0,0,0,0,0,13,0,4,0,17,65,3,3,88,14,3,11,0,28,102,3,8,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20570,6332,8948,3211,315,18806,5443,1044,481,25774,203,101,156,16,476,665,100,31,1272,53,37,23,0,113,51,19,6,189,256,138,179,16,589,716,119,37,1461,357,72,220,37,686,1766,177,93,2722,6,0,3,0,9,22,7,10,48,0,0,0,0,0,0,0,0,0,3,4,6,0,13,36,0,4,53,366,76,229,37,708,1824,184,107,2823,15,5,6,3,29,65,3,46,143,0,0,0,0,0,0,0,0,0,31,40,14,0,85,50,10,4,149,46,45,20,3,114,115,13,50,292,29,44,16,0,89,34,8,15,146,7029,9251,3655,371,20306,8132,1368,690,30496,7379,8955,3582,315,20231,6092,1135,913,28371,186,77,105,7,375,452,102,50,979,59,31,36,3,129,71,41,12,253,245,108,141,10,504,523,143,62,1232,442,117,273,38,870,2049,163,177,3259,8,0,3,0,11,22,5,8,46,0,0,0,0,0,3,3,3,9,4,0
LGA20660,8581,14480,3777,442,27280,5749,905,663,34597,706,312,415,63,1496,1625,189,106,3416,229,177,148,21,575,254,71,34,934,935,489,563,84,2071,1879,260,140,4350,488,212,272,66,1038,1310,161,138,2647,23,7,11,4,45,61,16,15,137,32,3,8,3,46,49,5,7,107,9,3,4,0,16,55,0,9,80,552,225,295,73,1145,1475,182,169,2971,0,0,0,0,0,8,0,3,11,3,0,0,0,3,6,0,0,9,12,24,4,3,43,35,12,5,95,15,24,4,3,46,49,12,8,115,42,59,32,3,136,80,6,22,244,10125,15277,4671,605,30678,9232,1365,1002,42277,8847,13756,3815,425,26843,6146,884,957,34830,729,371,380,45,1525,1695,149,137,3506,287,307,202,24,820,324,99,66,1309,1016,678,582,69,2345,2019,248,203,4815,686,342,363,77,1468,1674,225,206,3573,20,6,8,4,38,41,8,6,93,13,3,3,0,19,22,3,3,47,5,5
LGA20740,2985,2213,856,64,6118,2370,223,849,9560,36,8,13,0,57,112,4,6,179,19,12,8,0,39,12,3,6,60,55,20,21,0,96,124,7,12,239,72,15,28,5,120,318,8,12,458,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,0,9,76,15,28,5,124,326,8,12,470,23,0,7,0,30,89,0,27,146,0,0,0,0,0,0,0,0,0,8,18,4,0,30,12,3,0,45,31,18,11,0,60,101,3,27,191,16,19,7,0,42,26,0,15,83,3163,2285,923,69,6440,2947,241,915,10543,3299,2338,933,74,6644,2711,246,623,10224,34,3,18,0,55,116,3,4,178,13,5,0,0,18,19,0,11,48,47,8,18,0,73,135,3,15,226,72,18,27,6,123,328,14,42,507,4,4,0,0,8,7,0,3,18,0,0,0,0,0,0,0,0,0,0,0
LGA20830,3337,4347,1253,102,9039,2291,230,250,11810,35,8,17,3,63,111,6,3,183,7,14,4,0,25,6,0,0,31,42,22,21,3,88,117,6,3,214,74,14,51,5,144,357,24,13,538,0,0,0,0,0,7,0,0,7,3,0,0,0,3,6,0,3,12,4,0,0,0,4,7,3,0,14,81,14,51,5,151,377,27,16,571,19,19,16,3,57,86,3,21,167,0,3,0,0,3,9,0,6,18,17,10,5,0,32,14,3,4,53,36,32,21,3,92,109,6,31,238,14,10,4,3,31,55,0,13,99,3510,4425,1350,116,9401,2949,269,313,12932,3743,4417,1368,110,9638,2553,240,355,12786,62,17,25,0,104,198,10,10,322,0,4,0,0,4,4,3,0,11,62,21,25,0,108,202,13,10,333,87,9,45,4,145,401,16,40,602,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
LGA20910,5907,10024,2076,250,18257,4135,488,639,23519,1013,409,313,41,1776,1706,148,111,3741,468,373,169,17,1027,288,48,50,1413,1481,782,482,58,2803,1994,196,161,5154,622,236,293,49,1200,1756,187,141,3284,53,19,32,5,109,145,5,16,275,11,11,29,3,54,23,3,5,85,16,6,10,0,32,37,0,4,73,702,272,364,57,1395,1961,195,166,3717,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,47,54,20,5,126,79,18,19,242,47,54,20,5,126,82,18,19,245,79,68,19,3,169,82,12,24,287,8216,11200,2961,373,22750,8254,909,1009,32922,5517,10379,1950,216,18062,3879,413,815,23169,924,530,316,39,1809,1396,120,150,3475,605,544,215,14,1378,361,45,98,1882,1529,1074,531,53,3187,1757,165,248,5357,850,342,363,73,1628,2168,200,283,4279,82,12,39,5,138,226,12,28,404,26,11,22,4,63,48,10,10,131,3,0
LGA21010,1457,1472,544,38,3511,956,102,101,4670,57,10,17,3,87,224,11,11,333,0,0,0,0,0,0,0,0,0,57,10,17,3,87,224,11,11,333,18,7,19,3,47,87,3,6,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,6,18,7,22,3,50,90,3,6,149,3,3,4,0,10,19,0,9,38,0,3,0,0,3,6,0,3,12,12,5,0,0,17,6,0,3,26,15,11,4,0,30,31,0,15,76,9,6,5,0,20,25,0,3,48,1556,1506,592,44,3698,1326,116,136,5276,1580,1393,529,38,3540,1152,119,129,4940,23,9,10,0,42,99,7,8,156,0,0,0,0,0,0,0,0,0,23,9,10,0,42,99,7,8,156,52,7,17,0,76,236,13,20,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA21110,8108,17112,2974,566,28760,5948,1011,978,36697,1512,770,529,135,2946,2700,411,200,6257,635,541,249,63,1488,581,190,138,2397,2147,1311,778,198,4434,3281,601,338,8654,1371,466,469,216,2522,3382,848,414,7166,515,125,147,168,955,1503,556,343,3357,104,21,18,37,180,152,124,41,497,30,21,13,3,67,88,16,10,181,2020,633,647,424,3724,5125,1544,808,11201,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,74,90,24,7,195,118,51,37,401,74,90,24,7,195,124,51,37,407,72,83,23,8,186,106,34,47,373,12421,19229,4446,1203,37299,14584,3241,2208,57332,7864,17554,3116,434,28968,5538,920,1044,36470,1531,991,491,100,3113,2202,356,261,5932,726,776,284,58,1844,593,197,137,2771,2257,1767,775,158,4957,2795,553,398,8703,1732,749,547,248,3276,3793,930,525,8524,634,132,92,143,1001,1357,568,286,3212,179,47,35,20,281,350,137,147,915,15,5
LGA21180,8855,23731,5859,627,39072,5499,697,1118,46386,326,346,205,20,897,462,46,49,1454,116,314,59,15,504,95,18,19,636,442,660,264,35,1401,557,64,68,2090,483,531,532,63,1609,1164,117,189,3079,5,6,3,0,14,26,3,0,43,8,7,3,0,18,16,3,11,48,21,14,14,3,52,51,3,18,124,517,558,552,66,1693,1257,126,218,3294,5,3,7,0,15,25,4,7,51,0,3,0,0,3,8,0,0,11,13,46,9,3,71,20,3,7,101,18,52,16,3,89,53,7,14,163,60,134,42,4,240,59,7,40,346,9892,25135,6733,735,42495,7425,901,1458,52279,9375,20447,6888,664,37374,6646,913,1754,46687,862,1607,749,82,3300,968,114,250,4632,218,428,176,33,855,201,51,79,1186,1080,2035,925,115,4155,1169,165,329,5818,593,602,561,81,1837,1484,201,271,3793,10,21,7,0,38,43,8,8,97,3,8,8,0,19,14,0,4,37,7,8
LGA21270,849,829,168,19,1865,730,49,28,2672,6,0,0,0,6,30,0,0,36,3,0,0,0,3,3,3,0,9,9,0,0,0,9,33,3,0,45,0,0,3,0,3,63,0,3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,66,0,3,72,3,0,3,0,6,10,0,12,28,0,0,0,0,0,0,0,0,0,12,13,3,0,28,5,4,0,37,15,13,6,0,34,15,4,12,65,0,3,0,0,3,0,0,0,3,873,845,177,19,1914,844,56,43,2857,836,728,193,23,1780,702,56,54,2592,3,5,0,0,8,12,3,0,23,0,0,0,0,0,0,0,0,0,3,5,0,0,8,12,3,0,23,10,3,0,0,13,87,3,3,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21370,3515,4169,1052,91,8827,2121,252,272,11472,57,23,30,0,110,172,14,4,300,0,4,0,0,4,0,0,0,4,57,27,30,0,114,172,14,4,304,141,29,67,9,246,584,38,29,897,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,6,11,0,3,20,147,29,70,9,255,595,38,32,920,28,9,6,0,43,101,0,80,224,0,3,0,0,3,13,0,3,19,33,24,10,0,67,25,8,0,100,61,36,16,0,113,139,8,83,343,26,19,5,0,50,24,3,11,88,3806,4280,1173,100,9359,3051,315,402,13127,3755,4055,1216,113,9139,2423,271,286,12119,94,24,38,5,161,325,25,33,544,0,0,0,0,0,9,0,5,14,94,24,38,5,161,334,25,38,558,164,26,59,12,261,552,28,31,872,0,3,0,0,3,4,0,0,7,0,3,3,0,6,3,0,3,12,0,0
LGA21450,3491,6521,1576,127,11715,2064,279,345,14403,57,25,55,3,140,186,21,8,355,4,13,3,0,20,0,0,3,23,61,38,58,3,160,186,21,11,378,114,35,46,0,195,263,18,24,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,10,20,3,0,33,121,38,46,0,205,283,21,24,533,21,7,4,0,32,64,0,18,114,0,4,0,0,4,0,0,3,7,5,15,5,0,25,7,0,3,35,26,26,9,0,61,71,0,24,156,24,36,11,0,71,15,3,8,97,3723,6659,1700,130,12212,2619,324,412,15567,4700,7821,1985,136,14642,2705,350,615,18312,66,29,36,7,138,153,13,19,323,22,6,6,0,34,10,0,0,44,88,35,42,7,172,163,13,19,367,151,34,79,3,267,433,13,32,745,0,0,0,0,0,6,0,0,6,10,3,3,0,16,11,4,3,34,5,3
LGA21610,11085,26734,6165,439,44423,6132,1020,1243,52818,350,158,134,13,655,696,41,36,1428,61,129,33,6,229,56,13,16,314,411,287,167,19,884,752,54,52,1742,468,217,375,34,1094,1088,103,104,2389,3,0,0,0,3,3,0,0,6,0,3,3,0,6,0,0,0,6,17,4,4,0,25,38,0,0,63,488,224,382,34,1128,1129,103,104,2464,13,24,8,3,48,83,5,21,157,0,3,0,0,3,3,0,0,6,7,25,3,0,35,9,3,5,52,20,52,11,3,86,95,8,26,215,59,126,30,3,218,56,7,21,302,12063,27423,6755,498,46739,8164,1192,1446,57541,14106,30415,8039,558,53118,8550,1368,2322,65358,558,580,315,33,1486,737,62,77,2362,126,145,68,8,347,126,20,25,518,684,725,383,41,1833,863,82,102,2880,532,247,382,29,1190,1489,105,117,2901,3,3,3,0,9,0,0,0,9,0,8,6,0,14,0,3,0,17,7,6
LGA21670,1420,1248,508,43,3219,1164,119,112,4614,29,9,10,3,51,109,11,5,176,0,3,0,0,3,0,0,0,3,29,12,10,3,54,109,11,5,179,20,3,7,0,30,138,6,3,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,20,3,7,0,30,144,6,3,183,6,4,0,3,13,45,3,33,94,0,0,4,0,4,5,0,3,12,15,8,5,0,28,20,3,0,51,21,12,9,3,45,70,6,36,157,8,4,3,3,18,8,3,0,29,1498,1279,537,52,3366,1495,145,156,5162,1509,1150,547,47,3253,1279,129,71,4732,29,3,8,3,43,74,0,0,117,0,0,0,0,0,0,0,0,0,29,3,8,3,43,74,0,0,117,29,5,11,3,48,197,7,8,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21750,2029,2324,697,65,5115,1606,171,186,7078,35,15,9,3,62,214,11,10,297,5,4,0,0,9,0,0,5,14,40,19,9,3,71,214,11,15,311,25,6,6,3,40,136,16,10,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,10,28,6,6,3,43,143,16,10,212,10,4,4,0,18,43,0,22,83,3,3,0,0,6,0,0,4,10,9,11,5,0,25,5,0,3,33,22,18,9,0,49,48,0,29,126,9,8,3,3,23,6,3,5,37,2128,2375,724,74,5301,2017,201,245,7764,2001,2143,747,64,4955,1685,187,203,7030,76,76,16,8,176,220,5,15,416,23,14,8,0,45,16,4,7,72,99,90,24,8,221,236,9,22,488,54,9,20,6,89,209,10,5,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA21830,1749,2049,502,59,4359,1373,102,137,5971,3,0,0,0,3,28,0,0,31,3,3,0,0,6,3,0,0,9,6,3,0,0,9,31,0,0,40,16,5,7,0,28,122,6,9,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,16,5,7,0,28,125,6,9,168,0,0,0,0,0,12,0,18,30,3,3,0,0,6,0,0,4,10,10,17,3,0,30,4,0,3,37,13,20,3,0,36,16,0,25,77,9,7,0,0,16,12,0,5,33,1793,2084,512,59,4448,1557,108,176,6289,1755,1925,523,49,4252,1482,124,205,6063,6,3,4,0,13,29,0,5,47,6,0,0,0,6,6,0,7,19,12,3,4,0,19,35,0,12,66,19,10,6,0,35,128,3,16,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
