region_id,C11_All_in_ns_1PF_1C,C11_All_in_ns_1PF_2C,C11_All_in_ns_1PF_3C,C11_All_in_ns_1_pa_fa_4m_c,C11_All_in_ns_1_pa_fa_w_To,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1_pa_fa_4mor_ch,C11_Tot_T
LGA18250,21,5,3,0,29,1426,631,136,28,2221
LGA18350,26,14,5,0,45,1029,541,178,85,1833
LGA18400,30,11,8,3,52,833,483,202,96,1614
LGA18450,156,70,20,7,253,5032,2726,868,320,8946
LGA18500,15,4,4,0,23,929,399,102,15,1445
LGA18550,142,64,38,12,256,4686,2566,985,444,8681
LGA18710,5,0,0,0,5,253,123,44,16,436
LGA18750,14,4,0,0,18,304,147,77,30,558
LGA19399,3,0,0,0,3,16,12,0,0,28
LGA20110,6,3,0,0,9,221,130,29,12,392
LGA20260,12,0,0,0,12,252,122,53,16,443
LGA20570,67,35,15,15,132,2486,1309,513,217,4525
LGA20660,78,41,10,6,135,2997,1434,454,137,5022
LGA20740,18,9,0,0,27,686,329,112,34,1161
LGA20830,36,18,9,6,69,952,523,204,77,1756
LGA20910,45,21,3,0,69,1926,960,256,52,3194
LGA21010,4,4,0,3,11,344,170,74,27,615
LGA21110,57,22,4,3,86,2810,1433,383,71,4697
LGA21180,194,117,61,32,404,4927,2993,1151,510,9581
LGA21270,4,0,0,0,4,102,54,9,7,172
LGA21370,27,13,3,0,43,838,436,198,68,1540
LGA21450,47,23,12,3,85,1510,939,376,138,2963
LGA21610,190,105,26,24,345,5489,3586,1340,572,10987
LGA21670,14,8,5,0,27,350,152,83,27,612
LGA21750,13,9,4,0,26,447,207,101,39,794
LGA21830,15,6,5,0,26,337,156,64,31,588
LGA21890,137,37,12,6,192,3539,1450,406,139,5534
LGA22110,40,18,6,4,68,941,510,188,77,1716
LGA22170,125,58,22,8,213,3908,2118,704,236,6966
LGA22250,9,3,0,0,12,212,89,40,14,355
LGA22310,50,24,11,3,88,2703,1164,307,68,4242
LGA22410,14,9,4,3,30,470,231,95,28,824
LGA22490,11,6,0,0,17,304,149,58,28,539
LGA22620,69,40,18,12,139,2727,1424,507,215,4873
LGA22670,122,79,16,31,248,3835,2000,621,355,6811
LGA22750,169,75,25,18,287,5391,2987,1014,370,9762
LGA22830,69,20,23,4,116,1385,812,357,154,2708
LGA22910,11,3,5,0,19,380,184,59,17,640
LGA22980,0,0,0,0,0,121,46,25,11,203
LGA23110,65,29,9,3,106,2255,1054,334,80,3723
LGA23190,16,5,4,3,28,459,216,87,41,803
LGA23270,133,78,31,29,271,3985,2554,1008,480,8027
LGA23350,4,5,0,0,9,300,162,46,29,537
LGA23430,94,27,10,11,142,3490,1698,456,118,5762
LGA23670,89,48,17,7,161,3394,2033,624,190,6241
LGA23810,76,25,13,12,126,2010,1062,398,200,3670
LGA23940,4,3,4,0,11,148,52,30,13,243
LGA24130,24,3,0,0,27,700,458,177,64,1399
LGA24210,41,15,4,0,60,2251,1173,324,85,3833
LGA24250,5,0,0,0,5,163,76,25,8,272
LGA24330,46,16,6,10,78,1763,876,234,111,2984
LGA24410,74,30,7,4,115,2676,1426,436,130,4668
LGA24600,32,11,12,6,61,1307,457,113,42,1919
LGA24650,77,53,14,14,158,2359,1647,627,284,4917
LGA24780,56,30,18,10,114,1244,766,303,136,2449
LGA24850,34,17,8,3,62,806,476,190,64,1536
LGA24900,25,5,0,3,33,578,283,115,60,1036
LGA24970,96,28,12,8,144,3711,1794,433,122,6060
LGA25060,91,28,16,7,142,2474,1296,329,84,4183
LGA25150,26,12,4,3,45,660,370,126,42,1198
LGA25250,103,36,15,7,161,3566,1471,415,163,5615
LGA25340,92,49,14,11,166,3335,1887,645,184,6051
LGA25430,12,3,4,0,19,491,210,62,25,788
LGA25490,6,3,4,0,13,292,159,69,18,538
LGA25620,12,3,3,0,18,232,134,44,10,420
LGA25710,20,10,3,0,33,987,695,207,52,1941
LGA25810,11,6,0,0,17,277,131,40,16,464
LGA25900,21,15,5,0,41,1737,599,121,27,2484
LGA25990,4,3,3,0,10,149,68,22,9,248
LGA26080,3,3,0,0,6,50,19,7,4,80
LGA26170,8,14,3,3,28,531,271,125,39,966
LGA26260,16,4,0,0,20,337,134,60,17,548
LGA26350,34,9,3,3,49,1536,666,169,41,2412
LGA26430,6,5,0,0,11,221,89,29,21,360
LGA26490,12,0,0,0,12,453,257,94,17,821
LGA26610,20,8,3,8,39,396,228,100,53,777
LGA26670,3,0,0,0,3,103,58,8,9,178
LGA26700,22,10,4,0,36,643,331,126,41,1141
LGA26730,22,11,3,3,39,811,423,150,64,1448
LGA26810,32,11,8,3,54,851,513,215,74,1653
LGA26890,0,0,0,0,0,76,20,12,10,118
