region_id,C11_All_in_ns_1PF_1C,C11_All_in_ns_1PF_2C,C11_All_in_ns_1PF_3C,C11_All_in_ns_1_pa_fa_4m_c,C11_All_in_ns_1_pa_fa_w_To,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1_pa_fa_4mor_ch,C11_Tot_T
LGA58680,0,0,0,0,0,4,3,0,0,7
LGA58760,88,31,21,21,161,3184,1972,719,353,6228
LGA58820,3,0,0,0,3,78,36,21,9,144
LGA58890,0,0,0,0,0,9,3,3,3,18
LGA59030,0,0,0,0,0,0,3,0,0,3
LGA59100,0,3,0,0,3,23,12,0,3,38
LGA59170,0,0,0,0,0,18,6,3,0,27
LGA59250,0,0,0,0,0,15,13,4,3,35
LGA59310,0,0,0,0,0,17,16,10,3,46
LGA59320,0,0,0,0,0,12,3,0,3,18
LGA59330,0,0,0,0,0,12,4,0,0,16
LGA59340,8,5,5,3,21,158,74,51,51,334
LGA59350,0,0,0,0,0,0,3,3,3,9
LGA59360,3,0,0,0,3,31,8,0,6,45
LGA59370,4,0,0,0,4,77,32,8,12,129
LGA59399,0,0,0,0,0,0,0,0,0,0
LGA60210,0,5,0,0,5,149,66,22,12,249
LGA60410,26,10,3,3,42,544,336,121,73,1074
LGA60610,12,6,3,3,24,540,309,107,52,1008
LGA60810,14,3,3,3,23,505,258,109,33,905
LGA61010,0,0,0,3,3,48,16,10,6,80
LGA61210,0,3,3,0,6,154,80,37,9,280
LGA61410,32,15,3,6,56,1412,791,232,101,2536
LGA61510,8,6,0,0,14,241,126,58,16,441
LGA61610,26,10,3,3,42,754,381,152,62,1349
LGA61810,0,3,0,3,6,138,72,30,9,249
LGA62010,0,0,0,0,0,12,5,0,3,20
LGA62210,10,7,0,3,20,205,93,35,27,360
LGA62410,6,0,0,0,6,74,30,11,9,124
LGA62610,54,32,10,3,99,1617,790,266,129,2802
LGA62810,20,5,3,0,28,1078,458,125,39,1700
LGA63010,15,4,3,0,22,368,171,64,22,625
LGA63210,0,3,0,0,3,139,67,24,15,245
LGA63410,6,0,0,0,6,35,10,6,0,51
LGA63610,13,3,0,3,19,753,445,142,50,1390
LGA63810,4,3,0,0,7,217,109,39,17,382
LGA64010,48,25,12,5,90,1862,950,356,117,3285
LGA64210,9,3,3,0,15,370,199,62,28,659
LGA64610,11,0,3,0,14,273,121,41,23,458
LGA64810,5,4,3,3,15,371,190,72,20,653
LGA65010,3,3,0,0,6,136,57,20,15,228
LGA65210,0,0,3,0,3,57,17,6,0,80
LGA65410,11,4,3,3,21,333,158,58,39,588
LGA65610,4,3,0,0,7,116,48,17,10,191
LGA65810,6,5,3,0,14,460,236,82,32,810
LGA69399,0,0,0,0,0,0,0,0,0,0
LGA70200,35,18,10,6,69,555,276,127,65,1023
LGA70420,17,14,8,10,49,150,88,53,51,342
LGA70540,0,0,0,0,0,6,9,4,3,22
LGA70620,7,4,0,0,11,81,54,31,24,190
LGA70700,0,0,0,0,0,24,15,11,3,53
LGA71000,69,25,14,6,114,1544,753,285,139,2721
LGA71300,3,3,0,3,9,253,168,84,103,608
LGA72200,7,3,8,3,21,198,84,50,34,366
LGA72300,3,6,3,3,15,311,185,61,20,577
LGA72330,15,7,4,0,26,138,100,42,29,309
LGA72800,15,5,4,3,27,631,387,176,70,1264
LGA73600,8,4,0,0,12,126,75,50,52,303
LGA74050,0,0,0,0,0,59,27,16,15,117
LGA74500,0,0,0,3,3,99,81,55,57,292
LGA74560,0,4,0,0,4,4,8,0,0,12
LGA74660,3,3,0,3,9,130,84,38,38,290
LGA79399,5,3,0,0,8,78,32,8,6,124
LGA89399,105,63,21,13,202,7631,4295,1269,406,13601
LGA99399,0,0,0,0,0,36,27,6,3,72
