region_id,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_c_o_c_c_g,C11_550_649_Ot_lan_ty,C11_550_649_Lan_ty_ns,C11_550_649_Tot,C11_650_over_REA,C11_650over_ST_HA,C11_650ove_Pe_no_sa_ho,C11_650ov_H_co_op_c_ch_gr,C11_650over_Oth_lan_typ,C11_650over_LLT_NS,C11_650_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T
LGA12750,30,7,410,288,49,216,19,32,9,613,260,40,167,14,14,0,495,570,38,218,0,17,4,847,459,6,139,0,16,0,620,170,0,39,3,8,0,220,16,0,8,0,0,0,24,0,0,5,0,0,0,5,10,0,12,3,14,0,39,21,21,54,8,21,5,130,1869,416,1095,127,197,120,3824
LGA12850,35,8,1359,281,675,255,80,70,13,1374,476,230,266,44,69,9,1094,1490,266,429,64,92,21,2362,2412,320,621,35,156,36,3580,3032,86,615,9,170,30,3942,574,8,103,0,23,8,716,103,11,19,0,9,0,142,72,12,25,4,12,0,125,166,250,197,27,53,34,727,8750,4179,2920,421,715,325,17310
LGA12900,14,0,236,217,23,83,0,13,0,336,51,0,25,0,0,0,76,24,0,11,0,6,0,41,13,0,6,0,5,0,24,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,9,10,13,16,0,18,4,61,433,166,271,12,95,54,1031
LGA12950,10,0,144,54,3,48,7,10,0,122,12,0,8,0,0,0,20,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,4,0,4,0,6,0,14,135,60,158,22,44,27,446
LGA13010,12,3,236,150,28,65,3,7,3,256,86,6,13,3,5,0,113,56,3,13,0,3,0,75,11,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,3,3,12,13,7,10,8,14,0,52,439,84,212,49,77,43,904
LGA13050,14,3,102,55,6,36,0,4,3,104,45,3,17,0,3,0,68,42,0,17,0,0,0,59,36,0,5,0,4,0,45,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,3,6,0,8,3,25,220,43,163,8,54,21,509
LGA13100,99,15,969,576,239,327,64,78,12,1296,522,77,353,31,63,14,1060,1695,122,540,27,35,11,2430,3396,115,744,6,54,18,4333,2299,13,464,3,26,4,2809,650,4,106,0,7,3,770,187,0,43,0,0,0,230,144,5,34,3,5,0,191,134,130,125,30,33,33,485,9755,2000,3143,354,462,327,16041
LGA13310,34,4,458,348,95,155,9,32,5,644,209,48,113,0,12,0,382,357,4,109,4,24,3,501,250,6,66,4,5,0,331,60,0,18,0,0,0,78,4,4,3,0,0,0,11,3,0,3,0,3,0,9,3,3,11,0,7,0,24,29,28,39,5,15,5,121,1447,561,684,65,178,77,3012
LGA13320,47,7,353,485,39,191,36,27,3,781,263,10,131,8,18,0,430,508,10,141,9,19,0,687,602,5,123,3,8,0,741,203,0,43,0,7,0,253,21,0,7,0,0,3,31,12,0,5,0,0,0,17,16,0,15,0,7,0,38,45,9,55,7,21,8,145,2269,226,911,128,207,104,3845
LGA13340,18,0,141,66,0,88,0,8,0,162,33,0,30,0,4,0,67,27,0,23,0,4,0,54,23,0,14,0,0,0,37,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,7,0,14,3,20,4,48,213,21,293,13,86,63,689
