region_id,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Mar_RegM_M,C11_85o_Mar_RegM_F,C11_85o_Mar_DFM_M,C11_85o_Mar_DFM_F,C11_85o_N_mar_M,C11_85o_N_mar_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Marr_reg_marr_M,C11_T_Marr_reg_marr_F,C11_T_Mar_de_fa_mar_M,C11_T_Mar_de_fa_mar_F,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA12500,25,82,118,148,266,64,42,3,0,38,66,105,108,213,24,5,0,0,34,90,58,95,153,1200,1215,253,254,984,1191,2437,2660,5097
LGA12600,111,278,380,493,873,200,119,9,0,103,235,312,354,666,102,47,0,0,69,243,171,290,461,6237,6507,1400,1501,4753,6157,12390,14165,26555
LGA12700,33,43,121,97,218,35,20,3,0,28,60,66,80,146,23,12,0,0,23,67,46,79,125,1675,1707,277,288,1099,1072,3051,3067,6118
LGA12750,186,331,728,728,1456,351,212,13,6,170,341,534,559,1093,167,100,0,3,133,332,300,435,735,6741,6820,1277,1322,4563,5204,12581,13346,25927
LGA12850,437,1255,1899,2201,4100,914,434,6,4,378,1153,1298,1591,2889,417,156,4,4,305,929,726,1089,1815,34521,34704,2265,2275,31812,35482,68598,72461,141059
LGA12900,41,92,143,171,314,52,36,0,0,35,90,87,126,213,29,12,0,0,22,74,51,86,137,1645,1666,280,289,1214,1314,3139,3269,6408
LGA12950,16,38,63,70,133,36,20,0,0,22,36,58,56,114,15,7,0,0,10,34,25,41,66,790,822,120,129,521,622,1431,1573,3004
LGA13010,43,79,143,154,297,65,36,0,3,30,101,95,140,235,30,17,0,0,20,75,50,92,142,1527,1540,315,317,1147,1307,2989,3164,6153
LGA13050,22,56,81,115,196,60,26,0,0,14,67,74,93,167,25,12,0,0,20,39,45,51,96,997,1005,156,165,629,665,1782,1835,3617
LGA13100,568,1571,2218,2873,5091,1235,859,32,19,584,1671,1851,2549,4400,771,435,18,7,593,1812,1382,2254,3636,29140,29563,5135,5293,22028,27795,56303,62651,118954
LGA13310,108,232,337,414,751,169,101,0,3,78,229,247,333,580,78,45,0,0,58,199,136,244,380,4644,4725,1004,1017,3721,4290,9369,10032,19401
LGA13320,236,358,874,896,1770,466,287,13,9,211,382,690,678,1368,216,122,8,3,153,401,377,526,903,6673,6779,1117,1148,4502,5332,12292,13259,25551
LGA13340,30,66,104,130,234,60,38,0,0,38,67,98,105,203,37,9,0,0,29,63,66,72,138,1968,1998,256,254,1247,1202,3471,3454,6925
LGA13380,221,434,846,857,1703,402,248,11,6,180,410,593,664,1257,203,79,0,0,151,421,354,500,854,8518,8622,1567,1589,6045,7355,16130,17566,33696
LGA13450,74,164,291,331,622,162,84,0,3,61,173,223,260,483,89,35,0,0,39,164,128,199,327,4539,4590,661,670,3133,3290,8333,8550,16883
LGA13500,16,29,50,55,105,20,13,0,0,10,30,30,43,73,17,9,0,0,8,31,25,40,65,680,696,152,161,492,438,1324,1295,2619
LGA13550,52,105,187,196,383,72,48,0,3,39,103,111,154,265,31,10,0,0,28,104,59,114,173,2119,2148,415,423,1608,1737,4142,4308,8450
LGA13650,15,33,51,68,119,29,9,0,3,18,44,47,56,103,13,4,0,0,11,28,24,32,56,763,770,174,178,581,576,1518,1524,3042
LGA13660,30,37,102,80,182,24,15,0,3,16,52,40,70,110,12,7,0,0,16,48,28,55,83,981,993,188,195,638,619,1807,1807,3614
LGA13700,17,31,51,72,123,26,12,0,0,18,32,44,44,88,16,7,0,0,10,29,26,36,62,700,714,113,119,444,493,1257,1326,2583
LGA13800,115,310,473,559,1032,212,147,8,3,120,292,340,442,782,114,61,5,4,98,308,217,373,590,11194,11400,2017,2080,8415,9213,21626,22693,44319
LGA13850,23,27,63,51,114,16,6,0,0,13,25,29,31,60,7,0,0,0,10,19,17,19,36,509,525,102,102,402,416,1013,1043,2056
LGA13950,246,641,899,1066,1965,412,235,8,3,224,659,644,897,1541,209,91,3,3,174,610,386,704,1090,19186,19266,1569,1604,14756,16209,35511,37079,72590
LGA14000,267,908,1562,1868,3430,923,624,10,4,308,981,1241,1609,2850,541,245,5,4,358,1179,904,1428,2332,33851,34433,2654,2693,20092,23706,56597,60832,117429
LGA14100,33,91,149,174,323,97,67,0,0,29,116,126,183,309,64,25,0,4,46,157,110,186,296,2499,2528,298,283,1440,2010,4237,4821,9058
LGA14150,211,591,992,1169,2161,501,331,8,3,188,659,697,993,1690,336,136,4,4,217,778,557,918,1475,15940,16124,1503,1496,11674,14068,29117,31688,60805
LGA14200,69,141,241,265,506,123,49,3,3,37,146,163,198,361,43,19,0,0,39,159,82,178,260,2887,2936,529,536,2041,2357,5457,5829,11286
LGA14250,0,9,14,15,29,12,18,0,0,12,6,24,24,48,12,4,0,0,0,12,12,16,28,301,292,40,37,188,154,529,483,1012
LGA14300,18,37,59,68,127,20,6,0,0,19,40,39,46,85,12,6,0,0,9,40,21,46,67,937,946,159,170,655,691,1751,1807,3558
LGA14350,126,226,440,404,844,174,128,4,0,121,214,299,342,641,104,44,0,0,91,232,195,276,471,4561,4616,962,1001,4028,4460,9551,10077,19628
LGA14400,58,166,318,369,687,182,101,5,3,55,184,242,288,530,90,56,0,0,79,221,169,277,446,4264,4352,512,540,2387,2825,7163,7717,14880
LGA14450,108,334,634,703,1337,341,198,4,0,117,410,462,608,1070,221,113,0,0,142,474,363,587,950,11445,11552,1113,1089,8152,9683,20710,22324,43034
LGA14500,198,703,1454,1613,3067,884,647,15,0,237,862,1136,1509,2645,638,326,5,0,294,1107,937,1433,2370,24253,24867,1353,1323,11988,15926,37594,42116,79710
LGA14550,37,69,133,150,283,57,28,0,3,24,79,81,110,191,32,10,0,0,28,72,60,82,142,1559,1593,386,397,1373,1367,3318,3357,6675
LGA14600,43,45,116,94,210,46,39,0,3,26,36,72,78,150,28,14,0,0,18,57,46,71,117,1167,1169,246,252,893,862,2306,2283,4589
LGA14650,641,1578,2717,3161,5878,1413,956,20,16,617,1612,2050,2584,4634,797,402,10,7,555,1594,1362,2003,3365,36029,36717,5882,6107,25686,30120,67597,72944,140541
LGA14700,60,198,264,363,627,139,94,0,0,61,212,200,306,506,104,53,6,0,66,274,176,327,503,6071,6175,971,921,4024,5165,11066,12261,23327
LGA14750,33,86,132,166,298,47,16,0,0,22,88,69,104,173,16,8,0,0,30,64,46,72,118,1828,1854,335,348,1335,1491,3498,3693,7191
LGA14800,106,293,337,443,780,131,72,3,3,106,244,240,319,559,66,26,3,3,64,242,133,271,404,7951,8105,3128,3151,6639,9492,17718,20748,38466
LGA14850,126,295,466,552,1018,249,160,0,3,102,321,351,484,835,119,52,3,0,96,322,218,374,592,6712,6785,1703,1779,6325,7487,14740,16051,30791
LGA14870,96,166,290,281,571,112,80,3,0,68,154,183,234,417,43,17,3,0,29,161,75,178,253,3421,3454,717,718,2944,3109,7082,7281,14363
LGA14900,322,928,1230,1476,2706,522,259,3,8,240,760,765,1027,1792,213,78,6,3,186,571,405,652,1057,33593,33894,3077,3150,25271,27952,61941,64996,126937
LGA14920,44,59,135,127,262,47,32,4,3,24,61,75,96,171,26,9,0,0,35,55,61,64,125,1368,1373,263,282,1043,1041,2674,2696,5370
LGA14950,12,16,54,34,88,32,18,0,0,16,21,48,39,87,9,3,0,0,12,28,21,31,52,636,620,64,64,394,329,1094,1013,2107
LGA15050,141,402,647,792,1439,295,171,7,7,113,461,415,639,1054,152,87,7,0,110,425,269,512,781,12369,12663,2396,2484,8510,10084,23275,25231,48506
LGA15150,79,225,358,433,791,227,162,10,3,65,268,302,433,735,156,68,0,0,113,352,269,420,689,6995,7130,1873,1867,4933,5962,13801,14959,28760
LGA15200,211,411,655,758,1413,277,141,4,0,146,344,427,485,912,135,50,0,0,102,313,237,363,600,10157,10216,4515,4560,12990,14895,27662,29671,57333
LGA15270,89,161,312,330,642,126,77,0,0,68,162,194,239,433,56,20,0,0,61,148,117,168,285,3953,4023,863,882,2905,2958,7721,7863,15584
LGA15300,44,73,127,114,241,33,26,0,0,23,66,56,92,148,15,4,0,0,22,67,37,71,108,1960,1967,574,598,1823,1776,4357,4341,8698
LGA15350,56,201,248,340,588,166,105,0,0,62,220,228,325,553,124,61,0,0,75,326,199,387,586,5015,5176,877,857,2991,4710,8883,10743,19626
LGA15500,31,67,132,137,269,61,34,4,0,32,59,97,93,190,25,16,0,0,21,43,46,59,105,1391,1418,237,245,834,853,2462,2516,4978
LGA15550,12,7,36,27,63,10,6,3,0,7,12,20,18,38,5,4,0,0,0,5,5,9,14,396,391,85,86,328,256,809,733,1542
LGA15650,47,93,124,162,286,47,30,0,0,33,77,80,107,187,23,6,3,0,19,68,45,74,119,2529,2556,664,682,2138,1986,5331,5224,10555
LGA15700,115,194,358,383,741,154,126,11,5,82,205,247,336,583,132,62,9,5,87,196,228,263,491,3231,3265,682,725,2711,3127,6624,7117,13741
LGA15750,56,104,161,185,346,60,45,0,3,33,87,93,135,228,47,17,0,3,21,67,68,87,155,2315,2336,459,468,1659,1675,4433,4479,8912
LGA15800,33,50,101,94,195,44,26,0,0,26,64,70,90,160,13,13,0,0,20,54,33,67,100,1018,1031,159,162,818,866,1995,2059,4054
LGA15850,34,60,88,91,179,37,23,0,0,15,42,52,65,117,15,8,0,0,9,36,24,44,68,1110,1132,205,202,851,934,2166,2268,4434
LGA15900,431,1206,1571,2125,3696,804,634,13,10,474,1347,1291,1991,3282,532,247,5,0,424,1397,961,1644,2605,23349,23732,5710,5919,24225,27102,53284,56753,110037
LGA15950,123,393,463,614,1077,180,122,9,3,128,374,317,499,816,141,61,3,3,119,465,263,529,792,9581,9711,3697,3534,9081,12346,22359,25591,47950
LGA16100,20,31,65,59,124,28,14,0,0,19,29,47,43,90,9,4,3,0,12,31,24,35,59,946,959,183,188,657,582,1786,1729,3515
LGA16150,106,278,423,523,946,174,112,8,0,66,290,248,402,650,96,54,3,3,84,288,183,345,528,6133,6280,1305,1350,4885,6037,12323,13667,25990
LGA16180,40,43,118,90,208,45,25,0,0,21,43,66,68,134,14,3,0,0,17,41,31,44,75,2874,2882,570,560,1499,1537,4943,4979,9922
LGA16200,72,122,208,236,444,105,63,0,3,61,122,166,188,354,57,31,0,0,30,124,87,155,242,2452,2497,476,490,1876,2119,4804,5106,9910
LGA16250,388,923,1491,1701,3192,748,433,10,6,294,1004,1052,1443,2495,375,189,5,5,327,1146,707,1340,2047,31650,31796,2990,3044,25770,27212,60410,62052,122462
LGA16350,333,867,1212,1438,2650,476,275,7,5,274,767,757,1047,1804,250,124,5,6,215,746,470,876,1346,31737,32098,5670,5853,25473,28691,62880,66642,129522
LGA16370,115,361,606,753,1359,358,230,10,8,140,402,508,640,1148,227,102,4,4,163,497,394,603,997,11547,11754,1677,1726,6662,7875,19886,21355,41241
LGA16380,312,742,1470,1662,3132,789,504,23,11,267,795,1079,1310,2389,404,196,9,3,306,857,719,1056,1775,14078,14334,2402,2455,8838,11541,25318,28330,53648
LGA16400,213,506,941,1048,1989,450,291,17,0,173,469,640,760,1400,229,110,3,3,161,475,393,588,981,12073,12317,2218,2263,8147,9463,22438,24043,46481
LGA16470,76,186,262,306,568,127,69,0,0,55,179,182,248,430,37,14,0,0,53,207,90,221,311,6464,6604,1513,1513,5605,5800,13582,13917,27499
LGA16550,313,862,1199,1481,2680,658,411,0,3,314,962,972,1376,2348,399,155,4,3,326,997,729,1155,1884,19222,19445,4949,5006,20594,24669,44765,49120,93885
LGA16610,105,207,363,402,765,174,92,6,3,77,202,257,297,554,67,35,3,0,75,230,145,265,410,3763,3821,820,843,3098,3473,7681,8137,15818
LGA16650,268,717,1189,1378,2567,633,329,3,3,260,686,896,1018,1914,349,167,4,3,263,906,616,1076,1692,18470,18608,2258,2185,15184,16833,35912,37626,73538
LGA16700,269,744,1143,1383,2526,635,398,3,0,258,885,896,1283,2179,353,171,0,0,275,913,628,1084,1712,19873,20072,2314,2326,15264,18690,37451,41088,78539
LGA16900,160,456,712,841,1553,349,197,9,6,157,438,515,641,1156,147,77,3,3,96,326,246,406,652,12014,12203,1903,1976,8516,9926,22433,24105,46538
LGA16950,448,885,1763,1887,3650,874,597,25,10,362,855,1261,1462,2723,448,185,10,3,327,801,785,989,1774,17107,17403,2989,3116,12022,14049,32118,34568,66686
LGA17000,48,86,184,188,372,76,55,0,4,31,112,107,171,278,37,17,0,0,24,81,61,98,159,4138,4232,871,897,3002,2694,8011,7823,15834
LGA17050,18,31,68,65,133,30,17,0,3,16,19,46,39,85,6,3,0,0,12,25,18,28,46,1118,1128,281,292,881,746,2280,2166,4446
LGA17100,85,227,331,394,725,174,86,0,0,58,204,232,290,522,82,42,3,5,77,253,162,300,462,6725,6784,535,538,5873,6034,13133,13356,26489
LGA17150,487,1363,2290,2806,5096,1398,936,22,9,482,1695,1902,2640,4542,740,357,7,5,508,1700,1255,2062,3317,42820,43475,5658,5765,27765,32869,76243,82109,158352
LGA17200,500,653,955,976,1931,306,155,9,3,314,571,629,729,1358,160,50,3,0,192,553,355,603,958,15616,15719,13879,10044,36885,34852,66380,60615,126995
LGA17310,172,424,743,809,1552,343,198,5,0,133,461,481,659,1140,161,69,3,3,117,466,281,538,819,9789,10037,1858,1954,7021,8791,18668,20782,39450
LGA17350,34,62,109,118,227,46,24,0,0,21,81,67,105,172,19,9,0,0,18,76,37,85,122,1121,1141,146,149,766,821,2033,2111,4144
LGA17400,30,59,117,102,219,36,27,0,0,15,65,51,92,143,17,7,0,0,18,50,35,57,92,1197,1207,211,225,912,973,2320,2405,4725
LGA17420,238,700,1399,1465,2864,665,342,0,6,210,700,875,1048,1923,314,139,6,3,190,701,510,843,1353,38253,38946,2639,2704,20279,23157,61171,64807,125978
LGA17450,21,27,54,57,111,10,11,0,0,12,23,22,34,56,15,3,0,0,13,27,28,30,58,628,636,123,130,429,362,1180,1128,2308
LGA17500,38,76,160,146,306,67,42,3,3,46,90,116,135,251,39,16,3,3,20,90,62,109,171,1945,1969,467,477,1477,1426,3889,3872,7761
LGA17550,424,932,1609,1924,3533,919,560,28,17,358,870,1305,1447,2752,471,240,11,5,362,930,844,1175,2019,14926,15265,2997,3156,11815,14538,29738,32959,62697
LGA17620,32,103,166,198,364,80,50,3,0,42,95,125,145,270,43,17,3,0,29,103,75,120,195,2480,2516,564,574,1773,1791,4817,4881,9698
LGA17640,39,71,133,134,267,49,28,4,3,29,45,82,76,158,18,8,3,0,24,50,45,58,103,1497,1502,186,204,935,911,2618,2617,5235
LGA17650,16,39,74,82,156,24,25,0,0,17,33,41,58,99,15,6,0,0,8,25,23,31,54,1183,1195,177,189,719,778,2079,2162,4241
LGA17700,9,8,23,24,47,10,0,0,0,0,13,10,13,23,3,0,0,0,8,6,11,6,17,229,225,38,38,165,115,432,378,810
LGA17750,133,387,563,723,1286,271,174,4,3,137,396,412,573,985,168,82,0,0,115,395,283,477,760,9907,10109,2049,2165,7715,9336,19671,21610,41281
LGA17800,17,36,68,63,131,29,31,3,0,22,40,54,71,125,20,8,0,0,19,20,39,28,67,805,813,124,131,502,417,1431,1361,2792
LGA17850,7,33,42,51,93,19,9,0,0,15,29,34,38,72,7,7,0,0,7,26,14,33,47,640,640,88,92,368,372,1096,1104,2200
LGA17900,44,31,81,45,126,23,15,0,0,41,30,64,45,109,7,3,3,3,14,16,24,22,46,789,783,317,309,1252,874,2358,1966,4324
LGA17950,8,29,33,48,81,13,6,0,0,8,19,21,25,46,3,0,0,0,8,16,11,16,27,502,500,102,99,402,339,1006,938,1944
LGA18000,329,964,1528,1878,3406,866,583,11,5,323,1139,1200,1727,2927,541,267,9,3,443,1406,993,1676,2669,27476,27880,4472,4597,18100,21076,50048,53553,103601
LGA18020,63,88,165,186,351,82,46,0,0,34,80,116,126,242,40,20,3,0,21,85,64,105,169,1705,1718,313,325,1241,1284,3259,3327,6586
LGA18050,152,394,499,649,1148,272,177,14,3,120,402,406,582,988,194,86,4,5,159,576,357,667,1024,8752,8871,3513,3360,9609,11414,21874,23645,45519
LGA18100,26,31,70,68,138,38,20,3,0,23,39,64,59,123,19,12,0,0,9,37,28,49,77,741,746,111,111,511,474,1363,1331,2694
LGA18150,42,80,124,141,265,57,32,0,0,35,59,92,91,183,18,4,0,0,25,55,43,59,102,1287,1328,292,304,1132,1227,2711,2859,5570
LGA18200,23,33,77,86,163,39,20,0,0,28,24,67,44,111,10,10,0,0,16,38,26,48,74,1233,1262,237,247,875,798,2345,2307,4652
LGA18250,129,356,627,725,1352,386,215,6,0,129,430,521,645,1166,225,109,0,0,159,583,384,692,1076,13153,13382,1791,1715,8623,11337,23567,26434,50001
LGA18350,144,405,754,807,1561,365,208,7,0,116,367,488,575,1063,188,99,3,0,116,393,307,492,799,8635,8792,1322,1340,5099,6685,15056,16817,31873
LGA18400,79,195,353,381,734,144,80,5,0,63,182,212,262,474,78,43,3,0,48,187,129,230,359,8534,8665,1323,1371,5290,5658,15147,15694,30841
LGA18450,609,1541,2590,3050,5640,1301,840,13,16,541,1564,1855,2420,4275,698,315,14,9,498,1511,1210,1835,3045,34677,35157,5612,5786,29502,32151,69791,73094,142885
LGA18500,115,369,510,623,1133,298,181,11,8,124,437,433,626,1059,250,114,13,0,171,654,434,768,1202,8054,8180,2436,2102,6594,9849,17084,20131,37215
LGA18550,586,1393,2181,2626,4807,1079,702,22,19,569,1336,1670,2057,3727,584,280,6,7,482,1357,1072,1644,2716,25441,25808,5136,5330,21013,26031,51590,57169,108759
LGA18710,29,63,142,137,279,76,37,5,0,31,72,112,109,221,25,20,0,0,29,61,54,81,135,2993,3049,547,594,1583,1674,5123,5317,10440
LGA18750,57,114,161,191,352,64,40,0,0,45,123,109,163,272,35,17,0,0,32,121,67,138,205,2118,2154,408,412,1530,1811,4056,4377,8433
LGA19399,9,5,12,8,20,3,5,0,0,0,4,3,9,12,3,0,0,0,3,3,6,3,9,195,200,34,37,137,86,366,323,689
LGA20110,32,96,195,208,403,87,52,0,0,36,113,123,165,288,53,18,0,0,33,98,86,116,202,2292,2335,425,425,1500,1591,4217,4351,8568
LGA20260,47,106,171,198,369,82,55,3,0,44,113,129,168,297,37,24,3,0,29,86,69,110,179,2032,2054,370,377,1473,1599,3875,4030,7905
LGA20570,251,714,986,1274,2260,505,328,3,5,214,782,722,1115,1837,282,150,0,0,207,770,489,920,1409,15261,15492,3234,3337,12977,16650,31472,35479,66951
LGA20660,284,859,1315,1665,2980,744,483,9,3,269,947,1022,1433,2455,435,206,0,0,298,995,733,1201,1934,22565,22826,3326,3366,16887,20580,42778,46772,89550
LGA20740,139,268,527,553,1080,250,167,5,3,131,293,386,463,849,115,56,0,0,107,275,222,331,553,5325,5346,1099,1123,3877,4394,10301,10863,21164
LGA20830,135,305,549,601,1150,261,147,3,3,96,307,360,457,817,107,45,0,0,96,313,203,358,561,8124,8255,1449,1509,5425,6364,14998,16128,31126
LGA20910,227,640,985,1263,2248,664,435,14,5,219,830,897,1270,2167,442,253,12,3,337,1207,791,1463,2254,18019,18444,2325,2377,10889,14471,31233,35292,66525
LGA21010,41,119,205,242,447,118,80,3,4,52,145,173,229,402,70,33,0,0,51,142,121,175,296,2558,2628,455,452,1819,2160,4832,5240,10072
LGA21110,305,1009,1550,1905,3455,907,606,19,9,333,1287,1259,1902,3161,671,336,6,0,389,1594,1066,1930,2996,29734,30517,4082,3972,22376,28160,56192,62649,118841
LGA21180,332,1028,1649,1878,3527,710,434,9,3,252,914,971,1351,2322,336,141,0,0,269,816,605,957,1562,33925,34149,3439,3436,30713,31508,68077,69093,137170
LGA21270,33,71,115,129,244,67,51,0,0,34,71,101,122,223,38,13,0,0,35,85,73,98,171,1286,1297,178,177,910,864,2374,2338,4712
LGA21370,145,310,535,602,1137,251,165,0,4,107,311,358,480,838,129,63,4,0,105,304,238,367,605,6789,6897,1157,1197,4650,5227,12596,13321,25917
LGA21450,124,265,590,584,1174,258,164,5,5,117,301,380,470,850,129,54,0,3,105,264,234,321,555,13525,13668,3060,3163,8946,9995,25531,26826,52357
LGA21610,322,1043,1616,1943,3559,753,448,17,8,340,922,1110,1378,2488,350,173,5,4,263,797,618,974,1592,48375,48721,7042,7207,33840,36592,89257,92520,181777
LGA21670,81,122,261,241,502,117,71,3,0,58,142,178,213,391,50,25,0,0,51,146,101,171,272,2250,2265,408,410,1931,2144,4589,4819,9408
LGA21750,74,179,257,325,582,135,82,0,0,68,203,203,285,488,72,29,0,0,52,198,124,227,351,3544,3580,812,810,2761,3041,7117,7431,14548
LGA21830,72,147,265,283,548,103,63,0,0,69,133,172,196,368,52,28,0,0,47,129,99,157,256,3167,3192,468,474,2156,2162,5791,5828,11619
LGA21890,413,1145,1716,2087,3803,874,493,4,3,432,1204,1310,1700,3010,485,220,5,3,397,1115,887,1338,2225,21977,22130,4963,5376,22609,26106,49549,53612,103161
LGA22110,189,384,764,776,1540,334,208,7,3,151,385,492,596,1088,181,87,3,0,151,354,335,441,776,7875,7994,1586,1662,5394,6047,14855,15703,30558
LGA22170,328,848,1185,1540,2725,596,362,16,6,292,831,904,1199,2103,316,169,7,3,263,776,586,948,1534,20757,20982,5112,5191,19073,22155,44942,48328,93270
LGA22250,54,102,193,212,405,102,60,3,3,48,118,153,181,334,51,21,0,0,42,122,93,143,236,2046,2055,298,310,1347,1468,3691,3833,7524
LGA22310,319,953,1269,1760,3029,855,565,18,4,373,1141,1246,1710,2956,597,278,12,7,447,1542,1056,1827,2883,24439,24626,3721,3667,19176,22993,47336,51286,98622
LGA22410,81,135,256,268,524,102,64,3,5,78,159,183,228,411,61,27,0,0,49,134,110,161,271,3566,3623,699,720,2676,2724,6941,7067,14008
LGA22490,38,71,141,139,280,52,22,0,0,32,61,84,83,167,21,5,0,0,20,49,41,54,95,3872,3933,617,641,2149,1975,6638,6549,13187
LGA22620,294,682,1178,1334,2512,548,402,11,3,286,788,845,1193,2038,323,146,0,3,234,756,557,905,1462,17162,17496,3475,3594,13781,16950,34418,38040,72458
LGA22670,397,1012,1520,1786,3306,705,389,15,5,312,978,1032,1372,2404,381,164,6,5,251,846,638,1015,1653,25288,25375,2164,2179,24198,23806,51650,51360,103010
LGA22750,629,1618,2530,3173,5703,1496,905,12,3,579,1777,2087,2685,4772,768,414,9,8,540,1835,1317,2257,3574,37803,38261,6766,6966,28914,35821,73483,81048,154531
LGA22830,182,419,649,770,1419,330,206,4,7,138,389,472,602,1074,177,94,3,3,121,396,301,493,794,10594,10709,1887,1935,8023,9067,20504,21711,42215
LGA22910,64,114,191,209,400,88,44,0,0,54,136,142,180,322,39,18,0,0,30,107,69,125,194,2427,2437,664,684,1913,2275,5004,5396,10400
LGA22980,33,53,117,105,222,55,32,0,0,32,82,87,114,201,31,22,0,0,29,74,60,96,156,1155,1172,123,127,815,824,2093,2123,4216
LGA23110,257,682,939,1221,2160,437,256,5,0,236,638,678,894,1572,244,119,5,0,226,596,475,715,1190,15016,15199,2787,2821,13233,14071,31036,32091,63127
LGA23190,70,195,269,330,599,132,90,5,0,76,196,213,286,499,79,38,0,0,42,196,121,234,355,3599,3645,614,631,2499,2987,6712,7263,13975
LGA23270,256,793,1178,1390,2568,502,253,3,4,220,621,725,878,1603,180,70,4,0,135,449,319,519,838,31326,31566,3614,3655,24311,26462,59251,61683,120934
LGA23350,47,91,184,191,375,89,46,0,3,34,92,123,141,264,30,16,0,0,40,107,70,123,193,2916,2992,533,536,1809,1955,5258,5483,10741
LGA23430,390,1149,1709,2174,3883,908,573,10,11,359,1249,1277,1833,3110,545,264,9,4,404,1260,958,1528,2486,27204,27506,4224,4276,20511,24169,51939,55951,107890
LGA23670,286,858,1315,1606,2921,652,394,12,9,264,821,928,1224,2152,341,182,5,0,235,825,581,1007,1588,29991,30284,4060,4162,21151,24221,55202,58667,113869
LGA23810,228,502,842,951,1793,407,242,8,5,200,503,615,750,1365,195,82,0,4,155,471,350,557,907,12040,12405,2652,2790,10128,11846,24820,27041,51861
LGA23940,40,68,131,155,286,72,44,4,0,40,74,116,118,234,38,13,0,0,38,59,76,72,148,1461,1488,217,219,1112,932,2790,2639,5429
LGA24130,95,212,356,396,752,168,87,0,4,62,186,230,277,507,83,39,4,0,64,190,151,229,380,8266,8435,1443,1404,4748,5505,14457,15344,29801
LGA24210,263,859,1823,1876,3699,929,492,9,4,241,805,1179,1301,2480,432,196,5,0,229,780,666,976,1642,24994,25384,1757,1753,14898,18006,41649,45143,86792
LGA24250,33,56,98,105,203,49,24,0,0,24,54,73,78,151,15,11,0,0,17,64,32,75,107,1394,1423,280,293,929,1024,2603,2740,5343
LGA24330,187,441,531,726,1257,316,184,6,0,173,442,495,626,1121,174,78,4,0,162,458,340,536,876,10643,10707,3163,3049,12755,12852,26561,26608,53169
LGA24410,261,718,1108,1364,2472,532,351,10,0,240,790,782,1141,1923,305,157,3,0,224,737,532,894,1426,19400,19596,3233,3267,14500,17688,37133,40551,77684
LGA24600,147,231,369,374,743,140,66,8,0,108,224,256,290,546,71,38,3,3,66,213,140,254,394,8827,8921,5353,4851,20032,21866,34212,35638,69850
LGA24650,127,341,480,585,1065,174,107,4,6,99,291,277,404,681,82,50,0,0,58,232,140,282,422,20209,20398,3387,3433,13608,15058,37204,38889,76093
LGA24780,154,403,620,754,1374,338,201,4,3,143,423,485,627,1112,172,88,0,3,129,404,301,495,796,8712,8937,1658,1754,6874,7990,17244,18681,35925
LGA24850,86,183,300,345,645,136,80,4,0,65,172,205,252,457,61,27,0,0,58,127,119,154,273,6016,6130,1297,1337,4475,4743,11788,12210,23998
LGA24900,104,242,475,527,1002,246,163,0,3,107,233,353,399,752,132,54,4,3,90,240,226,297,523,5360,5417,893,917,3620,3840,9873,10174,20047
LGA24970,427,1273,2424,2709,5133,1366,790,13,8,431,1334,1810,2132,3942,642,288,3,3,386,1309,1031,1600,2631,34079,34536,3196,3198,27113,29332,64388,67066,131454
LGA25060,276,901,1296,1634,2930,732,405,10,3,304,883,1046,1291,2337,407,205,4,0,273,908,684,1113,1797,19833,20017,3125,3100,16155,19601,39113,42718,81831
LGA25150,71,180,252,322,574,120,58,0,0,47,137,167,195,362,59,29,3,0,54,163,116,192,308,5317,5381,1016,1031,3709,4025,10042,10437,20479
LGA25250,471,1311,1913,2467,4380,1122,665,8,9,434,1323,1564,1997,3561,601,234,5,3,435,1261,1041,1498,2539,24067,24296,5388,5603,24824,28255,54279,58154,112433
LGA25340,517,1212,2303,2573,4876,1258,827,31,18,511,1238,1800,2083,3883,712,342,5,3,478,1367,1195,1712,2907,27045,27412,4782,4943,17502,22098,49329,54453,103782
LGA25430,61,167,256,301,557,141,90,5,0,63,148,209,238,447,66,34,4,3,60,178,130,215,345,2945,3000,740,762,2455,2914,6140,6676,12816
LGA25490,50,117,188,211,399,90,60,3,0,39,105,132,165,297,46,28,3,0,32,116,81,144,225,3139,3149,531,558,1924,1952,5594,5659,11253
LGA25620,50,81,167,179,346,86,50,0,0,46,79,132,129,261,41,16,0,0,30,83,71,99,170,2462,2517,524,539,1704,1614,4690,4670,9360
LGA25710,70,169,342,376,718,171,88,4,3,54,183,229,274,503,81,45,0,0,60,211,141,256,397,12604,12818,1586,1673,7618,8428,21808,22919,44727
LGA25810,35,106,172,186,358,80,65,0,0,42,130,122,195,317,51,24,0,0,40,118,91,142,233,2199,2249,394,401,1674,1745,4267,4395,8662
