region_id,C11_CF_1P1NW_Tot,C11_CF_1A1NW_N,C11_CF_1A1NW_1_199,C11_CF_1A1NW_200_399,C11_CF_1A1NW_400_599,C11_CF_1A1NW_600_799,C11_CF_1A1NW_800_999,C11_CF_1A1NW_1000_1499,C11_CF_1A1NW_1500_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000m,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_N,C11_CF_BA_1_199,C11_CF_BA_200_399,C11_CF_BA_400_599,C11_CF_BA_600_799,C11_CF_BA_800_999,C11_CF_BA_1000_1499,C11_CF_BA_1500_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_more,C11_CF_BA_Ns,C11_CF_BA_Tot,C11_CF_BNW_N,C11_CF_BNW_1_199,C11_CF_BNW_200_399,C11_CF_BNW_400_599,C11_CF_BNW_600_799,C11_CF_BNW_800_999,C11_CF_BNW_1000_1499,C11_CF_BNW_1500_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_N,C11_CF_LFns_1_199,C11_CF_LFns_200_399,C11_CF_LFns_400_599,C11_CF_LFns_600_799,C11_CF_LFns_800_999,C11_CF_LFns_1000_1499,C11_CF_LFns_1500_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_more,C11_CF_LFns_Ns,C11_CF_LFns_T,C11_C_f_c_T_Fi_N,C11_C_f_c_T_Fi_1_199,C11_C_f_c_T_Fi_200_399,C11_C_f_c_T_Fi_400_599,C11_C_f_c_T_Fi_600_799,C11_C_f_c_T_Fi_800_999,C11_CF_c_T_Fi_1000_1499,C11_CF_c_T_Fi_1500_1999,C11_CF_c_T_Fi_2000_2499,C11_CF_c_T_Fi_2500_2999,C11_CF_c_T_Fi_3000_more,C11_C_f_with_c_TFI_Ns,C11_C_f_with_c_T_T,C11_1PF_F_N,C11_1PF_F_1_199,C11_1PF_F_200_399,C11_1PF_F_400_599,C11_1PF_F_600_799,C11_1PF_F_800_999,C11_1PF_F_1000_1499,C11_1PF_F_1500_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_N,C11_1PF_P_1_199,C11_1PF_P_200_399,C11_1PF_P_400_599,C11_1PF_P_600_799,C11_1PF_P_800_999,C11_1PF_P_1000_1499,C11_1PF_P_1500_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_N,C11_1PF_A_1_199,C11_1PF_A_200_399,C11_1PF_A_400_599,C11_1PF_A_600_799,C11_1PF_A_800_999,C11_1PF_A_1000_1499,C11_1PF_A_1500_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_N,C11_1PF_U_1_199,C11_1PF_U_200_399,C11_1PF_U_400_599,C11_1PF_U_600_799,C11_1PF_U_800_999,C11_1PF_U_1000_1499,C11_1PF_U_1500_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_more,C11_1PF_U_Ns,C11_1PF_U_To,C11_1PF_N_lf_Fi_N,C11_1PF_N_lf_Fi_1_199,C11_1PF_N_lf_Fi_200_399,C11_1PF_N_lf_Fi_400_599,C11_1PF_N_lf_Fi_600_799,C11_1PF_N_lf_Fi_800_999,C11_1PF_N_lf_Fi_1000_1499,C11_1PF_N_lf_Fi_1500_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_the_lf_Tot,C11_1PF_LFns_N,C11_1PF_LFns_1_199,C11_1PF_LFns_200_399,C11_1PF_LFns_400_599,C11_1PF_LFns_600_799,C11_1PF_LFns_800_999,C11_1PF_lf_ns_Fi_1000_1499,C11_1PF_lf_ns_Fi_1500_1999,C11_1PF_lf_ns_Fi_2000_2499,C11_1PF_lf_ns_Fi_2500_2999,C11_1PF_LFns_3000mo,C11_1PF_LFns_Ns,C11_1PF_LF_NS_T,C11_1PF_TFI_N,C11_1PF_TFI_1_199,C11_1PF_TFI_200_399,C11_1PF_TFI_400_599,C11_1PF_TFI_600_799,C11_1PF_TFI_800_999,C11_1PF_T_Fi_1000_1499,C11_1PF_T_Fi_1500_1999,C11_1PF_T_Fi_2000_2499,C11_1PF_T_Fi_2500_2999,C11_1PF_TFI_3000_mr,C11_One_par_f_TFI_Ns,C11_One_parent_f_T_T,C11_TFI_N,C11_TFI_1_199,C11_TFI_200_399,C11_TFI_400_599,C11_TFI_600_799,C11_TFI_800_999,C11_TFI_1000_1499,C11_TFI_1500_1999,C11_TFI_2000_2499,C11_TFI_2500_2999,C11_TFI_3000_more,C11_TFI_Ns,C11_T_T
LGA10050,196,0,0,3,0,7,5,14,14,7,6,4,17,77,0,0,0,3,0,3,11,8,10,4,4,7,50,7,10,4,40,54,36,58,28,9,11,13,36,306,0,0,0,3,3,3,0,3,0,0,3,300,315,17,22,23,88,192,250,910,922,799,472,624,676,4995,0,4,4,14,74,81,164,98,29,35,7,64,574,3,6,41,146,128,74,64,24,4,7,3,44,544,0,0,7,12,7,9,11,4,8,0,0,9,67,3,10,36,45,13,5,4,4,0,0,0,6,126,18,16,177,193,147,91,93,26,8,7,4,72,852,3,0,5,3,0,0,3,0,0,0,0,33,47,27,36,270,413,369,260,339,156,49,49,14,228,2210,77,136,344,1161,1080,1046,2091,1745,1393,745,967,1357,12142
LGA10110,93,0,0,0,0,4,4,8,7,3,3,0,3,32,0,0,0,0,0,0,4,0,0,0,7,3,14,3,7,7,22,33,17,54,18,5,3,3,19,191,0,0,0,0,0,3,3,3,0,0,0,165,174,3,10,22,51,114,139,430,376,290,204,299,352,2290,3,4,6,16,45,33,69,52,16,22,4,26,296,3,0,22,41,56,31,46,10,3,0,0,18,230,0,0,4,4,5,3,5,3,0,0,0,4,28,3,3,9,18,9,3,5,0,0,0,0,5,55,6,12,75,114,74,33,40,13,8,4,0,42,421,0,0,0,0,0,3,0,0,3,0,0,15,21,15,19,116,193,189,106,165,78,30,26,4,110,1051,36,69,169,519,568,518,978,737,560,355,480,675,5664
LGA10150,230,0,0,3,7,8,5,19,7,4,9,4,7,73,0,0,0,0,0,0,0,4,8,4,23,15,54,10,7,25,33,54,29,84,64,37,19,26,40,428,0,0,0,3,0,0,0,0,3,3,3,254,266,22,13,50,99,203,209,584,552,532,563,1193,595,4615,0,0,3,18,37,55,119,105,26,72,17,63,515,0,7,23,34,59,29,61,27,9,4,5,23,281,0,0,4,6,0,3,3,6,3,7,5,6,43,7,6,19,19,4,7,11,6,0,0,0,13,92,17,22,74,74,77,53,107,33,41,15,11,57,581,0,0,0,0,0,0,3,0,0,0,0,14,17,24,35,123,151,177,147,304,177,79,98,38,176,1529,159,161,244,657,709,679,1439,1119,1103,953,1817,1051,10091
LGA10200,953,3,5,9,33,44,28,57,18,6,9,9,53,274,0,3,0,0,3,7,14,16,9,9,17,17,95,98,85,132,302,290,191,317,206,104,47,72,200,2044,0,3,3,11,13,4,12,4,8,0,3,502,563,137,151,274,666,921,825,1742,1157,881,663,995,1215,9627,3,3,7,36,67,81,167,101,52,60,22,65,664,3,10,50,85,73,37,68,30,8,7,4,28,403,0,0,10,11,12,3,15,8,4,6,0,9,78,12,9,35,28,21,12,13,9,0,0,8,6,153,78,60,212,215,213,125,192,88,50,27,24,142,1426,3,0,0,4,8,0,4,0,0,0,0,63,82,99,82,314,379,394,258,459,236,114,100,58,313,2806,461,388,741,1838,1874,1564,2956,1889,1481,1029,1571,1973,17765
LGA10250,223,3,0,0,3,3,5,18,7,4,0,0,14,57,0,0,0,0,3,0,6,8,8,3,3,10,41,8,0,6,42,67,38,93,32,12,9,8,43,358,0,0,0,3,3,3,3,0,3,3,0,238,256,20,3,23,90,210,274,844,678,486,302,424,625,3979,0,5,8,32,54,64,128,85,15,20,10,63,484,4,7,49,119,122,79,71,13,11,5,3,55,538,0,0,5,9,4,3,9,3,0,0,0,11,44,0,4,25,31,18,7,3,0,3,0,0,12,103,9,14,105,162,138,95,105,21,5,0,3,80,737,0,0,4,0,0,3,0,0,0,0,0,21,28,13,30,196,353,336,251,316,122,34,25,16,242,1934,90,101,265,1190,1236,1239,1991,1316,903,509,730,1258,10828
LGA10300,7,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,3,3,7,0,0,0,0,3,19,3,0,0,0,4,0,0,0,0,0,0,13,20,3,3,6,10,21,18,59,42,33,9,16,41,261,0,0,0,5,4,5,3,3,0,0,0,4,24,0,0,3,3,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,6,0,0,3,6,5,4,0,0,0,3,0,4,25,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,14,15,9,6,3,0,3,0,14,73,10,9,21,58,66,60,117,74,44,16,28,80,583
LGA10350,2093,6,9,21,41,72,65,121,70,28,36,15,103,587,0,3,6,0,10,13,36,32,36,22,42,53,253,111,131,221,534,699,372,845,476,263,126,162,536,4476,3,5,15,11,22,21,30,19,11,4,9,1076,1226,174,248,460,1167,1822,1824,4371,3531,2826,2065,3109,3119,24716,13,11,22,84,189,197,508,342,190,128,97,227,2008,4,22,143,240,229,171,255,108,57,32,21,124,1406,3,6,10,24,20,17,39,18,12,9,3,43,204,13,34,115,100,44,20,33,16,9,3,3,41,431,152,133,674,788,791,423,734,289,150,82,74,521,4811,9,5,0,8,3,9,15,0,4,0,0,157,210,194,211,964,1244,1276,837,1584,773,422,254,198,1113,9070,649,837,1717,4971,4627,3936,7561,5450,4271,2849,4075,5255,46198
LGA10470,152,0,0,0,5,3,10,11,13,0,3,3,6,54,0,0,0,0,0,0,7,9,8,6,14,4,48,3,4,12,35,46,20,49,16,9,3,9,30,236,0,0,0,0,0,5,6,0,0,0,0,258,269,12,9,25,72,151,217,685,693,631,444,614,576,4129,0,5,8,21,53,55,130,89,28,18,10,48,465,0,4,25,108,66,56,45,24,6,0,0,31,365,0,0,9,13,6,8,9,5,0,0,0,13,63,5,0,18,19,7,3,9,0,0,3,0,11,75,10,15,124,153,126,47,63,19,12,4,0,63,636,0,0,0,0,4,0,0,3,0,0,0,17,24,15,24,184,314,262,169,256,140,46,25,10,183,1628,59,80,248,905,812,781,1521,1316,1115,708,930,1076,9551
LGA10550,199,0,0,3,3,5,6,6,3,3,3,0,11,43,0,0,0,3,3,0,3,5,5,3,3,9,34,0,3,11,37,61,39,74,20,11,0,3,35,294,0,0,3,3,0,0,0,0,0,0,0,216,222,10,22,31,108,206,259,696,493,367,168,199,490,3049,0,0,6,33,55,34,74,24,21,13,3,37,300,5,10,44,106,93,35,37,7,0,0,0,49,386,0,3,0,9,4,5,3,4,0,0,0,8,36,0,0,22,21,5,5,3,0,0,3,0,6,65,5,20,109,128,81,59,41,12,4,0,0,61,520,0,0,0,5,3,0,0,0,0,0,0,23,31,10,33,181,302,241,138,158,47,25,16,3,184,1338,59,156,285,1187,1080,1089,1656,1013,655,312,344,1071,8907
LGA10600,117,0,0,0,0,3,5,3,0,0,3,3,12,29,0,0,0,3,4,0,0,0,0,0,0,0,7,0,4,5,19,33,13,23,6,6,3,3,10,125,0,0,0,0,0,0,0,0,0,0,0,103,103,6,7,9,54,116,136,260,162,131,59,61,219,1220,0,3,3,10,19,14,36,12,4,3,3,12,119,0,0,28,49,39,25,23,10,0,0,0,19,193,0,0,0,7,3,3,3,3,0,0,0,3,22,0,3,19,21,9,0,0,0,0,0,0,6,58,9,14,60,58,59,25,32,3,0,3,0,31,294,0,0,0,0,0,0,3,0,0,0,0,7,10,9,20,110,145,129,67,97,28,4,6,3,78,696,28,58,146,522,473,430,608,340,216,101,127,451,3500
LGA10650,25,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,8,0,0,3,8,9,9,7,8,0,0,0,3,47,0,0,0,0,0,0,3,0,0,0,0,67,70,3,12,10,25,50,65,169,98,82,44,48,134,740,0,0,0,8,9,8,11,8,3,0,3,7,57,0,3,13,22,11,8,3,0,0,0,0,11,71,0,0,0,7,4,0,3,0,0,0,0,3,17,3,3,3,5,4,0,3,0,0,0,0,0,21,3,3,24,24,16,8,13,0,0,0,0,9,100,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,40,66,44,24,33,8,3,0,3,36,272,30,48,69,349,236,246,370,228,140,68,83,291,2158
LGA10750,2089,10,8,16,58,63,81,187,108,54,50,27,128,790,7,0,4,3,11,14,47,52,71,56,92,80,437,128,146,221,421,650,409,891,517,260,123,156,501,4423,3,5,12,18,34,22,34,20,20,5,13,1872,2058,259,307,446,1042,1904,2330,7147,7217,6393,4727,6374,4941,43087,12,13,25,158,387,514,1123,732,385,288,188,424,4249,8,33,223,479,461,334,402,167,84,36,20,237,2484,5,13,25,53,69,38,94,38,20,13,12,69,449,29,46,242,240,135,57,76,30,10,3,9,101,978,171,192,1222,1478,1128,552,930,372,166,90,68,717,7086,9,8,19,13,17,9,24,4,5,0,3,304,415,234,305,1756,2421,2197,1504,2649,1343,670,430,300,1852,15661,964,1048,2553,6531,5971,5590,12822,11091,9557,6445,8307,8338,79217
LGA10800,18,3,0,0,0,3,0,5,3,0,0,0,4,18,0,0,0,0,0,0,5,0,0,0,0,3,8,0,0,3,3,15,6,9,0,0,4,0,7,47,0,0,0,0,0,0,3,0,0,0,0,30,33,9,9,9,21,43,53,139,97,68,53,41,108,650,0,0,3,4,11,11,14,3,0,4,0,7,57,0,3,3,7,3,6,3,3,0,0,0,0,28,0,0,0,3,3,0,0,0,0,0,0,0,6,0,5,4,4,0,0,0,0,0,0,0,0,13,0,0,7,20,16,7,8,4,0,3,3,11,79,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8,17,38,33,24,25,10,0,7,3,22,187,27,33,38,194,156,188,269,168,114,85,85,209,1566
LGA10850,25,0,0,0,0,0,0,5,7,0,4,0,3,19,0,0,0,0,0,0,0,3,0,0,4,0,7,0,0,0,4,13,4,15,8,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,40,40,3,0,6,8,28,40,141,163,95,81,131,105,801,0,0,3,0,9,11,16,7,4,3,3,20,76,0,0,14,12,14,7,4,4,0,3,0,7,65,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,9,3,6,10,25,19,11,22,3,0,3,3,14,119,0,3,0,3,0,0,0,0,0,0,0,3,9,3,9,27,52,42,29,42,17,4,9,6,44,284,15,20,46,180,158,159,296,262,158,118,200,216,1828
LGA10900,423,0,0,0,3,0,12,30,26,5,18,3,11,108,3,0,0,0,0,0,9,14,22,14,19,20,101,5,5,17,40,88,65,133,68,41,20,27,65,574,0,0,0,3,0,3,4,4,0,5,4,438,461,21,25,38,105,256,375,1281,1458,1336,1241,1834,1251,9221,3,5,8,21,45,92,227,205,74,89,28,151,948,3,8,63,157,176,123,155,46,20,11,5,88,855,3,3,3,16,15,12,19,16,4,3,3,9,106,0,0,35,46,14,9,8,5,0,0,3,8,128,19,19,142,230,210,119,148,67,34,5,6,114,1113,0,0,3,5,3,0,0,0,0,0,0,20,31,28,35,254,475,463,355,557,339,132,108,45,390,3181,96,174,377,1387,1514,1582,3141,2722,2328,1898,2757,2236,20212
LGA10950,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,5,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,19,19,0,6,0,12,21,17,60,56,29,28,23,64,316,0,0,0,3,3,3,11,8,3,0,0,3,34,0,0,3,3,4,3,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,13,0,3,11,9,10,4,6,3,3,0,0,5,54,0,0,0,0,0,0,0,0,0,0,0,9,9,0,3,19,18,17,10,17,11,6,0,0,27,128,6,16,29,77,66,58,111,99,50,38,42,129,721
LGA11000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,0,0,3,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,13,13,3,3,0,9,17,22,55,49,28,14,7,32,239,0,0,0,0,4,0,5,3,3,0,0,4,19,0,0,3,4,4,3,3,0,0,0,0,3,20,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,6,0,3,4,14,12,4,3,0,0,0,0,7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,18,20,13,11,3,3,0,0,17,95,6,21,13,75,84,75,109,83,54,26,14,95,655
LGA11050,13,0,0,0,0,3,0,3,3,0,0,0,3,12,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,4,5,5,5,3,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,12,12,0,4,5,5,17,16,54,42,27,16,16,42,244,0,0,0,0,3,0,3,3,0,0,0,5,14,0,0,5,7,7,3,3,0,0,0,0,0,25,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,10,3,6,0,0,0,0,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,22,23,6,12,3,0,0,0,9,89,12,15,16,82,81,53,112,76,42,28,28,81,626
LGA11100,256,0,0,6,6,5,6,18,4,3,8,4,10,70,0,0,0,3,3,3,0,12,7,12,19,8,67,17,8,15,47,68,57,129,71,40,15,30,61,558,0,5,3,3,7,3,3,3,0,0,3,219,249,35,25,46,135,256,273,794,736,614,561,934,593,5002,0,3,4,21,50,70,130,92,56,55,29,55,565,0,7,26,75,59,36,58,23,12,7,7,33,343,0,0,0,9,9,3,9,5,0,0,4,5,44,0,5,11,11,11,3,9,3,0,0,0,4,57,19,22,92,116,117,74,140,64,30,8,13,86,781,0,0,0,0,3,0,7,3,0,0,0,22,35,19,37,133,232,249,186,353,190,98,70,53,205,1825,117,138,229,909,789,742,1571,1253,1052,811,1384,1083,10078
LGA11150,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,3,0,4,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,28,31,0,3,9,10,14,12,37,34,33,18,23,67,260,0,3,0,0,3,6,10,0,3,0,0,4,29,0,0,0,3,3,3,3,3,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,3,9,3,3,12,7,6,3,9,0,0,0,0,12,55,0,0,0,0,0,0,0,0,0,0,0,11,11,3,6,12,13,15,12,22,3,3,0,0,36,125,6,12,21,51,45,52,102,65,57,31,43,141,626
LGA11200,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,7,6,0,0,0,0,3,32,0,0,0,0,0,0,3,0,0,0,0,15,18,3,3,9,14,17,11,22,22,9,0,7,35,152,0,0,0,0,4,0,4,0,0,0,0,0,8,0,0,3,4,3,4,3,3,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,3,0,3,0,0,0,0,0,0,5,14,0,4,19,12,14,7,6,0,0,0,0,7,69,0,0,4,0,0,0,0,0,0,0,0,3,7,3,4,29,16,24,11,13,3,5,0,0,15,123,9,13,41,43,56,29,52,39,26,5,15,68,396
LGA11250,101,3,0,0,0,0,6,7,6,3,3,0,3,31,0,0,0,3,0,0,3,3,4,0,3,3,19,3,4,0,30,43,19,32,19,3,3,3,24,183,0,0,0,0,0,0,0,0,0,0,0,137,137,12,10,3,45,93,100,296,251,200,142,207,277,1636,0,0,0,20,32,31,62,30,10,3,5,29,222,0,8,20,51,44,25,18,8,3,0,0,14,191,0,0,12,8,7,4,0,0,0,3,0,0,34,0,9,33,21,13,3,3,0,0,0,0,3,85,9,8,98,110,98,46,36,10,0,3,0,63,481,0,0,3,3,0,0,4,0,0,0,0,23,33,9,25,166,213,194,109,123,48,13,9,5,132,1046,37,70,189,742,580,451,672,493,371,216,309,653,4783
LGA11300,273,0,0,0,5,6,9,17,9,5,0,8,13,72,0,0,0,0,0,0,3,3,4,3,6,6,25,21,12,17,32,54,33,82,66,26,21,56,58,478,0,0,0,3,0,0,5,0,0,0,0,217,225,36,28,53,115,184,228,551,484,398,420,861,514,3872,3,0,7,19,31,33,90,52,22,34,20,35,346,0,6,22,28,31,32,37,13,11,8,5,24,217,3,4,0,3,0,0,6,6,4,0,0,10,36,7,3,16,8,5,6,5,0,0,3,0,7,60,61,22,52,69,75,53,90,40,20,10,14,59,565,0,0,0,0,3,0,0,3,0,0,0,19,25,74,35,97,127,145,124,228,114,57,55,39,154,1249,228,135,222,671,575,594,1113,892,691,611,1150,888,7770
LGA11350,299,0,3,0,7,3,5,12,5,3,3,3,10,54,0,0,0,3,3,7,0,5,4,9,3,9,43,15,4,16,27,48,24,62,23,3,4,3,35,264,4,4,0,0,0,0,3,3,0,0,0,213,227,22,17,36,106,191,270,594,400,279,177,245,517,2854,0,0,7,25,39,27,75,38,7,20,0,35,273,6,4,61,164,131,65,67,19,4,7,0,58,586,0,0,3,8,4,7,10,3,0,3,0,5,43,3,5,35,41,10,7,3,4,0,0,0,11,119,10,19,104,163,123,76,52,11,5,0,3,84,650,0,0,0,0,0,0,0,0,0,0,0,14,14,19,28,210,401,307,182,207,75,16,30,3,207,1685,78,92,304,885,842,814,1329,756,494,311,438,995,7338
LGA11400,51,0,0,0,0,3,3,10,6,3,0,0,3,28,0,0,0,0,0,3,3,0,3,0,0,6,15,0,8,6,12,10,11,17,6,3,3,0,5,81,0,0,0,0,0,0,0,0,0,0,0,96,96,6,8,19,30,66,102,280,236,208,134,204,252,1545,3,0,0,6,13,19,30,16,5,6,0,14,112,0,0,16,16,11,11,13,3,5,0,0,11,86,0,0,0,3,3,0,3,0,0,4,0,6,19,3,0,9,7,0,0,0,0,0,0,0,3,22,3,10,35,44,27,13,25,6,5,0,0,11,179,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,60,76,54,43,71,25,15,10,0,45,418,40,43,105,363,294,321,616,419,355,206,314,462,3538
LGA11450,249,0,0,5,6,4,14,21,20,7,9,4,20,110,0,0,0,0,0,3,6,20,11,8,31,17,96,12,10,10,28,47,28,68,58,25,11,21,45,363,3,0,0,0,4,0,10,3,4,0,3,318,345,33,21,33,83,170,281,1059,1455,1448,1148,1787,976,8494,3,3,0,16,70,91,233,162,91,65,44,84,862,3,3,33,76,91,66,87,42,15,3,5,50,474,0,3,4,9,7,10,11,10,7,5,3,8,77,3,3,27,25,22,3,6,4,0,0,0,5,98,7,19,90,118,97,57,96,53,18,10,6,69,640,0,4,0,0,4,0,0,0,0,0,0,22,30,16,35,154,244,291,227,433,271,131,83,58,238,2181,99,133,229,858,880,901,2056,2322,2296,1636,2356,1544,15310
LGA11500,983,4,3,3,17,40,42,92,58,29,29,8,66,391,0,3,0,0,3,5,18,35,45,21,32,49,211,34,48,75,228,333,200,412,209,109,57,50,204,1959,3,0,0,10,22,18,25,13,7,7,8,845,958,92,102,160,498,920,1079,3421,3172,2814,1835,2461,2461,19015,17,9,14,88,230,297,648,428,209,130,95,260,2425,4,16,119,307,301,183,222,110,55,20,10,167,1514,3,5,20,40,30,27,41,28,14,3,4,51,266,8,25,138,145,63,30,35,10,5,9,3,46,517,61,96,782,860,573,293,467,148,77,35,18,420,3830,3,3,7,6,5,5,11,0,0,0,0,126,166,96,154,1080,1446,1202,835,1424,724,360,197,130,1070,8718,352,444,1406,3462,3177,2868,6665,5388,4461,2613,3271,4394,38501
LGA11520,430,0,0,6,4,10,3,22,17,6,28,20,23,139,0,0,0,3,0,3,14,15,9,5,37,25,111,21,14,32,28,71,56,154,129,78,39,71,97,790,3,0,0,3,3,0,4,6,3,3,3,532,560,45,33,71,129,253,290,917,1024,941,1443,3179,1220,9545,0,3,9,11,42,63,210,184,84,157,70,102,935,3,3,32,63,73,55,86,67,22,29,14,49,496,3,0,0,3,6,9,9,13,7,8,3,10,71,5,7,17,15,5,3,4,7,0,3,0,4,70,48,29,79,106,115,78,156,82,48,51,44,93,929,3,0,0,0,3,3,3,0,4,0,0,28,44,62,42,137,198,244,211,468,353,165,248,131,286,2545,289,221,314,1107,960,1022,2236,2151,1957,2401,5297,2162,20117
LGA11550,1695,3,8,24,39,47,43,104,50,8,21,18,76,441,3,3,0,0,5,9,30,26,27,14,43,51,211,101,112,174,394,467,276,638,342,194,106,158,384,3346,7,4,6,11,21,21,22,17,12,4,3,944,1072,176,207,413,1004,1554,1523,3391,2469,1838,1355,2190,2427,18547,5,5,17,75,158,187,354,253,106,107,60,153,1480,3,12,136,206,184,122,144,70,30,19,11,91,1028,0,0,10,26,28,12,26,16,8,3,6,33,168,27,23,101,75,35,20,33,14,4,5,0,31,368,114,114,460,524,427,282,501,216,119,68,51,290,3166,4,0,4,10,5,5,7,0,0,0,0,115,150,153,154,728,916,837,628,1065,569,267,202,128,713,6360,689,709,1459,4149,3548,3177,5936,4005,2833,1928,2939,4034,35406
LGA11600,12,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,4,0,3,3,3,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,22,22,3,0,0,13,20,17,52,37,43,13,19,72,289,0,0,0,3,0,3,7,0,0,0,0,3,16,0,0,0,3,5,0,0,0,0,0,0,5,13,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,7,0,0,8,11,6,3,7,3,0,0,0,11,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,17,11,6,17,3,0,0,0,19,88,15,15,18,75,60,61,110,78,67,22,35,117,673
LGA11700,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,3,4,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,12,12,0,4,3,14,17,15,34,17,12,9,12,23,160,3,0,0,0,4,3,8,5,0,0,0,3,26,0,0,3,3,3,0,3,0,0,0,0,3,15,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,13,13,14,6,6,0,3,0,0,3,61,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,16,20,21,12,17,5,3,0,0,12,112,3,16,19,65,61,53,77,36,26,15,27,68,466
LGA11720,324,0,3,3,5,11,7,31,18,3,16,10,20,127,0,0,0,3,3,0,6,10,10,13,13,14,72,7,6,17,59,114,76,125,57,26,8,10,73,578,0,3,0,0,0,0,8,4,4,4,0,285,308,19,24,29,108,254,312,1056,985,696,704,784,784,5755,0,0,9,29,79,79,140,98,36,40,21,74,605,0,3,54,150,115,77,77,25,9,0,6,50,566,0,0,5,9,9,14,12,4,4,3,5,9,74,7,4,58,57,23,16,12,6,0,0,0,8,191,16,23,245,307,267,106,140,37,13,3,8,135,1300,0,0,0,0,3,4,6,0,0,0,0,49,62,23,30,371,552,496,296,387,170,62,46,40,325,2798,87,151,462,1646,1353,1100,2147,1676,1193,1039,1165,1582,13601
