region_id,C11_CF_1P1NW_Tot,C11_CF_1A1NW_N,C11_CF_1A1NW_1_199,C11_CF_1A1NW_200_399,C11_CF_1A1NW_400_599,C11_CF_1A1NW_600_799,C11_CF_1A1NW_800_999,C11_CF_1A1NW_1000_1499,C11_CF_1A1NW_1500_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000m,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_N,C11_CF_BA_1_199,C11_CF_BA_200_399,C11_CF_BA_400_599,C11_CF_BA_600_799,C11_CF_BA_800_999,C11_CF_BA_1000_1499,C11_CF_BA_1500_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_more,C11_CF_BA_Ns,C11_CF_BA_Tot,C11_CF_BNW_N,C11_CF_BNW_1_199,C11_CF_BNW_200_399,C11_CF_BNW_400_599,C11_CF_BNW_600_799,C11_CF_BNW_800_999,C11_CF_BNW_1000_1499,C11_CF_BNW_1500_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_N,C11_CF_LFns_1_199,C11_CF_LFns_200_399,C11_CF_LFns_400_599,C11_CF_LFns_600_799,C11_CF_LFns_800_999,C11_CF_LFns_1000_1499,C11_CF_LFns_1500_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_more,C11_CF_LFns_Ns,C11_CF_LFns_T,C11_C_f_c_T_Fi_N,C11_C_f_c_T_Fi_1_199,C11_C_f_c_T_Fi_200_399,C11_C_f_c_T_Fi_400_599,C11_C_f_c_T_Fi_600_799,C11_C_f_c_T_Fi_800_999,C11_CF_c_T_Fi_1000_1499,C11_CF_c_T_Fi_1500_1999,C11_CF_c_T_Fi_2000_2499,C11_CF_c_T_Fi_2500_2999,C11_CF_c_T_Fi_3000_more,C11_C_f_with_c_TFI_Ns,C11_C_f_with_c_T_T,C11_1PF_F_N,C11_1PF_F_1_199,C11_1PF_F_200_399,C11_1PF_F_400_599,C11_1PF_F_600_799,C11_1PF_F_800_999,C11_1PF_F_1000_1499,C11_1PF_F_1500_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_N,C11_1PF_P_1_199,C11_1PF_P_200_399,C11_1PF_P_400_599,C11_1PF_P_600_799,C11_1PF_P_800_999,C11_1PF_P_1000_1499,C11_1PF_P_1500_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_N,C11_1PF_A_1_199,C11_1PF_A_200_399,C11_1PF_A_400_599,C11_1PF_A_600_799,C11_1PF_A_800_999,C11_1PF_A_1000_1499,C11_1PF_A_1500_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_N,C11_1PF_U_1_199,C11_1PF_U_200_399,C11_1PF_U_400_599,C11_1PF_U_600_799,C11_1PF_U_800_999,C11_1PF_U_1000_1499,C11_1PF_U_1500_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_more,C11_1PF_U_Ns,C11_1PF_U_To,C11_1PF_N_lf_Fi_N,C11_1PF_N_lf_Fi_1_199,C11_1PF_N_lf_Fi_200_399,C11_1PF_N_lf_Fi_400_599,C11_1PF_N_lf_Fi_600_799,C11_1PF_N_lf_Fi_800_999,C11_1PF_N_lf_Fi_1000_1499,C11_1PF_N_lf_Fi_1500_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_the_lf_Tot,C11_1PF_LFns_N,C11_1PF_LFns_1_199,C11_1PF_LFns_200_399,C11_1PF_LFns_400_599,C11_1PF_LFns_600_799,C11_1PF_LFns_800_999,C11_1PF_lf_ns_Fi_1000_1499,C11_1PF_lf_ns_Fi_1500_1999,C11_1PF_lf_ns_Fi_2000_2499,C11_1PF_lf_ns_Fi_2500_2999,C11_1PF_LFns_3000mo,C11_1PF_LFns_Ns,C11_1PF_LF_NS_T,C11_1PF_TFI_N,C11_1PF_TFI_1_199,C11_1PF_TFI_200_399,C11_1PF_TFI_400_599,C11_1PF_TFI_600_799,C11_1PF_TFI_800_999,C11_1PF_T_Fi_1000_1499,C11_1PF_T_Fi_1500_1999,C11_1PF_T_Fi_2000_2499,C11_1PF_T_Fi_2500_2999,C11_1PF_TFI_3000_mr,C11_One_par_f_TFI_Ns,C11_One_parent_f_T_T,C11_TFI_N,C11_TFI_1_199,C11_TFI_200_399,C11_TFI_400_599,C11_TFI_600_799,C11_TFI_800_999,C11_TFI_1000_1499,C11_TFI_1500_1999,C11_TFI_2000_2499,C11_TFI_2500_2999,C11_TFI_3000_more,C11_TFI_Ns,C11_T_T
LGA21450,374,3,0,0,8,16,17,48,24,9,15,4,30,174,0,0,0,0,3,3,13,14,16,8,17,32,106,12,18,21,39,70,50,112,44,28,17,15,48,474,3,0,3,0,4,3,14,4,4,0,0,403,438,36,38,60,137,356,572,2061,2013,1452,1035,1105,1268,10133,3,9,8,28,87,150,250,140,60,44,32,121,932,5,5,57,169,173,94,106,58,14,10,3,86,780,0,3,7,16,7,11,12,6,6,0,0,11,79,3,8,27,41,16,5,15,6,0,0,0,17,138,16,22,163,255,167,79,136,31,13,11,5,100,998,0,0,3,3,3,5,0,0,0,0,0,25,39,27,47,265,512,453,344,519,241,93,65,40,360,2966,155,201,413,1513,1509,1604,3630,3268,2447,1468,1559,2195,19962
LGA21610,1720,6,7,10,28,47,66,160,118,33,42,22,119,658,4,5,0,4,9,14,69,85,74,35,56,95,450,86,86,123,314,453,285,585,343,137,64,75,319,2870,8,3,4,20,20,18,51,20,6,9,11,1632,1802,203,216,278,854,1696,2249,7397,6997,5309,3350,3966,4700,37215,16,8,31,117,353,455,965,534,257,177,103,408,3424,7,42,193,504,538,339,403,130,69,21,19,228,2493,0,6,10,41,45,38,48,31,14,12,10,50,305,21,20,119,143,64,36,46,28,4,4,0,50,535,99,117,625,805,603,380,598,200,83,43,26,448,4027,5,0,7,8,6,3,9,3,0,0,0,164,205,148,193,985,1618,1609,1251,2069,926,427,257,158,1348,10989,687,733,1504,5109,5146,5359,12636,10670,8294,4682,5200,7561,67581
LGA21670,72,0,0,0,0,0,3,7,3,0,0,0,3,16,0,0,0,0,0,0,5,3,5,0,3,0,16,3,0,3,20,48,21,43,12,6,0,3,17,176,0,0,0,0,0,3,0,0,0,0,0,73,76,9,0,12,44,115,110,282,187,101,36,55,193,1144,3,0,5,5,22,18,20,9,0,3,0,6,91,0,3,19,33,32,12,14,5,0,0,0,17,135,0,0,0,5,4,4,3,0,3,0,0,10,29,0,3,10,7,3,0,0,3,0,0,0,3,29,6,5,42,85,61,33,41,0,5,3,0,30,311,0,0,0,3,0,0,3,0,0,0,4,10,20,9,11,76,138,122,67,81,17,8,6,4,76,615,34,49,117,629,511,394,603,313,146,56,83,404,3339
LGA21750,111,0,0,3,3,7,6,11,3,3,3,3,7,49,0,0,3,0,3,0,4,5,5,4,0,6,30,3,3,3,12,19,21,30,14,5,3,3,15,131,0,3,0,0,0,0,3,0,3,0,0,93,102,15,15,21,46,119,177,515,409,259,134,130,307,2147,0,0,0,12,27,22,39,24,8,8,5,22,167,0,3,20,69,43,34,24,5,3,0,0,25,226,0,0,10,3,4,0,8,0,0,0,0,8,33,0,0,7,12,5,4,0,0,0,0,0,0,28,8,4,36,83,64,38,40,12,5,0,0,33,323,0,0,0,0,0,4,0,0,0,0,0,10,14,8,7,73,179,143,102,111,41,16,8,5,98,791,48,65,124,593,552,576,1067,715,456,216,225,614,5251
LGA21830,63,0,0,0,3,4,3,14,5,3,0,4,5,41,0,0,0,0,0,3,8,5,0,0,4,10,30,0,0,4,11,18,15,17,3,3,0,0,13,84,0,0,0,0,3,3,0,0,0,0,0,88,94,13,11,11,50,96,163,440,293,216,114,147,292,1846,4,0,3,11,17,15,38,15,4,8,0,24,139,0,3,14,36,28,20,18,0,3,0,3,16,141,0,0,0,3,3,0,4,3,0,0,0,4,17,0,0,6,4,4,5,0,3,0,0,0,7,29,7,3,37,58,51,35,19,3,3,0,3,27,246,0,0,0,0,0,0,3,0,0,0,0,13,16,11,6,60,112,103,75,82,24,10,8,6,91,588,51,69,95,476,441,500,832,510,359,167,243,568,4311
LGA21890,851,3,3,6,17,24,27,41,41,12,45,13,40,272,0,0,3,0,0,7,18,23,25,16,42,28,162,58,59,74,172,251,165,495,272,140,63,81,272,2102,0,0,10,5,5,3,13,13,4,7,5,700,765,91,114,174,419,720,853,2454,2208,1813,1700,2754,1841,15141,3,3,19,48,107,138,322,226,114,100,49,161,1290,4,20,83,188,193,144,173,86,33,23,6,102,1055,0,5,11,16,11,15,20,24,9,7,3,25,146,14,13,55,46,25,15,16,8,0,3,3,30,228,54,76,366,367,436,284,474,179,89,59,36,269,2689,0,3,3,4,6,3,4,3,0,0,0,100,126,75,120,537,669,778,599,1009,526,245,192,97,687,5534,414,592,906,3259,2623,2535,4968,3970,3510,2639,4301,3571,33288
LGA22110,274,0,0,0,9,11,12,17,13,4,9,3,11,89,0,0,0,0,3,4,6,11,5,4,4,12,49,5,11,12,30,84,47,70,28,5,4,3,50,349,0,0,0,0,0,0,6,0,0,0,0,301,307,14,27,24,112,287,340,901,645,426,228,279,661,3944,0,3,3,21,60,44,94,35,8,5,3,59,335,3,3,50,131,117,56,53,17,0,0,0,52,482,0,7,6,13,3,4,10,3,0,3,0,0,49,6,3,33,21,11,3,3,0,0,0,0,7,87,9,18,163,161,128,59,70,16,7,4,3,84,722,0,0,3,0,3,0,0,0,0,0,0,35,41,18,34,258,347,322,166,230,71,15,12,6,237,1716,111,208,395,1639,1412,1316,2115,1248,774,363,470,1532,11583
LGA22170,684,6,0,0,7,20,33,67,38,18,22,14,53,278,0,0,0,0,3,4,22,27,23,15,32,35,161,26,21,42,101,166,99,233,110,53,21,28,114,1014,0,0,0,5,4,13,13,11,4,0,0,687,737,49,61,83,246,587,810,2806,2800,2077,1498,1744,2056,14817,9,3,16,65,189,258,584,334,172,125,47,249,2051,5,24,123,334,379,211,265,100,44,12,3,167,1667,0,0,12,20,29,26,40,30,6,14,0,55,232,9,15,97,106,34,25,23,8,0,3,0,29,349,36,57,437,569,412,227,331,108,45,18,9,298,2547,6,3,4,5,7,3,8,5,0,0,0,78,119,65,102,689,1099,1050,750,1251,585,267,172,59,876,6965,228,330,886,2891,2845,2778,5984,4966,3880,2303,2518,3884,33493
LGA22250,38,0,0,0,0,3,4,8,0,0,0,0,3,18,0,0,0,0,0,0,3,0,0,0,3,3,9,5,3,3,14,12,15,20,3,3,0,0,10,88,0,0,0,0,0,3,0,0,0,0,0,42,45,10,21,13,36,78,97,274,156,100,47,48,146,1026,0,0,3,3,11,7,18,10,4,3,0,18,77,0,0,9,19,15,11,13,3,3,0,0,8,81,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,3,3,5,5,0,0,0,0,0,0,16,0,6,39,32,36,20,13,0,0,0,0,19,165,0,0,3,3,0,0,0,0,0,0,0,6,12,0,6,57,60,70,43,47,13,7,3,0,51,357,32,68,91,386,349,345,542,282,181,72,75,332,2755
LGA22310,735,3,0,3,13,4,15,34,17,9,35,23,31,187,0,0,0,3,3,3,16,21,27,18,60,47,198,39,23,28,49,92,93,193,136,83,48,71,110,965,4,3,0,0,7,3,13,7,0,5,3,736,781,82,71,85,213,424,557,1708,1961,1812,2625,4958,2101,16597,3,7,21,38,83,112,335,257,102,208,63,177,1406,9,13,61,154,154,145,207,93,30,32,13,116,1027,4,0,4,14,14,12,21,9,5,10,4,32,129,13,12,27,30,14,7,13,3,0,4,0,24,147,70,54,133,161,192,169,299,119,53,29,31,173,1483,3,0,0,3,0,3,3,4,0,0,0,34,50,102,86,246,400,457,448,878,485,190,283,111,556,4242,433,383,488,1879,1856,2118,4202,3729,3405,3832,7092,3616,33033
