region_id,C11_Tot_res_Bo_par_bo_os,C11_Tot_res_Fa_onl_bo_os,C11_Tot_res_Mo_onl_bo_os,C11_Tot_res_Bo_pa_bo_Aus,C11_Tot_resp_Bplace_ns,C11_Tot_resp_Tot_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp
LGA24900,3735,2161,1304,26895,2055,36150,3275,1346,813,20331,1912,27677
LGA24970,104137,13740,9480,67402,8959,203718,96452,8581,5800,49090,8440,168363
LGA25060,48093,11204,7004,61665,6876,134842,43823,7063,4314,44553,6423,106176
LGA25150,5828,3080,2168,24516,1665,37257,4889,1870,1314,18173,1510,27756
LGA25250,77895,16023,9787,67739,11000,182444,71138,10224,6101,48143,10382,145988
LGA25340,37926,18300,12642,107606,10056,186530,32034,11184,7747,80011,9135,140111
LGA25430,2698,1758,1167,16229,1633,23485,2166,1057,706,11757,1525,17211
LGA25490,1583,1054,753,16474,858,20722,1287,650,452,12339,777,15505
LGA25620,2252,1398,997,11407,918,16972,1905,859,592,8474,850,12680
LGA25710,15716,7853,5257,49176,2334,80336,13328,4728,3169,35795,2067,59087
LGA25810,1176,755,544,12058,789,15322,988,477,337,9213,719,11734
LGA25900,41068,11573,7746,51222,9192,120801,35072,7049,4688,35953,8762,91524
LGA25990,872,474,372,6226,538,8482,734,288,237,4712,496,6467
LGA26080,391,325,203,2815,196,3930,331,210,118,2027,188,2874
LGA26170,4596,2662,1894,24384,1546,35082,3934,1623,1186,18185,1375,26303
LGA26260,1676,973,927,17150,832,21558,1399,598,557,12876,737,16167
LGA26350,39240,11143,7996,56112,7559,122050,34009,6856,4842,39817,7157,92681
LGA26430,1280,799,503,8916,630,12128,1083,482,317,6697,563,9142
LGA26490,4707,2978,2207,22723,1557,34172,3851,1782,1344,16809,1416,25202
LGA26610,3611,1271,795,18866,1468,26011,3273,809,498,14339,1370,20289
LGA26670,630,501,409,5774,225,7539,523,309,240,4362,196,5630
LGA26700,3494,2284,1453,26636,1586,35453,2993,1398,888,19732,1405,26416
LGA26730,3313,2261,1503,32179,2392,41648,2811,1386,951,24303,2242,31693
LGA26810,6112,3532,2610,36972,3457,52683,5159,2171,1602,28013,3183,40128
LGA26890,364,247,213,4297,194,5315,300,148,129,3325,183,4085
LGA26980,70670,15978,10834,86533,8164,192179,63953,9622,6514,61968,7622,149679
LGA27070,85196,14051,8116,67833,9744,184940,79153,9532,5318,50814,9175,153992
LGA27170,5266,3358,2466,34177,2005,47272,4489,2028,1465,25508,1796,35286
LGA27260,83326,16419,11687,77707,11404,200543,74399,10287,7190,57583,10632,160091
LGA27350,32351,9253,6431,44233,7414,99682,27766,5528,3829,30195,7026,74344
LGA27450,37841,20881,14255,111960,7734,192671,31871,12506,8555,81993,6931,141856
LGA27630,605,343,317,7036,542,8843,510,218,203,5418,495,6844
LGA29399,1871,1290,961,6902,743,11767,1498,764,562,4830,695,8349
LGA30250,36,13,13,1274,0,1336,38,11,11,1242,3,1305
LGA30300,393,221,198,5228,410,6450,318,139,113,4005,369,4944
LGA30370,1794,1105,802,15438,1031,20170,1541,694,479,11700,966,15380
LGA30410,377,188,185,3698,226,4674,293,120,105,2825,216,3559
LGA30450,45,21,49,521,42,678,36,13,20,387,43,499
LGA30760,149,125,121,2504,158,3057,134,77,67,1908,136,2322
LGA30900,41,35,10,550,43,679,35,18,5,465,40,563
LGA31000,412165,123752,89152,708899,72013,1405981,352155,74428,53579,499870,66876,1046908
LGA31750,106,42,43,691,70,952,74,28,26,521,60,709
LGA31820,15331,8228,5610,84189,6406,119764,12960,5108,3468,62623,5907,90066
LGA31900,2872,1505,898,17548,1206,24029,2552,991,565,12440,1113,17661
LGA31950,206,110,87,1132,261,1796,158,65,55,839,261,1378
LGA32070,49800,18296,15650,124397,18587,226730,41156,11218,9437,90288,17370,169469
LGA32250,379,184,147,2768,386,3864,336,123,100,2189,369,3117
LGA32260,6568,2917,2066,26164,2197,39912,5634,1845,1303,18715,1986,29483
LGA32270,5415,2469,1946,30147,3904,43881,4338,1530,1216,22695,3718,33497
LGA32310,1256,842,704,13230,1013,17045,1009,524,429,9935,945,12842
LGA32330,8,0,0,1218,3,1229,9,0,0,1198,3,1210
LGA32450,644,255,247,4090,793,6029,530,159,151,3083,752,4675
LGA32500,986,417,325,4272,981,6981,824,257,199,3180,963,5423
LGA32600,33,18,15,392,57,515,20,10,9,305,62,406
LGA32750,76,46,37,479,41,679,69,26,24,361,42,522
LGA32770,53,31,12,1274,7,1377,37,17,5,1235,7,1301
LGA33100,255,107,111,1462,98,2033,217,60,68,1101,95,1541
LGA33200,167,150,85,2073,223,2698,130,89,49,1565,199,2032
LGA33220,19131,9144,6575,87161,7116,129127,15895,5624,4086,64570,6509,96684
LGA33360,11004,5189,3978,52825,5804,78800,8966,3182,2442,39701,5448,59739
LGA33430,199720,56687,44470,324265,44301,669443,163610,35054,27453,240418,41649,508184
LGA33610,895,537,441,11094,998,13965,753,334,261,8404,938,10690
LGA33620,7276,4258,3112,43096,3335,61077,6000,2632,1941,32053,3102,45728
LGA33800,2488,1315,773,11145,745,16466,2225,897,511,7848,665,12146
LGA33830,29,0,3,958,54,1044,20,0,4,947,51,1022
LGA33960,47221,18270,13386,130457,12529,221863,38863,11127,8179,95686,11420,165275
LGA33980,4788,2217,1828,26566,7848,43247,3841,1376,1122,19799,7710,33848
LGA34420,33,14,12,1049,3,1111,30,11,8,1006,4,1059
LGA34570,20,16,10,514,20,580,14,11,9,459,18,511
LGA34580,5933,2996,2289,31929,3084,46231,4981,1850,1387,23534,2854,34606
LGA34590,108738,32117,24437,178010,20892,364194,89738,19617,14980,131882,19021,275238
LGA34710,590,364,330,5268,395,6947,474,240,194,3984,364,5256
LGA34770,19741,9736,7325,104440,7946,149188,16290,6028,4531,76645,7188,110682
LGA34800,242,92,89,1462,331,2216,173,52,44,1091,317,1677
LGA34830,20,6,12,385,0,423,10,6,9,285,0,310
LGA34860,1315,690,558,14143,1485,18191,1118,458,351,10604,1428,13959
LGA35010,103164,44654,32561,300283,23838,504500,83777,27295,19852,220593,21649,373166
LGA35250,52,30,9,1202,29,1322,45,22,3,1113,18,1201
LGA35300,4693,1888,1515,17928,3842,29866,3891,1146,908,13435,3732,23112
LGA35600,501,265,200,4830,467,6263,425,169,129,3734,448,4905
LGA35670,17,0,0,1070,0,1087,15,0,0,805,0,820
LGA35760,1262,682,519,10390,889,13742,1083,444,310,7677,817,10331
LGA35780,181,78,68,3065,125,3517,143,52,44,2235,119,2593
LGA35790,48,32,13,2654,8,2755,53,22,14,2260,14,2363
LGA35800,184,122,67,2172,175,2720,149,62,49,1691,164,2115
LGA36070,35,24,9,713,0,781,23,12,6,648,0,689
LGA36150,132,85,67,1200,54,1538,102,45,41,912,54,1154
LGA36250,45099,16985,12247,103039,7298,184668,36743,10326,7468,75438,6466,136441
LGA36300,89,56,48,944,89,1226,76,32,31,733,74,946
LGA36360,14403,8468,6445,106257,10142,145715,11996,5134,3975,79395,9508,110008
LGA36510,8034,3872,2934,32236,2307,49383,6435,2350,1795,23726,2090,36396
LGA36580,3719,2005,1511,19908,1345,28488,3061,1247,910,14750,1184,21152
LGA36630,4299,2588,1859,30609,1985,41340,3523,1611,1162,22761,1807,30864
LGA36660,4930,2778,2037,33370,2083,45198,4126,1728,1224,24478,1865,33421
LGA36710,86915,37055,27062,251860,19954,422846,70633,22673,16711,184623,18153,312793
LGA36810,10027,4479,3206,37496,4129,59337,8377,2779,1972,27271,3806,44205
LGA36910,21745,12238,8961,148981,9799,201724,18148,7475,5426,109204,8954,149207
LGA36950,389,295,149,3112,556,4501,308,189,89,2383,529,3498
LGA36960,318,157,110,3957,110,4652,298,133,106,3382,104,4023
LGA37010,34868,18186,13669,156985,15206,238914,28785,11098,8313,114378,14182,176756
LGA37300,633,336,245,3173,555,4942,522,206,146,2400,533,3807
LGA37310,3304,1905,1627,33428,3232,43496,2695,1217,989,25057,3069,33027
LGA37340,7883,3161,2521,29599,4544,47708,6534,1949,1569,21879,4342,36273
LGA37400,192,110,81,1929,109,2421,167,72,52,1467,100,1858
LGA37550,10,9,0,947,16,982,10,4,3,908,10,935
LGA37570,0,10,0,285,0,295,3,6,0,273,0,282
LGA37600,12,17,0,2458,10,2497,14,8,5,2352,13,2392
LGA39399,983,304,228,2247,1218,4980,825,188,144,1613,1194,3964
LGA40070,11498,2139,1544,12122,4004,31307,10236,1305,937,8448,3920,24846
LGA40120,10375,5352,3705,30209,1744,51385,8587,3119,2215,22130,1554,37605
LGA40220,5529,2418,1833,19759,1150,30689,4734,1458,1111,14775,1028,23106
LGA40250,134,64,48,2280,47,2573,114,38,26,2194,53,2425
LGA40310,4211,2248,1738,19995,887,29079,3526,1347,1026,15119,805,21823
LGA40430,283,155,128,2402,122,3090,230,91,74,1897,114,2406
LGA40520,2080,850,608,9317,797,13652,1853,534,375,7049,725,10536
LGA40700,16406,4913,3580,27526,2189,54614,14453,3016,2141,19941,2017,41568
LGA40910,24693,5043,2884,24250,2132,59002,22619,3262,1822,17926,1976,47605
LGA41010,415,271,177,3732,253,4848,339,173,112,2928,241,3793
LGA41060,45057,11170,6858,61779,6339,131203,40842,7177,4256,45816,5823,103914
LGA41140,1318,646,598,8681,425,11668,1072,379,353,6526,378,8708
LGA41190,125,78,90,1865,40,2198,100,55,48,1464,42,1709
LGA41330,671,162,122,1419,220,2594,608,102,74,1023,212,2019
LGA41560,1835,951,732,12134,665,16317,1559,613,461,9493,600,12726
LGA41750,106,55,51,1227,49,1488,91,34,32,906,38,1101
LGA41830,199,105,86,1886,125,2401,167,68,58,1401,121,1815
LGA41960,118,101,74,1279,139,1711,101,58,39,947,127,1272
LGA42030,5816,2428,1988,15126,1319,26677,4988,1450,1194,11395,1184,20211
LGA42110,592,277,270,4059,255,5453,503,175,155,3073,225,4131
LGA42250,856,547,342,7562,525,9832,718,340,217,5845,480,7600
LGA42600,11335,3847,2538,25325,2465,45510,9694,2346,1563,18582,2324,34509
LGA42750,866,402,319,3864,260,5711,715,244,188,2933,251,4331
LGA43080,116,56,48,1049,85,1354,88,35,37,805,69,1034
LGA43220,60,54,64,1168,77,1423,44,31,36,898,73,1082
