region_id,C11_Tot_res_Bo_par_bo_os,C11_Tot_res_Fa_onl_bo_os,C11_Tot_res_Mo_onl_bo_os,C11_Tot_res_Bo_pa_bo_Aus,C11_Tot_resp_Bplace_ns,C11_Tot_resp_Tot_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp
LGA58050,49931,14700,11146,55546,8261,139584,42456,8931,6770,41185,7616,106958
LGA58190,65,30,30,349,33,507,60,18,19,270,23,390
LGA58260,141,52,64,500,57,814,125,32,43,403,56,659
LGA58330,1303,621,411,2859,392,5586,1082,400,250,2132,371,4235
LGA58400,74,40,28,270,20,432,70,28,14,207,17,336
LGA58470,19,15,17,238,33,322,23,7,8,216,31,285
LGA58510,17587,3797,2935,13584,3465,41368,15333,2284,1713,9813,3353,32496
LGA58540,201,100,84,760,67,1212,155,50,53,574,60,892
LGA58570,16557,4462,2970,14059,2867,40915,14102,2677,1750,9799,2722,31050
LGA58610,434,207,210,1393,101,2345,358,125,125,1086,80,1774
LGA58680,111,48,50,350,19,578,92,31,32,264,23,442
LGA58760,87621,18414,14153,60013,10478,190679,74857,11220,8576,44683,9664,149000
LGA58820,988,437,388,2634,198,4645,851,280,241,1950,176,3498
LGA58890,135,88,71,763,48,1105,106,54,42,600,43,845
LGA59030,78,21,18,234,14,365,67,11,21,172,18,289
LGA59100,82,70,69,640,60,921,84,48,40,469,47,688
LGA59170,107,91,106,799,43,1146,94,51,61,631,42,879
LGA59250,756,154,134,1226,284,2554,593,93,82,942,280,1990
LGA59310,206,147,89,1260,88,1790,174,87,60,976,87,1384
LGA59320,66,40,38,326,24,494,55,26,25,257,18,381
LGA59330,106,48,27,406,64,651,78,35,25,317,58,513
LGA59340,2199,879,716,9308,1436,14538,1825,542,454,7318,1380,11519
LGA59350,202,56,31,458,143,890,155,33,30,334,136,688
LGA59360,669,271,202,1470,351,2963,532,162,128,1048,340,2210
LGA59370,891,437,337,2516,229,4410,724,257,189,1884,213,3267
LGA59399,1015,296,253,1632,573,3769,828,177,147,1179,559,2890
LGA60210,1064,461,347,5449,418,7739,860,277,205,4244,385,5971
LGA60410,1181,895,474,15230,1338,19118,966,559,296,12198,1269,15288
LGA60610,2274,1436,865,18687,1256,24518,1921,866,521,14563,1169,19040
LGA60810,2513,1443,1060,19924,1215,26155,2143,890,645,15654,1122,20454
LGA61010,269,113,68,2106,178,2734,217,82,42,1712,167,2220
LGA61210,910,483,330,7815,489,10027,741,286,201,6133,448,7809
LGA61410,7468,4863,3153,46916,3317,65717,6249,2976,1891,36311,3060,50487
LGA61510,1059,610,367,9391,627,12054,876,362,222,7539,567,9566
LGA61610,2819,1655,1142,23273,1661,30550,2400,1012,713,18297,1499,23921
LGA61810,673,353,326,6642,388,8382,554,228,197,5256,364,6599
LGA62010,110,42,39,731,49,971,94,26,24,557,47,748
LGA62210,1000,608,338,5966,433,8345,846,374,216,4696,376,6508
LGA62410,602,278,245,3923,244,5292,498,167,135,3029,241,4070
LGA62610,6822,3791,2174,40515,2904,56206,6050,2296,1346,31562,2661,43915
LGA62810,14506,6648,4488,37971,3553,67166,12261,3942,2647,27388,3320,49558
LGA63010,3034,1436,1064,13324,760,19618,2476,852,645,10126,660,14759
LGA63210,1042,500,318,5705,285,7850,861,298,192,4441,259,6051
LGA63410,292,159,74,1409,89,2023,260,97,52,1062,78,1549
LGA63610,8478,4083,2980,27268,1589,44398,7050,2393,1740,20310,1403,32896
LGA63810,1202,601,450,9406,500,12159,1009,363,269,7401,460,9502
LGA64010,10156,5842,4002,59062,4267,83329,8725,3545,2416,45553,3901,64140
LGA64210,2795,1330,1140,17660,979,23904,2323,800,684,13821,896,18524
LGA64610,1448,841,579,11798,572,15238,1219,523,367,9396,519,12024
LGA64810,1585,1163,715,12376,803,16642,1314,695,456,9635,727,12827
LGA65010,541,350,215,5899,429,7434,437,222,133,4689,398,5879
LGA65210,417,208,120,1992,173,2910,330,123,68,1527,154,2202
LGA65410,1759,881,704,12965,762,17071,1483,535,455,10248,687,13408
LGA65610,604,387,247,4865,415,6518,490,241,143,3795,380,5049
LGA65810,4251,2129,1491,18985,1116,27972,3611,1289,894,14501,1022,21317
LGA69399,162,56,32,428,77,755,126,35,24,312,74,571
LGA70200,7465,2459,1937,20150,3193,35204,6215,1468,1174,15243,3048,27148
LGA70420,775,301,203,6374,902,8555,634,186,128,5727,896,7571
LGA70540,0,7,0,173,0,180,0,3,0,164,0,167
LGA70620,339,136,74,3638,338,4525,283,86,50,3371,337,4127
LGA70700,264,100,78,1215,263,1920,231,65,51,922,246,1515
LGA71000,27657,8063,6661,48152,10991,101524,23888,4920,4039,34928,10530,78305
LGA71300,299,122,90,9024,213,9748,267,81,60,8491,214,9113
LGA72200,1675,788,743,9073,1260,13539,1400,480,451,7003,1203,10537
LGA72300,4001,2128,1838,15750,2907,26624,3322,1289,1089,11869,2786,20355
LGA72330,418,154,72,5347,894,6885,342,102,48,4964,882,6338
LGA72800,6459,3046,2701,21577,3005,36788,5326,1858,1602,15808,2835,27429
LGA73600,605,282,183,6943,567,8580,511,181,115,6300,548,7655
LGA74050,109,45,15,2473,46,2688,98,37,19,2376,45,2575
LGA74500,385,178,114,6241,258,7176,327,126,74,5792,255,6574
LGA74560,98,44,30,313,31,516,75,25,20,215,31,366
LGA74660,782,274,247,6685,458,8446,682,161,145,6102,443,7533
LGA79399,2494,1020,893,7288,2323,14018,2109,612,528,5406,2285,10940
LGA89399,125946,45863,35808,253828,21487,482932,108855,27203,20988,179944,19909,356899
LGA99399,1109,248,211,1461,948,3977,1004,169,156,1168,941,3438
