region_id,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T
LGA22750,55707,22069,2748,2871,83395
LGA22830,15435,5708,665,991,22799
LGA22910,3810,1794,163,301,6068
LGA22980,1545,741,55,69,2410
LGA23110,22006,7900,1236,1387,32529
LGA23190,5151,2267,213,274,7905
LGA23270,42697,8495,1053,2030,54275
LGA23350,4105,1385,115,230,5835
LGA23430,37881,13914,1645,1881,55321
LGA23670,40746,10023,1287,1058,53114
LGA23810,19067,8103,785,1165,29120
LGA23940,1979,981,77,193,3230
LGA24130,11353,2899,268,544,15064
LGA24210,31076,6775,776,895,39522
LGA24250,2009,897,79,173,3158
LGA24330,17155,7210,2081,2075,28521
LGA24410,27809,9492,1083,852,39236
LGA24600,18135,15187,6653,6785,46760
LGA24650,28519,5692,763,1327,36301
LGA24780,13254,5490,505,1139,20388
LGA24850,9012,2523,281,612,12428
LGA24900,7468,3021,257,571,11317
LGA24970,44283,11797,3295,1920,61295
LGA25060,27979,10614,1965,1870,42428
LGA25150,7647,2214,221,372,10454
LGA25250,36203,15093,4550,2736,58582
LGA25340,38658,14204,1289,2353,56504
LGA25430,4598,2280,219,297,7394
LGA25490,4314,1390,96,250,6050
LGA25620,3510,1401,127,324,5362
LGA25710,16448,2652,262,444,19806
LGA25810,3174,1458,135,222,4989
LGA25900,21072,16597,4401,3940,46010
LGA25990,1770,841,76,97,2784
LGA26080,774,422,20,100,1316
LGA26170,7403,2820,230,432,10885
LGA26260,4330,2034,175,240,6779
LGA26350,22043,13198,3866,3041,42148
LGA26430,2582,1183,87,223,4075
LGA26490,6847,1935,271,576,9629
LGA26610,5201,2081,286,441,8009
LGA26670,1635,656,30,57,2378
LGA26700,7246,3151,239,315,10951
LGA26730,8148,3370,493,572,12583
LGA26810,10885,4422,357,680,16344
LGA26890,1166,569,22,60,1817
LGA26980,39397,13569,2505,1737,57208
LGA27070,41458,7629,1139,1489,51715
LGA27170,9345,3399,478,405,13627
LGA27260,42474,8831,1497,2221,55023
LGA27350,16685,9680,4593,2567,33525
LGA27450,39215,10309,1157,1593,52274
LGA27630,1861,936,55,114,2966
LGA29399,62,53,18,487,620
LGA30250,185,27,9,9,230
