region_id,Ot_ty_Ed_Ins_Pt_st_C01_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,O_t_E_I_F_P_s_s_ns_C01_M,O_t_E_I_F_P_s_s_ns_C01_F,O_t_E_I_F_P_s_s_ns_C01_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,Oth_ty_Edu_Ins_Tot_C01_M,Oth_ty_Edu_Ins_Tot_C01_F,Oth_ty_Edu_Ins_Tot_C01_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Type_Educ_Insti_ns_C01_M,Type_Educ_Insti_ns_C01_F,Type_Educ_Insti_ns_C01_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
LGA13800,301,55,159,214,79,186,265,5,3,8,3,3,6,0,5,5,134,234,368,76,195,271,116,230,346,1637,1591,3228,2342,2216,4558,1996,1861,3857,77,109,186,87,109,196,95,105,200,9875,9990,19865,10295,10119,20414,9808,9895,19703
LGA13850,12,3,0,3,5,3,8,0,0,0,0,0,0,0,0,0,3,12,15,3,0,3,5,3,8,74,66,140,128,110,238,104,81,185,6,6,12,5,5,10,7,9,16,478,433,911,507,494,1001,409,414,823
LGA13950,491,181,253,434,221,316,537,9,9,18,7,12,19,20,9,29,280,397,677,265,383,648,393,506,899,2558,2602,5160,4021,3902,7923,3904,3840,7744,231,268,499,220,360,580,324,469,793,12956,12676,25632,14514,14265,28779,15761,15918,31679
LGA14000,1112,293,532,825,294,516,810,13,14,27,6,10,16,12,12,24,574,799,1373,385,657,1042,417,664,1081,2284,2729,5013,3467,3834,7301,2612,2832,5444,528,748,1276,531,711,1242,633,870,1503,23794,25402,49196,24415,25709,50124,24766,25775,50541
LGA14100,96,16,56,72,19,43,62,0,0,0,0,4,4,0,0,0,40,82,122,23,76,99,26,46,72,288,384,672,492,487,979,307,347,654,55,67,122,50,73,123,43,59,102,2578,1945,4523,2616,2061,4677,2371,1972,4343
LGA14150,454,135,256,391,138,280,418,3,5,8,3,10,13,4,10,14,274,379,653,200,330,530,269,425,694,1720,1877,3597,2721,2690,5411,2104,2192,4296,258,375,633,252,341,593,316,474,790,10541,10608,21149,11770,11833,23603,11924,12190,24114
LGA14200,44,14,22,36,5,25,30,3,0,3,0,0,0,3,3,6,22,38,60,17,30,47,11,34,45,302,324,626,462,518,980,511,554,1065,9,11,20,9,27,36,15,12,27,2128,2262,4390,2186,2417,4603,2243,2382,4625
LGA14250,6,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,6,9,3,3,6,3,0,3,44,24,68,46,46,92,63,56,119,6,3,9,0,3,3,4,5,9,260,238,498,235,212,447,228,184,412
LGA14300,20,0,11,11,3,14,17,0,3,3,3,0,3,3,0,3,8,21,29,3,11,14,6,19,25,661,81,742,913,201,1114,920,169,1089,0,5,5,0,3,3,3,3,6,1343,766,2109,1541,775,2316,1518,757,2275
LGA14350,112,25,68,93,23,69,92,0,3,3,5,5,10,0,3,3,47,97,144,39,86,125,26,93,119,509,530,1039,1487,1214,2701,1470,1065,2535,20,27,47,26,24,50,37,38,75,3730,3963,7693,4459,4227,8686,4240,4058,8298
LGA14400,80,18,52,70,28,59,87,0,0,0,0,3,3,0,3,3,26,59,85,24,67,91,33,75,108,309,293,602,465,535,1000,425,425,850,16,38,54,22,38,60,36,42,78,2947,2828,5775,2845,2925,5770,2783,2842,5625
LGA14450,351,87,178,265,107,203,310,3,9,12,6,7,13,3,3,6,231,272,503,145,228,373,200,284,484,1227,1369,2596,1962,2071,4033,1533,1641,3174,218,237,455,169,281,450,267,386,653,7706,7683,15389,8557,8867,17424,8819,9134,17953
LGA14500,773,180,321,501,163,363,526,7,14,21,10,7,17,4,4,8,378,575,953,244,381,625,237,437,674,1398,1699,3097,1956,2316,4272,2052,2314,4366,501,693,1194,459,616,1075,565,664,1229,17210,18435,35645,17047,18023,35070,18693,19625,38318
LGA14550,32,6,24,30,11,13,24,3,0,3,0,0,0,0,0,0,20,26,46,14,36,50,18,18,36,181,175,356,261,282,543,303,297,600,3,7,10,18,10,28,9,15,24,1407,1414,2821,1340,1424,2764,1215,1337,2552
LGA14600,25,0,5,5,4,5,9,0,0,0,0,0,0,0,0,0,12,22,34,0,11,11,4,5,9,169,160,329,246,248,494,239,208,447,5,3,8,7,10,17,11,10,21,1053,1052,2105,879,963,1842,844,879,1723
LGA14650,795,181,421,602,238,438,676,3,10,13,11,16,27,6,7,13,353,625,978,243,534,777,316,570,886,2897,2993,5890,5223,5653,10876,4438,4654,9092,175,259,434,211,274,485,200,243,443,25362,25778,51140,26350,26955,53305,25571,26582,52153
LGA14700,356,85,133,218,68,139,207,0,0,0,3,0,3,0,3,3,157,273,430,120,171,291,102,159,261,800,881,1681,1046,997,2043,642,732,1374,169,247,416,195,246,441,189,206,395,4998,4991,9989,5151,4856,10007,5079,4996,10075
LGA14750,23,6,27,33,7,17,24,0,0,0,0,0,0,0,0,0,3,23,26,11,27,38,10,23,33,240,237,477,517,417,934,430,490,920,23,22,45,17,22,39,17,24,41,1865,1763,3628,1982,1907,3889,1856,1977,3833
LGA14800,641,145,276,421,118,225,343,3,0,3,4,4,8,3,3,6,296,481,777,179,332,511,148,268,416,1417,1459,2876,2206,2143,4349,1539,1528,3067,340,393,733,222,303,525,246,290,536,6241,7169,13410,6518,7296,13814,6592,7375,13967
LGA14850,204,52,131,183,67,125,192,3,3,6,4,3,7,0,6,6,104,154,258,74,159,233,90,169,259,871,859,1730,1309,1365,2674,1199,1156,2355,123,188,311,116,151,267,100,123,223,6824,7414,14238,6842,7496,14338,6576,7140,13716
LGA14870,90,19,44,63,17,42,59,3,0,3,0,0,0,0,0,0,42,69,111,27,51,78,21,49,70,728,405,1133,1049,712,1761,1066,713,1779,9,15,24,11,24,35,19,36,55,3034,2846,5880,3129,2803,5932,3052,2769,5821
LGA14900,825,219,400,619,232,482,714,14,8,22,25,34,59,20,19,39,545,673,1218,409,601,1010,449,763,1212,4378,4236,8614,8258,8188,16446,7508,7532,15040,272,382,654,202,319,521,313,511,824,24680,24521,49201,28995,29223,58218,30916,31792,62708
LGA14920,20,5,12,17,3,13,16,0,0,0,0,0,0,0,0,0,11,21,32,5,19,24,7,16,23,142,130,272,319,330,649,284,251,535,3,6,9,3,9,12,3,11,14,954,982,1936,1019,1055,2074,1005,1004,2009
LGA14950,13,0,4,4,3,13,16,0,0,0,3,0,3,0,0,0,7,15,22,3,4,7,3,13,16,89,76,165,75,78,153,80,71,151,0,3,3,3,3,6,3,7,10,508,523,1031,426,467,893,381,412,793
LGA15050,202,63,159,222,77,175,252,3,0,3,5,3,8,3,3,6,92,185,277,89,235,324,123,223,346,719,789,1508,1925,2028,3953,1924,1920,3844,35,50,85,49,55,104,56,54,110,7992,8153,16145,9411,9856,19267,10041,10435,20476
LGA15150,398,83,183,266,85,171,256,3,5,8,0,7,7,4,4,8,199,325,524,143,244,387,133,222,355,1440,1359,2799,1779,1820,3599,1391,1326,2717,546,497,1043,466,459,925,351,370,721,5851,5895,11746,6235,6333,12568,6173,6412,12585
LGA15200,746,190,336,526,193,313,506,3,4,7,11,12,23,8,7,15,405,612,1017,273,446,719,342,432,774,2812,2648,5460,3968,3619,7587,3242,2821,6063,415,427,842,334,419,753,326,381,707,10843,11457,22300,11070,11616,22686,11310,11708,23018
LGA15270,85,21,40,61,20,51,71,3,0,3,3,0,3,3,3,6,37,67,104,27,53,80,36,64,100,556,517,1073,808,746,1554,1001,714,1715,24,21,45,25,37,62,23,34,57,3132,3174,6306,3119,3056,6175,3259,3102,6361
LGA15300,46,8,32,40,13,35,48,0,0,0,0,0,0,0,0,0,17,34,51,12,36,48,19,44,63,479,445,924,893,843,1736,722,657,1379,42,15,57,5,11,16,44,23,67,2300,2273,4573,2239,2272,4511,2067,2057,4124
LGA15350,334,56,139,195,56,107,163,0,0,0,0,5,5,3,3,6,132,260,392,74,173,247,84,136,220,571,720,1291,948,1221,2169,989,1037,2026,170,244,414,137,190,327,148,199,347,3557,4207,7764,3769,4435,8204,4221,4557,8778
LGA15500,13,9,22,31,5,16,21,0,0,0,0,3,3,3,0,3,7,12,19,12,25,37,11,16,27,193,199,392,297,251,548,242,228,470,7,6,13,16,13,29,8,9,17,798,804,1602,878,894,1772,853,865,1718
LGA15550,10,5,5,10,3,0,3,0,0,0,0,0,0,0,0,0,7,7,14,5,5,10,3,3,6,63,58,121,117,91,208,87,87,174,8,3,11,3,0,3,5,4,9,376,338,714,392,336,728,349,279,628
LGA15650,51,21,30,51,19,39,58,0,0,0,0,0,0,0,0,0,14,46,60,24,39,63,22,43,65,618,316,934,855,567,1422,993,614,1607,24,16,40,29,18,47,13,23,36,2450,2233,4683,2634,2388,5022,2689,2351,5040
LGA15700,82,17,36,53,22,33,55,0,3,3,4,0,4,3,0,3,28,88,116,30,45,75,33,54,87,387,441,828,638,718,1356,569,634,1203,26,32,58,43,62,105,10,23,33,2469,2569,5038,2446,2592,5038,2398,2591,4989
LGA15750,47,12,32,44,6,32,38,0,0,0,0,0,0,0,0,0,16,44,60,17,40,57,6,36,42,257,250,507,516,447,963,579,486,1065,10,7,17,16,13,29,25,11,36,1926,1945,3871,1978,1903,3881,1867,1889,3756
LGA15800,13,9,5,14,7,12,19,3,0,3,0,0,0,0,0,0,7,9,16,9,5,14,11,15,26,142,158,300,232,196,428,257,275,532,3,5,8,5,12,17,8,5,13,861,977,1838,860,876,1736,833,925,1758
LGA15850,18,6,11,17,7,16,23,0,0,0,0,3,3,0,0,0,8,19,27,6,17,23,10,20,30,133,129,262,224,230,454,190,229,419,8,3,11,8,6,14,7,6,13,958,956,1914,922,976,1898,899,966,1865
LGA15900,737,176,340,516,210,389,599,5,8,13,9,5,14,6,5,11,321,596,917,250,458,708,312,531,843,2813,3091,5904,5257,5272,10529,4828,4625,9453,409,485,894,464,493,957,543,521,1064,20376,21365,41741,22088,22790,44878,23139,23571,46710
LGA15950,926,212,369,581,194,321,515,3,3,6,4,11,15,3,7,10,413,680,1093,276,479,755,265,414,679,1876,2121,3997,3378,3351,6729,2718,2722,5440,779,798,1577,671,632,1303,567,625,1192,7502,8531,16033,8652,9245,17897,8434,9113,17547
LGA16100,16,3,7,10,3,7,10,0,0,0,0,0,0,0,0,0,6,16,22,3,11,14,6,10,16,274,179,453,259,166,425,261,152,413,13,17,30,4,10,14,9,11,20,890,794,1684,945,721,1666,932,671,1603
LGA16150,106,23,58,81,52,82,134,0,3,3,4,4,8,3,0,3,44,86,130,38,87,125,65,105,170,639,631,1270,1314,1324,2638,1556,1357,2913,29,46,75,35,17,52,64,47,111,5338,5524,10862,5445,5699,11144,6029,6167,12196
LGA16180,61,17,39,56,28,40,68,0,0,0,0,0,0,0,0,0,20,48,68,26,47,73,33,52,85,230,213,443,472,381,853,560,501,1061,34,28,62,17,14,31,27,27,54,1713,1891,3604,2046,2039,4085,2458,2512,4970
LGA16200,41,7,36,43,9,20,29,0,0,0,0,0,0,0,3,3,13,35,48,10,42,52,16,32,48,274,246,520,462,449,911,619,610,1229,14,8,22,9,5,14,14,14,28,2079,2083,4162,2141,2115,4256,2200,2300,4500
LGA16250,1038,317,472,789,414,623,1037,14,22,36,9,10,19,20,24,44,630,832,1462,509,691,1200,785,1080,1865,5106,4628,9734,7811,6612,14423,7211,6353,13564,665,682,1347,830,932,1762,1038,1278,2316,23730,22984,46714,26776,24952,51728,28179,27631,55810
LGA16350,873,200,433,633,248,539,787,7,7,14,15,9,24,9,7,16,422,657,1079,291,558,849,346,708,1054,4342,4122,8464,6344,6338,12682,5849,5759,11608,227,300,527,228,308,536,207,285,492,27262,27324,54586,27609,27958,55567,27359,28374,55733
LGA16370,406,71,208,279,96,191,287,0,0,0,3,0,3,0,12,12,164,307,471,93,259,352,127,240,367,1377,1594,2971,2024,1948,3972,1350,1431,2781,197,231,428,197,223,420,182,191,373,7789,8048,15837,8342,8420,16762,8238,8524,16762
LGA16380,346,69,148,217,83,201,284,0,3,3,3,3,6,3,8,11,122,286,408,87,169,256,110,254,364,938,1115,2053,2180,2490,4670,2148,2226,4374,149,188,337,145,173,318,117,128,245,8234,8834,17068,9203,9904,19107,9404,10136,19540
LGA16400,281,44,169,213,63,200,263,0,3,3,0,8,8,5,5,10,127,231,358,69,207,276,97,246,343,1161,1097,2258,2171,2202,4373,2092,2154,4246,110,93,203,111,119,230,84,120,204,8124,8147,16271,8903,9046,17949,9035,9548,18583
LGA16470,184,74,130,204,67,142,209,0,0,0,0,5,5,0,0,0,104,140,244,92,151,243,95,163,258,707,674,1381,1576,1406,2982,1297,1056,2353,96,96,192,68,76,144,73,87,160,4884,4942,9826,5989,5895,11884,5811,5892,11703
LGA16550,997,235,425,660,254,481,735,14,11,25,14,15,29,4,6,10,618,817,1435,398,593,991,455,715,1170,4866,4162,9028,7511,5889,13400,6665,5212,11877,1361,1556,2917,1186,1302,2488,1243,1346,2589,21442,20935,42377,22777,21481,44258,24423,23244,47667
LGA16610,70,20,68,88,22,54,76,0,0,0,0,3,3,0,3,3,30,65,95,26,95,121,31,75,106,421,417,838,696,721,1417,761,756,1517,17,26,43,22,18,40,23,38,61,2852,2989,5841,3090,3313,6403,3038,3315,6353
LGA16650,581,147,268,415,240,316,556,13,10,23,19,11,30,11,9,20,405,489,894,308,394,702,496,555,1051,2899,3156,6055,4682,4531,9213,3935,3703,7638,414,452,866,385,429,814,424,522,946,12802,13086,25888,14892,14528,29420,15245,14835,30080
LGA16700,826,189,311,500,217,344,561,3,6,9,5,7,12,5,12,17,459,617,1076,270,409,679,355,503,858,1892,2121,4013,3813,3742,7555,2947,2876,5823,682,818,1500,764,991,1755,839,1114,1953,14781,15486,30267,16629,17089,33718,17015,17625,34640
LGA16900,192,65,101,166,64,173,237,6,6,12,0,0,0,3,6,9,87,169,256,83,133,216,90,219,309,976,1089,2065,2070,2144,4214,1611,1671,3282,42,65,107,46,52,98,29,46,75,8563,8606,17169,9449,9491,18940,9214,9695,18909
LGA16950,350,86,198,284,99,249,348,4,8,12,3,4,7,4,3,7,144,286,430,123,242,365,147,312,459,1764,1781,3545,3099,3296,6395,3749,3375,7124,110,133,243,107,128,235,108,149,257,11614,12025,23639,12421,12904,25325,12942,13176,26118
LGA17000,102,30,53,83,32,66,98,0,0,0,0,0,0,0,0,0,87,77,164,72,70,142,51,74,125,457,449,906,738,673,1411,753,619,1372,40,54,94,39,28,67,31,39,70,3248,3188,6436,3621,3449,7070,3506,3461,6967
LGA17050,108,31,67,98,22,51,73,0,0,0,3,0,3,0,0,0,52,81,133,39,78,117,39,66,105,1056,787,1843,1722,1232,2954,1731,1089,2820,265,242,507,253,242,495,256,208,464,3902,3138,7040,4402,3588,7990,4360,3404,7764
LGA17100,210,66,110,176,83,135,218,0,3,3,4,8,12,3,3,6,189,201,390,133,196,329,187,236,423,731,768,1499,1663,1552,3215,1530,1422,2952,201,228,429,207,263,470,233,270,503,5166,5080,10246,6445,6205,12650,6478,6157,12635
LGA17150,1305,315,634,949,352,638,990,4,11,15,3,15,18,8,9,17,632,966,1598,400,777,1177,455,784,1239,3237,3564,6801,5963,6185,12148,4654,4937,9591,387,544,931,394,439,833,388,459,847,29755,29906,59661,30674,31049,61723,30182,31015,61197
LGA17200,1666,580,801,1381,762,926,1688,12,12,24,16,15,31,30,26,56,1207,1493,2700,1230,1567,2797,1670,2085,3755,14337,11586,25923,24228,18663,42891,15915,12271,28186,8146,7413,15559,7007,6462,13469,7769,7250,15019,36013,33594,69607,45325,40988,86313,41107,38987,80094
LGA17310,212,45,118,163,66,119,185,0,0,0,3,0,3,3,0,3,120,174,294,74,148,222,104,146,250,908,908,1816,1720,1784,3504,1957,1947,3904,125,130,255,81,84,165,75,46,121,7766,7930,15696,7964,8216,16180,8214,8506,16720
LGA17350,6,0,5,5,6,7,13,0,0,0,0,0,0,0,0,0,6,8,14,0,5,5,10,10,20,99,91,190,179,188,367,139,150,289,0,0,0,5,5,10,3,3,6,844,838,1682,803,823,1626,780,775,1555
LGA17400,20,7,16,23,7,22,29,0,0,0,0,0,0,0,0,0,12,18,30,12,19,31,14,30,44,153,124,277,216,206,422,280,255,535,16,13,29,12,17,29,15,9,24,849,878,1727,852,906,1758,858,961,1819
LGA17420,805,239,437,676,250,526,776,5,8,13,3,10,13,7,14,21,426,627,1053,380,669,1049,403,744,1147,2123,2154,4277,3531,3703,7234,3035,3026,6061,423,561,984,437,627,1064,562,796,1358,23057,22887,45944,26421,26483,52904,27877,27842,55719
LGA17450,14,3,15,18,5,8,13,0,0,0,0,0,0,0,0,0,6,11,17,6,18,24,5,13,18,298,127,425,276,93,369,222,88,310,3,5,8,4,6,10,18,0,18,678,502,1180,589,440,1029,546,417,963
LGA17500,32,10,35,45,5,14,19,0,3,3,0,0,0,0,0,0,12,40,52,13,41,54,12,25,37,230,239,469,377,412,789,349,345,694,41,15,56,9,9,18,12,21,33,1595,1577,3172,1529,1620,3149,1506,1536,3042
LGA17550,279,82,201,283,106,228,334,6,6,12,0,5,5,9,0,9,161,229,390,106,246,352,162,314,476,1329,1532,2861,3253,3420,6673,2906,3236,6142,253,306,559,260,308,568,264,340,604,9259,9684,18943,11352,12042,23394,11551,12928,24479
LGA17620,35,6,34,40,5,39,44,0,0,0,0,0,0,0,3,3,16,25,41,6,34,40,5,42,47,304,252,556,405,412,817,447,452,899,10,19,29,25,20,45,40,33,73,1801,1823,3624,1752,1799,3551,1885,1953,3838
LGA17640,19,3,19,22,0,12,12,0,0,0,0,0,0,0,0,0,10,16,26,3,23,26,5,19,24,110,104,214,280,258,538,214,210,424,9,15,24,12,4,16,7,4,11,890,918,1808,961,1049,2010,909,990,1899
LGA17650,22,5,11,16,3,7,10,0,0,0,0,0,0,0,0,0,7,22,29,5,15,20,6,10,16,130,127,257,139,160,299,134,134,268,6,5,11,10,10,20,5,3,8,878,968,1846,829,921,1750,841,926,1767
LGA17700,3,3,0,3,3,3,6,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,6,23,16,39,33,32,65,43,49,92,0,0,0,3,0,3,0,3,3,178,164,342,178,155,333,160,152,312
LGA17750,231,65,118,183,74,146,220,3,3,6,5,4,9,5,3,8,218,228,446,181,159,340,210,182,392,874,918,1792,1524,1665,3189,1506,1575,3081,96,115,211,80,82,162,83,87,170,9233,9505,18738,9569,10066,19635,9597,10496,20093
LGA17800,19,5,5,10,0,5,5,0,0,0,0,0,0,0,0,0,7,15,22,5,5,10,3,8,11,74,72,146,185,179,364,196,154,350,8,5,13,0,7,7,9,12,21,625,643,1268,646,642,1288,557,548,1105
LGA17850,17,3,8,11,0,8,8,0,0,0,0,0,0,0,0,0,4,13,17,3,8,11,0,11,11,48,46,94,113,110,223,92,79,171,7,5,12,5,8,13,12,13,25,392,392,784,445,460,905,363,405,768
LGA17900,17,0,16,16,5,12,17,0,0,0,3,0,3,0,0,0,9,17,26,7,21,28,5,15,20,430,290,720,471,317,788,453,339,792,15,16,31,17,17,34,28,15,43,1176,1082,2258,1076,941,2017,992,918,1910
LGA17950,4,3,3,6,3,6,9,0,0,0,0,0,0,0,0,0,0,4,4,3,3,6,3,6,9,48,42,90,68,63,131,111,93,204,0,3,3,5,3,8,4,3,7,355,393,748,309,345,654,341,417,758
LGA18000,1037,254,497,751,284,544,828,11,4,15,13,12,25,5,8,13,500,805,1305,381,653,1034,397,684,1081,2773,2833,5606,4470,4352,8822,3305,3474,6779,563,663,1226,548,722,1270,498,656,1154,17976,18238,36214,20282,20227,40509,20708,21097,41805
LGA18020,23,8,22,30,10,20,30,0,0,0,0,0,0,0,0,0,7,25,32,11,25,36,14,26,40,269,282,551,376,346,722,417,358,775,17,30,47,10,11,21,13,20,33,1555,1684,3239,1489,1496,2985,1426,1386,2812
LGA18050,740,161,278,439,176,284,460,4,5,9,0,6,6,0,7,7,407,598,1005,248,393,641,264,434,698,2959,3117,6076,5797,4965,10762,3795,3498,7293,946,982,1928,905,950,1855,684,823,1507,9495,10279,19774,11785,11394,23179,10358,10729,21087
LGA18100,13,3,5,8,0,6,6,0,0,0,0,0,0,0,0,0,4,9,13,3,8,11,0,6,6,39,57,96,100,91,191,110,90,200,0,4,4,4,4,8,4,7,11,467,516,983,460,503,963,438,484,922
LGA18150,17,3,9,12,7,23,30,0,0,0,0,3,3,0,0,0,6,20,26,6,15,21,7,23,30,211,212,423,352,317,669,720,337,1057,3,8,11,10,8,18,3,4,7,1180,1261,2441,1290,1324,2614,1559,1169,2728
LGA18200,30,8,5,13,7,10,17,0,0,0,0,0,0,0,0,0,18,18,36,11,11,22,10,14,24,223,209,432,319,280,599,282,235,517,7,5,12,18,13,31,23,15,38,1004,957,1961,1033,987,2020,1003,930,1933
LGA18250,686,177,312,489,164,280,444,0,5,5,4,4,8,4,8,12,358,555,913,244,443,687,245,401,646,1458,1614,3072,2438,2522,4960,1806,1826,3632,455,580,1035,472,660,1132,569,656,1225,9035,9876,18911,10512,11244,21756,10679,11275,21954
LGA18350,170,62,137,199,54,137,191,4,5,9,0,6,6,0,4,4,71,163,234,77,163,240,86,164,250,883,907,1790,1405,1621,3026,1145,1293,2438,76,128,204,85,115,200,137,129,266,6235,6505,12740,6276,6879,13155,6094,6697,12791
LGA18400,155,39,133,172,51,125,176,0,3,3,0,0,0,0,0,0,61,130,191,52,157,209,86,160,246,710,712,1422,1332,1287,2619,1147,1127,2274,89,81,170,65,83,148,23,49,72,6017,5947,11964,6665,6543,13208,6674,6769,13443
LGA18450,857,236,494,730,256,535,791,8,5,13,10,11,21,8,10,18,436,682,1118,329,609,938,404,689,1093,3730,3838,7568,6816,6807,13623,5763,5723,11486,586,668,1254,550,638,1188,679,674,1353,28315,28274,56589,29864,29859,59723,30970,30876,61846
LGA18500,519,121,216,337,92,185,277,0,5,5,4,3,7,0,6,6,254,397,651,154,275,429,138,239,377,2318,2726,5044,3301,3578,6879,2834,2919,5753,466,595,1061,413,463,876,329,422,751,7657,8844,16501,8176,9238,17414,8203,8935,17138
LGA18550,605,133,410,543,182,418,600,3,5,8,10,13,23,9,13,22,238,509,747,188,495,683,248,533,781,2521,2897,5418,4916,5524,10440,4693,5099,9792,139,179,318,115,160,275,118,155,273,18101,18664,36765,20193,21543,41736,21135,22824,43959
LGA18710,56,17,35,52,17,41,58,0,0,0,0,3,3,0,0,0,24,45,69,22,42,64,22,54,76,154,146,300,365,329,694,430,473,903,24,25,49,15,26,41,21,15,36,1654,1721,3375,1932,2028,3960,2204,2403,4607
LGA18750,36,6,27,33,15,20,35,0,0,0,0,0,0,0,0,0,12,29,41,6,30,36,19,24,43,215,220,435,359,366,725,415,461,876,14,12,26,8,5,13,5,13,18,1555,1582,3137,1667,1791,3458,1711,1829,3540
LGA19399,18,0,5,5,0,5,5,0,0,0,0,0,0,0,0,0,11,14,25,0,5,5,4,8,12,247,86,333,70,51,121,219,205,424,83,73,156,52,64,116,87,106,193,507,332,839,213,238,451,460,469,929
LGA20110,57,22,40,62,21,37,58,0,0,0,0,3,3,0,0,0,31,48,79,26,49,75,27,46,73,241,242,483,432,427,859,335,339,674,50,42,92,58,51,109,27,48,75,1908,1971,3879,1930,1885,3815,1686,1733,3419
LGA20260,36,16,25,41,13,30,43,0,0,0,0,0,0,0,0,0,13,33,46,21,34,55,18,41,59,496,195,691,633,328,961,712,371,1083,9,17,26,8,11,19,6,18,24,1720,1446,3166,1720,1463,3183,1678,1422,3100
LGA20570,409,141,188,329,183,334,517,12,7,19,6,11,17,8,8,16,203,324,527,204,256,460,293,453,746,1491,1677,3168,3017,3330,6347,2830,3075,5905,103,148,251,115,155,270,133,173,306,12299,12944,25243,13507,14344,27851,14102,15375,29477
LGA20660,788,212,428,640,241,523,764,3,6,9,6,10,16,8,14,22,507,620,1127,361,538,899,431,700,1131,2307,2439,4746,3703,3844,7547,2926,3036,5962,220,306,526,220,322,542,241,392,633,16964,17417,34381,17351,17704,35055,16968,17578,34546
LGA20740,125,39,66,105,50,100,150,0,3,3,0,3,3,3,4,7,52,102,154,59,85,144,76,136,212,908,970,1878,1233,1309,2542,1138,1236,2374,45,59,104,49,81,130,78,104,182,3199,3397,6596,3536,3774,7310,3672,4070,7742
LGA20830,191,45,127,172,60,144,204,5,3,8,3,0,3,4,3,7,90,152,242,74,158,232,102,188,290,618,659,1277,1154,1327,2481,1145,1162,2307,42,63,105,46,47,93,34,57,91,5143,5420,10563,5434,6096,11530,5625,6240,11865
LGA20910,548,128,259,387,144,305,449,5,11,16,0,10,10,10,3,13,269,430,699,184,320,504,209,363,572,1556,1848,3404,2571,3224,5795,2277,2667,4944,249,344,593,260,346,606,256,342,598,12273,12977,25250,13296,14206,27502,13939,14520,28459
LGA21010,48,14,47,61,13,38,51,0,0,0,0,3,3,0,0,0,21,41,62,25,66,91,20,46,66,227,283,510,377,452,829,332,356,688,22,17,39,20,14,34,11,28,39,1915,1937,3852,1835,1955,3790,1682,1746,3428
LGA21110,1200,303,501,804,289,594,883,7,12,19,12,13,25,5,16,21,582,953,1535,446,658,1104,453,783,1236,2866,3545,6411,4329,4836,9165,3614,3835,7449,707,994,1701,692,848,1540,868,1105,1973,25468,26700,52168,26535,27203,53738,27066,27648,54714
LGA21180,1028,336,584,920,509,898,1407,19,12,31,43,46,89,36,36,72,664,847,1511,654,903,1557,1058,1542,2600,4448,4542,8990,7741,7523,15264,8344,7963,16307,232,309,541,213,320,533,367,572,939,25025,24964,49989,27380,27251,54631,29537,29901,59438
LGA21270,20,0,9,9,7,10,17,0,0,0,0,0,0,0,3,3,8,15,23,0,9,9,13,19,32,92,88,180,187,225,412,174,173,347,8,12,20,4,13,17,5,3,8,864,814,1678,855,915,1770,792,774,1566
LGA21370,157,33,122,155,59,128,187,6,3,9,3,5,8,0,4,4,71,133,204,58,157,215,81,159,240,732,745,1477,1105,1152,2257,1169,1223,2392,28,32,60,32,25,57,43,33,76,4792,4844,9636,4951,5045,9996,4926,5133,10059
LGA21450,229,75,214,289,118,360,478,5,11,16,7,3,10,4,9,13,104,213,317,118,265,383,193,460,653,867,846,1713,1871,1916,3787,1989,2055,4044,48,51,99,58,60,118,108,113,221,7115,7167,14282,9118,9258,18376,10909,11784,22693
LGA21610,891,317,735,1052,492,1133,1625,15,11,26,24,26,50,27,28,55,480,736,1216,522,1008,1530,844,1592,2436,3804,3795,7599,8054,7638,15692,7483,7408,14891,237,333,570,305,459,764,499,756,1255,28238,27637,55875,35152,35268,70420,39991,41064,81055
