region_id,Ot_ty_Ed_Ins_Pt_st_C01_P,Ot_ty_Ed_Ins_Pt_st_C06_M,Ot_ty_Ed_Ins_Pt_st_C06_F,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,O_t_E_I_F_P_s_s_ns_C01_M,O_t_E_I_F_P_s_s_ns_C01_F,O_t_E_I_F_P_s_s_ns_C01_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,Oth_ty_Edu_Ins_Tot_C01_M,Oth_ty_Edu_Ins_Tot_C01_F,Oth_ty_Edu_Ins_Tot_C01_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Type_Educ_Insti_ns_C01_M,Type_Educ_Insti_ns_C01_F,Type_Educ_Insti_ns_C01_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,OS_vis_C01_M,OS_vis_C01_F,OS_vis_C01_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,Tot_C01_M,Tot_C01_F,Tot_C01_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P
LGA10650,21,3,13,16,10,6,16,0,0,0,0,0,0,0,3,3,8,19,27,3,18,21,10,12,22,164,162,326,216,214,430,295,308,603,9,8,17,14,11,25,6,4,10,988,1037,2025,1007,1068,2075,1022,1078,2100
LGA10750,1149,372,676,1048,543,905,1448,20,16,36,29,33,62,21,29,50,641,954,1595,644,974,1618,967,1427,2394,7092,6603,13695,11775,10968,22743,10204,9299,19503,496,673,1169,657,923,1580,771,1232,2003,41683,40793,82476,46981,46401,93382,50254,50278,100532
LGA10800,14,0,9,9,4,14,18,0,0,0,0,0,0,0,0,0,6,14,20,0,9,9,4,20,24,138,129,267,214,196,410,150,135,285,5,4,9,9,5,14,7,5,12,861,942,1803,860,944,1804,754,843,1597
LGA10850,22,3,13,16,4,17,21,0,0,0,0,0,0,0,0,0,5,20,25,6,13,19,4,20,24,92,102,194,158,160,318,224,216,440,9,15,24,5,5,10,3,3,6,892,907,1799,937,967,1904,966,1067,2033
LGA10900,517,121,277,398,130,262,392,3,9,12,4,5,9,3,0,3,237,416,653,181,354,535,185,316,501,1184,1262,2446,1985,2201,4186,2209,2243,4452,294,348,642,286,339,625,226,269,495,11778,12086,23864,11486,12017,23503,11626,12199,23825
LGA10950,6,3,5,8,0,9,9,0,0,0,0,0,0,0,0,0,3,3,6,3,5,8,0,9,9,64,39,103,83,84,167,156,132,288,4,0,4,0,4,4,7,9,16,400,387,787,381,376,757,472,431,903
LGA11000,10,3,6,9,0,11,11,0,0,0,0,3,3,0,0,0,3,10,13,3,9,12,0,11,11,34,40,74,89,71,160,67,54,121,4,0,4,0,7,7,7,5,12,300,325,625,315,344,659,299,315,614
LGA11050,4,0,8,8,3,3,6,0,0,0,0,0,0,0,0,0,0,4,4,0,8,8,3,3,6,37,32,69,51,49,100,50,62,112,7,3,10,3,8,11,0,0,0,282,314,596,276,320,596,291,301,592
LGA11100,208,50,85,135,84,128,212,0,0,0,3,3,6,9,0,9,117,201,318,83,128,211,162,196,358,1215,1233,2448,1649,1715,3364,1601,1519,3120,148,177,325,165,176,341,217,275,492,5279,5311,10590,5671,5659,11330,6257,6223,12480
LGA11150,18,0,3,3,0,7,7,0,0,0,0,0,0,3,0,3,14,17,31,0,3,3,3,7,10,147,129,276,199,168,367,260,232,492,4,5,9,17,14,31,13,6,19,597,552,1149,534,498,1032,517,501,1018
