region_id,No_Int_con_HHs_with_Ind_p,No_Internet_connect_Other_hhd,No_Internet_connect_Tot_hhd,Ty_Int_con_Bba_HHs_with_Ind_p,Type_Int_conn_Bband_Other_hhd,Type_Int_conn_Bband_Tot_hhd,Typ_Int_con_Diup_HHs_w_Ind_p,Type_Int_conn_Di_up_Other_hhd,Type_Int_conn_Di_up_Tot_hhd,Type_Int_con_Oth_HHs_w_Ind_p,Type_Int_conn_Other_Other_hhd,Type_Int_conn_Other_Tot_hhd,Type_Int_con_Tot_HHs_w_Ind_p,Type_Int_conn_Tot_Oth_hhd,Type_Int_conn_Tot_Tot_hhd,Internet_con_ns_HHs_w_Ind_p,Internet_connect_ns_Oth_hhd,Internet_connect_ns_Tot_hhd,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
ILOC10700316,11,686,697,81,7245,7326,0,185,185,3,267,270,84,7697,7781,3,258,261,98,8641,8739
ILOC10700317,31,836,867,105,6391,6496,5,172,177,7,228,235,117,6791,6908,5,262,267,153,7889,8042
ILOC10700318,18,653,671,73,2565,2638,3,95,98,10,109,119,86,2769,2855,8,155,163,112,3577,3689
ILOC10700319,74,443,517,108,964,1072,3,32,35,8,58,66,119,1054,1173,15,85,100,208,1582,1790
ILOC10700320,41,422,463,73,945,1018,7,28,35,13,83,96,93,1056,1149,17,103,120,151,1581,1732
ILOC10700401,12,582,594,59,3690,3749,3,112,115,6,102,108,68,3904,3972,0,107,107,80,4593,4673
ILOC10700402,22,1294,1316,140,7006,7146,5,261,266,7,225,232,152,7492,7644,0,240,240,174,9026,9200
ILOC10700403,41,1407,1448,102,4883,4985,4,240,244,15,232,247,121,5355,5476,7,195,202,169,6957,7126
ILOC10700404,18,585,603,99,2956,3055,0,133,133,8,95,103,107,3184,3291,6,104,110,131,3873,4004
ILOC10700405,10,463,473,58,2167,2225,5,87,92,3,82,85,66,2336,2402,0,82,82,76,2881,2957
ILOC10700501,89,3000,3089,186,9429,9615,11,357,368,13,444,457,210,10230,10440,10,581,591,309,13811,14120
ILOC10700601,59,2399,2458,398,13809,14207,14,533,547,27,644,671,439,14986,15425,18,551,569,516,17936,18452
ILOC10700701,91,348,439,89,434,523,4,34,38,10,50,60,103,518,621,11,49,60,205,915,1120
ILOC10700702,31,484,515,103,2584,2687,4,85,89,10,112,122,117,2781,2898,9,129,138,157,3394,3551
ILOC10700703,19,577,596,83,1982,2065,7,82,89,3,103,106,93,2167,2260,4,109,113,116,2853,2969
ILOC10700704,4,110,114,20,461,481,0,35,35,0,14,14,20,510,530,0,20,20,24,640,664
ILOC10700705,81,1855,1936,224,5746,5970,10,256,266,24,377,401,258,6379,6637,15,324,339,354,8558,8912
ILOC10700706,46,628,674,116,2060,2176,11,80,91,14,160,174,141,2300,2441,6,142,148,193,3070,3263
ILOC10700707,29,1032,1061,85,3892,3977,3,151,154,5,189,194,93,4232,4325,12,194,206,134,5458,5592
ILOC10700708,85,1424,1509,157,4405,4562,3,206,209,11,260,271,171,4871,5042,25,320,345,281,6615,6896
ILOC10700709,38,680,718,85,2483,2568,4,118,122,13,102,115,102,2703,2805,6,153,159,146,3536,3682
