region_id,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC10500701,19,1704,14,1737,17,413,5,435,46,2740,26,2812,21,892,12,925,25,709,9,743,0,22,0,22,15,316,232,563,143,6796,298,7237,29,2287,7,2323,10,415,0,425,57,2571,33,2661,17,786,17,820,16,579,4,599,0,9,4,13,9,333,183,525,138,6980,248,7366,48,3991,21,4060,27,828,5,860,103,5311,59,5473,38,1678,29,1745,41,1288,13,1342,0,31,4,35,24,649,415,1088,281,13776,546,14603
ILOC10500801,14,677,3,694,3,154,3,160,20,980,9,1009,13,312,3,328,18,261,3,282,0,10,0,10,10,155,118,283,78,2549,139,2766,23,866,6,895,6,156,0,162,24,1027,6,1057,22,285,3,310,11,250,4,265,3,7,0,10,4,211,97,312,93,2802,116,3011,37,1543,9,1589,9,310,3,322,44,2007,15,2066,35,597,6,638,29,511,7,547,3,17,0,20,14,366,215,595,171,5351,255,5777
ILOC10500901,29,1103,3,1135,10,218,3,231,65,1626,10,1701,29,561,9,599,54,464,11,529,3,17,0,20,47,229,238,514,237,4218,274,4729,44,1331,6,1381,12,282,7,301,73,1623,10,1706,43,477,6,526,31,367,5,403,3,12,0,15,29,250,223,502,235,4342,257,4834,73,2434,9,2516,22,500,10,532,138,3249,20,3407,72,1038,15,1125,85,831,16,932,6,29,0,35,76,479,461,1016,472,8560,531,9563
ILOC10501001,14,701,4,719,3,270,4,277,21,754,12,787,13,281,0,294,9,259,5,273,3,10,0,13,13,151,129,293,76,2426,154,2656,12,866,4,882,8,268,0,276,30,775,5,810,8,289,3,300,8,257,4,269,0,15,0,15,9,180,108,297,75,2650,124,2849,26,1567,8,1601,11,538,4,553,51,1529,17,1597,21,570,3,594,17,516,9,542,3,25,0,28,22,331,237,590,151,5076,278,5505
ILOC10501002,8,732,6,746,9,413,0,422,16,672,9,697,14,343,3,360,22,264,0,286,0,8,3,11,8,143,115,266,77,2575,136,2788,16,882,3,901,9,476,4,489,18,579,5,602,18,248,3,269,9,250,5,264,4,11,0,15,5,148,78,231,79,2594,98,2771,24,1614,9,1647,18,889,4,911,34,1251,14,1299,32,591,6,629,31,514,5,550,4,19,3,26,13,291,193,497,156,5169,234,5559
ILOC10501101,50,843,7,900,14,181,4,199,65,1094,10,1169,40,346,7,393,37,308,5,350,0,13,0,13,15,169,99,283,221,2954,132,3307,39,1104,3,1146,24,193,0,217,92,1101,11,1204,50,308,5,363,27,225,8,260,0,15,0,15,15,175,98,288,247,3121,125,3493,89,1947,10,2046,38,374,4,416,157,2195,21,2373,90,654,12,756,64,533,13,610,0,28,0,28,30,344,197,571,468,6075,257,6800
ILOC10501201,33,2545,26,2604,11,523,12,546,107,2879,37,3023,60,692,10,762,42,866,22,930,3,110,3,116,36,391,514,941,292,8006,624,8922,56,3027,27,3110,27,513,0,540,90,2645,32,2767,80,652,13,745,41,813,26,880,3,126,3,132,25,431,433,889,322,8207,534,9063,89,5572,53,5714,38,1036,12,1086,197,5524,69,5790,140,1344,23,1507,83,1679,48,1810,6,236,6,248,61,822,947,1830,614,16213,1158,17985
ILOC10501202,27,881,5,913,14,221,4,239,50,1400,9,1459,21,383,6,410,21,370,3,394,3,19,0,22,20,185,196,401,156,3459,223,3838,23,1130,10,1163,19,221,3,243,72,1397,14,1483,21,321,4,346,19,285,11,315,0,26,3,29,15,196,210,421,169,3576,255,4000,50,2011,15,2076,33,442,7,482,122,2797,23,2942,42,704,10,756,40,655,14,709,3,45,3,51,35,381,406,822,325,7035,478,7838
ILOC10501301,23,1139,9,1171,6,259,3,268,42,1705,14,1761,15,517,10,542,19,453,11,483,0,15,3,18,198,782,173,1153,303,4870,223,5396,32,1461,12,1505,6,331,3,340,50,1490,27,1567,18,472,8,498,14,332,6,352,0,24,0,24,9,240,139,388,129,4350,195,4674,55,2600,21,2676,12,590,6,608,92,3195,41,3328,33,989,18,1040,33,785,17,835,0,39,3,42,207,1022,312,1541,432,9220,418,10070
ILOC10501401,35,215,5,255,14,51,3,68,55,237,7,299,23,105,3,131,38,85,0,123,9,13,0,22,11,48,31,90,185,754,49,988,44,292,3,339,30,58,0,88,60,252,0,312,30,96,3,129,26,74,3,103,3,9,0,12,23,35,29,87,216,816,38,1070,79,507,8,594,44,109,3,156,115,489,7,611,53,201,6,260,64,159,3,226,12,22,0,34,34,83,60,177,401,1570,87,2058
