region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC10500301,1425,1945,1310,3255,502,368,870,5661,5444,11105,802,728,1530,6965,6540,13505
ILOC10500401,463,503,527,1030,128,156,284,2269,2450,4719,243,258,501,2640,2864,5504
ILOC10500501,67,72,61,133,18,29,47,344,309,653,53,36,89,415,374,789
ILOC10500502,87,70,74,144,39,35,74,86,69,155,42,48,90,167,152,319
ILOC10500503,20,32,29,61,20,15,35,78,93,171,15,12,27,113,120,233
ILOC10500601,601,714,643,1357,113,111,224,1973,2098,4071,358,300,658,2444,2509,4953
ILOC10500701,475,573,540,1113,114,111,225,2216,2468,4684,278,232,510,2608,2811,5419
ILOC10500801,275,300,302,602,61,67,128,781,897,1678,165,124,289,1007,1088,2095
ILOC10500901,549,576,516,1092,200,174,374,1324,1428,2752,302,277,579,1826,1879,3705
ILOC10501001,271,293,298,591,64,42,106,743,891,1634,153,137,290,960,1070,2030
ILOC10501002,219,229,216,445,35,41,76,674,715,1389,147,91,238,856,847,1703
ILOC10501101,207,284,305,589,187,195,382,979,997,1976,118,118,236,1284,1310,2594
ILOC10501201,1137,1107,950,2057,196,187,383,2971,3002,5973,670,552,1222,3837,3741,7578
ILOC10501202,503,439,502,941,138,170,308,1496,1547,3043,251,283,534,1885,2000,3885
ILOC10501301,367,1148,383,1531,280,88,368,1977,1469,3446,249,179,428,2506,1736,4242
ILOC10501401,79,113,104,217,135,154,289,195,214,409,51,34,85,381,402,783
ILOC10501402,87,96,88,184,27,28,55,295,324,619,53,40,93,375,392,767
ILOC10501403,34,44,39,83,37,44,81,88,91,179,24,19,43,149,154,303
ILOC10501501,766,1082,745,1827,237,174,411,2406,2197,4603,434,392,826,3077,2763,5840
ILOC10501502,139,275,156,431,53,22,75,675,580,1255,83,78,161,811,680,1491
ILOC10501601,1079,1063,845,1908,191,213,404,2598,2730,5328,688,469,1157,3477,3412,6889
ILOC10501701,273,248,266,514,130,137,267,528,608,1136,144,143,287,802,888,1690
ILOC10501801,268,250,230,480,90,91,181,980,1121,2101,175,127,302,1245,1339,2584
ILOC10501802,307,298,261,559,101,102,203,709,709,1418,185,135,320,995,946,1941
ILOC10501803,168,184,184,368,61,66,127,951,1097,2048,102,81,183,1114,1244,2358
ILOC10501804,267,246,257,503,129,115,244,387,459,846,132,141,273,648,715,1363
ILOC10501805,192,161,155,316,25,27,52,432,468,900,114,85,199,571,580,1151
ILOC10501806,184,155,112,267,23,21,44,653,675,1328,110,78,188,786,774,1560
ILOC10501807,89,104,113,217,23,30,53,333,342,675,43,54,97,399,426,825
ILOC10501901,332,344,341,685,87,117,204,1220,1218,2438,174,180,354,1481,1515,2996
ILOC10502001,850,1027,851,1878,131,124,255,3243,3457,6700,511,422,933,3885,4003,7888
ILOC10502101,294,354,366,720,126,141,267,1874,2027,3901,167,165,332,2167,2333,4500
ILOC10502102,236,202,221,423,35,45,80,749,892,1641,137,111,248,921,1048,1969
ILOC10502103,235,228,227,455,36,53,89,1641,1785,3426,133,121,254,1810,1959,3769
ILOC10502104,281,290,276,566,74,69,143,2001,2121,4122,180,157,337,2255,2347,4602
ILOC10502105,336,428,518,946,319,311,630,1660,1852,3512,174,203,377,2153,2366,4519
ILOC10502201,448,409,463,872,77,99,176,1381,1513,2894,253,235,488,1711,1847,3558
ILOC10600101,156,138,181,319,51,66,117,420,502,922,68,99,167,539,667,1206
ILOC10600102,782,739,781,1520,114,110,224,2572,2857,5429,436,405,841,3122,3372,6494
ILOC10600103,47,91,102,193,55,56,111,295,306,601,28,25,53,378,387,765
ILOC10600201,812,688,664,1352,136,176,312,1409,1600,3009,462,402,864,2007,2178,4185
ILOC10600202,10,16,14,30,9,16,25,25,20,45,6,4,10,40,40,80
ILOC10600203,488,456,433,889,114,105,219,1423,1481,2904,262,254,516,1799,1840,3639
ILOC10600204,60,76,93,169,61,53,114,228,266,494,35,33,68,324,352,676
ILOC10600205,87,121,118,239,28,39,67,246,259,505,54,38,92,328,336,664
ILOC10600206,3,7,0,7,34,22,56,0,0,0,3,0,3,37,22,59
ILOC10600301,73,104,99,203,47,46,93,304,310,614,51,40,91,402,396,798
ILOC10600302,1296,1076,1125,2201,416,414,830,2801,3029,5830,677,684,1361,3894,4127,8021
ILOC10600303,2450,2695,2226,4921,490,428,918,6730,6997,13727,1389,1214,2603,8609,8639,17248
ILOC10600401,1426,1292,1052,2344,253,233,486,4618,4923,9541,855,632,1487,5726,5788,11514
ILOC10600402,1900,1608,1239,2847,158,132,290,4214,4292,8506,1094,884,1978,5466,5308,10774
ILOC10600501,821,1378,864,2242,226,142,368,3614,3281,6895,484,381,865,4324,3804,8128
ILOC10600502,862,737,755,1492,97,105,202,2882,3094,5976,467,465,932,3446,3664,7110
ILOC10600503,1290,1259,1334,2593,162,215,377,5181,5833,11014,758,624,1382,6101,6672,12773
ILOC10700101,3796,4867,3164,8031,188,106,294,11963,10460,22423,2358,1804,4162,14509,12370,26879
ILOC10700201,3416,3274,3220,6494,138,133,271,25519,25399,50918,2014,1827,3841,27671,27359,55030
ILOC10700301,201,247,260,507,180,144,324,699,737,1436,109,116,225,988,997,1985
ILOC10700302,154,183,198,381,65,61,126,455,468,923,84,84,168,604,613,1217
ILOC10700303,711,660,619,1279,94,96,190,3779,3907,7686,434,368,802,4307,4371,8678
ILOC10700304,1617,1751,1716,3467,173,163,336,7309,7783,15092,971,856,1827,8453,8802,17255
ILOC10700305,122,137,135,272,21,42,63,359,349,708,70,62,132,450,453,903
ILOC10700306,800,1020,932,1952,187,224,411,4334,4390,8724,484,430,914,5005,5044,10049
ILOC10700307,137,139,151,290,31,37,68,312,331,643,76,67,143,419,435,854
ILOC10700308,217,270,245,515,58,53,111,1524,1522,3046,148,121,269,1730,1696,3426
ILOC10700309,475,531,474,1005,69,56,125,2419,2412,4831,291,261,552,2779,2729,5508
ILOC10700310,83,168,180,348,79,58,137,672,640,1312,56,58,114,807,756,1563
ILOC10700311,282,304,296,600,26,34,60,1776,1690,3466,172,148,320,1974,1872,3846
ILOC10700312,403,486,476,962,46,56,102,1611,1719,3330,242,228,470,1899,2003,3902
ILOC10700313,279,284,289,573,94,82,176,554,627,1181,163,146,309,811,855,1666
ILOC10700314,308,324,320,644,66,70,136,1282,1262,2544,166,167,333,1514,1499,3013
ILOC10700315,921,1054,1007,2061,168,147,315,3375,3381,6756,548,494,1042,4091,4022,8113
ILOC10700316,458,1249,484,1733,199,62,261,5246,4581,9827,285,249,534,5730,4892,10622
ILOC10700317,562,585,579,1164,85,84,169,3761,3768,7529,330,293,623,4176,4145,8321
ILOC10700318,328,441,505,946,52,53,105,1810,1913,3723,202,191,393,2064,2157,4221
ILOC10700319,287,335,295,630,164,102,266,802,796,1598,172,154,326,1138,1052,2190
ILOC10700320,211,256,283,539,101,101,202,643,669,1312,104,131,235,848,901,1749
ILOC10700401,190,218,207,425,40,40,80,1832,1973,3805,116,105,221,1988,2118,4106
ILOC10700402,964,729,725,1454,87,85,172,3336,3451,6787,526,481,1007,3949,4017,7966
ILOC10700403,1295,909,902,1811,72,64,136,1928,2144,4072,689,664,1353,2689,2872,5561
ILOC10700404,333,275,271,546,70,58,128,1442,1593,3035,203,163,366,1715,1814,3529
ILOC10700405,123,134,143,277,38,27,65,1005,1104,2109,78,66,144,1121,1197,2318
ILOC10700501,1805,1539,1505,3044,126,119,245,4936,4863,9799,982,935,1917,6044,5917,11961
ILOC10700601,1542,1510,1421,2931,267,251,518,8037,8526,16563,898,788,1686,9202,9565,18767
