region_id,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
ILOC10501601,470,451,921,19,10,29,0,7,7,489,468,957,10725,10710,21435,803,582,1385,12017,11760,23777
ILOC10501701,280,301,581,3,0,3,3,0,3,286,301,587,2340,2394,4734,184,189,373,2810,2884,5694
ILOC10501801,184,192,376,0,6,6,3,0,3,187,198,385,3735,4049,7784,203,164,367,4125,4411,8536
ILOC10501802,226,241,467,11,5,16,0,3,3,237,249,486,2532,2659,5191,221,166,387,2990,3074,6064
ILOC10501803,108,127,235,4,0,4,4,5,9,116,132,248,3346,3612,6958,122,107,229,3584,3851,7435
ILOC10501804,270,259,529,4,6,10,5,7,12,279,272,551,1573,1645,3218,160,166,326,2012,2083,4095
ILOC10501805,61,63,124,3,0,3,3,0,3,67,63,130,1909,2199,4108,130,103,233,2106,2365,4471
ILOC10501806,56,53,109,3,3,6,0,0,0,59,56,115,2217,2147,4364,132,88,220,2408,2291,4699
ILOC10501807,61,66,127,3,0,3,0,3,3,64,69,133,1234,1273,2507,57,57,114,1355,1399,2754
ILOC10501901,195,268,463,3,11,14,9,6,15,207,285,492,5104,4917,10021,216,207,423,5527,5409,10936
ILOC10502001,255,235,490,15,10,25,10,9,19,280,254,534,13247,12996,26243,639,544,1183,14166,13794,27960
ILOC10502101,301,314,615,6,10,16,3,4,7,310,328,638,6576,6960,13536,215,226,441,7101,7514,14615
ILOC10502102,89,93,182,3,4,7,0,3,3,92,100,192,2902,3083,5985,160,126,286,3154,3309,6463
ILOC10502103,88,107,195,0,0,0,0,3,3,88,110,198,5308,5706,11014,159,157,316,5555,5973,11528
ILOC10502104,142,143,285,8,3,11,5,3,8,155,149,304,6045,5764,11809,219,191,410,6419,6104,12523
ILOC10502105,672,706,1378,9,0,9,5,9,14,686,715,1401,5865,6617,12482,238,270,508,6789,7602,14391
ILOC10502201,173,199,372,3,3,6,0,0,0,176,202,378,5432,5719,11151,298,295,593,5906,6216,12122
ILOC10600101,111,120,231,3,0,3,0,4,4,114,124,238,1751,1943,3694,97,125,222,1962,2192,4154
ILOC10600102,208,215,423,3,0,3,5,3,8,216,218,434,11553,11828,23381,535,511,1046,12304,12557,24861
ILOC10600103,115,108,223,4,3,7,0,5,5,119,116,235,1316,1412,2728,41,40,81,1476,1568,3044
ILOC10600201,324,382,706,8,5,13,3,0,3,335,387,722,6716,7234,13950,556,505,1061,7607,8126,15733
ILOC10600202,34,36,70,3,3,6,3,0,3,40,39,79,102,95,197,7,10,17,149,144,293
ILOC10600203,249,228,477,5,4,9,5,5,10,259,237,496,6614,6649,13263,306,318,624,7179,7204,14383
ILOC10600204,134,136,270,5,5,10,0,4,4,139,145,284,1057,1096,2153,50,44,94,1246,1285,2531
ILOC10600205,66,61,127,0,3,3,0,0,0,66,64,130,1244,1267,2511,61,55,116,1371,1386,2757
ILOC10600206,64,47,111,0,0,0,0,0,0,64,47,111,7,3,10,9,3,12,80,53,133
ILOC10600301,130,119,249,0,0,0,0,0,0,130,119,249,1452,1468,2920,66,56,122,1648,1643,3291
ILOC10600302,947,1019,1966,17,27,44,11,9,20,975,1055,2030,11021,11782,22803,794,806,1600,12790,13643,26433
ILOC10600303,985,969,1954,31,23,54,18,11,29,1034,1003,2037,28524,29262,57786,1616,1462,3078,31174,31727,62901
ILOC10600401,536,553,1089,10,12,22,17,10,27,563,575,1138,17489,17633,35122,991,755,1746,19043,18963,38006
ILOC10600402,310,279,589,9,17,26,5,8,13,324,304,628,16045,15680,31725,1235,1007,2242,17604,16991,34595
ILOC10600501,392,335,727,18,18,36,0,3,3,410,356,766,12736,12621,25357,588,490,1078,13734,13467,27201
ILOC10600502,227,221,448,3,5,8,3,3,6,233,229,462,11308,11420,22728,581,554,1135,12122,12203,24325
ILOC10600503,338,394,732,16,13,29,19,19,38,373,426,799,19981,21828,41809,921,869,1790,21275,23123,44398
ILOC10700101,240,181,421,10,4,14,7,6,13,257,191,448,35178,33122,68300,2790,2200,4990,38225,35513,73738
ILOC10700201,282,312,594,10,12,22,10,7,17,302,331,633,81274,83309,164583,2493,2325,4818,84069,85965,170034
ILOC10700301,349,352,701,6,3,9,0,4,4,355,359,714,1946,2262,4208,127,134,261,2428,2755,5183
ILOC10700302,140,146,286,4,5,9,3,3,6,147,154,301,1419,1477,2896,108,111,219,1674,1742,3416
ILOC10700303,212,202,414,8,13,21,7,7,14,227,222,449,13071,13035,26106,538,462,1000,13836,13719,27555
ILOC10700304,367,384,751,12,20,32,12,10,22,391,414,805,26058,26413,52471,1243,1115,2358,27692,27942,55634
ILOC10700305,69,88,157,0,3,3,0,0,0,69,91,160,1208,1227,2435,88,83,171,1365,1401,2766
ILOC10700306,408,465,873,11,15,26,6,12,18,425,492,917,14048,14529,28577,616,545,1161,15089,15566,30655
ILOC10700307,66,67,133,3,11,14,3,0,3,72,78,150,1039,1046,2085,86,73,159,1197,1197,2394
ILOC10700308,101,108,209,11,3,14,0,0,0,112,111,223,4531,4602,9133,188,152,340,4831,4865,9696
ILOC10700309,140,128,268,9,5,14,4,3,7,153,136,289,6995,7244,14239,362,322,684,7510,7702,15212
ILOC10700310,157,143,300,6,0,6,0,0,0,163,143,306,2172,2200,4372,78,84,162,2413,2427,4840
ILOC10700311,52,67,119,8,5,13,0,0,0,60,72,132,6305,6403,12708,217,196,413,6582,6671,13253
ILOC10700312,144,139,283,4,4,8,3,5,8,151,148,299,5766,5921,11687,301,296,597,6218,6365,12583
ILOC10700313,198,176,374,3,4,7,0,3,3,201,183,384,1862,2028,3890,205,176,381,2268,2387,4655
ILOC10700314,142,153,295,3,3,6,4,3,7,149,159,308,4398,4551,8949,216,204,420,4763,4914,9677
ILOC10700315,345,369,714,6,10,16,5,8,13,356,387,743,10404,10539,20943,662,622,1284,11422,11548,22970
ILOC10700316,236,113,349,6,4,10,6,8,14,248,125,373,14861,14391,29252,365,340,705,15474,14856,30330
ILOC10700317,180,181,361,5,0,5,3,6,9,188,187,375,12339,12455,24794,427,382,809,12954,13024,25978
ILOC10700318,121,133,254,3,3,6,3,3,6,127,139,266,5873,6253,12126,252,258,510,6252,6650,12902
ILOC10700319,282,274,556,13,3,16,4,0,4,299,277,576,2437,2579,5016,210,192,402,2946,3048,5994
ILOC10700320,190,228,418,0,0,0,7,0,7,197,228,425,2290,2372,4662,134,173,307,2621,2773,5394
ILOC10700401,73,79,152,3,5,8,3,3,6,79,87,166,6225,6511,12736,147,141,288,6451,6739,13190
ILOC10700402,196,184,380,3,0,3,0,7,7,199,191,390,11736,12418,24154,625,578,1203,12560,13187,25747
ILOC10700403,159,168,327,4,3,7,0,3,3,163,174,337,7673,8522,16195,765,753,1518,8601,9449,18050
ILOC10700404,140,129,269,0,0,0,0,0,0,140,129,269,4781,5262,10043,243,213,456,5164,5604,10768
ILOC10700405,72,71,143,3,3,6,0,0,0,75,74,149,3625,3969,7594,96,103,199,3796,4146,7942
ILOC10700501,282,309,591,8,9,17,3,3,6,293,321,614,18012,18415,36427,1181,1131,2312,19486,19867,39353
ILOC10700601,564,547,1111,7,9,16,6,5,11,577,561,1138,27148,28309,55457,1075,979,2054,28800,29849,58649
ILOC10700701,231,277,508,4,5,9,4,5,9,239,287,526,1236,1542,2778,110,93,203,1585,1922,3507
ILOC10700702,158,171,329,4,4,8,5,3,8,167,178,345,5370,5365,10735,418,439,857,5955,5982,11937
ILOC10700703,116,131,247,0,3,3,0,0,0,116,134,250,3865,4106,7971,262,256,518,4243,4496,8739
ILOC10700704,26,16,42,3,3,6,0,0,0,29,19,48,1033,1080,2113,46,39,85,1108,1138,2246
ILOC10700705,325,384,709,10,6,16,5,7,12,340,397,737,11280,11883,23163,675,588,1263,12295,12868,25163
ILOC10700706,208,239,447,8,20,28,3,4,7,219,263,482,4880,5230,10110,428,493,921,5527,5986,11513
ILOC10700707,134,151,285,6,7,13,0,3,3,140,161,301,7795,7833,15628,333,325,658,8268,8319,16587
ILOC10700708,273,326,599,15,10,25,8,5,13,296,341,637,9416,10035,19451,386,458,844,10098,10834,20932
ILOC10700709,147,199,346,6,6,12,0,3,3,153,208,361,5330,5574,10904,324,303,627,5807,6085,11892
ILOC10700710,180,204,384,4,6,10,3,3,6,187,213,400,7147,7107,14254,269,263,532,7603,7583,15186
ILOC10700711,114,155,269,0,4,4,0,0,0,114,159,273,3423,3619,7042,167,153,320,3704,3931,7635
ILOC10700712,83,86,169,7,3,10,0,0,0,90,89,179,2562,2564,5126,109,89,198,2761,2742,5503
ILOC10700713,90,103,193,6,3,9,4,3,7,100,109,209,2838,3077,5915,100,99,199,3038,3285,6323
ILOC10700801,104,103,207,4,8,12,0,3,3,108,114,222,28012,28779,56791,2277,2094,4371,30397,30987,61384
ILOC10700802,198,267,465,26,20,46,5,3,8,229,290,519,30794,31352,62146,1868,1707,3575,32891,33349,66240
ILOC10700803,286,317,603,11,18,29,8,3,11,305,338,643,25223,26669,51892,1114,1079,2193,26642,28086,54728
ILOC10700804,339,383,722,25,25,50,4,20,24,368,428,796,63813,64292,128105,4516,4037,8553,68697,68757,137454
ILOC10700901,411,410,821,41,30,71,10,11,21,462,451,913,54376,56614,110990,3084,2990,6074,57922,60055,117977
ILOC10700902,201,190,391,8,15,23,3,3,6,212,208,420,33964,34640,68604,1342,1234,2576,35518,36082,71600
ILOC10701001,222,197,419,3,3,6,3,3,6,228,203,431,11669,11417,23086,787,701,1488,12684,12321,25005
ILOC10701002,161,175,336,5,6,11,0,0,0,166,181,347,5631,5984,11615,258,286,544,6055,6451,12506
ILOC10701003,379,392,771,18,0,18,6,9,15,403,401,804,11057,11323,22380,481,466,947,11941,12190,24131
ILOC10701101,351,387,738,25,27,52,10,13,23,386,427,813,45467,46725,92192,2934,2621,5555,48787,49773,98560
ILOC10701201,294,341,635,26,35,61,5,10,15,325,386,711,124302,132933,257235,4140,4151,8291,128767,137470,266237
ILOC10701301,194,173,367,9,13,22,11,6,17,214,192,406,53914,57098,111012,2472,2366,4838,56600,59656,116256
ILOC10701401,202,239,441,19,13,32,10,7,17,231,259,490,36516,38910,75426,1496,1445,2941,38243,40614,78857
ILOC10701402,102,112,214,0,3,3,3,7,10,105,122,227,26004,27370,53374,1140,1064,2204,27249,28556,55805
ILOC10701501,135,134,269,3,5,8,4,3,7,142,142,284,9269,9740,19009,347,282,629,9758,10164,19922
ILOC10701502,914,917,1831,41,32,73,10,16,26,965,965,1930,29118,30458,59576,1075,1022,2097,31158,32445,63603
ILOC10701601,215,265,480,9,12,21,8,6,14,232,283,515,23009,25809,48818,1486,1378,2864,24727,27470,52197
ILOC10701701,859,915,1774,45,37,82,21,18,39,925,970,1895,47741,48866,96607,3760,3601,7361,52426,53437,105863
ILOC10701702,339,360,699,13,15,28,6,7,13,358,382,740,33852,34411,68263,1574,1550,3124,35784,36343,72127
ILOC10701801,3,0,3,0,0,0,0,0,0,3,0,3,171,179,350,3,5,8,177,184,361
ILOC10701901,476,560,1036,16,23,39,21,16,37,513,599,1112,34419,35672,70091,2911,2405,5316,37843,38676,76519
ILOC10702001,322,314,636,28,25,53,13,11,24,363,350,713,84177,88053,172230,3974,3572,7546,88514,91975,180489
ILOC10702002,127,108,235,4,3,7,4,7,11,135,118,253,26546,28024,54570,1230,1100,2330,27911,29242,57153
ILOC10702101,213,144,357,7,5,12,6,0,6,226,149,375,22839,21717,44556,2008,1639,3647,25073,23505,48578
ILOC10702102,157,162,319,7,9,16,0,5,5,164,176,340,21639,22489,44128,917,878,1795,22720,23543,46263
ILOC10702103,183,174,357,12,11,23,3,5,8,198,190,388,17278,18144,35422,648,654,1302,18124,18988,37112
ILOC10702104,144,138,282,7,10,17,5,4,9,156,152,308,16123,16013,32136,1521,1232,2753,17800,17397,35197
ILOC10702201,468,435,903,11,9,20,3,5,8,482,449,931,11250,11007,22257,561,469,1030,12293,11925,24218
ILOC10702202,167,155,322,4,9,13,0,0,0,171,164,335,9757,10278,20035,267,253,520,10195,10695,20890
ILOC10702203,412,464,876,7,3,10,6,12,18,425,479,904,12620,13684,26304,754,741,1495,13799,14904,28703
ILOC10702204,554,535,1089,9,16,25,8,8,16,571,559,1130,14672,15117,29789,674,661,1335,15917,16337,32254
ILOC10702205,465,529,994,9,14,23,11,13,24,485,556,1041,11380,11720,23100,781,638,1419,12646,12914,25560
ILOC10702206,366,343,709,9,4,13,0,6,6,375,353,728,15604,15607,31211,561,520,1081,16540,16480,33020
ILOC10702207,134,203,337,8,9,17,3,4,7,145,216,361,6376,6733,13109,220,190,410,6741,7139,13880
ILOC10702301,179,232,411,6,4,10,3,0,3,188,236,424,2127,2206,4333,180,197,377,2495,2639,5134
ILOC10702302,696,620,1316,34,31,65,25,14,39,755,665,1420,55567,58178,113745,4551,4139,8690,60873,62982,123855
ILOC10702401,277,264,541,18,9,27,4,3,7,299,276,575,44749,46245,90994,3066,2710,5776,48114,49231,97345
ILOC10702501,412,388,800,25,13,38,6,6,12,443,407,850,48245,51500,99745,2148,1854,4002,50836,53761,104597
ILOC10702502,440,397,837,17,20,37,10,3,13,467,420,887,50180,51981,102161,1685,1532,3217,52332,53933,106265
ILOC10702601,440,432,872,16,9,25,3,14,17,459,455,914,23378,21920,45298,2802,2284,5086,26639,24659,51298
ILOC10702602,231,167,398,10,3,13,8,7,15,249,177,426,24924,20119,45043,4041,2921,6962,29214,23217,52431
ILOC10702603,234,306,540,10,12,22,8,6,14,252,324,576,24355,24609,48964,4749,3776,8525,29356,28709,58065
ILOC10702604,114,126,240,0,7,7,10,4,14,124,137,261,3576,2703,6279,640,503,1143,4340,3343,7683
ILOC10702701,107,109,216,6,4,10,3,4,7,116,117,233,18557,19799,38356,1359,1265,2624,20032,21181,41213
ILOC10702702,52,62,114,5,0,5,0,0,0,57,62,119,14913,15701,30614,942,748,1690,15912,16511,32423
ILOC10702703,121,146,267,8,8,16,0,3,3,129,157,286,34224,36747,70971,2450,2056,4506,36803,38960,75763
ILOC10702704,57,32,89,5,4,9,0,4,4,62,40,102,16283,16278,32561,1313,1213,2526,17658,17531,35189
ILOC10702801,89,93,182,7,10,17,4,9,13,100,112,212,45475,48958,94433,2152,2092,4244,47727,51162,98889
ILOC10702802,82,67,149,8,4,12,0,0,0,90,71,161,38722,43711,82433,3668,3465,7133,42480,47247,89727
ILOC10702901,478,510,988,12,5,17,3,6,9,493,521,1014,19452,19396,38848,820,788,1608,20765,20705,41470
ILOC10703001,1985,2058,4043,61,66,127,27,31,58,2073,2155,4228,89041,91304,180345,4141,3725,7866,95255,97184,192439
ILOC10703101,118,109,227,4,8,12,3,3,6,125,120,245,27537,28903,56440,3599,3203,6802,31261,32226,63487
ILOC10703102,56,51,107,3,3,6,0,0,0,59,54,113,21731,24879,46610,2773,2662,5435,24563,27595,52158
ILOC19499494,481,372,853,21,12,33,18,8,26,520,392,912,6225,4450,10675,847,484,1331,7592,5326,12918
ILOC19799797,0,0,0,0,0,0,0,0,0,0,0,0,52,53,105,4,3,7,56,56,112
