region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC10400301,23,27,50,25,40,65,42,42,84,18,52,70,23,61,84,27,25,52,21,20,41,53,15,68,22,30,52,254,312,566
ILOC10400302,18,24,42,19,34,53,25,18,43,21,35,56,24,31,55,19,18,37,8,12,20,69,22,91,120,18,138,323,212,535
ILOC10400303,24,17,41,22,31,53,20,26,46,30,50,80,26,36,62,20,25,45,20,7,27,33,13,46,14,16,30,209,221,430
ILOC10400401,3,4,7,8,7,15,10,7,17,7,13,20,0,6,6,0,0,0,0,0,0,3,0,3,3,3,6,34,40,74
ILOC10400402,5,5,10,7,17,24,8,16,24,26,9,35,3,23,26,9,3,12,5,0,5,6,5,11,3,5,8,72,83,155
ILOC10400403,33,46,79,50,54,104,71,85,156,49,73,122,47,80,127,37,44,81,30,33,63,46,38,84,114,53,167,477,506,983
ILOC10400404,5,7,12,15,12,27,21,21,42,12,34,46,6,10,16,3,6,9,3,0,3,5,9,14,9,8,17,79,107,186
ILOC10400405,15,3,18,26,25,51,56,42,98,32,35,67,12,25,37,9,17,26,12,9,21,10,14,24,18,12,30,190,182,372
ILOC10400501,15,13,28,19,18,37,15,19,34,21,21,42,12,20,32,11,11,22,16,4,20,12,3,15,3,3,6,124,112,236
ILOC10400502,8,3,11,12,7,19,17,15,32,25,27,52,7,11,18,7,9,16,0,0,0,4,0,4,7,3,10,87,75,162
ILOC10400503,64,52,116,63,88,151,108,107,215,66,101,167,76,132,208,68,68,136,39,40,79,85,69,154,44,41,85,613,698,1311
ILOC10400504,8,11,19,8,10,18,11,17,28,5,9,14,4,9,13,0,4,4,3,4,7,4,3,7,7,9,16,50,76,126
