region_id,Neg_Nil_inc_hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,HI1_199_Hhd_with_Indig_psns,HI1_199_Other_households,HI1_199_Tot_hhlds,HI200_299_Hhd_with_Indig_psns,HI200_299_Other_households,HI200_299_Tot_hhlds,HI300_399_Hhd_with_Indig_psns,HI300_399_Other_households,HI300_399_Tot_hhlds,HI400_599_Hhd_with_Indig_psns,HI400_599_Other_households,HI400_599_Tot_hhlds,HI600_799_Hhd_with_Indig_psns,HI600_799_Other_households,HI600_799_Tot_hhlds,HI800_999_Hhd_with_Indig_psns,HI800_999_Other_households,HI800_999_Tot_hhlds,HI1000_1249_Hh_with_Indig_psn,HI1000_1249_Other_households,HI1000_1249_Tot_hhlds,HI1250_1499_Hh_with_Indig_psn,HI1250_1499_Other_households,HI1250_1499_Tot_hhlds,HI1500_1999_Hh_with_Indig_psn,HI1500_1999_Other_households,HI1500_1999_Tot_hhlds,HI2000_2499_Hh_with_Indig_psn,HI2000_2499_Other_households,HI2000_2499_Tot_hhlds,HI2500_2999_Hh_with_Indig_psn,HI2500_2999_Other_households,HI2500_2999_Tot_hhlds,HI3000_more_Hh_with_Indig_psn,HI3000_more_Other_households,HI3000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
ILOC10300606,0,49,49,4,26,30,8,59,67,18,202,220,15,136,151,12,105,117,13,90,103,10,69,79,9,54,63,4,61,65,0,37,37,3,30,33,3,41,44,6,76,82,0,62,62,105,1097,1202
ILOC10400101,0,11,11,3,7,10,0,13,13,10,24,34,9,64,73,8,55,63,7,50,57,7,58,65,4,37,41,0,50,50,0,32,32,3,9,12,4,11,15,0,38,38,4,16,20,59,475,534
ILOC10400102,0,74,74,9,115,124,13,252,265,28,746,774,37,1007,1044,40,840,880,29,703,732,19,541,560,9,473,482,25,596,621,6,303,309,4,187,191,5,203,208,36,415,451,21,250,271,281,6705,6986
ILOC10400103,0,85,85,0,70,70,4,163,167,6,507,513,26,860,886,18,821,839,18,785,803,16,677,693,19,622,641,24,873,897,18,600,618,11,422,433,13,545,558,15,688,703,0,142,142,188,7860,8048
ILOC10400201,3,148,151,5,182,187,6,473,479,31,918,949,27,1370,1397,31,1234,1265,26,1133,1159,24,912,936,16,783,799,21,970,991,20,573,593,5,441,446,7,495,502,42,1064,1106,9,237,246,273,10933,11206
ILOC10400301,0,67,67,7,106,113,6,231,237,24,683,707,60,837,897,47,669,716,35,554,589,31,489,520,35,409,444,30,633,663,27,382,409,26,388,414,19,379,398,38,439,477,23,230,253,408,6496,6904
ILOC10400302,0,90,90,5,82,87,6,130,136,8,347,355,25,552,577,27,511,538,23,411,434,32,455,487,20,441,461,42,742,784,31,516,547,29,594,623,20,619,639,27,514,541,10,161,171,305,6165,6470
ILOC10400303,3,35,38,3,62,65,7,180,187,19,480,499,35,589,624,38,516,554,29,371,400,32,386,418,25,323,348,24,481,505,17,284,301,15,212,227,10,199,209,38,300,338,17,193,210,312,4611,4923
ILOC10400401,0,4,4,0,8,8,0,9,9,9,20,29,6,19,25,4,9,13,6,11,17,0,11,11,0,4,4,0,11,11,0,4,4,0,3,3,0,0,0,8,13,21,0,5,5,33,131,164
ILOC10400402,3,29,32,5,38,43,7,90,97,9,190,199,21,250,271,17,242,259,7,177,184,10,160,170,9,97,106,6,152,158,3,78,81,0,33,33,3,39,42,13,159,172,3,49,52,116,1783,1899
