region_id,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
ILOC10401903,3484,6930,40,28,68,3553,3592,7145,30,31,61,1183,1135,2318,16,12,28,1229,1178,2407,28,14,42,748,557,1305,15,8,23,791,579,1370,5,0,5,18,13,31,0,0,0,23,13,36,329,311,640,9368,9526,18894,419,418,837,10116,10255,20371,0,0,0,20,19,39,3,4,7,23,23,46,10,18,28,692,786,1478,42,27,69,744,831,1575,339,329,668,10080,10331,20411,464,449,913,10883,11109,21992,0,0,0,33,47,80,3,0,3,36,47,83
ILOC10401904,717,1337,6,7,13,644,744,1388,5,13,18,223,233,456,4,0,4,232,246,478,0,4,4,189,152,341,3,4,7,192,160,352,3,0,3,5,4,9,3,0,3,11,4,15,89,98,187,1708,1894,3602,66,83,149,1863,2075,3938,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,118,123,241,8,5,13,130,131,261,93,101,194,1826,2017,3843,74,88,162,1993,2206,4199,0,0,0,23,55,78,0,0,0,23,55,78
ILOC10402001,2553,5217,28,20,48,2731,2621,5352,20,21,41,802,773,1575,10,12,22,832,806,1638,20,12,32,573,556,1129,11,12,23,604,580,1184,0,3,3,36,23,59,3,0,3,39,26,65,212,223,435,8069,8244,16313,413,438,851,8694,8905,17599,0,0,0,8,5,13,4,0,4,12,5,17,25,25,50,700,763,1463,70,70,140,795,858,1653,237,248,485,8777,9012,17789,487,508,995,9501,9768,19269,0,0,0,99,166,265,9,8,17,108,174,282
ILOC10402002,1464,2852,10,14,24,1437,1511,2948,16,8,24,359,360,719,7,5,12,382,373,755,9,7,16,218,239,457,6,3,9,233,249,482,0,3,3,8,5,13,0,0,0,8,8,16,140,114,254,3307,3484,6791,101,113,214,3548,3711,7259,0,0,0,0,0,0,0,0,0,0,0,0,66,68,134,1583,1726,3309,78,52,130,1727,1846,3573,206,182,388,4890,5210,10100,179,165,344,5275,5557,10832,0,0,0,60,88,148,3,0,3,63,88,151
ILOC10402003,7229,13386,63,84,147,6426,7545,13971,101,88,189,1892,2232,4124,26,34,60,2019,2354,4373,54,63,117,1420,1544,2964,24,38,62,1498,1645,3143,4,3,7,53,45,98,3,3,6,60,51,111,668,686,1354,14390,15532,29922,558,565,1123,15616,16783,32399,0,0,0,7,4,11,0,0,0,7,4,11,280,279,559,6972,8250,15222,458,502,960,7710,9031,16741,948,965,1913,21369,23786,45155,1016,1067,2083,23333,25818,49151,8,10,18,321,610,931,17,38,55,346,658,1004
ILOC10402101,11132,21800,124,106,230,11109,11584,22693,133,154,287,3411,3893,7304,42,44,86,3586,4091,7677,81,79,160,1984,2068,4052,22,30,52,2087,2177,4264,6,3,9,145,85,230,3,3,6,154,91,245,1379,1417,2796,30999,32790,63789,1266,1260,2526,33644,35467,69111,0,0,0,8,0,8,0,0,0,8,0,8,94,107,201,1781,2149,3930,86,109,195,1961,2365,4326,1473,1524,2997,32788,34939,67727,1352,1369,2721,35613,37832,73445,6,3,9,306,556,862,33,47,80,345,606,951
ILOC10402102,10045,19129,102,87,189,9433,10412,19845,123,112,235,2690,3082,5772,22,33,55,2835,3227,6062,60,59,119,1482,1700,3182,32,29,61,1574,1788,3362,0,4,4,87,89,176,4,3,7,91,96,187,825,963,1788,25249,26499,51748,1001,926,1927,27075,28388,55463,0,0,0,3,0,3,3,0,3,6,0,6,224,208,432,4866,6088,10954,356,389,745,5446,6685,12131,1049,1171,2220,30118,32587,62705,1360,1315,2675,32527,35073,67600,7,4,11,292,533,825,38,34,72,337,571,908
ILOC10500101,1215,2577,12,9,21,1391,1242,2633,3,5,8,320,332,652,3,3,6,326,340,666,10,14,24,192,219,411,0,3,3,202,236,438,0,0,0,19,14,33,0,0,0,19,14,33,69,64,133,5214,5561,10775,132,137,269,5415,5762,11177,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21,461,532,993,27,23,50,498,566,1064,79,75,154,5675,6093,11768,159,160,319,5913,6328,12241,0,0,0,79,184,263,6,6,12,85,190,275
ILOC10500102,3839,7576,38,32,70,3854,3963,7817,42,44,86,1250,1239,2489,24,21,45,1316,1304,2620,33,44,77,882,929,1811,22,27,49,937,1000,1937,0,3,3,70,75,145,7,4,11,77,82,159,352,377,729,11922,12776,24698,564,519,1083,12838,13672,26510,0,0,0,0,0,0,0,0,0,0,0,0,65,76,141,2434,2719,5153,202,165,367,2701,2960,5661,417,453,870,14356,15495,29851,766,684,1450,15539,16632,32171,10,0,10,243,355,598,27,38,65,280,393,673
ILOC10500201,110,219,0,0,0,118,117,235,6,9,15,52,42,94,0,0,0,58,51,109,9,3,12,72,54,126,0,0,0,81,57,138,0,0,0,0,4,4,0,0,0,0,4,4,35,47,82,411,412,823,45,26,71,491,485,976,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,20,23,43,6,7,13,34,30,64,43,47,90,431,435,866,51,33,84,525,515,1040,0,0,0,15,16,31,0,0,0,15,16,31
