region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC10500502,0,13,16,29,0,3,3,0,6,6,0,0,0,0,9,9,10,3,13,62,22,84,3,3,6,75,28,103,77,62,139,303,265,568,8,4,12,388,331,719,28,21,49,62,67,129,0,0,0,90,88,178,45,39,84,233,194,427,3,3,6,281,236,517,43,38,81,105,119,224,0,0,0,148,157,305
ILOC10500503,0,16,17,33,0,0,0,3,4,7,0,0,0,3,4,7,4,3,7,83,40,123,0,0,0,87,43,130,42,36,78,363,338,701,6,4,10,411,378,789,9,9,18,77,74,151,0,4,4,86,87,173,22,25,47,259,244,503,6,4,10,287,273,560,23,16,39,163,153,316,0,3,3,186,172,358
ILOC10500601,6,365,512,877,0,3,3,41,114,155,0,3,3,41,120,161,13,19,32,1632,752,2384,18,4,22,1663,775,2438,195,182,377,7183,6997,14180,118,117,235,7496,7296,14792,51,53,104,992,1042,2034,17,10,27,1060,1105,2165,119,101,220,5379,5160,10539,92,85,177,5590,5346,10936,90,109,199,2336,2410,4746,28,25,53,2454,2544,4998
ILOC10500701,5,269,498,767,0,5,5,71,156,227,0,0,0,71,161,232,32,15,47,1747,740,2487,15,3,18,1794,758,2552,193,184,377,7809,7919,15728,82,87,169,8084,8190,16274,62,51,113,986,1016,2002,14,17,31,1062,1084,2146,108,101,209,5886,5879,11765,62,77,139,6056,6057,12113,111,104,215,2341,2542,4883,25,21,46,2477,2667,5144
ILOC10500801,3,127,207,334,0,0,0,20,67,87,0,0,0,20,67,87,14,17,31,717,322,1039,5,3,8,736,342,1078,123,117,240,2790,3005,5795,30,25,55,2943,3147,6090,12,30,42,416,457,873,3,14,17,431,501,932,85,76,161,2057,2140,4197,21,15,36,2163,2231,4394,33,60,93,972,1125,2097,11,10,21,1016,1195,2211
ILOC10500901,3,219,371,590,5,9,14,37,85,122,3,0,3,45,94,139,25,28,53,1130,498,1628,11,0,11,1166,526,1692,305,309,614,4641,4728,9369,45,36,81,4991,5073,10064,85,65,150,632,656,1288,15,11,26,732,732,1464,214,199,413,3373,3464,6837,32,25,57,3619,3688,7307,126,125,251,1634,1622,3256,19,22,41,1779,1769,3548
ILOC10501001,0,127,196,323,0,0,0,20,46,66,0,0,0,20,46,66,12,3,15,652,349,1001,3,0,3,667,352,1019,96,82,178,2612,2816,5428,37,33,70,2745,2931,5676,33,24,57,419,492,911,3,5,8,455,521,976,60,47,107,1908,2019,3927,28,25,53,1996,2091,4087,54,48,102,939,1096,2035,6,8,14,999,1152,2151
ILOC10501002,0,134,176,310,0,3,3,14,35,49,0,0,0,14,38,52,7,12,19,754,276,1030,3,0,3,764,288,1052,93,103,196,2733,2666,5399,31,35,66,2857,2804,5661,9,10,19,416,471,887,3,0,3,428,481,909,72,76,148,1818,1744,3562,22,25,47,1912,1845,3757,24,28,52,1192,1260,2452,13,7,20,1229,1295,2524
ILOC10501101,0,138,264,402,5,0,5,31,66,97,0,0,0,36,66,102,47,47,94,809,398,1207,4,0,4,860,445,1305,323,342,665,3342,3309,6651,43,59,102,3708,3710,7418,83,97,180,473,560,1033,4,7,11,560,664,1224,189,191,380,2377,2309,4686,26,40,66,2592,2540,5132,155,193,348,1197,1317,2514,11,10,21,1363,1520,2883
ILOC10501201,9,338,622,960,7,10,17,52,192,244,0,0,0,59,202,261,49,35,84,2165,891,3056,12,10,22,2226,936,3162,353,362,715,9206,9315,18521,158,146,304,9717,9823,19540,107,116,223,1373,1332,2705,26,22,48,1506,1470,2976,208,208,416,6301,6364,12665,127,110,237,6636,6682,13318,179,207,386,3552,3598,7150,40,38,78,3771,3843,7614
