region_id,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
ILOC10201202,5,13,0,18,0,0,7,7,4,9,0,13,6,10,0,16,3,10,0,13,0,11,0,11,0,6,0,6,18,59,7,84,0,16,3,19,5,7,0,12,5,14,3,22,0,22,0,22,4,12,3,19,6,5,0,11,0,0,4,4,20,76,13,109,5,29,3,37,5,7,7,19,9,23,3,35,6,32,0,38,7,22,3,32,6,16,0,22,0,6,4,10,38,135,20,193
ILOC10201301,3,32,3,38,0,17,3,20,4,19,4,27,6,26,0,32,0,27,0,27,0,14,0,14,0,4,5,9,13,139,15,167,4,17,0,21,0,18,3,21,0,28,0,28,7,25,0,32,4,15,0,19,8,7,3,18,0,12,0,12,23,122,6,151,7,49,3,59,0,35,6,41,4,47,4,55,13,51,0,64,4,42,0,46,8,21,3,32,0,16,5,21,36,261,21,318
ILOC10201401,0,15,0,15,0,15,0,15,3,14,0,17,3,13,3,19,3,15,3,21,3,16,3,22,0,3,3,6,12,91,12,115,0,17,6,23,0,5,0,5,3,11,3,17,0,12,0,12,4,22,3,29,5,11,0,16,0,9,3,12,12,87,15,114,0,32,6,38,0,20,0,20,6,25,3,34,3,25,3,31,7,37,6,50,8,27,3,38,0,12,6,18,24,178,27,229
ILOC10201402,0,9,4,13,3,3,0,6,0,3,0,3,0,11,0,11,0,10,0,10,0,7,3,10,0,5,0,5,3,48,7,58,0,7,3,10,0,7,0,7,0,15,0,15,0,10,3,13,3,3,3,9,4,7,3,14,0,9,0,9,7,58,12,77,0,16,7,23,3,10,0,13,0,18,0,18,0,21,3,24,3,13,3,19,4,14,6,24,0,14,0,14,10,106,19,135
ILOC10300101,3,23,9,35,0,16,4,20,5,28,4,37,8,41,4,53,5,27,3,35,3,18,5,26,0,13,3,16,24,166,32,222,0,18,19,37,0,27,0,27,8,37,6,51,9,46,6,61,9,27,10,46,6,25,6,37,3,15,3,21,35,195,50,280,3,41,28,72,0,43,4,47,13,65,10,88,17,87,10,114,14,54,13,81,9,43,11,63,3,28,6,37,59,361,82,502
ILOC10300102,0,3,0,3,0,9,0,9,3,0,0,3,0,6,0,6,3,3,0,6,0,0,0,0,0,3,3,6,6,24,3,33,0,0,3,3,0,0,0,0,0,9,0,9,3,8,3,14,3,0,0,3,0,3,0,3,0,3,0,3,6,23,6,35,0,3,3,6,0,9,0,9,3,9,0,12,3,14,3,20,6,3,0,9,0,3,0,3,0,6,3,9,12,47,9,68
ILOC10300201,0,24,5,29,0,21,0,21,0,21,5,26,0,27,4,31,8,30,5,43,0,22,0,22,5,13,0,18,13,158,19,190,4,18,8,30,0,28,0,28,8,27,0,35,9,26,5,40,5,45,0,50,0,13,5,18,4,18,0,22,30,175,18,223,4,42,13,59,0,49,0,49,8,48,5,61,9,53,9,71,13,75,5,93,0,35,5,40,9,31,0,40,43,333,37,413
ILOC10300202,0,12,0,12,0,12,0,12,0,16,0,16,3,13,0,16,3,21,3,27,0,11,0,11,0,3,0,3,6,88,3,97,0,9,0,9,0,12,0,12,0,8,0,8,5,20,0,25,3,5,0,8,3,8,0,11,0,5,0,5,11,67,0,78,0,21,0,21,0,24,0,24,0,24,0,24,8,33,0,41,6,26,3,35,3,19,0,22,0,8,0,8,17,155,3,175
ILOC10300203,0,8,0,8,0,8,0,8,0,4,0,4,0,9,3,12,0,6,0,6,0,13,0,13,0,0,0,0,0,48,3,51,0,6,3,9,0,7,0,7,4,6,0,10,0,17,0,17,0,5,0,5,0,12,3,15,0,7,0,7,4,60,6,70,0,14,3,17,0,15,0,15,4,10,0,14,0,26,3,29,0,11,0,11,0,25,3,28,0,7,0,7,4,108,9,121
ILOC10300301,0,24,3,27,3,26,0,29,3,28,5,36,4,19,0,23,0,24,0,24,0,20,0,20,3,7,3,13,13,148,11,172,3,24,7,34,0,14,0,14,0,19,0,19,6,35,0,41,8,20,4,32,0,15,0,15,4,6,0,10,21,133,11,165,3,48,10,61,3,40,0,43,3,47,5,55,10,54,0,64,8,44,4,56,0,35,0,35,7,13,3,23,34,281,22,337
