region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA53430,1674,4546,1702,1245,1592,943,513,948,149,13312
LGA53520,1830,2505,3164,1721,2208,1620,1689,1941,236,16914
LGA53570,448,158,288,119,211,111,219,367,38,1959
LGA53640,270,42,67,35,50,30,48,69,7,618
LGA53710,152,45,47,38,55,22,40,41,6,446
LGA53780,4485,7280,9352,4897,8449,4725,5258,5800,826,51072
LGA53920,104,196,115,164,83,23,54,217,39,995
LGA53990,1282,1393,2148,892,1353,912,1200,1606,157,10943
LGA54060,250,183,298,106,159,110,156,230,20,1512
LGA54130,280,36,67,31,43,20,31,62,7,577
LGA54170,10068,18182,13807,8215,13951,8345,3579,5906,972,83025
LGA54200,3136,4492,4823,2451,4635,2393,2450,2339,420,27139
LGA54280,1457,2143,3512,1266,1958,1108,2508,1495,258,15705
LGA54340,298,224,293,151,176,148,96,359,42,1787
LGA54410,105,47,70,49,48,28,38,67,8,460
LGA54480,198,14,13,11,22,3,13,17,6,297
LGA54550,383,88,113,63,60,55,56,126,18,962
LGA54620,208,44,88,43,36,20,78,55,12,584
LGA54690,88,4,22,12,17,6,21,23,6,199
LGA54760,235,40,32,32,24,9,27,44,9,452
LGA54830,989,1369,2654,1356,1837,1169,1526,1637,192,12729
LGA54900,374,55,83,39,75,24,53,87,15,805
LGA54970,55,77,192,48,47,6,219,96,12,752
LGA55040,94,160,312,59,101,24,395,159,13,1317
LGA55110,2578,3688,5628,3005,3420,2955,2769,3266,420,27729
LGA55180,872,488,546,370,458,348,359,777,66,4284
LGA55250,77,85,119,54,50,14,149,80,19,647
LGA55320,6916,14401,5652,4320,7730,4355,1526,2792,681,48373
LGA55390,12,15,0,14,10,0,20,40,8,119
LGA55460,298,207,264,123,179,128,176,166,27,1568
LGA55530,87,18,20,14,17,6,37,30,3,232
LGA55600,325,128,174,97,133,93,117,172,15,1254
LGA55670,108,40,55,39,38,20,50,46,3,399
LGA55740,656,1525,338,388,486,372,81,229,48,4123
LGA55810,35,33,57,22,22,9,28,48,0,254
LGA55880,152,19,23,8,18,0,22,30,3,275
LGA55950,133,20,24,16,15,12,19,27,9,275
LGA56020,122,29,38,31,30,3,54,31,5,343
LGA56090,2112,3360,3081,1714,2824,1638,1265,1438,235,17667
LGA56160,20,3,10,0,5,0,0,11,0,49
LGA56230,651,618,1265,548,598,490,833,743,96,5842
LGA56300,136,75,74,49,55,35,46,108,10,588
LGA56370,187,28,48,25,33,14,26,46,12,419
LGA56450,149,62,58,38,46,17,26,45,12,453
LGA56520,199,291,307,212,210,161,117,231,27,1755
LGA56580,1707,4275,476,721,1165,782,134,336,126,9722
LGA56620,46,77,13,74,36,6,6,153,24,435
LGA56730,604,553,741,478,602,369,425,621,71,4464
LGA56790,361,147,149,129,99,86,129,218,29,1347
LGA56860,37,12,11,7,12,0,13,9,3,104
LGA56930,139,249,32,42,55,48,7,20,13,605
LGA57000,148,65,104,19,47,4,111,97,8,603
LGA57080,1480,3656,922,820,1251,474,210,560,143,9516
LGA57140,142,45,57,33,37,16,46,66,12,454
LGA57210,564,231,266,186,216,132,180,372,26,2173
LGA57280,723,1038,1886,467,1013,343,1063,870,147,7550
LGA57350,149,37,51,38,36,23,49,43,4,430
LGA57420,267,103,219,53,95,34,182,119,10,1082
LGA57490,4528,6207,10228,5710,6613,4496,4371,5208,737,48098
LGA57560,1121,1618,3182,715,1615,565,1441,1418,255,11930
LGA57630,10,4,6,3,4,0,9,6,3,45
LGA57700,1045,1034,1907,778,1387,694,972,861,134,8812
LGA57770,75,47,69,42,54,34,42,74,9,446
LGA57840,3136,7295,2135,1786,3210,1766,602,1138,263,21331
LGA57910,11904,26141,13423,9069,14983,8934,4746,8071,1455,98726
LGA57980,1278,4167,588,698,1067,645,122,403,93,9061
LGA58050,5519,7150,9625,5453,8715,5182,5146,5711,862,53363
LGA58190,75,9,12,7,15,5,12,31,0,166
LGA58260,99,15,43,24,21,17,28,29,3,279
LGA58330,270,249,369,209,259,105,204,207,30,1902
LGA58400,71,9,21,7,16,6,9,17,0,156
LGA58470,24,12,5,11,0,0,11,25,0,88
LGA58510,1963,4755,2321,1573,2497,1231,835,1368,226,16769
LGA58540,197,28,60,25,34,19,33,77,5,478
LGA58570,2519,6601,2025,1510,2353,1205,457,1066,218,17954
LGA58610,225,75,110,71,86,52,70,101,6,796
LGA58680,90,19,29,7,26,4,41,23,0,239
LGA58760,7383,10847,14601,7686,11413,7096,5356,7971,1025,73378
LGA58820,163,118,353,131,151,84,267,235,23,1525
LGA58890,261,20,49,15,34,10,36,34,9,468
LGA59030,50,19,17,10,19,4,27,16,0,162
LGA59100,162,29,46,21,33,3,24,39,5,362
LGA59170,206,44,63,43,41,28,51,66,3,545
LGA59250,39,108,196,41,37,3,198,91,10,723
LGA59310,234,72,96,45,80,36,66,70,7,706
LGA59320,96,26,22,3,16,7,11,24,0,205
LGA59330,82,29,18,9,26,12,18,17,6,217
LGA59340,490,713,585,406,487,164,363,435,101,3744
LGA59350,26,27,56,9,22,0,76,25,4,245
LGA59360,195,69,189,43,75,19,219,81,22,912
LGA59370,320,188,209,133,160,116,141,177,18,1462
LGA59399,6,53,78,14,6,0,40,132,4,333
LGA59499,178,462,534,234,240,149,333,418,48,2596
LGA60210,332,241,291,234,203,179,181,333,36,2030
LGA60410,541,479,1019,776,949,711,580,873,124,6052
LGA60610,808,1202,1379,920,1058,856,654,990,118,7985
LGA60810,1138,1362,1518,963,1041,860,732,1169,140,8923
LGA61010,194,76,104,71,70,41,91,171,16,834
LGA61210,805,299,462,288,304,246,376,815,58,3653
LGA61410,2947,5028,3412,2593,4112,2399,1011,1920,356,23778
LGA61510,348,401,633,574,455,366,408,617,76,3878
LGA61610,1000,1405,1651,1179,1242,1093,831,1362,171,9934
LGA61810,538,260,385,241,239,229,270,480,38,2680
LGA62010,109,44,51,39,31,29,20,61,15,399
LGA62210,231,261,414,264,235,209,352,404,60,2430
LGA62410,326,178,226,171,154,108,110,324,37,1634
LGA62610,1563,2372,3139,2460,3383,2153,1352,2346,344,19112
LGA62810,3215,8998,2271,2586,3380,2032,431,1273,285,24471
LGA63010,850,966,981,581,757,457,455,1039,98,6184
LGA63210,396,277,410,281,218,219,241,388,57,2487
LGA63410,208,72,95,53,77,41,54,241,15,856
LGA63610,2129,4089,2184,1670,2607,1526,500,1146,191,16042
LGA63810,616,617,774,428,491,400,376,556,59,4317
LGA64010,3044,5556,4078,3338,3732,3147,1925,3105,373,28298
LGA64210,1405,1183,1295,903,1166,875,718,962,103,8610
LGA64610,859,609,887,540,605,527,476,803,85,5391
LGA64810,680,782,1045,729,963,586,406,660,94,5945
LGA65010,440,213,435,264,297,218,248,379,50,2544
LGA65210,157,111,116,117,85,49,49,167,11,862
LGA65410,677,811,981,641,652,526,564,727,80,5659
LGA65610,194,193,349,205,166,114,433,327,33,2014
LGA65810,1205,1990,1595,1072,1352,939,703,923,137,9916
LGA69399,3,12,24,10,0,3,0,20,3,75
LGA69499,14,59,51,28,26,15,29,74,6,302
LGA70200,1553,3095,1860,1891,2039,971,579,944,263,13195
LGA70420,242,371,221,316,236,83,71,352,92,1984
LGA70540,6,6,3,9,4,0,3,16,4,51
LGA70620,96,174,117,156,64,31,96,165,81,980
LGA70700,68,72,75,43,51,19,42,62,8,440
LGA71000,5044,9134,5702,4629,6114,2891,1845,2778,648,38785
LGA71300,132,528,166,272,144,117,70,482,166,2077
LGA72200,490,732,768,660,618,274,239,405,111,4297
LGA72300,1300,1281,1981,1211,1537,613,952,806,180,9861
LGA72330,142,342,66,290,87,53,27,281,113,1401
LGA72800,1569,1869,2468,2234,2599,1160,1079,1019,251,14248
LGA73600,199,265,113,286,110,59,87,460,114,1693
LGA74050,61,161,69,134,61,26,27,153,44,736
LGA74500,176,291,152,242,135,59,104,444,103,1706
LGA74560,26,42,26,17,34,7,15,26,7,200
LGA74660,195,465,224,263,158,86,153,513,82,2139
LGA79399,497,706,796,439,440,198,526,412,93,4107
LGA79499,41,107,98,95,44,29,50,103,12,579
LGA89399,31000,57996,19885,18184,37478,13342,4666,9246,3820,195617
LGA89499,31,86,26,49,32,17,10,20,3,274
LGA99399,162,182,197,144,148,20,97,171,37,1158
LGA99499,3,6,3,0,10,0,0,0,0,22
