region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA17620,1365,100,83,8,0,0,16,1572
LGA17640,685,37,49,4,0,4,4,783
LGA17650,621,42,29,10,0,0,7,709
LGA17700,105,6,7,0,0,0,0,118
LGA17750,5643,463,340,43,3,3,42,6537
LGA17800,354,25,13,4,0,0,3,399
LGA17850,287,8,16,4,0,0,4,319
LGA17900,435,35,26,21,0,8,9,534
LGA17950,254,19,5,4,5,0,3,290
LGA18000,17715,1060,461,125,11,6,22,19400
LGA18020,782,52,42,8,5,3,16,908
LGA18050,5667,327,97,27,0,0,7,6125
LGA18100,322,19,20,3,0,0,3,367
LGA18150,669,41,44,11,3,0,18,786
LGA18200,595,37,52,10,0,0,13,707
LGA18250,8491,392,117,67,0,0,19,9086
LGA18350,4156,326,236,24,0,9,28,4779
LGA18400,5418,398,317,65,8,13,31,6250
LGA18450,20014,1480,911,166,15,25,104,22715
LGA18500,4685,275,96,14,0,0,6,5076
LGA18550,13362,1521,1057,170,20,22,138,16290
LGA18710,1731,123,102,15,0,5,8,1984
LGA18750,1144,89,72,12,0,3,8,1328
LGA19399,113,5,0,5,0,0,0,123
LGA19499,0,0,0,0,0,0,0,0
LGA20110,1077,65,56,3,0,0,7,1208
LGA20260,929,86,61,3,0,4,3,1086
LGA20570,8547,713,428,59,3,9,45,9804
LGA20660,13952,813,365,95,4,6,28,15263
LGA20740,2343,225,146,15,0,4,15,2748
LGA20830,4329,342,240,38,6,4,25,4984
LGA20910,11636,669,239,45,3,3,14,12609
LGA21010,1124,105,64,6,0,5,10,1314
LGA21110,19724,981,339,132,0,9,33,21218
LGA21180,21700,1250,585,379,23,34,90,24061
LGA21270,579,50,28,3,0,0,4,664
LGA21370,3330,288,189,23,5,6,23,3864
LGA21450,8589,865,563,55,6,15,39,10132
LGA21610,32632,2406,1576,433,24,32,111,37214
LGA21670,964,87,70,12,0,0,10,1143
LGA21750,1851,151,115,18,0,0,10,2145
LGA21830,1634,100,95,5,0,4,8,1846
LGA21890,14004,697,293,99,3,12,34,15142
LGA22110,3340,323,198,39,5,4,33,3942
LGA22170,12409,1433,790,102,13,18,54,14819
LGA22250,910,58,45,3,0,0,7,1023
LGA22310,15463,773,266,70,3,5,18,16598
LGA22410,1793,153,104,10,0,0,20,2080
LGA22490,2307,184,134,18,3,7,5,2658
LGA22620,9408,842,551,67,4,15,37,10924
LGA22670,15114,908,445,323,11,22,61,16884
LGA22750,20845,1699,935,122,6,20,78,23705
LGA22830,5970,437,309,41,7,3,46,6813
LGA22910,1174,101,70,13,3,4,11,1376
LGA22980,521,35,21,3,0,0,5,585
LGA23110,9417,598,247,88,0,9,29,10388
LGA23190,1831,122,95,11,3,0,12,2074
LGA23270,21692,1276,756,229,3,22,66,24044
LGA23350,1499,135,78,8,3,0,11,1734
LGA23430,16739,1071,489,135,3,10,31,18478
LGA23670,19198,1377,668,141,11,19,38,21452
LGA23810,6498,661,428,43,7,6,56,7699
LGA23940,612,50,28,3,0,3,4,700
LGA24130,5058,361,212,26,0,3,16,5676
LGA24210,15157,717,274,140,0,3,31,16322
LGA24250,628,66,16,5,0,0,3,718
LGA24330,6821,417,148,111,3,8,25,7533
LGA24410,11982,896,425,64,3,10,23,13403
LGA24600,3700,281,54,30,3,0,15,4083
LGA24650,14091,980,659,105,7,19,49,15910
LGA24780,4669,386,280,44,4,9,45,5437
LGA24850,3728,317,224,23,3,4,20,4319
LGA24900,2475,236,134,23,4,0,18,2890
LGA24970,20364,945,356,242,3,10,35,21955
LGA25060,12375,599,232,76,3,6,21,13312
LGA25150,3160,264,182,29,0,3,20,3658
LGA25250,14926,753,308,124,0,7,28,16146
LGA25340,13928,1296,707,76,3,11,48,16069
LGA25430,1469,141,76,12,0,3,7,1708
LGA25490,1716,108,87,15,0,3,14,1943
LGA25620,1200,116,69,4,4,3,4,1400
LGA25710,8904,592,262,43,0,5,13,9819
LGA25810,996,87,65,10,0,4,10,1172
LGA25900,5747,443,97,21,0,3,10,6321
LGA25990,549,56,41,8,0,0,7,661
LGA26080,242,12,9,0,0,0,0,263
LGA26170,2490,225,139,13,0,0,24,2891
LGA26260,1571,111,62,17,0,0,6,1767
LGA26350,8078,437,146,20,3,3,4,8691
LGA26430,731,82,37,9,0,0,3,862
LGA26490,2983,191,97,13,0,4,6,3294
LGA26610,1912,123,113,19,5,0,10,2182
LGA26670,535,47,25,5,0,0,7,619
LGA26700,2568,216,140,16,5,0,11,2956
LGA26730,3020,209,146,25,0,3,21,3424
LGA26810,3724,332,244,24,4,0,23,4351
LGA26890,413,26,12,0,0,0,5,456
LGA26980,17956,875,355,139,0,13,26,19364
LGA27070,20658,1086,685,181,3,19,54,22686
LGA27170,3426,342,197,26,3,3,17,4014
LGA27260,20366,1355,841,224,8,22,63,22879
LGA27350,4826,337,114,25,3,6,17,5328
LGA27450,16867,1518,892,109,5,15,63,19469
LGA27630,586,48,39,0,0,3,7,683
LGA29399,16,0,0,0,0,0,0,16
LGA29499,0,0,0,0,0,0,0,0
LGA30250,79,9,11,12,0,8,10,129
LGA30300,468,26,23,11,0,0,6,534
LGA30370,1542,103,92,14,0,4,9,1764
LGA30410,347,11,11,3,0,0,3,375
LGA30450,30,0,0,0,0,0,0,30
LGA30760,210,16,10,4,0,0,3,243
LGA30900,34,0,3,9,0,0,0,46
LGA31000,106232,7921,3711,990,47,101,332,119334
LGA31750,33,4,4,0,0,0,0,41
LGA31820,7387,781,546,59,10,13,55,8851
LGA31900,1728,133,90,15,0,0,15,1981
LGA31950,25,3,3,0,0,0,0,31
LGA32070,13834,1313,855,188,12,29,103,16334
LGA32250,113,12,6,9,4,4,14,162
LGA32260,2455,197,148,21,0,0,25,2846
LGA32270,3165,219,241,28,0,7,25,3685
LGA32310,1052,89,86,18,0,0,12,1257
LGA32330,66,6,11,14,3,0,4,104
LGA32450,225,15,10,8,5,0,11,274
LGA32500,229,17,20,16,0,0,12,294
LGA32600,28,3,3,0,0,0,0,34
LGA32750,24,0,0,0,0,0,0,24
LGA32770,102,4,5,25,0,6,8,150
LGA33100,85,6,4,0,0,0,0,95
LGA33200,152,7,16,3,0,0,3,181
LGA33220,7381,810,572,86,16,13,76,8954
LGA33360,6014,683,462,66,0,14,37,7276
LGA33430,46288,4648,2610,386,37,73,211,54253
LGA33610,1027,69,68,8,0,0,11,1183
LGA33620,3742,366,303,42,3,11,38,4505
LGA33800,1111,80,65,12,0,4,10,1282
LGA33830,72,4,10,10,0,3,3,102
LGA33960,16618,1844,1297,239,23,43,117,20181
LGA33980,2535,186,180,16,0,0,14,2931
LGA34420,64,4,13,9,0,4,8,102
LGA34570,15,3,3,13,0,0,0,34
LGA34580,3132,282,272,36,3,12,34,3771
LGA34590,28664,3186,2287,511,52,63,220,34983
LGA34710,388,27,27,6,0,0,0,448
LGA34770,11868,1107,791,111,19,21,70,13987
LGA34800,81,3,0,0,0,0,0,84
LGA34830,17,0,0,0,0,0,0,17
LGA34860,1255,97,85,19,0,0,17,1473
LGA35010,39504,4134,2849,347,31,63,205,47133
LGA35250,67,3,12,13,5,3,4,107
LGA35300,1796,196,145,46,8,5,21,2217
LGA35600,433,40,19,12,0,3,3,510
LGA35670,53,7,4,12,0,5,3,84
LGA35760,848,69,53,5,0,0,5,980
LGA35780,180,9,15,27,5,0,4,240
LGA35790,118,14,11,17,7,13,11,191
LGA35800,138,10,15,4,0,0,3,170
LGA36070,41,3,4,4,3,3,3,61
LGA36150,87,7,4,3,0,0,3,104
LGA36250,15476,1490,863,131,7,26,54,18047
LGA36300,84,0,3,0,0,0,3,90
LGA36360,9965,968,651,130,12,18,87,11831
LGA36510,3522,317,252,34,0,6,20,4151
LGA36580,1941,225,186,19,4,10,22,2407
LGA36630,2531,253,223,36,3,6,32,3084
LGA36660,2976,266,202,35,0,0,31,3510
LGA36710,28393,2859,1578,181,13,22,128,33174
LGA36810,3542,326,216,73,8,7,44,4216
LGA36910,14382,1189,845,144,12,18,102,16692
