region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA16610,439,124,567,3231,1300,169,4700,11286,1460,17446
LGA16650,2085,364,2476,14681,4769,346,19796,53598,7018,80412
LGA16700,2056,408,2499,16588,4893,554,22035,58474,5413,85922
LGA16900,788,120,919,10999,4733,600,16332,30649,3063,50044
LGA16950,2023,526,2566,12762,5534,682,18978,50405,7027,76410
LGA17000,235,30,268,4187,1417,210,5814,10675,1176,17665
LGA17050,57,7,70,1184,318,61,1563,3623,834,6020
LGA17100,559,97,669,5152,1436,110,6698,19938,2807,29443
LGA17150,3763,790,4598,36445,15053,1676,53174,107806,9510,170490
LGA17200,995,430,1442,12631,5619,412,18662,115917,22879,157458
LGA17310,956,218,1186,8839,3583,443,12865,28012,3620,44497
LGA17350,141,26,170,840,393,46,1279,3002,319,4600
LGA17400,126,28,154,854,372,47,1273,3746,493,5512
LGA17420,1572,223,1835,31679,11000,1183,43862,83925,5792,133579
LGA17450,73,13,86,451,162,29,642,1774,321,2737
LGA17500,215,50,271,1707,640,79,2426,5653,648,8727
LGA17550,2252,633,2902,12421,4899,701,18021,45967,5957,69945
LGA17620,241,43,287,2348,788,111,3247,6792,809,10848
LGA17640,122,21,147,1047,429,49,1525,3939,419,5883
LGA17650,63,22,88,1002,376,39,1417,3021,324,4762
LGA17700,17,7,27,167,58,8,233,603,79,915
LGA17750,929,190,1130,9582,3597,486,13665,30338,2882,46885
LGA17800,80,19,99,529,235,22,786,2150,326,3262
LGA17850,69,8,77,451,141,19,611,1706,143,2460
LGA17900,56,17,76,813,310,47,1170,3247,665,5082
LGA17950,41,6,47,398,168,18,584,1436,162,2182
LGA18000,3251,588,3877,26055,8562,1199,35816,70027,6588,112431
LGA18020,225,40,268,1345,510,78,1933,4991,728,7652
LGA18050,1068,300,1386,9000,2988,409,12397,34301,6992,53690
LGA18100,82,16,98,509,221,19,749,1996,233,2978
LGA18150,135,14,158,1182,495,40,1717,3999,1032,6748
LGA18200,67,39,106,1001,420,50,1471,3322,479,5272
LGA18250,1312,177,1510,12412,3014,467,15893,35265,3339,54497
LGA18350,934,228,1168,6936,2845,351,10132,23184,2470,35786
LGA18400,387,73,466,7900,2725,377,11002,20182,2092,33276
LGA18450,3550,681,4265,30291,13909,1668,45868,100107,10771,156746
LGA18500,1167,354,1544,7264,3106,205,10575,28161,5369,44105
LGA18550,2946,857,3834,23969,9779,1286,35034,74882,9505,119421
LGA18710,155,63,221,2711,986,143,3840,7067,796,11703
LGA18750,267,57,324,1966,697,96,2759,5953,818,9530
LGA19399,14,0,14,195,42,3,240,681,57,978
LGA19499,69,52,121,1112,551,45,1708,7209,2821,11738
LGA20110,257,52,309,1698,619,101,2418,6751,685,9854
LGA20260,193,77,270,1584,684,80,2348,5778,1082,9208
LGA20570,1485,506,2012,14950,6337,847,22134,47581,5623,75338
LGA20660,2399,479,2907,19132,7589,905,27626,63937,5668,97231
LGA20740,586,242,840,4256,1874,226,6356,15938,2274,24568
LGA20830,632,210,849,7005,2776,367,10148,21712,2425,34285
LGA20910,2718,537,3307,16272,5723,814,22809,46144,4864,73817
LGA21010,354,64,418,1843,842,99,2784,7765,721,11270
LGA21110,3828,745,4630,25900,8796,1077,35773,88135,7508,131416
LGA21180,1716,447,2183,26977,8750,530,36257,97785,13890,147932
LGA21270,205,37,245,890,375,47,1312,3555,354,5221
LGA21370,709,194,908,5685,2336,242,8263,18508,2352,29123
LGA21450,721,121,847,14266,4126,743,19135,34114,3596,56845
LGA21610,2074,418,2513,47244,12484,1704,61432,119981,12373,193786
LGA21670,317,74,398,1620,693,75,2388,7150,883,10421
LGA21750,432,109,544,3143,1326,168,4637,10645,1211,16493
LGA21830,328,78,406,2664,899,151,3714,8265,1000,12979
LGA21890,2430,623,3079,20097,6444,894,27435,77145,9648,114228
LGA22110,895,208,1110,5670,2382,373,8425,23796,2709,34930
LGA22170,1677,602,2291,20783,7839,1127,29749,64572,7824,102145
LGA22250,278,66,344,1464,648,72,2184,5572,730,8486
LGA22310,3276,737,4072,21806,6697,913,29416,70946,7009,107371
LGA22410,370,54,433,3027,1121,132,4280,10468,1184,15932
LGA22490,129,18,150,3564,1139,191,4894,8743,789,14426
LGA22620,1702,550,2267,16086,6704,916,23706,51311,5892,80909
LGA22670,2058,360,2437,19104,5846,369,25319,75921,9741,110981
LGA22750,4335,879,5255,33136,14118,1827,49081,110582,12261,171924
LGA22830,1017,232,1263,9607,3385,430,13422,29960,4117,47499
LGA22910,262,64,326,2061,867,122,3050,7877,981,11908
LGA22980,248,28,276,810,321,36,1167,3275,326,4768
