region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
LGA53290,148,39,187,2283,697,117,3097,6382,1011,10490
LGA53360,9,0,9,401,98,28,527,1210,181,1918
LGA53430,510,88,602,3610,1636,267,5513,15285,1840,22638
LGA53520,380,93,481,5954,2101,356,8411,17376,2518,28305
LGA53570,39,14,53,670,249,35,954,2428,385,3767
LGA53640,11,3,14,229,88,23,340,536,64,940
LGA53710,14,3,17,178,58,5,241,469,46,756
LGA53780,784,261,1053,17810,6085,861,24756,51669,7565,83990
LGA53920,9,8,17,436,361,112,909,1393,188,2490
LGA53990,162,38,200,4262,1363,235,5860,10606,1427,17893
LGA54060,41,8,49,570,158,23,751,1834,226,2811
LGA54130,5,0,5,196,61,10,267,489,58,814
LGA54170,1560,395,1974,26475,10061,1469,38005,78508,6435,122948
LGA54200,603,157,771,8628,3761,519,12908,27140,2931,42979
LGA54280,125,36,161,5217,1340,315,6872,13648,3294,23814
LGA54340,39,25,64,695,199,33,927,1976,258,3161
LGA54410,31,3,34,178,63,6,247,603,68,918
LGA54480,0,0,0,117,31,0,148,233,9,390
LGA54550,34,3,37,354,150,17,521,947,91,1559
LGA54620,9,3,12,189,74,13,276,483,90,849
LGA54690,4,0,4,75,21,0,96,216,15,327
LGA54760,13,0,13,168,56,11,235,365,21,621
LGA54830,193,62,255,5151,1613,268,7032,12691,2803,22526
LGA54900,10,3,13,266,65,10,341,672,57,1070
LGA54970,0,0,0,167,86,11,264,675,132,1071
LGA55040,6,0,9,337,84,16,437,1073,595,2105
LGA55110,1089,454,1551,10267,4245,591,15103,36388,5266,56757
LGA55180,120,32,155,1481,479,86,2046,4643,503,7192
LGA55250,8,0,8,154,81,10,245,638,240,1123
LGA55320,2047,475,2541,14646,5980,789,21415,53325,4764,79504
LGA55390,0,0,0,46,35,0,81,190,38,309
LGA55460,32,6,38,530,143,23,696,1702,178,2576
LGA55530,3,0,3,90,14,3,107,233,22,362
LGA55600,37,8,45,433,144,24,601,1201,125,1927
LGA55670,12,3,15,146,44,18,208,409,51,668
LGA55740,184,40,224,1271,482,50,1803,4748,569,7120
LGA55810,0,0,0,55,16,4,75,368,75,518
LGA55880,3,0,3,86,17,9,112,251,7,370
LGA55950,3,0,3,67,35,8,110,266,25,401
LGA56020,3,0,3,107,28,6,141,333,80,554
LGA56090,363,99,470,5771,2491,397,8659,17510,3397,29566
LGA56160,0,0,0,23,3,0,26,57,6,89
LGA56230,137,47,184,2120,827,138,3085,7260,1006,11351
LGA56300,11,3,14,166,73,14,253,740,69,1062
LGA56370,15,11,29,120,47,7,174,440,46,660
LGA56450,0,0,0,157,54,7,218,459,31,708
LGA56520,96,14,110,611,265,61,937,2054,244,3235
LGA56580,476,132,613,3497,1229,200,4926,10633,948,16507
LGA56620,0,0,3,151,216,41,408,533,95,1036
LGA56730,147,25,178,1511,594,97,2202,5165,899,8266
LGA56790,28,21,49,482,156,23,661,1696,237,2594
LGA56860,3,0,3,28,9,3,40,124,13,177
LGA56930,32,11,43,236,103,9,348,764,121,1233
LGA57000,3,0,3,147,35,5,187,511,83,781
LGA57080,93,23,122,989,587,16,1592,11578,2685,15855
LGA57140,22,4,26,171,79,10,260,579,70,909
LGA57210,75,13,88,785,212,32,1029,2535,360,3924
LGA57280,23,7,30,2178,499,112,2789,6449,2600,11838
LGA57350,26,3,29,161,38,0,199,595,44,838
LGA57420,4,5,9,365,72,19,456,1047,141,1644
LGA57490,962,251,1225,18970,6131,1075,26176,48050,6194,80420
LGA57560,15,3,18,3525,702,183,4410,9556,4229,18195
LGA57630,0,0,0,7,0,0,7,68,17,92
LGA57700,109,19,128,3357,1079,165,4601,7937,1033,13571
LGA57770,9,0,9,129,35,10,174,491,48,713
LGA57840,885,212,1107,5159,2203,303,7665,24446,2789,34900
LGA57910,3254,917,4217,28953,11231,1211,41395,107470,13810,162675
LGA57980,244,79,323,2312,1001,118,3431,10532,1204,15167
LGA58050,780,218,1004,19679,5785,876,26340,51067,6601,84008
LGA58190,4,0,4,85,27,3,115,153,27,295
LGA58260,8,3,11,112,23,7,142,284,44,470
LGA58330,26,12,38,583,244,39,866,2397,335,3598
LGA58400,7,0,7,57,6,7,70,187,22,279
LGA58470,0,0,0,40,11,0,51,104,28,183
LGA58510,764,334,1106,4077,1340,174,5591,19550,3029,28170
LGA58540,6,3,9,175,37,6,218,429,46,693
LGA58570,518,80,606,4173,1366,217,5756,18849,2583,27188
LGA58610,40,13,53,291,101,11,403,960,101,1464
LGA58680,3,0,3,91,23,3,117,203,27,347
LGA58760,1106,328,1446,29892,7975,1388,39255,67465,8246,114966
LGA58820,50,8,58,572,196,43,811,1849,189,2849
LGA58890,12,0,12,171,44,9,224,420,39,683
LGA59030,3,0,3,50,9,0,59,151,18,228
LGA59100,7,3,10,142,39,6,187,352,40,579
LGA59170,7,0,7,157,64,14,235,457,37,729
LGA59250,0,0,0,184,69,13,266,625,144,1035
LGA59310,16,3,19,264,75,16,355,667,67,1089
LGA59320,3,0,3,85,17,7,109,174,21,304
LGA59330,16,0,16,75,13,5,93,285,44,422
LGA59340,14,3,17,1100,437,109,1646,3527,719,5892
LGA59350,0,0,0,60,15,0,75,212,64,351
LGA59360,10,0,10,276,53,8,337,822,177,1336
LGA59370,35,13,48,483,232,35,750,1796,229,2775
LGA59399,0,0,0,32,8,0,40,311,65,416
LGA59499,9,8,17,561,249,29,839,4552,1299,6690
LGA60210,111,26,140,828,260,22,1110,3623,432,5165
LGA60410,108,18,126,2780,827,142,3749,6774,960,11483
LGA60610,247,149,396,3023,1150,144,4317,9976,1181,15474
LGA60810,329,112,441,3263,1361,169,4793,11229,1309,17331
LGA61010,20,3,23,318,104,7,429,1242,165,1836
LGA61210,115,17,132,1396,491,74,1961,3790,418,6169
LGA61410,1041,161,1216,8275,3738,435,12448,26782,2894,42124
LGA61510,121,19,140,1568,542,71,2181,5008,561,7750
LGA61610,516,147,663,3724,1519,232,5475,12813,1532,19820
LGA61810,110,15,125,1039,395,36,1470,3654,362,5486
LGA62010,13,3,16,98,41,6,145,476,45,666
LGA62210,85,18,103,1002,422,49,1473,3403,366,5242
LGA62410,82,26,108,498,242,21,761,2576,254,3591
LGA62610,836,180,1026,6708,2964,363,10035,23677,2498,36210
LGA62810,1018,256,1288,6741,2826,431,9998,28802,2746,41546
LGA63010,170,29,199,2511,865,142,3518,7867,691,12076
LGA63210,75,11,86,938,318,43,1299,3307,290,4896
LGA63410,28,7,35,196,82,12,290,951,83,1324
LGA63610,469,128,609,5930,2486,393,8809,16743,1324,26876
LGA63810,168,26,194,1520,554,81,2155,5387,471,8013
LGA64010,1344,251,1602,9870,3746,468,14084,34693,3549,52326
LGA64210,327,46,376,3052,1124,143,4319,10107,887,15313
LGA64610,165,31,196,1918,682,101,2701,6563,619,9883
LGA64810,161,35,196,2231,812,144,3187,6682,717,10586
LGA65010,52,11,63,989,334,38,1361,3086,350,4797
LGA65210,31,8,39,336,155,14,505,1298,168,1971
LGA65410,213,51,273,2119,811,92,3022,7403,720,11145
LGA65610,24,11,35,759,211,27,997,2399,319,3715
LGA65810,287,112,399,3579,1280,186,5045,11506,1033,17584
LGA69399,0,0,0,6,6,0,12,82,15,109
LGA69499,0,0,0,111,59,3,173,653,149,975
LGA70200,65,47,115,3785,1351,273,5409,11740,2463,19612
LGA70420,19,0,22,992,589,86,1667,2467,827,4961
LGA70540,0,0,0,10,41,0,51,67,10,128
LGA70620,13,3,24,535,429,144,1108,1187,352,2647
LGA70700,0,0,0,135,42,9,186,533,186,905
LGA71000,254,55,312,10239,3524,535,14298,36573,8154,59025
LGA71300,16,0,16,1090,1846,558,3494,2434,306,6234
LGA72200,23,4,27,1456,437,74,1967,4043,871,6881
LGA72300,35,8,43,2955,961,148,4064,8746,2160,14970
LGA72330,11,4,15,784,495,131,1410,1825,1112,4347
LGA72800,50,18,68,5203,1326,321,6850,11231,2194,20275
LGA73600,6,7,19,798,775,221,1794,1916,489,4199
LGA74050,0,0,0,425,234,33,692,1078,64,1834
LGA74500,8,0,11,1153,707,160,2020,1692,236,3948
LGA74560,0,0,0,47,26,0,73,219,35,327
LGA74660,3,3,19,762,1138,672,2572,1544,308,4424
LGA79399,3,0,3,1442,245,69,1756,3198,1407,6361
LGA79499,0,0,0,127,79,0,206,1256,263,1725
LGA89399,3989,774,4829,57813,21173,3053,82039,191726,16540,290305
LGA89499,3,3,6,62,36,3,101,403,69,573
LGA99399,4,0,4,322,71,21,414,1211,884,2509
LGA99499,0,0,0,3,0,0,3,18,0,21
