region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
LGA62410,55,26,108,558,915,524,509,788,298,3592
LGA62610,452,200,1026,7206,9576,4554,3775,8280,2819,36210
LGA62810,555,270,1288,10921,12477,5194,3074,7005,2875,41546
LGA63010,103,31,200,2106,3195,1840,1745,2401,787,12074
LGA63210,39,12,85,860,1208,698,758,1055,319,4898
LGA63410,13,8,34,274,360,166,149,280,93,1322
LGA63610,225,136,610,6056,8039,4151,3123,4065,1439,26873
LGA63810,110,32,192,1482,1985,1131,1063,1810,539,8010
LGA64010,852,273,1602,11081,13930,6540,5366,11480,3927,52324
LGA64210,191,52,376,3000,3913,2104,2012,3302,984,15315
LGA64610,96,41,194,1879,2502,1382,1241,2147,733,9884
LGA64810,84,35,196,2007,2938,1506,1333,1993,809,10586
LGA65010,30,13,64,872,1115,683,676,1042,409,4797
LGA65210,15,8,37,290,491,336,320,339,197,1973
LGA65410,129,49,270,2037,2733,1685,1518,2368,803,11144
LGA65610,15,12,37,619,915,471,488,873,350,3716
LGA65810,136,119,400,3572,4815,2628,2211,3203,1157,17586
LGA69399,0,0,0,18,17,3,3,55,15,111
LGA69499,0,0,0,214,186,62,64,299,150,975
LGA70200,31,47,114,4658,5507,2054,1306,3540,2546,19611
LGA70420,13,6,22,1231,1047,352,185,1232,916,4963
LGA70540,0,0,0,102,9,6,0,10,4,131
LGA70620,12,3,22,591,691,257,110,631,366,2646
LGA70700,0,0,3,125,209,114,80,184,195,907
LGA71000,164,52,314,13869,15687,5821,3726,11404,8517,59024
LGA71300,9,0,15,1826,1853,583,378,1283,311,6234
LGA72200,18,3,29,1468,1752,699,524,1514,922,6879
LGA72300,10,10,46,2759,3971,1833,1493,2653,2263,14972
LGA72330,8,0,14,841,768,376,127,1111,1121,4344
LGA72800,43,25,68,4478,5935,2232,1632,3692,2311,20280
LGA73600,6,4,19,1117,948,489,384,732,526,4196
LGA74050,0,0,0,742,267,118,73,589,46,1835
LGA74500,6,0,12,997,722,594,516,868,252,3949
LGA74560,0,0,0,49,117,48,34,43,33,324
LGA74660,6,3,15,1317,1500,388,142,765,312,4424
LGA79399,0,0,3,1300,1480,519,495,1134,1433,6361
LGA79499,0,0,0,325,357,125,109,527,280,1723
LGA89399,1938,840,4829,75500,91026,37294,22548,46397,17538,290303
LGA89499,3,3,6,171,135,35,23,145,66,575
LGA99399,4,0,4,364,392,149,106,575,922,2508
LGA99499,0,0,0,7,6,0,0,9,0,22
