region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
LGA26170,305,109,671,4236,5593,3433,3189,4002,1614,22067
LGA26260,256,95,536,2649,3390,1800,1784,2707,987,13317
LGA26350,872,473,2159,25148,21089,7307,5084,15207,7133,80968
LGA26430,133,68,306,1431,1935,1125,1121,1658,738,8008
LGA26490,224,81,482,4675,5666,3009,2495,3079,1420,20344
LGA26610,237,95,476,3107,3770,1904,1931,3739,1769,16220
LGA26670,97,37,185,897,1235,715,672,962,347,4828
LGA26700,300,221,749,4400,5740,3038,2655,4217,1687,21737
LGA26730,311,235,802,5530,6571,3224,2846,5187,2330,25688
LGA26810,400,168,868,6188,8144,4625,4519,6448,3652,33576
LGA26890,50,17,123,652,815,502,506,686,290,3451
LGA26980,1557,1058,4280,30258,32385,15383,11538,27056,8575,125195
LGA27070,734,443,1547,26885,27046,12372,11336,35174,9848,122661
LGA27170,284,92,538,6340,7495,3592,2867,5627,1882,27803
LGA27260,557,233,1105,27502,30960,13481,12166,28848,10297,123254
LGA27350,442,169,902,22337,18168,4889,2999,10841,6096,65330
LGA27450,842,479,1962,26872,31499,15807,12966,21022,7512,115678
LGA27630,139,44,285,1068,1265,791,888,1258,577,5847
LGA29399,0,0,0,192,127,46,43,213,92,713
LGA29499,27,19,53,1611,1165,390,319,2085,1697,7267
LGA30250,5,0,5,241,179,83,15,308,75,901
LGA30300,30,12,51,643,786,447,437,840,360,3513
LGA30370,87,43,185,2253,2791,1306,1529,2223,954,11056
LGA30410,17,6,39,490,611,268,356,552,241,2518
LGA30450,3,0,3,50,59,27,35,94,23,288
LGA30760,19,10,32,331,414,189,263,409,159,1765
LGA30900,0,0,0,84,70,42,43,97,37,373
LGA31000,7999,4341,18693,227106,237727,95730,70720,160262,64528,856073
LGA31750,0,0,0,54,72,25,32,106,34,323
LGA31820,802,486,1871,12304,17477,9978,9941,15819,6866,72385
LGA31900,202,60,375,2473,3073,1858,1943,3186,1227,13760
LGA31950,0,0,0,77,85,37,18,114,101,432
LGA32070,785,391,1684,26311,33226,14584,11721,23218,13254,122314
LGA32250,4,0,4,274,309,132,131,461,308,1615
LGA32260,253,91,473,3817,5304,2987,3036,4902,2204,22250
LGA32270,37,40,112,4619,5453,2345,2672,4008,2552,21649
LGA32310,122,29,209,1621,2152,1105,1284,2146,1088,9396
LGA32330,3,0,3,156,210,151,150,99,17,783
LGA32450,12,6,21,500,524,187,194,707,454,2566
LGA32500,6,4,22,512,720,348,344,628,845,3397
LGA32600,0,3,3,46,41,12,31,53,49,232
LGA32750,0,0,0,57,52,15,9,83,21,237
LGA32770,6,0,6,163,178,20,26,401,12,800
LGA33100,3,0,3,128,138,68,97,214,86,731
LGA33200,9,6,20,254,324,158,167,345,167,1415
LGA33220,828,631,2072,12711,18450,10786,10939,16438,7758,77082
LGA33360,213,71,419,9383,11478,5575,5368,8386,4472,44662
