region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
LGA62810,2628,27165,2925,48697
LGA63010,651,10365,741,15139
LGA63210,194,4503,269,6096
LGA63410,47,1074,83,1569
LGA63610,1785,20829,1556,33895
LGA63810,278,7640,497,9832
LGA64010,2422,45663,3909,64190
LGA64210,687,14072,929,18883
LGA64610,374,9584,528,12226
LGA64810,469,9839,795,13188
LGA65010,134,4826,421,6056
LGA65210,69,1638,158,2351
LGA65410,468,10434,741,13703
LGA65610,128,3554,345,4685
LGA65810,903,14793,1102,21823
LGA69399,0,63,13,108
LGA69499,22,640,163,1069
LGA70200,1142,14088,2659,25187
LGA70420,95,5295,803,6828
LGA70540,0,173,3,179
LGA70620,30,3258,217,3718
LGA70700,35,641,212,1103
LGA71000,3915,31852,9655,72928
LGA71300,50,8509,257,9101
LGA72200,417,6162,1017,9183
LGA72300,1058,10939,2682,18992
LGA72330,27,4705,849,5828
LGA72800,1632,15858,2995,27706
LGA73600,47,5320,466,6122
LGA74050,19,2394,50,2579
LGA74500,60,5370,238,5927
LGA74560,24,212,31,363
LGA74660,94,5366,296,6228
LGA79399,408,4060,1566,8087
LGA79499,70,929,268,1869
LGA89399,20997,180242,19344,356589
LGA89499,38,288,79,641
LGA99399,132,976,919,3003
LGA99499,0,16,0,23
