region_id,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA65010,59,0,0,0,0,59,60,0,0,0,0,60,48,0,0,0,0,48,97,0,0,0,3,100,91,0,0,0,0,91,211,0,0,0,0,211,151,0,0,0,0,151,104,0,0,0,0,104,28,0,0,0,0,28,18,0,0,0,0,18,11,0,0,0,0,11,54,0,0,0,0,54,932,0,0,0,3,935
LGA65210,23,0,0,0,0,23,19,0,0,0,0,19,20,0,0,0,0,20,35,0,0,0,0,35,38,0,0,0,0,38,39,0,0,0,0,39,35,0,0,0,0,35,13,0,0,0,0,13,12,0,0,0,0,12,4,0,0,0,0,4,7,0,0,0,0,7,23,0,0,3,0,26,268,0,0,3,0,271
LGA65410,106,3,3,3,0,115,71,0,0,0,0,71,90,0,0,0,0,90,153,4,0,0,0,157,188,7,0,3,0,198,418,4,0,0,0,422,293,0,3,0,0,296,194,4,0,0,0,198,46,0,0,0,0,46,41,0,0,0,0,41,24,3,0,0,0,27,76,0,0,0,0,76,1700,25,6,6,0,1737
LGA65610,40,0,0,3,0,43,48,0,0,0,0,48,45,0,0,0,0,45,90,0,0,3,0,93,64,0,0,0,0,64,79,0,0,0,0,79,39,0,0,0,0,39,17,0,0,0,0,17,10,0,0,0,0,10,7,0,0,0,0,7,3,0,0,0,0,3,24,0,0,0,0,24,466,0,0,6,0,472
LGA65810,145,0,3,0,0,148,133,3,3,0,0,139,128,0,3,0,0,131,225,3,0,3,0,231,268,3,3,0,0,274,607,14,0,4,0,625,595,7,3,0,0,605,483,6,4,0,0,493,162,0,4,0,0,166,123,0,0,0,0,123,45,3,0,0,0,48,119,0,0,0,0,119,3033,39,23,7,0,3102
LGA69399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70200,56,0,3,3,0,62,24,4,4,4,0,36,27,8,6,0,0,41,62,5,11,4,0,82,97,11,23,0,0,131,360,49,55,11,0,475,378,57,52,0,0,487,637,84,69,5,0,795,352,27,22,3,3,407,289,23,12,3,0,327,113,4,10,0,0,127,127,9,16,3,0,155,2522,281,283,36,3,3125
LGA70420,14,0,0,3,0,17,14,0,0,0,0,14,11,0,0,0,0,11,24,0,0,0,0,24,23,0,0,0,0,23,40,0,3,0,0,43,14,0,3,0,0,17,7,0,0,0,0,7,6,0,0,0,0,6,0,0,0,0,0,0,4,0,0,4,0,8,10,0,0,0,0,10,167,0,6,7,0,180
LGA70540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA70620,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,4,7
LGA70700,6,0,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,9,0,3,0,0,12,20,0,0,0,0,20,20,0,0,0,0,20,5,0,0,0,0,5,4,0,0,0,0,4,5,0,0,0,0,5,6,0,0,3,0,9,7,0,0,0,0,7,91,0,3,3,0,97
LGA71000,183,25,34,0,0,242,72,22,15,0,0,109,60,13,11,3,3,90,146,34,37,0,0,217,174,47,43,3,0,267,628,136,152,0,8,924,661,172,199,9,4,1045,993,209,293,5,5,1505,761,130,201,7,4,1103,872,102,153,3,0,1130,503,72,90,0,0,665,262,62,45,5,3,377,5315,1024,1273,35,27,7674
LGA71300,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
LGA72200,22,3,0,0,0,25,8,0,0,0,0,8,18,0,0,0,0,18,22,3,3,0,0,28,37,0,0,0,0,37,112,14,4,0,0,130,142,11,3,0,0,156,143,8,0,0,0,151,56,3,4,0,0,63,43,0,0,3,0,46,27,3,0,0,0,30,41,0,0,4,0,45,671,45,14,7,0,737
LGA72300,64,6,0,0,0,70,51,0,0,0,0,51,35,0,0,0,0,35,65,0,0,6,0,71,79,3,0,10,0,92,284,13,4,10,0,311,315,17,3,20,3,358,493,11,7,19,3,533,338,14,0,9,0,361,444,12,0,9,0,465,262,11,0,7,0,280,157,7,0,3,0,167,2587,94,14,93,6,2794
LGA72330,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,3,3,10
LGA72800,51,6,5,0,0,62,26,6,5,0,0,37,31,0,5,0,0,36,66,10,5,0,0,81,105,14,15,0,0,134,299,36,41,0,0,376,369,37,70,0,0,476,694,74,74,0,4,846,606,42,34,0,0,682,563,23,9,0,0,595,217,4,7,0,0,228,146,11,7,0,0,164,3173,263,277,0,4,3717
LGA73600,7,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,3,0,3,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,5,26,0,0,9,0,35
LGA74050,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
LGA74500,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,6,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,23,0,0,3,0,26
LGA74560,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,7,20,0,0,0,0,20,5,0,0,0,0,5,13,0,0,0,0,13,6,0,0,0,0,6,8,0,0,3,0,11,4,0,0,0,0,4,4,0,0,0,0,4,73,0,0,3,0,76
LGA74660,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
LGA79399,3,0,0,0,0,3,3,0,0,7,0,10,3,0,0,3,0,6,9,0,0,0,0,9,3,0,0,3,0,6,9,0,0,7,0,16,9,0,0,4,0,13,22,3,3,3,3,34,9,0,0,3,0,12,4,0,4,0,0,8,0,0,0,0,3,3,6,0,4,5,0,15,80,3,11,35,6,135
LGA79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA89399,1576,189,72,0,4,1841,743,88,32,4,0,867,682,58,30,3,0,773,1225,151,74,0,0,1450,1610,228,88,0,0,1926,4254,511,292,0,0,5057,4898,762,468,0,0,6128,9040,1650,1000,0,4,11694,6757,873,464,3,0,8097,6256,584,324,0,5,7169,3312,259,179,3,0,3753,1410,157,71,0,0,1638,41763,5510,3094,13,13,50393
LGA89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA99399,3,0,3,0,0,6,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,3,0,0,3,0,0,3,5,5,3,0,0,13,5,0,0,0,0,5,7,3,0,0,0,10,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,6,3,0,0,0,0,3,35,8,12,0,3,58
LGA99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
