region_id,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,tpe_ur_occ_pvte_dwg_Sh_Indi_M,tpe_ur_occ_pvte_dwg_Sh_Indi_F,tpe_ur_occ_pvte_dwg_Sh_Indi_P,tpe_ur_occ_pte_dw_Sh_No_Ind_M,tpe_ur_occ_pte_dw_Sh_No_Ind_F,tpe_ur_occ_pte_dw_Sh_No_Ind_P,t_ur_occ_pte_dw_Sh_In_st_nsM,t_ur_occ_pte_dw_Sh_In_st_nsF,t_ur_occ_pte_dw_Sh_In_st_nsP,tpe_ur_occ_pvte_dwg_Sh_TotM,tpe_ur_occ_pvte_dwg_Sh_TotF,tpe_ur_occ_pvte_dwg_Sh_TotP,t_ur_oc_p_dw_im_h_t_s_o_In_M,t_ur_oc_p_dw_im_h_t_s_o_In_F,t_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,t_ur_o_p_d_I_h_t_s_o_i_s_nsM,t_ur_o_p_d_I_h_t_s_o_i_s_nsF,t_ur_o_p_d_I_h_t_s_o_i_s_nsP,t_ur_o_p_d_I_h_t_s_o_TotM,t_ur_o_p_d_I_h_t_s_o_TotF,t_ur_o_p_d_I_h_t_s_o_TotP,ty_ur_oc_p_dw_Ot_p_dw_In_M,ty_ur_oc_p_dw_Ot_p_dw_In_F,ty_ur_oc_p_dw_Ot_p_dw_In_P,ty_ur_o_pr_d_Ot_pr_d_No_In_M,ty_ur_o_pr_d_Ot_pr_d_No_In_F,ty_ur_o_pr_d_Ot_pr_d_No_In_P,ty_ur_o_p_d_O_p_d_In_st_nsM,ty_ur_o_p_d_O_p_d_In_st_nsF,ty_ur_o_p_d_O_p_d_In_st_nsP,ty_ur_oc_pr_dw_Ot_pr_dw_TotM,ty_ur_oc_pr_dw_Ot_pr_dw_TotF,ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
LGA15950,2544,4306,16,12,28,1786,2563,4349,3,3,6,395,480,875,3,6,9,401,489,890,0,0,0,212,266,478,5,7,12,217,273,490,0,0,0,47,62,109,3,3,6,50,65,115,8,6,14,4853,5299,10152,246,255,501,5107,5560,10667,0,0,0,0,0,0,0,0,0,0,0,0,56,45,101,20331,23129,43460,2136,2072,4208,22523,25246,47769,64,51,115,25184,28428,53612,2382,2327,4709,27630,30806,58436,5,0,5,446,345,791,68,25,93,519,370,889
LGA16100,641,1406,4,4,8,788,659,1447,6,9,15,212,177,389,7,4,11,225,190,415,7,6,13,151,109,260,3,3,6,161,118,279,0,0,0,15,11,26,0,0,0,15,11,26,69,55,124,2149,2043,4192,75,73,148,2293,2171,4464,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,77,43,120,3,5,8,87,51,138,76,58,134,2226,2086,4312,78,78,156,2380,2222,4602,15,0,15,107,20,127,0,0,0,122,20,142
LGA16150,4426,8723,39,34,73,4521,4655,9176,75,104,179,1238,1345,2583,10,15,25,1323,1464,2787,80,62,142,931,905,1836,13,12,25,1024,979,2003,8,6,14,104,94,198,5,3,8,117,103,220,833,861,1694,14016,14879,28895,655,652,1307,15504,16392,31896,0,0,0,0,3,3,3,0,3,3,3,6,103,92,195,1194,1373,2567,147,101,248,1444,1566,3010,936,953,1889,15210,16255,31465,805,753,1558,16951,17961,34912,14,27,41,404,524,928,82,22,104,500,573,1073
LGA16180,1183,2469,13,11,24,1318,1213,2531,6,13,19,383,287,670,4,0,4,393,300,693,3,0,3,231,160,391,3,3,6,237,163,400,0,0,0,11,17,28,0,0,0,11,17,28,99,101,200,5955,5995,11950,323,315,638,6377,6411,12788,0,0,0,16,14,30,0,0,0,16,14,30,0,6,6,218,185,403,32,6,38,250,197,447,99,107,206,6189,6194,12383,355,321,676,6643,6622,13265,4,3,7,50,66,116,24,22,46,78,91,169
LGA16200,1774,3594,15,17,32,1948,1921,3869,50,54,104,571,560,1131,5,12,17,626,626,1252,52,33,85,500,431,931,3,3,6,555,467,1022,6,3,9,18,19,37,0,0,0,24,22,46,532,551,1083,5442,5632,11074,337,321,658,6311,6504,12815,0,0,0,0,0,0,0,0,0,0,0,0,23,17,40,271,312,583,25,26,51,319,355,674,555,568,1123,5713,5944,11657,362,347,709,6630,6859,13489,0,3,3,71,123,194,6,7,13,77,133,210
LGA16250,11200,21920,126,113,239,10987,11440,22427,62,70,132,3039,3301,6340,38,40,78,3139,3411,6550,53,43,96,2800,3447,6247,48,46,94,2901,3536,6437,6,3,9,1137,1432,2569,21,23,44,1164,1458,2622,386,391,777,43617,44424,88041,2189,1998,4187,46192,46813,93005,0,0,0,12,5,17,0,0,0,12,5,17,246,225,471,30225,30294,60519,2439,2052,4491,32910,32571,65481,632,616,1248,73854,74723,148577,4628,4050,8678,79114,79389,158503,76,15,91,1730,1659,3389,176,149,325,1982,1823,3805
LGA16350,21839,43914,189,165,354,22826,22571,45397,226,244,470,5726,5718,11444,53,90,143,6005,6052,12057,133,145,278,3385,3635,7020,56,60,116,3574,3840,7414,11,5,16,301,437,738,12,13,25,324,455,779,2045,2148,4193,68193,69567,137760,2625,2470,5095,72863,74185,147048,0,0,0,15,5,20,0,0,0,15,5,20,379,425,804,10116,11483,21599,740,730,1470,11235,12638,23873,2424,2573,4997,78324,81055,159379,3365,3200,6565,84113,86828,170941,113,87,200,835,999,1834,79,95,174,1027,1181,2208
LGA16370,5114,9492,30,56,86,4440,5192,9632,6,4,10,1063,1136,2199,6,11,17,1075,1151,2226,6,5,11,468,476,944,10,12,22,484,493,977,0,0,0,36,50,86,3,0,3,39,50,89,99,83,182,20298,20775,41073,755,710,1465,21152,21568,42720,0,0,0,3,0,3,0,0,0,3,0,3,24,27,51,4711,5465,10176,256,229,485,4991,5721,10712,123,110,233,25012,26240,51252,1011,939,1950,26146,27289,53435,0,0,0,188,528,716,4,16,20,192,544,736
LGA16380,10351,19407,82,87,169,9400,10722,20122,106,111,217,3089,3418,6507,29,48,77,3224,3577,6801,70,61,131,1958,1839,3797,30,28,58,2058,1928,3986,6,0,6,60,57,117,3,4,7,69,61,130,921,949,1870,25087,26767,51854,876,840,1716,26884,28556,55440,0,0,0,6,3,9,3,3,6,9,6,15,199,198,397,4863,5940,10803,326,279,605,5388,6417,11805,1120,1147,2267,29956,32710,62666,1205,1122,2327,32281,34979,67260,10,16,26,292,591,883,51,110,161,353,717,1070
LGA16400,8999,17637,78,84,162,8978,9328,18306,114,151,265,2662,2857,5519,30,28,58,2806,3036,5842,70,56,126,1411,1358,2769,24,27,51,1505,1441,2946,4,0,4,87,67,154,5,4,9,96,71,167,937,1023,1960,23704,24535,48239,1008,988,1996,25649,26546,52195,0,0,0,21,12,33,3,0,3,24,12,36,114,121,235,3455,3819,7274,334,280,614,3903,4220,8123,1051,1144,2195,27180,28366,55546,1345,1268,2613,29576,30778,60354,0,0,0,264,233,497,97,127,224,361,360,721
