region_id,NsQ_AD_DL_In_st_nsP,NsQ_AD_DL_TotM,NsQ_AD_DL_TotF,NsQ_AD_DL_TotP,NsQ_Crt_II_Ind_M,NsQ_Crt_II_Ind_F,NsQ_Crt_II_Ind_P,NsQ_Cer_II_No_Ind_M,NsQ_Cer_II_No_Ind_F,NsQ_Cer_II_No_Ind_P,NsQ_Ce_II_IndSt_nsM,NsQ_Ce_II_IndSt_nsF,NsQ_Ce_II_IndSt_nsP,NsQ_Crt_II_TotM,NsQ_Crt_II_TotF,NsQ_Crt_II_TotP,NsQ_Crt_III_ovr_Ind_M,NsQ_Crt_III_ovr_Ind_F,NsQ_Crt_III_ovr_Ind_P,NsQ_Cer_III_ov_No_In_M,NsQ_Cer_III_ov_No_In_F,NsQ_Cer_III_ov_No_In_P,NsQ_Ce_III_ov_Ind_s_nsM,NsQ_Ce_III_ov_Ind_s_nsF,NsQ_Ce_III_ov_Ind_s_nsP,NsQ_Crt_III_ovr_TotM,NsQ_Crt_III_ovr_TotF,NsQ_Crt_III_ovr_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
LGA17650,3,151,241,392,3,0,3,20,30,50,0,0,0,23,30,53,21,9,30,557,275,832,5,0,5,583,284,867,135,140,275,2326,2395,4721,35,25,60,2496,2560,5056,24,32,56,306,322,628,4,4,8,334,358,692,87,93,180,1690,1673,3363,27,18,45,1804,1784,3588,60,61,121,793,898,1691,9,6,15,862,965,1827
LGA17700,0,14,24,38,0,0,0,3,11,14,0,0,0,3,11,14,0,0,0,96,37,133,0,0,0,96,37,133,18,11,29,495,454,949,6,5,11,519,470,989,3,3,6,42,30,72,0,0,0,45,33,78,8,8,16,397,344,741,4,4,8,409,356,765,9,5,14,111,98,209,0,3,3,120,106,226
LGA17750,19,1286,1846,3132,17,19,36,235,502,737,3,4,7,255,525,780,149,129,278,5828,2759,8587,39,20,59,6016,2908,8924,961,1014,1975,21201,22461,43662,232,263,495,22394,23738,46132,300,297,597,4781,4980,9761,54,50,104,5135,5327,10462,578,560,1138,13354,14130,27484,169,183,352,14101,14873,28974,504,567,1071,10910,11587,22497,88,96,184,11502,12250,23752
LGA17800,3,67,126,193,0,0,0,5,17,22,0,3,3,5,20,25,3,3,6,331,152,483,0,0,0,334,155,489,43,45,88,1577,1509,3086,34,28,62,1654,1582,3236,4,4,8,221,233,454,3,0,3,228,237,465,21,27,48,1220,1128,2348,26,21,47,1267,1176,2443,20,19,39,482,525,1007,6,6,12,508,550,1058
LGA17850,0,76,88,164,0,0,0,11,27,38,0,0,0,11,27,38,5,8,13,279,108,387,0,3,3,284,119,403,79,84,163,1171,1198,2369,18,12,30,1268,1294,2562,26,20,46,154,145,299,4,3,7,184,168,352,55,55,110,891,883,1774,12,10,22,958,948,1906,29,36,65,372,388,760,5,3,8,406,427,833
LGA17900,0,103,140,243,7,11,18,16,16,32,0,0,0,23,27,50,48,52,100,446,177,623,6,0,6,500,229,729,727,780,1507,1981,1546,3527,40,28,68,2748,2354,5102,81,110,191,292,232,524,9,3,12,382,345,727,528,543,1071,1439,1054,2493,24,15,39,1991,1612,3603,180,226,406,702,605,1307,14,14,28,896,845,1741
LGA17950,0,42,81,123,0,5,5,9,21,30,0,0,0,9,26,35,6,12,18,205,62,267,0,0,0,211,74,285,109,171,280,976,939,1915,14,10,24,1099,1120,2219,37,35,72,160,148,308,5,0,5,202,183,385,65,108,173,743,685,1428,6,7,13,814,800,1614,69,82,151,331,321,652,6,3,9,406,406,812
LGA18000,71,5499,7811,13310,0,5,5,372,689,1061,3,3,6,375,697,1072,57,29,86,11317,4126,15443,85,22,107,11459,4177,15636,245,244,489,55089,57417,112506,464,504,968,55798,58165,113963,41,49,90,9545,9861,19406,90,99,189,9676,10009,19685,145,143,288,36218,38208,74426,310,348,658,36673,38699,75372,115,134,249,23974,24924,48898,190,185,375,24279,25243,49522
LGA18020,0,156,280,436,4,5,9,38,79,117,0,0,0,42,84,126,28,34,62,773,352,1125,9,0,9,810,386,1196,348,348,696,3515,3492,7007,57,55,112,3920,3895,7815,67,78,145,463,490,953,8,8,16,538,576,1114,205,204,409,2647,2600,5247,42,36,78,2894,2840,5734,152,152,304,1105,1172,2277,19,16,35,1276,1340,2616
LGA18050,26,2151,3036,5187,0,0,0,98,149,247,0,0,0,98,149,247,14,10,24,2854,1225,4079,29,9,38,2897,1244,4141,86,82,168,21240,22237,43477,235,236,471,21561,22555,44116,35,35,70,5559,5919,11478,43,46,89,5637,6000,11637,49,36,85,12234,13090,25324,161,157,318,12444,13283,25727,64,72,136,12783,13409,26192,86,94,180,12933,13575,26508
LGA18100,0,59,109,168,0,0,0,11,28,39,0,0,0,11,28,39,6,0,6,329,135,464,3,0,3,338,135,473,32,13,45,1522,1485,3007,21,17,38,1575,1515,3090,9,12,21,170,193,363,3,3,6,182,208,390,19,9,28,1151,1117,2268,17,14,31,1187,1140,2327,14,13,27,435,475,910,8,3,11,457,491,948
