region_id,P_NonI_35_44_PtgdDe_GdDp_GdCt,P_NonI_35_44_BDL,P_NonI_35_44_ADip_DipL,P_NonI_35_44_CL_nfd,P_NonI_35_44_Ct_III_IV,P_NonI_35_44_Ct_I_II,P_NonI_35_44_LoE_NS,P_NonI_35_44_Tot,P_NonI_45_54_PtgdDe_GdDp_GdCt,P_NonI_45_54_BDL,P_NonI_45_54_ADip_DipL,P_NonI_45_54_CL_nfd,P_NonI_45_54_Ct_III_IV,P_NonI_45_54_Ct_I_II,P_NonI_45_54_LoE_NS,P_NonI_45_54_Tot,P_NonI_55_64_PtgdDe_GdDp_GdCt,P_NonI_55_64_BDL,P_NonI_55_64_ADip_DipL,P_NonI_55_64_CL_nfd,P_NonI_55_64_Ct_III_IV,P_NonI_55_64_Ct_I_II,P_NonI_55_64_LoE_NS,P_NonI_55_64_Tot,P_NonI_65ov_PtgdDe_GdDp_GdCt,P_NonI_65ov_BDL,P_NonI_65ov_ADip_DipL,P_NonI_65ov_CL_nfd,P_NonI_65ov_Ct_III_IV,P_NonI_65ov_Ct_I_II,P_NonI_65ov_LoE_NS,P_NonI_65ov_Tot,P_NonI_Tot_PtgdDe_GdDp_GdCt,P_NonI_Tot_BDL,P_NonI_Tot_ADip_DipL,P_NonI_Tot_CL_nfd,P_NonI_Tot_Ct_III_IV,P_NonI_Tot_Ct_I_II,P_NonI_Tot_LoE_NS,P_NonI_Tot_Tot,P_IS_NS_15_19_PgdDe_GdDp_GdCt,P_IS_NS_15_19_BDL,P_IS_NS_15_19_ADip_DipL,P_IS_NS_15_19_CL_nfd,P_IS_NS_15_19_Ct_III_and_IV_L,P_IS_NS_15_19_Ct_I_II,P_IS_NS_15_19_LoE_NS,P_IS_NS_15_19_Tot,P_IS_NS_20_24_PgDe_GdDp_GdCtL,P_IS_NS_20_24_BDL,P_IS_NS_20_24_ADip_DipL,P_IS_NS_20_24_CL_nfd,P_IS_NS_20_24_Ct_III_and_IV_L,P_IS_NS_20_24_Ct_I_II,P_IS_NS_20_24_LoE_NS,P_IS_NS_20_24_Tot,P_IS_NS_25_34_PgDe_GdDp_GdCtL,P_IS_NS_25_34_BDL,P_IS_NS_25_34_ADip_DipL,P_IS_NS_25_34_CL_nfd,P_IS_NS_25_34_Ct_III_and_IV_L,P_IS_NS_25_34_Ct_I_II,P_IS_NS_25_34_LoE_NS,P_IS_NS_25_34_Tot,P_IS_NS_35_44_PgDe_GdDp_GdCtL,P_IS_NS_35_44_BDL,P_IS_NS_35_44_ADip_DipL,P_IS_NS_35_44_CL_nfd,P_IS_NS_35_44_Ct_III_and_IV_L,P_IS_NS_35_44_Ct_I_II,P_IS_NS_35_44_LoE_NS,P_IS_NS_35_44_Tot,P_IS_NS_45_54_PgDe_GdDp_GdCtL,P_IS_NS_45_54_BDL,P_IS_NS_45_54_ADip_DipL,P_IS_NS_45_54_CL_nfd,P_IS_NS_45_54_Ct_III_and_IV_L,P_IS_NS_45_54_Ct_I_II,P_IS_NS_45_54_LoE_NS,P_IS_NS_45_54_Tot,P_IS_NS_55_64_PgDe_GdDp_GdCtL,P_IS_NS_55_64_BDL,P_IS_NS_55_64_ADip_DipL,P_IS_NS_55_64_CL_nfd,P_IS_NS_55_64_Crt_III_and_IV,P_IS_NS_55_64_Ct_I_II,P_IS_NS_55_64_LoE_NS,P_IS_NS_55_64_Tot,P_IS_NS_65ov_PgdDe_GdDp_GdCt,P_IS_NS_65ov_BDL,P_IS_NS_65ov_ADip_DipL,P_IS_NS_65ov_CL_nfd,P_IS_NS_65ov_Crt_III_and_IV,P_IS_NS_65ov_Ct_I_II,P_IS_NS_65ov_LoE_NS,P_IS_NS_65ov_Tot,P_IS_NS_TotPdDe_GdDp_GdCt,P_IS_NS_Tot_BDL,P_IS_NS_Tot_ADip_DipL,P_IS_NS_Tot_CL_nfd,P_IS_NS_Tot_Ct_III_IV,P_IS_NS_Tot_Ct_I_II,P_IS_NS_Tot_LoE_NS,P_IS_NS_Tot_Tot,P_Tot_15_19_PgDe_GdDp_GdCtL,P_Tot_15_19_BDL,P_Tot_15_19_ADip_DipL,P_Tot_15_19_CL_nfd,P_Tot_15_19_Ct_III_and_IV_L,P_Tot_15_19_Ct_I_II,P_Tot_15_19_LoE_NS,P_Tot_15_19_Tot,P_Tot_20_24_PgDe_GdDp_GdCtL,P_Tot_20_24_BDL,P_Tot_20_24_ADip_DipL,P_Tot_20_24_CL_nfd,P_Tot_20_24_Ct_III_and_IV_L,P_Tot_20_24_Ct_I_II,P_Tot_20_24_LoE_NS,P_Tot_20_24_Tot,P_Tot_25_34_PgDe_GdDp_GdCtL,P_Tot_25_34_BDL,P_Tot_25_34_ADip_DipL,P_Tot_25_34_CL_nfd,P_Tot_25_34_Ct_III_and_IV_L,P_Tot_25_34_Ct_I_II,P_Tot_25_34_LoE_NS,P_Tot_25_34_Tot,P_Tot_35_44_PgDe_GdDp_GdCtL,P_Tot_35_44_BDL,P_Tot_35_44_ADip_DipL,P_Tot_35_44_CL_nfd,P_Tot_35_44_Ct_III_and_IV_L,P_Tot_35_44_Ct_I_II,P_Tot_35_44_LoE_NS,P_Tot_35_44_Tot,P_Tot_45_54_PgDe_GdDp_GdCtL,P_Tot_45_54_BDL,P_Tot_45_54_ADip_DipL,P_Tot_45_54_CL_nfd,P_Tot_45_54_Ct_III_and_IV_L,P_Tot_45_54_Ct_I_II,P_Tot_45_54_LoE_NS,P_Tot_45_54_Tot,P_Tot_55_64_PgDe_GdDp_GdCtL,P_Tot_55_64_BDL,P_Tot_55_64_ADip_DipL,P_Tot_55_64_CL_nfd,P_Tot_55_64_Ct_III_and_IV_L,P_Tot_55_64_Ct_I_II,P_Tot_55_64_LoE_NS,P_Tot_55_64_Tot,P_Tot_65ov_PtgdDe_GdDp_GdCt,P_Tot_65ov_BDL,P_Tot_65ov_ADip_DipL,P_Tot_65ov_CL_nfd,P_Tot_65ov_Ct_III_and_IV_L,P_Tot_65ov_Ct_I_II,P_Tot_65ov_LoE_NS,P_Tot_65ov_Tot,P_Tot_Tot_PgDe_GdDp_GdCtL,P_Tot_Tot_BDL,P_Tot_Tot_ADip_DipL,P_Tot_Tot_CL_nfd,P_Tot_Tot_Ct_III_and_IV_L,P_Tot_Tot_Ct_I_II,P_Tot_Tot_LoE_NS,P_Tot_Tot_Tot
LGA10750,2957,7723,4685,893,7320,698,2627,26903,1954,5363,3296,755,6184,518,2554,20624,1047,3245,1919,593,4075,294,2501,13674,352,1251,967,320,2797,108,3756,9551,10041,28959,17444,3606,31411,3073,16286,110820,3,0,3,3,19,3,705,736,3,26,13,0,24,0,672,738,15,45,33,8,43,3,1391,1538,9,41,22,7,50,3,1292,1424,10,28,21,6,63,3,1132,1263,4,36,12,0,42,0,883,977,3,7,14,0,37,3,1043,1107,47,183,118,24,278,15,7118,7783,8,19,137,101,723,259,2210,3457,234,2182,1727,274,3089,412,1836,9754,3521,9296,4815,708,7624,852,3941,30757,2978,7792,4754,919,7510,720,4035,28708,1969,5417,3351,769,6346,524,3789,22165,1060,3290,1950,599,4165,298,3468,14830,360,1264,988,320,2855,111,4849,10747,10130,29260,17722,3690,32312,3176,24128,120418
LGA10800,10,86,57,16,146,17,44,376,12,48,52,28,150,12,56,358,13,36,43,12,127,9,56,296,11,24,32,6,99,5,155,332,55,290,218,76,774,79,372,1864,0,0,0,0,0,0,4,4,0,0,0,0,0,0,6,6,0,0,0,0,0,0,13,13,0,0,0,0,0,0,21,21,0,0,3,0,0,0,11,14,0,0,0,0,4,0,12,16,0,0,0,0,0,0,33,33,0,0,3,0,4,0,100,107,0,0,0,0,16,7,43,66,0,11,3,4,75,9,9,111,9,85,31,10,169,20,46,370,10,86,57,16,152,17,65,403,12,48,55,28,158,12,72,385,13,36,43,12,134,9,68,315,11,24,32,6,102,5,188,368,55,290,221,76,806,79,491,2018
LGA10850,24,115,91,16,219,23,41,529,24,90,100,17,214,20,63,528,39,88,73,18,155,11,64,448,21,48,65,16,121,11,158,440,116,441,392,91,1015,99,389,2543,0,0,0,0,0,0,21,21,0,0,0,0,0,0,14,14,0,0,0,0,3,0,18,21,0,0,0,0,0,0,34,34,0,0,0,0,0,0,31,31,0,0,0,0,6,0,36,42,0,0,3,0,3,0,50,56,0,0,3,0,12,0,204,219,0,0,0,6,10,4,52,72,0,11,11,6,97,17,34,176,8,89,52,12,208,16,33,418,24,118,91,19,222,23,79,576,24,90,103,17,218,20,97,569,39,88,73,18,164,11,100,493,21,48,68,16,124,11,208,496,116,444,398,94,1043,102,603,2800
LGA10900,1009,2417,1338,203,1926,149,347,7389,1314,2247,1452,315,2105,151,509,8093,1375,1961,1411,351,1706,127,721,7652,652,1253,1235,310,1508,80,1518,6556,4786,9823,6399,1362,9839,789,3637,36635,0,0,0,0,3,3,186,192,0,0,6,0,7,3,157,173,0,6,3,0,10,0,271,290,0,7,6,0,16,0,417,446,6,12,7,0,25,0,530,580,5,7,9,7,11,0,438,477,6,6,9,8,25,0,538,592,17,38,40,15,97,6,2537,2750,0,3,28,22,179,64,436,732,39,365,258,55,829,86,273,1905,401,1597,704,106,1693,151,480,5132,1018,2441,1364,207,1978,156,771,7935,1330,2278,1489,318,2154,154,1053,8776,1386,1978,1427,361,1735,127,1169,8183,664,1268,1247,318,1539,80,2056,7172,4838,9930,6517,1387,10107,818,6238,39835
LGA10950,9,49,16,7,73,7,15,176,4,17,35,5,67,0,25,153,11,9,10,4,40,5,21,100,0,10,10,9,42,0,77,148,31,143,86,31,291,20,163,765,0,0,0,0,0,0,8,8,0,0,0,0,0,0,6,6,0,3,0,0,0,0,11,14,0,0,0,0,0,0,21,21,0,0,0,0,0,0,26,26,0,0,0,0,0,0,25,25,0,0,3,0,0,0,23,26,0,3,3,0,0,0,120,126,0,0,0,0,4,0,26,30,0,6,6,3,34,4,16,69,7,55,12,3,62,4,20,163,9,49,16,7,78,10,46,215,4,17,35,8,67,0,55,186,11,9,10,4,40,5,49,128,0,10,13,9,42,0,105,179,31,146,92,34,327,23,317,970
LGA11000,4,25,23,3,61,12,18,146,12,26,26,12,82,3,22,183,15,28,24,6,67,4,31,175,6,18,24,6,38,0,70,162,41,133,106,30,320,31,165,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,9,0,0,0,0,0,0,4,4,0,0,0,0,0,0,9,9,0,0,0,0,3,0,16,19,0,0,0,0,3,0,41,44,0,0,0,0,6,0,13,19,0,4,0,0,16,5,4,29,4,32,9,3,53,10,10,121,4,25,23,3,61,12,27,155,12,29,26,12,88,3,26,196,15,28,24,6,67,4,40,184,6,18,24,6,41,0,86,181,41,136,106,30,332,34,206,885
LGA11050,3,31,29,9,64,4,14,154,15,29,26,6,75,7,28,186,9,26,22,6,62,4,26,155,6,18,24,8,41,0,55,152,33,142,126,32,309,21,149,812,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,8,8,0,0,0,0,0,0,4,4,0,0,0,0,3,0,8,11,0,0,0,0,0,0,18,18,0,0,0,0,3,0,49,52,0,0,3,0,6,0,17,26,0,10,6,3,15,3,9,46,0,28,16,0,46,3,15,108,3,31,29,9,67,4,22,165,15,29,26,6,75,7,32,190,9,29,22,6,68,4,34,172,6,18,24,8,41,0,73,170,33,145,126,32,318,21,202,877
LGA11100,584,1216,754,117,883,69,319,3942,317,686,488,106,776,50,327,2750,170,353,275,74,532,24,366,1794,56,185,186,64,576,20,852,1939,1958,4467,2672,474,3842,265,2396,16074,0,3,0,0,0,0,91,94,3,0,0,3,4,0,139,149,5,0,3,0,6,0,332,346,6,3,3,0,7,0,303,322,0,5,4,3,10,0,225,247,0,3,6,0,3,0,215,227,0,3,10,0,12,0,294,319,14,17,26,6,42,0,1599,1704,0,6,20,4,58,15,244,347,51,364,229,30,269,34,267,1244,788,1668,727,82,784,59,605,4713,590,1231,764,117,899,69,628,4298,317,691,499,109,797,50,561,3024,170,359,281,78,542,24,589,2043,56,188,196,64,588,20,1156,2268,1972,4507,2716,484,3937,271,4050,17937
LGA11150,7,44,30,5,56,4,10,156,14,25,23,5,46,3,21,137,3,21,9,4,38,5,20,100,3,10,6,5,16,3,45,88,37,176,106,22,222,21,117,701,0,0,0,0,0,0,23,23,0,0,0,0,0,0,20,20,0,3,0,0,0,0,32,35,0,0,0,0,0,0,49,49,0,0,0,0,3,0,37,40,0,0,0,0,0,0,28,28,0,0,0,0,3,0,47,50,0,3,0,0,6,0,236,245,0,0,0,0,3,0,48,51,0,12,4,3,26,6,26,77,10,74,34,0,62,8,55,243,7,50,37,5,79,8,86,272,17,28,27,5,56,3,75,211,3,27,12,4,45,5,62,158,3,10,6,5,25,7,102,158,40,201,120,22,296,37,454,1170
LGA11200,3,16,3,6,21,3,0,52,3,14,8,0,21,3,11,60,4,12,7,0,13,0,6,42,0,0,9,0,9,0,13,31,13,65,44,6,88,15,39,270,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,3,0,3,0,0,0,0,10,13,0,0,0,0,0,0,10,10,0,0,0,0,0,0,12,12,0,0,0,0,0,0,6,6,0,0,0,0,0,0,12,12,0,3,0,0,0,0,58,61,0,0,0,0,6,3,25,34,0,9,4,0,20,0,18,51,6,23,13,3,29,6,24,104,3,19,6,6,36,13,25,108,3,20,11,3,35,3,40,115,4,15,10,0,20,4,17,70,0,0,9,0,12,0,28,49,16,86,53,12,158,29,177,531
