region_id,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
LGA17640,0,3,5,8,0,3,0,3,0,0,0,0,0,8,3,11,3,3,0,6,0,3,0,3,3,5,0,8,6,25,8,39,0,7,0,7,0,5,0,5,0,5,0,5,7,8,0,15,3,0,0,3,0,4,0,4,0,0,0,0,10,29,0,39,0,10,5,15,0,8,0,8,0,5,0,5,7,16,3,26,6,3,0,9,0,7,0,7,3,5,0,8,16,54,8,78
LGA17650,0,18,0,18,0,14,0,14,4,17,0,21,3,13,3,19,4,13,3,20,3,17,3,23,0,3,3,6,14,95,12,121,0,16,6,22,0,7,0,7,4,11,3,18,0,12,0,12,6,24,3,33,3,11,0,14,0,10,3,13,13,91,15,119,0,34,6,40,0,21,0,21,8,28,3,39,3,25,3,31,10,37,6,53,6,28,3,37,0,13,6,19,27,186,27,240
LGA17700,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,6,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,3,0,0,3,0,3,0,3,3,10,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,4,0,4,3,6,0,9,0,3,0,3,3,19,0,22
LGA17750,15,123,27,165,9,111,13,133,14,141,10,165,15,108,13,136,13,79,3,95,11,52,10,73,5,16,8,29,82,630,84,796,8,130,17,155,12,92,12,116,36,133,11,180,40,126,13,179,29,91,8,128,6,47,6,59,14,30,5,49,145,649,72,866,23,253,44,320,21,203,25,249,50,274,21,345,55,234,26,315,42,170,11,223,17,99,16,132,19,46,13,78,227,1279,156,1662
LGA17800,0,6,3,9,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,6,3,0,3,6,0,4,3,7,3,22,9,34,0,7,0,7,0,0,0,0,0,5,0,5,0,7,0,7,0,8,6,14,0,4,0,4,0,3,0,3,0,34,6,40,0,13,3,16,0,0,0,0,0,11,0,11,0,7,0,7,0,14,6,20,3,4,3,10,0,7,3,10,3,56,15,74
LGA17850,0,9,5,14,4,3,0,7,0,3,0,3,0,12,0,12,0,10,0,10,0,6,3,9,0,3,0,3,4,46,8,58,0,7,3,10,0,7,0,7,0,15,0,15,0,9,3,12,3,3,3,9,3,7,3,13,0,8,0,8,6,56,12,74,0,16,8,24,4,10,0,14,0,18,0,18,0,21,3,24,3,13,3,19,3,13,6,22,0,11,0,11,10,102,20,132
LGA17900,6,62,18,86,5,47,12,64,12,66,9,87,17,71,14,102,12,82,13,107,10,61,8,79,3,43,12,58,65,432,86,583,6,71,18,95,3,53,7,63,17,81,11,109,26,89,18,133,25,74,16,115,14,48,8,70,7,34,12,53,98,450,90,638,12,133,36,181,8,100,19,127,29,147,20,196,43,160,32,235,37,156,29,222,24,109,16,149,10,77,24,111,163,882,176,1221
LGA17950,0,10,4,14,3,4,3,10,3,11,3,17,3,10,0,13,3,15,0,18,0,18,3,21,0,3,0,3,12,71,13,96,0,16,0,16,3,11,0,14,3,22,0,25,5,22,7,34,4,16,3,23,4,11,0,15,0,9,3,12,19,107,13,139,0,26,4,30,6,15,3,24,6,33,3,42,8,32,7,47,7,31,3,41,4,29,3,36,0,12,3,15,31,178,26,235
LGA18000,3,10,3,16,0,18,3,21,0,24,0,24,7,43,3,53,4,38,3,45,4,25,0,29,0,15,3,18,18,173,15,206,3,18,3,24,3,26,0,29,4,34,0,38,3,52,3,58,3,27,0,30,3,11,0,14,3,21,6,30,22,189,12,223,6,28,6,40,3,44,3,50,4,58,0,62,10,95,6,111,7,65,3,75,7,36,0,43,3,36,9,48,40,362,27,429
LGA18020,3,33,7,43,3,25,4,32,3,24,5,32,7,27,0,34,6,36,4,46,3,19,3,25,3,21,4,28,28,185,27,240,3,37,5,45,3,26,0,29,6,37,4,47,11,37,7,55,12,30,5,47,10,20,4,34,4,20,0,24,49,207,25,281,6,70,12,88,6,51,4,61,9,61,9,79,18,64,7,89,18,66,9,93,13,39,7,59,7,41,4,52,77,392,52,521
LGA18050,0,6,0,6,0,13,0,13,3,22,4,29,5,16,0,21,0,17,0,17,0,3,3,6,0,4,0,4,8,81,7,96,0,12,0,12,3,8,0,11,0,28,0,28,3,18,0,21,0,12,0,12,3,3,0,6,0,0,0,0,9,81,0,90,0,18,0,18,3,21,0,24,3,50,4,57,8,34,0,42,0,29,0,29,3,6,3,12,0,4,0,4,17,162,7,186
LGA18100,0,4,3,7,0,4,0,4,0,0,0,0,0,6,0,6,3,3,0,6,0,3,0,3,3,0,0,3,6,20,3,29,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,5,0,3,0,3,0,3,0,3,0,14,0,14,0,4,3,7,0,4,0,4,0,3,0,3,0,6,0,6,3,8,0,11,0,6,0,6,3,3,0,6,6,34,3,43
LGA18150,4,75,32,111,4,30,66,100,10,61,106,177,6,62,57,125,9,52,12,73,0,58,6,64,3,17,0,20,36,355,279,670,6,54,11,71,10,45,6,61,12,66,15,93,18,67,14,99,10,64,6,80,15,40,3,58,7,22,7,36,78,358,62,498,10,129,43,182,14,75,72,161,22,127,121,270,24,129,71,224,19,116,18,153,15,98,9,122,10,39,7,56,114,713,341,1168
LGA18200,3,29,6,38,5,24,0,29,5,21,4,30,5,31,0,36,4,36,6,46,4,12,3,19,3,12,4,19,29,165,23,217,3,39,13,55,3,21,0,24,5,27,5,37,6,36,4,46,12,43,0,55,7,13,0,20,3,11,0,14,39,190,22,251,6,68,19,93,8,45,0,53,10,48,9,67,11,67,4,82,16,79,6,101,11,25,3,39,6,23,4,33,68,355,45,468
LGA18250,0,7,5,12,0,7,0,7,0,6,0,6,0,7,0,7,0,8,0,8,0,4,0,4,3,0,4,7,3,39,9,51,0,9,0,9,0,4,0,4,0,11,0,11,0,13,0,13,0,3,0,3,3,6,0,9,0,0,4,4,3,46,4,53,0,16,5,21,0,11,0,11,0,17,0,17,0,20,0,20,0,11,0,11,3,10,0,13,3,0,8,11,6,85,13,104
LGA18350,5,42,11,58,3,25,3,31,3,22,3,28,6,30,4,40,6,27,3,36,0,21,0,21,4,13,0,17,27,180,24,231,3,34,7,44,3,21,4,28,10,30,9,49,8,34,12,54,11,38,5,54,3,12,3,18,4,13,4,21,42,182,44,268,8,76,18,102,6,46,7,59,13,52,12,77,14,64,16,94,17,65,8,90,3,33,3,39,8,26,4,38,69,362,68,499
LGA18400,0,38,8,46,4,32,0,36,0,45,0,45,10,45,3,58,9,38,6,53,7,30,3,40,4,13,0,17,34,241,20,295,7,37,5,49,9,27,0,36,7,48,4,59,26,46,3,75,12,41,3,56,4,28,3,35,4,11,4,19,69,238,22,329,7,75,13,95,13,59,0,72,7,93,4,104,36,91,6,133,21,79,9,109,11,58,6,75,8,24,4,36,103,479,42,624
LGA18450,13,208,32,253,23,170,9,202,29,237,18,284,27,169,16,212,33,134,9,176,16,82,9,107,3,52,10,65,144,1052,103,1299,13,204,26,243,14,169,10,193,50,206,16,272,51,206,15,272,55,152,17,224,26,77,11,114,15,81,18,114,224,1095,113,1432,26,412,58,496,37,339,19,395,79,443,34,556,78,375,31,484,88,286,26,400,42,159,20,221,18,133,28,179,368,2147,216,2731
LGA18500,0,11,0,11,0,9,0,9,5,6,0,11,0,3,3,6,0,3,0,3,0,3,0,3,0,3,0,3,5,38,3,46,0,7,3,10,0,0,0,0,0,11,0,11,0,7,0,7,0,5,3,8,0,4,0,4,0,0,5,5,0,34,11,45,0,18,3,21,0,9,0,9,5,17,0,22,0,10,3,13,0,8,3,11,0,7,0,7,0,3,5,8,5,72,14,91
LGA18550,27,263,50,340,15,208,16,239,26,224,13,263,43,208,19,270,35,180,12,227,15,110,10,135,12,73,15,100,173,1266,135,1574,31,236,33,300,30,179,11,220,62,262,26,350,108,217,12,337,70,201,15,286,41,109,7,157,17,74,25,116,359,1278,129,1766,58,499,83,640,45,387,27,459,88,486,39,613,151,425,31,607,105,381,27,513,56,219,17,292,29,147,40,216,532,2544,264,3340
LGA18710,3,17,3,23,0,9,0,9,0,13,3,16,0,20,0,20,3,11,3,17,3,5,0,8,0,6,3,9,9,81,12,102,3,3,3,9,0,9,0,9,3,8,3,14,3,11,3,17,0,5,3,8,4,4,3,11,0,6,0,6,13,46,15,74,6,20,6,32,0,18,0,18,3,21,6,30,3,31,3,37,3,16,6,25,7,9,3,19,0,12,3,15,22,127,27,176
LGA18750,0,12,5,17,0,13,3,16,0,3,3,6,4,17,3,24,0,16,0,16,4,9,3,16,0,7,0,7,8,77,17,102,0,23,3,26,0,5,3,8,3,18,3,24,3,18,0,21,4,6,0,10,3,12,3,18,3,5,3,11,16,87,15,118,0,35,8,43,0,18,6,24,3,21,6,30,7,35,3,45,4,22,0,26,7,21,6,34,3,12,3,18,24,164,32,220
LGA19399,0,3,3,6,3,3,0,6,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0,0,3,18,3,24,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,3,0,3,0,9,3,12,0,3,3,6,3,6,0,9,0,3,0,3,0,6,3,9,0,3,0,3,0,3,0,3,0,3,0,3,3,27,6,36
LGA19499,8,34,15,57,4,30,17,51,11,44,29,84,6,52,58,116,7,31,50,88,3,9,16,28,0,4,9,13,39,204,194,437,3,35,5,43,7,30,7,44,11,50,33,94,14,13,26,53,4,17,19,40,3,19,3,25,0,3,4,7,42,167,97,306,11,69,20,100,11,60,24,95,22,94,62,178,20,65,84,169,11,48,69,128,6,28,19,53,0,7,13,20,81,371,291,743
