region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
LGA17200,44,52,96,95,100,195,160,131,291,100,129,229,67,97,164,66,72,138,61,49,110,198,157,355,78,69,147,869,856,1725
LGA17310,129,115,244,145,151,296,208,232,440,161,250,411,147,257,404,169,182,351,111,67,178,167,118,285,135,117,252,1372,1489,2861
LGA17350,3,0,3,4,4,8,13,12,25,4,5,9,3,5,8,0,5,5,4,0,4,4,0,4,3,3,6,38,34,72
LGA17400,6,9,15,20,14,34,39,43,82,27,34,61,11,22,33,4,10,14,6,0,6,4,3,7,8,14,22,125,149,274
LGA17420,23,32,55,20,17,37,17,19,36,16,25,41,8,38,46,12,23,35,15,20,35,82,54,136,5,11,16,198,239,437
LGA17450,0,3,3,4,3,7,7,3,10,0,3,3,0,0,0,3,0,3,4,0,4,5,3,8,17,3,20,40,18,58
LGA17500,10,16,26,19,16,35,23,29,52,13,36,49,10,31,41,21,16,37,6,3,9,14,12,26,8,17,25,124,176,300
LGA17550,92,78,170,100,109,209,130,134,264,114,138,252,100,172,272,92,105,197,65,47,112,123,98,221,88,50,138,904,931,1835
LGA17620,20,13,33,19,19,38,18,19,37,18,23,41,16,22,38,17,19,36,14,16,30,34,12,46,9,10,19,165,153,318
LGA17640,4,8,12,7,3,10,3,11,14,3,10,13,3,3,6,3,0,3,3,0,3,5,5,10,3,3,6,34,43,77
LGA17650,10,9,19,13,20,33,16,20,36,16,13,29,18,18,36,17,13,30,12,3,15,7,9,16,11,13,24,120,118,238
LGA17700,0,0,0,0,0,0,3,6,9,0,3,3,0,3,3,3,0,3,3,0,3,4,0,4,0,0,0,13,12,25
