region_id,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
LGA13100,1688,1691,3379,66,48,114,31,33,64,1785,1772,3557,72577,78587,151164,3962,3756,7718,78324,84115,162439
LGA13310,395,340,735,16,20,36,8,0,8,419,360,779,12868,12752,25620,594,487,1081,13881,13599,27480
LGA13320,638,634,1272,17,14,31,8,14,22,663,662,1325,15292,15999,31291,906,908,1814,16861,17569,34430
LGA13340,79,95,174,9,8,17,4,7,11,92,110,202,4621,4541,9162,246,205,451,4959,4856,9815
LGA13380,1163,1218,2381,39,25,64,28,29,57,1230,1272,2502,20339,21574,41913,1088,1038,2126,22657,23884,46541
LGA13450,484,497,981,11,5,16,3,3,6,498,505,1003,10906,10947,21853,831,677,1508,12235,12129,24364
LGA13500,45,45,90,0,0,0,0,0,0,45,45,90,1751,1693,3444,73,55,128,1869,1793,3662
LGA13550,667,665,1332,11,6,17,7,7,14,685,678,1363,5027,5070,10097,320,285,605,6032,6033,12065
LGA13650,216,215,431,0,4,4,3,3,6,219,222,441,1876,1876,3752,109,94,203,2204,2192,4396
LGA13660,87,74,161,18,10,28,0,0,0,105,84,189,2335,2306,4641,74,62,136,2514,2452,4966
LGA13700,73,72,145,4,4,8,4,4,8,81,80,161,1616,1656,3272,80,70,150,1777,1806,3583
LGA13800,780,774,1554,26,8,34,8,13,21,814,795,1609,28737,29076,57813,1506,1427,2933,31057,31298,62355
LGA13850,89,75,164,3,0,3,0,0,0,92,75,167,1313,1335,2648,74,66,140,1479,1476,2955
LGA13950,352,393,745,24,26,50,10,12,22,386,431,817,45773,46980,92753,2945,2648,5593,49104,50059,99163
LGA14000,241,269,510,13,21,34,7,11,18,261,301,562,73909,77918,151827,2288,2171,4459,76458,80390,156848
LGA14100,38,14,52,0,0,0,3,0,3,41,14,55,6259,6430,12689,238,234,472,6538,6678,13216
LGA14150,202,239,441,19,13,32,9,7,16,230,259,489,36503,38927,75430,1494,1443,2937,38227,40629,78856
LGA14200,521,479,1000,19,14,33,8,13,21,548,506,1054,7013,7420,14433,338,252,590,7899,8178,16077
LGA14250,23,23,46,0,0,0,0,0,0,23,23,46,733,642,1375,46,29,75,802,694,1496
LGA14300,271,112,383,8,0,8,3,0,3,282,112,394,2906,2316,5222,152,112,264,3340,2540,5880
LGA14350,1514,1517,3031,11,9,20,44,21,65,1569,1547,3116,11906,11844,23750,636,630,1266,14111,14021,28132
LGA14400,134,136,270,3,5,8,5,3,8,142,144,286,9302,9768,19070,347,282,629,9791,10194,19985
LGA14450,101,113,214,0,3,3,3,7,10,104,123,227,26004,27370,53374,1140,1064,2204,27248,28557,55805
LGA14500,55,69,124,10,11,21,0,3,3,65,83,148,50352,54981,105333,1843,1974,3817,52260,57038,109298
LGA14550,245,222,467,8,8,16,0,5,5,253,235,488,4159,4138,8297,229,213,442,4641,4586,9227
LGA14600,492,556,1048,5,3,8,4,3,7,501,562,1063,2600,2556,5156,146,110,256,3247,3228,6475
LGA14650,2599,2785,5384,57,73,130,46,35,81,2702,2893,5595,86417,90822,177239,3192,2979,6171,92311,96694,189005
LGA14700,28,43,71,0,0,0,4,4,8,32,47,79,14659,15599,30258,568,607,1175,15259,16253,31512
LGA14750,295,343,638,0,12,12,0,0,0,295,355,650,4852,4903,9755,290,342,632,5437,5600,11037
LGA14800,216,264,480,9,11,20,8,7,15,233,282,515,23006,25810,48816,1488,1378,2866,24727,27470,52197
LGA14850,869,928,1797,27,20,47,41,30,71,937,978,1915,19086,20107,39193,881,778,1659,20904,21863,42767
LGA14870,466,389,855,26,19,45,0,0,0,492,408,900,9264,8962,18226,534,500,1034,10290,9870,20160
LGA14900,1210,1302,2512,58,52,110,31,25,56,1299,1379,2678,82641,84253,166894,5384,5187,10571,89324,90819,180143
LGA14920,382,399,781,12,11,23,4,8,12,398,418,816,3209,3149,6358,164,142,306,3771,3709,7480
LGA14950,51,27,78,0,0,0,0,0,0,51,27,78,1412,1393,2805,64,51,115,1527,1471,2998
LGA15050,1065,1169,2234,38,26,64,24,32,56,1127,1227,2354,30534,32028,62562,1345,1219,2564,33006,34474,67480
LGA15150,61,38,99,6,4,10,0,4,4,67,46,113,18093,19164,37257,1248,1130,2378,19408,20340,39748
LGA15200,477,557,1034,16,24,40,20,17,37,513,598,1111,34412,35661,70073,2911,2405,5316,37836,38664,76500
LGA15270,431,409,840,18,6,24,0,6,6,449,421,870,10100,10097,20197,737,515,1252,11286,11033,22319
LGA15300,1292,1442,2734,10,19,29,15,14,29,1317,1475,2792,4968,4644,9612,544,480,1024,6829,6599,13428
LGA15350,11,16,27,3,0,3,0,0,0,14,16,30,11837,13665,25502,970,951,1921,12821,14632,27453
LGA15500,109,121,230,0,0,0,0,0,0,109,121,230,3221,3223,6444,164,120,284,3494,3464,6958
LGA15550,113,102,215,6,0,6,3,4,7,122,106,228,998,889,1887,75,72,147,1195,1067,2262
LGA15650,417,404,821,10,9,19,4,3,7,431,416,847,7242,6773,14015,490,438,928,8163,7627,15790
LGA15700,646,674,1320,12,14,26,4,9,13,662,697,1359,8057,8510,16567,372,344,716,9091,9551,18642
LGA15750,642,691,1333,12,16,28,18,9,27,672,716,1388,5485,5429,10914,322,302,624,6479,6447,12926
LGA15800,283,302,585,3,0,3,3,0,3,289,302,591,2443,2490,4933,188,190,378,2920,2982,5902
LGA15850,578,674,1252,12,7,19,12,7,19,602,688,1290,2531,2478,5009,158,127,285,3291,3293,6584
LGA15900,1874,1872,3746,57,61,118,34,29,63,1965,1962,3927,67772,70432,138204,3416,2987,6403,73153,75381,148534
LGA15950,70,50,120,6,7,13,0,0,0,76,57,133,26889,30055,56944,2702,2512,5214,29667,32624,62291
LGA16100,80,57,137,9,6,15,3,4,7,92,67,159,2464,2229,4693,104,86,190,2660,2382,5042
LGA16150,969,1003,1972,24,19,43,17,18,35,1010,1040,2050,16545,17582,34127,1025,855,1880,18580,19477,38057
LGA16180,111,111,222,0,3,3,0,0,0,111,114,225,6647,6657,13304,434,389,823,7192,7160,14352
LGA16200,581,605,1186,9,8,17,5,4,9,595,617,1212,6166,6392,12558,434,389,823,7195,7398,14593
LGA16250,697,610,1307,37,34,71,10,15,25,744,659,1403,77732,78256,155988,5084,4385,9469,83560,83300,166860
LGA16350,2540,2648,5188,58,62,120,31,47,78,2629,2757,5386,81630,84123,165753,3829,3499,7328,88088,90379,178467
LGA16370,127,107,234,4,3,7,5,7,12,136,117,253,26546,28024,54570,1229,1101,2330,27911,29242,57153
LGA16380,1149,1160,2309,25,24,49,30,28,58,1204,1212,2416,32235,35167,67402,1496,1384,2880,34935,37763,72698
LGA16400,1064,1154,2218,37,34,71,18,19,37,1119,1207,2326,29086,30118,59204,1701,1574,3275,31906,32899,64805
LGA16470,536,553,1089,11,12,23,16,10,26,563,575,1138,17481,17625,35106,992,755,1747,19036,18955,37991
LGA16550,878,848,1726,38,35,73,27,17,44,943,900,1843,57695,60385,118080,4729,4337,9066,63367,65622,128989
LGA16610,672,728,1400,13,18,31,11,11,22,696,757,1453,9720,9946,19666,488,430,918,10904,11133,22037
LGA16650,277,264,541,17,9,26,5,3,8,299,276,575,44742,46247,90989,3067,2710,5777,48108,49233,97341
LGA16700,151,163,314,9,14,23,8,7,15,168,184,352,47657,50663,98320,2236,2131,4367,50061,52978,103039
LGA16900,914,916,1830,42,32,74,10,16,26,966,964,1930,29119,30458,59577,1074,1023,2097,31159,32445,63604
LGA16950,2063,2111,4174,49,49,98,27,19,46,2139,2179,4318,41081,42581,83662,2491,2340,4831,45711,47100,92811
LGA17000,394,413,807,14,9,23,7,8,15,415,430,845,10715,10208,20923,518,408,926,11648,11046,22694
LGA17050,38,25,63,4,8,12,0,0,0,42,33,75,3430,3068,6498,542,393,935,4014,3494,7508
LGA17100,57,32,89,5,4,9,0,4,4,62,40,102,16283,16278,32561,1313,1213,2526,17658,17531,35189
LGA17150,857,787,1644,43,31,74,9,12,21,909,830,1739,98427,103479,201906,3831,3386,7217,103167,107695,210862
LGA17200,1015,1028,2043,41,28,69,32,32,64,1088,1088,2176,76250,69364,145614,12228,9488,21716,89566,79940,169506
LGA17310,2209,2315,4524,49,59,108,48,41,89,2306,2415,4721,23937,25070,49007,1280,1284,2564,27523,28769,56292
LGA17350,51,39,90,4,8,12,0,0,0,55,47,102,2720,2755,5475,99,100,199,2874,2902,5776
LGA17400,212,231,443,3,3,6,3,9,12,218,243,461,2960,3016,5976,214,160,374,3392,3419,6811
LGA17420,283,311,594,9,12,21,10,7,17,302,330,632,81194,83233,164427,2490,2325,4815,83986,85888,169874
LGA17450,42,29,71,5,0,5,7,0,7,54,29,83,1648,1473,3121,84,71,155,1786,1573,3359
LGA17500,195,268,463,3,11,14,9,6,15,207,285,492,5104,4916,10020,216,207,423,5527,5408,10935
LGA17550,1175,1180,2355,139,131,270,171,144,315,1485,1455,2940,37556,40682,78238,1970,1956,3926,41011,44093,85104
LGA17620,261,241,502,6,10,16,8,9,17,275,260,535,6302,6330,12632,286,299,585,6863,6889,13752
LGA17640,53,65,118,0,0,0,3,0,3,56,65,121,3399,3377,6776,152,146,298,3607,3588,7195
LGA17650,165,176,341,4,5,9,3,4,7,172,185,357,2672,2764,5436,136,104,240,2980,3053,6033
LGA17700,22,13,35,0,4,4,0,0,0,22,17,39,552,498,1050,32,36,68,606,551,1157
LGA17750,1293,1359,2652,27,21,48,12,20,32,1332,1400,2732,26658,28109,54767,990,970,1960,28980,30479,59459
LGA17800,47,47,94,0,0,0,0,0,0,47,47,94,1829,1779,3608,150,109,259,2026,1935,3961
LGA17850,110,109,219,0,3,3,0,0,0,110,112,222,1347,1374,2721,46,32,78,1503,1518,3021
LGA17900,852,934,1786,4,6,10,5,11,16,861,951,1812,2343,1814,4157,285,200,485,3489,2965,6454
LGA17950,157,210,367,0,0,0,0,0,0,157,210,367,1164,1113,2277,65,49,114,1386,1372,2758
LGA18000,265,276,541,24,22,46,11,5,16,300,303,603,66086,68885,134971,2725,2442,5167,69111,71630,140741
LGA18020,429,440,869,0,4,4,8,7,15,437,451,888,4068,4076,8144,297,258,555,4802,4785,9587
LGA18050,117,110,227,4,9,13,3,3,6,124,122,246,27538,28902,56440,3599,3203,6802,31261,32227,63488
LGA18100,40,27,67,0,0,0,0,0,0,40,27,67,1732,1727,3459,84,52,136,1856,1806,3662
LGA18150,942,708,1650,15,9,24,19,8,27,976,725,1701,3233,3138,6371,218,204,422,4427,4067,8494
LGA18200,302,351,653,7,4,11,5,10,15,314,365,679,2928,2675,5603,191,137,328,3433,3177,6610
LGA18250,60,50,110,4,11,15,4,6,10,68,67,135,30811,33346,64157,1583,1481,3064,32462,34894,67356
LGA18350,339,396,735,14,15,29,19,19,38,372,430,802,19978,21826,41804,921,869,1790,21271,23125,44396
LGA18400,485,522,1007,13,5,18,3,7,10,501,534,1035,20274,20311,40585,835,805,1640,21610,21650,43260
LGA18450,1984,2059,4043,61,66,127,27,31,58,2072,2156,4228,89034,91291,180325,4143,3722,7865,95249,97169,192418
LGA18500,56,51,107,3,3,6,0,0,0,59,54,113,21731,24879,46610,2773,2662,5435,24563,27595,52158
LGA18550,2535,2677,5212,71,77,148,45,57,102,2651,2811,5462,66564,71514,138078,3164,3043,6207,72379,77368,149747
LGA18710,156,128,284,0,4,4,3,3,6,159,135,294,6901,7066,13967,391,369,760,7451,7570,15021
LGA18750,172,200,372,3,3,6,0,0,0,175,203,378,5491,5766,11257,304,296,600,5970,6265,12235
LGA19399,23,16,39,0,0,0,0,0,0,23,16,39,576,519,1095,23,13,36,622,548,1170
LGA19499,481,373,854,21,11,32,19,7,26,521,391,912,6225,4450,10675,846,484,1330,7592,5325,12917
